date,reservoir,flow
1980-01-01,Joe_Pool,0.10321
1980-01-02,Joe_Pool,0.10303
1980-01-03,Joe_Pool,0.10283
1980-01-04,Joe_Pool,0.10268
1980-01-05,Joe_Pool,0.10253
1980-01-06,Joe_Pool,0.10237
1980-01-07,Joe_Pool,0.10217
1980-01-08,Joe_Pool,0.10198
1980-01-09,Joe_Pool,0.10184
1980-01-10,Joe_Pool,0.10166
1980-01-11,Joe_Pool,0.10149
1980-01-12,Joe_Pool,0.10132
1980-01-13,Joe_Pool,0.10114
1980-01-14,Joe_Pool,0.10093
1980-01-15,Joe_Pool,0.10071
1980-01-16,Joe_Pool,0.10125
1980-01-17,Joe_Pool,0.10031
1980-01-18,Joe_Pool,0.10011
1980-01-19,Joe_Pool,0.0999
1980-01-20,Joe_Pool,0.12065
1980-01-21,Joe_Pool,0.26073
1980-01-22,Joe_Pool,0.33852
1980-01-23,Joe_Pool,0.10736
1980-01-24,Joe_Pool,0.0992
1980-01-25,Joe_Pool,0.09901
1980-01-26,Joe_Pool,0.09884
1980-01-27,Joe_Pool,0.09869
1980-01-28,Joe_Pool,0.09857
1980-01-29,Joe_Pool,0.10091
1980-01-30,Joe_Pool,0.11816
1980-01-31,Joe_Pool,0.09832
1980-02-01,Joe_Pool,0.10369
1980-02-02,Joe_Pool,0.11669
1980-02-03,Joe_Pool,0.09791
1980-02-04,Joe_Pool,0.09773
1980-02-05,Joe_Pool,0.09756
1980-02-06,Joe_Pool,0.09739
1980-02-07,Joe_Pool,0.0972
1980-02-08,Joe_Pool,0.17666
1980-02-09,Joe_Pool,0.13763
1980-02-10,Joe_Pool,0.0969
1980-02-11,Joe_Pool,0.11813
1980-02-12,Joe_Pool,0.18963
1980-02-13,Joe_Pool,0.19792
1980-02-14,Joe_Pool,0.09639
1980-02-15,Joe_Pool,0.0962
1980-02-16,Joe_Pool,0.09703
1980-02-17,Joe_Pool,0.10644
1980-02-18,Joe_Pool,0.10033
1980-02-19,Joe_Pool,0.09561
1980-02-20,Joe_Pool,0.0954
1980-02-21,Joe_Pool,0.09518
1980-02-22,Joe_Pool,0.09497
1980-02-23,Joe_Pool,0.09474
1980-02-24,Joe_Pool,0.09454
1980-02-25,Joe_Pool,0.09437
1980-02-26,Joe_Pool,0.0942
1980-02-27,Joe_Pool,0.09402
1980-02-28,Joe_Pool,0.0938
1980-02-29,Joe_Pool,0.0936
1980-03-01,Joe_Pool,0.093410000000000007
1980-03-02,Joe_Pool,0.09328
1980-03-03,Joe_Pool,0.09316
1980-03-04,Joe_Pool,0.09298
1980-03-05,Joe_Pool,0.09277
1980-03-06,Joe_Pool,0.09256
1980-03-07,Joe_Pool,0.09236
1980-03-08,Joe_Pool,0.09214
1980-03-09,Joe_Pool,0.09193
1980-03-10,Joe_Pool,0.09173
1980-03-11,Joe_Pool,0.09152
1980-03-12,Joe_Pool,0.12449
1980-03-13,Joe_Pool,0.09117
1980-03-14,Joe_Pool,0.09099
1980-03-15,Joe_Pool,0.09079
1980-03-16,Joe_Pool,0.09061
1980-03-17,Joe_Pool,0.09044
1980-03-18,Joe_Pool,0.09027
1980-03-19,Joe_Pool,0.09011
1980-03-20,Joe_Pool,0.08994
1980-03-21,Joe_Pool,0.08977
1980-03-22,Joe_Pool,0.0896
1980-03-23,Joe_Pool,0.09053
1980-03-24,Joe_Pool,0.10062
1980-03-25,Joe_Pool,0.09348
1980-03-26,Joe_Pool,0.10032
1980-03-27,Joe_Pool,0.10291
1980-03-28,Joe_Pool,0.29438
1980-03-29,Joe_Pool,0.14212
1980-03-30,Joe_Pool,0.08854
1980-03-31,Joe_Pool,0.0884
1980-04-01,Joe_Pool,0.08825
1980-04-02,Joe_Pool,0.08809
1980-04-03,Joe_Pool,0.2353
1980-04-04,Joe_Pool,0.08782
1980-04-05,Joe_Pool,0.08767
1980-04-06,Joe_Pool,0.08752
1980-04-07,Joe_Pool,0.08737
1980-04-08,Joe_Pool,0.08724
1980-04-09,Joe_Pool,0.0871
1980-04-10,Joe_Pool,0.08697
1980-04-11,Joe_Pool,0.08683
1980-04-12,Joe_Pool,0.08671
1980-04-13,Joe_Pool,0.47064
1980-04-14,Joe_Pool,0.26481
