date,reservoir,flow
1980-01-01,Palo_Pinto,0.3244
1980-01-02,Palo_Pinto,0.1441
1980-01-03,Palo_Pinto,0.0771
1980-01-04,Palo_Pinto,0.0455
1980-01-05,Palo_Pinto,0.0288
1980-01-06,Palo_Pinto,0.0192
1980-01-07,Palo_Pinto,0.0133
1980-01-08,Palo_Pinto,0.0094
1980-01-09,Palo_Pinto,0.0068
1980-01-10,Palo_Pinto,0.005
1980-01-11,Palo_Pinto,0.0037
1980-01-12,Palo_Pinto,0.0028
1980-01-13,Palo_Pinto,0.002
1980-01-14,Palo_Pinto,0.0015
1980-01-15,Palo_Pinto,0.0011
1980-01-16,Palo_Pinto,0.0013
1980-01-17,Palo_Pinto,6e-4
1980-01-18,Palo_Pinto,5e-4
1980-01-19,Palo_Pinto,4e-4
1980-01-20,Palo_Pinto,0.0095
1980-01-21,Palo_Pinto,0.2571
1980-01-22,Palo_Pinto,0.5017
1980-01-23,Palo_Pinto,1e-4
1980-01-24,Palo_Pinto,1e-4
1980-01-25,Palo_Pinto,1e-4
1980-01-26,Palo_Pinto,0
1980-01-27,Palo_Pinto,0
1980-01-28,Palo_Pinto,0
1980-01-29,Palo_Pinto,2e-4
1980-01-30,Palo_Pinto,0.01
1980-01-31,Palo_Pinto,0.0045
1980-02-01,Palo_Pinto,8e-4
1980-02-02,Palo_Pinto,0.0143
1980-02-03,Palo_Pinto,2e-4
1980-02-04,Palo_Pinto,0
1980-02-05,Palo_Pinto,0
1980-02-06,Palo_Pinto,0
1980-02-07,Palo_Pinto,0
1980-02-08,Palo_Pinto,0.296
1980-02-09,Palo_Pinto,0.0081
1980-02-10,Palo_Pinto,0
1980-02-11,Palo_Pinto,0.0337
1980-02-12,Palo_Pinto,0.1536
1980-02-13,Palo_Pinto,0.307
1980-02-14,Palo_Pinto,5e-4
1980-02-15,Palo_Pinto,0
1980-02-16,Palo_Pinto,0.0078
1980-02-17,Palo_Pinto,0
1980-02-18,Palo_Pinto,0
1980-02-19,Palo_Pinto,0
1980-02-20,Palo_Pinto,0
1980-02-21,Palo_Pinto,0
1980-02-22,Palo_Pinto,0
1980-02-23,Palo_Pinto,0
1980-02-24,Palo_Pinto,0
1980-02-25,Palo_Pinto,0
1980-02-26,Palo_Pinto,0
1980-02-27,Palo_Pinto,0
1980-02-28,Palo_Pinto,0
1980-02-29,Palo_Pinto,0
1980-03-01,Palo_Pinto,0
1980-03-02,Palo_Pinto,0
1980-03-03,Palo_Pinto,0
1980-03-04,Palo_Pinto,0
1980-03-05,Palo_Pinto,0
1980-03-06,Palo_Pinto,0
1980-03-07,Palo_Pinto,0
1980-03-08,Palo_Pinto,0
1980-03-09,Palo_Pinto,0
1980-03-10,Palo_Pinto,0
1980-03-11,Palo_Pinto,0
1980-03-12,Palo_Pinto,2e-4
1980-03-13,Palo_Pinto,0
1980-03-14,Palo_Pinto,0
1980-03-15,Palo_Pinto,0
1980-03-16,Palo_Pinto,0
1980-03-17,Palo_Pinto,0
1980-03-18,Palo_Pinto,0
1980-03-19,Palo_Pinto,0
1980-03-20,Palo_Pinto,0
1980-03-21,Palo_Pinto,0
1980-03-22,Palo_Pinto,0
1980-03-23,Palo_Pinto,0.0034
1980-03-24,Palo_Pinto,0
1980-03-25,Palo_Pinto,0.0017
1980-03-26,Palo_Pinto,1e-4
1980-03-27,Palo_Pinto,0
1980-03-28,Palo_Pinto,0.3628
1980-03-29,Palo_Pinto,1e-4
1980-03-30,Palo_Pinto,0
1980-03-31,Palo_Pinto,0
1980-04-01,Palo_Pinto,0
1980-04-02,Palo_Pinto,0
1980-04-03,Palo_Pinto,0
1980-04-04,Palo_Pinto,0
1980-04-05,Palo_Pinto,0
1980-04-06,Palo_Pinto,0
1980-04-07,Palo_Pinto,0
1980-04-08,Palo_Pinto,0
1980-04-09,Palo_Pinto,0
1980-04-10,Palo_Pinto,0
1980-04-11,Palo_Pinto,0
1980-04-12,Palo_Pinto,0
1980-04-13,Palo_Pinto,0.2961
1980-04-14,Palo_Pinto,0.0013
1980-04-15,Palo_Pinto,0
1980-04-16,Palo_Pinto,0
1980-04-17,Palo_Pinto,0
1980-04-18,Palo_Pinto,0
1980-04-19,Palo_Pinto,0
1980-04-20,Palo_Pinto,0
1980-04-21,Palo_Pinto,0
1980-04-22,Palo_Pinto,0
1980-04-23,Palo_Pinto,0
1980-04-24,Palo_Pinto,0
1980-04-25,Palo_Pinto,0.0662
1980-04-26,Palo_Pinto,0
1980-04-27,Palo_Pinto,0
1980-04-28,Palo_Pinto,0
1980-04-29,Palo_Pinto,0
1980-04-30,Palo_Pinto,0
1980-05-01,Palo_Pinto,0.0014
1980-05-02,Palo_Pinto,0.234
1980-05-03,Palo_Pinto,0
1980-05-04,Palo_Pinto,0
1980-05-05,Palo_Pinto,0
1980-05-06,Palo_Pinto,0
1980-05-07,Palo_Pinto,0.3524
1980-05-08,Palo_Pinto,0.2764
1980-05-09,Palo_Pinto,0.0142
1980-05-10,Palo_Pinto,0
1980-05-11,Palo_Pinto,0
1980-05-12,Palo_Pinto,0.086
1980-05-13,Palo_Pinto,0.0017
1980-05-14,Palo_Pinto,5e-4
1980-05-15,Palo_Pinto,0.2084
1980-05-16,Palo_Pinto,0.1918
1980-05-17,Palo_Pinto,0
1980-05-18,Palo_Pinto,0
1980-05-19,Palo_Pinto,0.0119
1980-05-20,Palo_Pinto,0
1980-05-21,Palo_Pinto,0.1982
1980-05-22,Palo_Pinto,0
1980-05-23,Palo_Pinto,0
1980-05-24,Palo_Pinto,0
1980-05-25,Palo_Pinto,0
1980-05-26,Palo_Pinto,0
1980-05-27,Palo_Pinto,0
1980-05-28,Palo_Pinto,0.3101
1980-05-29,Palo_Pinto,0
1980-05-30,Palo_Pinto,0
1980-05-31,Palo_Pinto,0
1980-06-01,Palo_Pinto,0
1980-06-02,Palo_Pinto,0
1980-06-03,Palo_Pinto,0
1980-06-04,Palo_Pinto,0
1980-06-05,Palo_Pinto,0
1980-06-06,Palo_Pinto,0
1980-06-07,Palo_Pinto,0
1980-06-08,Palo_Pinto,0
1980-06-09,Palo_Pinto,0.0597
1980-06-10,Palo_Pinto,0
