date,reservoir,flow
1980-01-01,Ray_Roberts,0.32485
1980-01-02,Ray_Roberts,0.32381
1980-01-03,Ray_Roberts,0.32273
1980-01-04,Ray_Roberts,0.32189
1980-01-05,Ray_Roberts,0.32132
1980-01-06,Ray_Roberts,0.32051
1980-01-07,Ray_Roberts,0.31933
1980-01-08,Ray_Roberts,0.31827
1980-01-09,Ray_Roberts,0.31753
1980-01-10,Ray_Roberts,0.31666
1980-01-11,Ray_Roberts,0.31564
1980-01-12,Ray_Roberts,0.31463
1980-01-13,Ray_Roberts,0.31357
1980-01-14,Ray_Roberts,0.31228
1980-01-15,Ray_Roberts,0.31089
1980-01-16,Ray_Roberts,0.31924
1980-01-17,Ray_Roberts,0.30846
1980-01-18,Ray_Roberts,0.3072
1980-01-19,Ray_Roberts,0.30593
1980-01-20,Ray_Roberts,0.31187
1980-01-21,Ray_Roberts,0.59638
1980-01-22,Ray_Roberts,0.45667
1980-01-23,Ray_Roberts,0.30321
1980-01-24,Ray_Roberts,0.30224
1980-01-25,Ray_Roberts,0.30105
1980-01-26,Ray_Roberts,0.29995
1980-01-27,Ray_Roberts,0.29917
1980-01-28,Ray_Roberts,0.29867
1980-01-29,Ray_Roberts,0.29826
1980-01-30,Ray_Roberts,0.29822
1980-01-31,Ray_Roberts,0.29816
1980-02-01,Ray_Roberts,0.29993
1980-02-02,Ray_Roberts,0.35698
1980-02-03,Ray_Roberts,0.37126
1980-02-04,Ray_Roberts,0.29555
1980-02-05,Ray_Roberts,0.29441
1980-02-06,Ray_Roberts,0.29336
1980-02-07,Ray_Roberts,0.29233
1980-02-08,Ray_Roberts,0.7847
1980-02-09,Ray_Roberts,0.30668
1980-02-10,Ray_Roberts,0.29079
1980-02-11,Ray_Roberts,0.29076
1980-02-12,Ray_Roberts,0.3476
1980-02-13,Ray_Roberts,0.72919
1980-02-14,Ray_Roberts,0.61483
1980-02-15,Ray_Roberts,0.28803
1980-02-16,Ray_Roberts,0.28708
1980-02-17,Ray_Roberts,0.28646
1980-02-18,Ray_Roberts,0.28594
1980-02-19,Ray_Roberts,0.28506
1980-02-20,Ray_Roberts,0.28378
1980-02-21,Ray_Roberts,0.28232
1980-02-22,Ray_Roberts,0.28084
1980-02-23,Ray_Roberts,0.27941
1980-02-24,Ray_Roberts,0.27816
1980-02-25,Ray_Roberts,0.27722
1980-02-26,Ray_Roberts,0.27632
1980-02-27,Ray_Roberts,0.27526
1980-02-28,Ray_Roberts,0.27395
1980-02-29,Ray_Roberts,0.27258
1980-03-01,Ray_Roberts,0.27149
1980-03-02,Ray_Roberts,0.27089
1980-03-03,Ray_Roberts,0.27033
1980-03-04,Ray_Roberts,0.26928
1980-03-05,Ray_Roberts,0.268
1980-03-06,Ray_Roberts,0.26672
1980-03-07,Ray_Roberts,0.26538
1980-03-08,Ray_Roberts,0.26399
1980-03-09,Ray_Roberts,0.26265
1980-03-10,Ray_Roberts,0.26132
1980-03-11,Ray_Roberts,0.25996
1980-03-12,Ray_Roberts,0.29152
1980-03-13,Ray_Roberts,0.25792
1980-03-14,Ray_Roberts,0.25676
1980-03-15,Ray_Roberts,0.25561
1980-03-16,Ray_Roberts,0.25446
1980-03-17,Ray_Roberts,0.25334
1980-03-18,Ray_Roberts,0.25229
1980-03-19,Ray_Roberts,0.25133
1980-03-20,Ray_Roberts,0.25033
1980-03-21,Ray_Roberts,0.24931
1980-03-22,Ray_Roberts,0.24827
1980-03-23,Ray_Roberts,0.24792
1980-03-24,Ray_Roberts,0.27042
1980-03-25,Ray_Roberts,0.2455
1980-03-26,Ray_Roberts,0.2447
1980-03-27,Ray_Roberts,0.26447
1980-03-28,Ray_Roberts,0.67489
1980-03-29,Ray_Roberts,0.28042
1980-03-30,Ray_Roberts,0.24184
1980-03-31,Ray_Roberts,0.24109
1980-04-01,Ray_Roberts,0.24017
1980-04-02,Ray_Roberts,0.27451
1980-04-03,Ray_Roberts,0.23819
1980-04-04,Ray_Roberts,0.23726
1980-04-05,Ray_Roberts,0.23635
1980-04-06,Ray_Roberts,0.23545
1980-04-07,Ray_Roberts,0.23456
1980-04-08,Ray_Roberts,0.23377
1980-04-09,Ray_Roberts,0.23305
1980-04-10,Ray_Roberts,0.23225
1980-04-11,Ray_Roberts,0.23147
1980-04-12,Ray_Roberts,0.23076
1980-04-13,Ray_Roberts,0.74995
1980-04-14,Ray_Roberts,0.26184
1980-04-15,Ray_Roberts,0.22928
1980-04-16,Ray_Roberts,0.2286
1980-04-17,Ray_Roberts,0.22796
1980-04-18,Ray_Roberts,0.22733
1980-04-19,Ray_Roberts,0.22667
1980-04-20,Ray_Roberts,0.22602
1980-04-21,Ray_Roberts,0.22541
1980-04-22,Ray_Roberts,0.22483
1980-04-23,Ray_Roberts,0.22426
1980-04-24,Ray_Roberts,0.22371
1980-04-25,Ray_Roberts,0.30841
