date,reservoir,flow
1980-01-01,Toledo_Bend,4.17447
1980-01-02,Toledo_Bend,4.16416
1980-01-03,Toledo_Bend,13.02074
1980-01-04,Toledo_Bend,4.79803
1980-01-05,Toledo_Bend,4.13296
1980-01-06,Toledo_Bend,4.12534
1980-01-07,Toledo_Bend,4.11619
1980-01-08,Toledo_Bend,4.13471
1980-01-09,Toledo_Bend,4.13883
1980-01-10,Toledo_Bend,4.15223
1980-01-11,Toledo_Bend,6.42765
1980-01-12,Toledo_Bend,4.0501
1980-01-13,Toledo_Bend,4.03401
1980-01-14,Toledo_Bend,4.01725
1980-01-15,Toledo_Bend,3.99953
1980-01-16,Toledo_Bend,9.62753
1980-01-17,Toledo_Bend,7.5489
1980-01-18,Toledo_Bend,3.94776
1980-01-19,Toledo_Bend,3.9323
1980-01-20,Toledo_Bend,12.20882
1980-01-21,Toledo_Bend,16.11939
1980-01-22,Toledo_Bend,63.98569
1980-01-23,Toledo_Bend,20.92311
1980-01-24,Toledo_Bend,4.40179
1980-01-25,Toledo_Bend,4.68011
1980-01-26,Toledo_Bend,6.6199
1980-01-27,Toledo_Bend,5.08703
1980-01-28,Toledo_Bend,5.22564
1980-01-29,Toledo_Bend,14.72621
1980-01-30,Toledo_Bend,11.08363
1980-01-31,Toledo_Bend,10.43448
1980-02-01,Toledo_Bend,5.70658
1980-02-02,Toledo_Bend,5.89942
1980-02-03,Toledo_Bend,6.22276
1980-02-04,Toledo_Bend,5.96125
1980-02-05,Toledo_Bend,7.00088
1980-02-06,Toledo_Bend,6.95368
1980-02-07,Toledo_Bend,5.94962
1980-02-08,Toledo_Bend,15.96667
1980-02-09,Toledo_Bend,61.83714
1980-02-10,Toledo_Bend,13.01755
1980-02-11,Toledo_Bend,9.56122
1980-02-12,Toledo_Bend,13.3305
1980-02-13,Toledo_Bend,10.12381
1980-02-14,Toledo_Bend,8.07252
1980-02-15,Toledo_Bend,8.20068
1980-02-16,Toledo_Bend,8.77257
1980-02-17,Toledo_Bend,9.68264
1980-02-18,Toledo_Bend,8.81123
1980-02-19,Toledo_Bend,8.35279
1980-02-20,Toledo_Bend,8.2743
1980-02-21,Toledo_Bend,8.22024
1980-02-22,Toledo_Bend,8.14571
1980-02-23,Toledo_Bend,8.05513
1980-02-24,Toledo_Bend,7.95301
1980-02-25,Toledo_Bend,7.84427
1980-02-26,Toledo_Bend,7.73253
1980-02-27,Toledo_Bend,7.61992
1980-02-28,Toledo_Bend,7.50545
1980-02-29,Toledo_Bend,7.38801
1980-03-01,Toledo_Bend,23.9774
1980-03-02,Toledo_Bend,7.18346
1980-03-03,Toledo_Bend,7.11163
1980-03-04,Toledo_Bend,7.03848
1980-03-05,Toledo_Bend,7.11771
1980-03-06,Toledo_Bend,6.878
1980-03-07,Toledo_Bend,7.31261
1980-03-08,Toledo_Bend,6.70464
1980-03-09,Toledo_Bend,6.61431
1980-03-10,Toledo_Bend,6.52159
1980-03-11,Toledo_Bend,6.42766
1980-03-12,Toledo_Bend,18.38215
1980-03-13,Toledo_Bend,6.26361
1980-03-14,Toledo_Bend,6.19678
1980-03-15,Toledo_Bend,6.13038
1980-03-16,Toledo_Bend,16.69589
1980-03-17,Toledo_Bend,19.92573
1980-03-18,Toledo_Bend,7.62412
1980-03-19,Toledo_Bend,6.0449
1980-03-20,Toledo_Bend,16.17097
1980-03-21,Toledo_Bend,15.38988
1980-03-22,Toledo_Bend,5.88829
1980-03-23,Toledo_Bend,7.13667
1980-03-24,Toledo_Bend,15.97655
1980-03-25,Toledo_Bend,6.38842
1980-03-26,Toledo_Bend,7.89283
1980-03-27,Toledo_Bend,9.89525
1980-03-28,Toledo_Bend,44.71708
1980-03-29,Toledo_Bend,17.80643
1980-03-30,Toledo_Bend,27.80928
1980-03-31,Toledo_Bend,6.66054
1980-04-01,Toledo_Bend,7.03061
1980-04-02,Toledo_Bend,11.66783
1980-04-03,Toledo_Bend,9.62925
1980-04-04,Toledo_Bend,7.44232
1980-04-05,Toledo_Bend,7.43528
1980-04-06,Toledo_Bend,7.37886
1980-04-07,Toledo_Bend,7.37248
1980-04-08,Toledo_Bend,7.18782
1980-04-09,Toledo_Bend,7.06663
1980-04-10,Toledo_Bend,6.93734
1980-04-11,Toledo_Bend,6.8028
1980-04-12,Toledo_Bend,84.87789
1980-04-13,Toledo_Bend,80.58769
1980-04-14,Toledo_Bend,21.31524
1980-04-15,Toledo_Bend,9.83006
1980-04-16,Toledo_Bend,10.6528
1980-04-17,Toledo_Bend,11.05682
1980-04-18,Toledo_Bend,12.54651
1980-04-19,Toledo_Bend,11.20782
1980-04-20,Toledo_Bend,11.07743
1980-04-21,Toledo_Bend,10.86472
1980-04-22,Toledo_Bend,10.60631
1980-04-23,Toledo_Bend,10.32158
1980-04-24,Toledo_Bend,10.02613
1980-04-25,Toledo_Bend,25.70908
1980-04-26,Toledo_Bend,54.81033
1980-04-27,Toledo_Bend,9.61918
1980-04-28,Toledo_Bend,9.7693
1980-04-29,Toledo_Bend,9.79156
1980-04-30,Toledo_Bend,9.71229
1980-05-01,Toledo_Bend,9.85878
1980-05-02,Toledo_Bend,41.17346
1980-05-03,Toledo_Bend,9.46812
1980-05-04,Toledo_Bend,9.46663
1980-05-05,Toledo_Bend,9.40275
1980-05-06,Toledo_Bend,9.33108
1980-05-07,Toledo_Bend,9.64817
1980-05-08,Toledo_Bend,8.94977
1980-05-09,Toledo_Bend,9.04716
1980-05-10,Toledo_Bend,8.53271
1980-05-11,Toledo_Bend,8.32684
1980-05-12,Toledo_Bend,9.82677
1980-05-13,Toledo_Bend,31.64109
1980-05-14,Toledo_Bend,16.80664
1980-05-15,Toledo_Bend,16.13145
1980-05-16,Toledo_Bend,106.00107
1980-05-17,Toledo_Bend,31.1233
1980-05-18,Toledo_Bend,10.1301
1980-05-19,Toledo_Bend,18.58039
1980-05-20,Toledo_Bend,13.09024
1980-05-21,Toledo_Bend,12.13076
1980-05-22,Toledo_Bend,23.84927
1980-05-23,Toledo_Bend,12.1602
1980-05-24,Toledo_Bend,12.02946
1980-05-25,Toledo_Bend,11.7866
1980-05-26,Toledo_Bend,11.47627
1980-05-27,Toledo_Bend,11.12979
1980-05-28,Toledo_Bend,11.25707
1980-05-29,Toledo_Bend,10.41583
1980-05-30,Toledo_Bend,10.06822
1980-05-31,Toledo_Bend,9.73152
1980-06-01,Toledo_Bend,9.40979
1980-06-02,Toledo_Bend,9.10604
1980-06-03,Toledo_Bend,8.81916
1980-06-04,Toledo_Bend,8.54747
1980-06-05,Toledo_Bend,8.2914
1980-06-06,Toledo_Bend,8.05137
1980-06-07,Toledo_Bend,7.82711
1980-06-08,Toledo_Bend,7.61682
1980-06-09,Toledo_Bend,11.31228
1980-06-10,Toledo_Bend,7.23855
1980-06-11,Toledo_Bend,7.06419
1980-06-12,Toledo_Bend,6.90023
1980-06-13,Toledo_Bend,6.74708
1980-06-14,Toledo_Bend,6.60375
1980-06-15,Toledo_Bend,6.46905
1980-06-16,Toledo_Bend,6.34212
1980-06-17,Toledo_Bend,6.22236
1980-06-18,Toledo_Bend,6.10922
1980-06-19,Toledo_Bend,6.00233
1980-06-20,Toledo_Bend,11.08981
1980-06-21,Toledo_Bend,38.00229
1980-06-22,Toledo_Bend,5.72665
1980-06-23,Toledo_Bend,19.55968
1980-06-24,Toledo_Bend,5.57827
1980-06-25,Toledo_Bend,5.51038
1980-06-26,Toledo_Bend,5.44423
1980-06-27,Toledo_Bend,5.37971
1980-06-28,Toledo_Bend,5.31725
1980-06-29,Toledo_Bend,5.25668
1980-06-30,Toledo_Bend,5.19767
1980-07-01,Toledo_Bend,5.14038
1980-07-02,Toledo_Bend,5.08499
1980-07-03,Toledo_Bend,5.03133
1980-07-04,Toledo_Bend,4.97933
1980-07-05,Toledo_Bend,4.92883
1980-07-06,Toledo_Bend,4.87976
1980-07-07,Toledo_Bend,4.83231
1980-07-08,Toledo_Bend,4.78637
1980-07-09,Toledo_Bend,4.74186
1980-07-10,Toledo_Bend,4.69867
1980-07-11,Toledo_Bend,4.65681
1980-07-12,Toledo_Bend,4.61622
1980-07-13,Toledo_Bend,4.57689
1980-07-14,Toledo_Bend,4.53875
1980-07-15,Toledo_Bend,4.50171
1980-07-16,Toledo_Bend,4.46571
1980-07-17,Toledo_Bend,4.43069
1980-07-18,Toledo_Bend,5.25285
1980-07-19,Toledo_Bend,4.62939
1980-07-20,Toledo_Bend,4.33174
1980-07-21,Toledo_Bend,4.78654
