date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1991-01-01,5.50299,0.0396,0.08023,0,0.15004,0.03296,0.00588,0.62824,0.34473,0.01088,0.00502,6.57932,0.00449,0.50049,0.08195,0.09082,0.09647,0.04444,0.82714,0.4626,7.04032,0.1358,0.01646,0.05017,1.21903,0.25655,0.38752,0.02905,0.57131,0.61993,4.73555,12.58218,0.00815,0.00174,4e-5,0.63148
1991-01-02,5.57283,0.03943,0.06901,0.0488,0.55425,0.02172,0.37743,0.63424,1.12499,0.01086,0.01255,6.90439,0.00443,0.65508,0.08469,19.93927,0.09621,0.04423,1.02653,1.95883,25.4838,0.13531,0.00636,0.05156,1.51387,0.25968,1.2541,0.13309000000000001,0.68847,13.67496,8.34537,21.73126,0.01513,0.01632,0.01973,0.86095
1991-01-03,5.59715,0.04269,0.06857,0.17513,1.51097,0.02157,0.2688,1.13225,1.75357,0.01082,0.00164,7.7032,0.00436,0.3998,0.08537,50.27215,0.10685,0.04402,0.94642,11.05268,61.06538,0.14952,0.00628,0.04733,1.39952,0.19461,2.34408,0.08016,1.44567,13.30276,2.41695,41.66743,0.01617,0.01064,0.02443,0.68786
1991-01-04,6.19759,0.03969,0.06816,0,0.29363,0.02618,0.01052,0.70877,0.62084,0.01078,6.8e-4,7.42544,0.0043,0.40738,0.08529,0.60377,0.09568,0.0438,0.87703,1.53636,7.88836,0.13434,0.00692,0.04346,1.28396,0.19508,0.76899,9.8e-4,0.62866,0.84904,1.90392,13.94541,0.00924,0.01306,0.0017,0.57996
1991-01-05,5.91956,0.0669,0.40229,0.06107,0.92241,1.37993,0.06424,1.53744,0.73049,0.01074,0.03404,7.82438,0.04931,1.68792,0.11728,0.62546,0.16333,0.08007,1.66384,2.46916,14.01632,0.2398,0.08569,0.08766,2.30098,0.59591,0.73887,0.00994,0.65636,2.86779,11.72661,14.53105,0.009,0.00719,0.00123,2.18966
1991-01-06,6.41826,0.11328,1.00624,0.70917,1.45043,2.0236,0.11677,3.65666,0.57785,0.01173,0.04785,7.39634,0.08355,7.26041,0.2204,10.97131,0.25616,0.59664,3.17174,4.90033,38.5822,0.34385,0.15635,0.22053,4.45502,0.72684,5.11314,0.05019,0.98451,1.37298,23.65729,25.46431,0.02495,0.00358,0.00409,7.92555
1991-01-07,5.45755,0.10123,0.06704,0.50344,0.34764,0.02726,0.08818,0.64859,0.39486,0.01069,0.00104,6.58415,0.00413,0.458,0.16073,6.65266,0.256,0.04322,1.15671,2.72226,26.40224,0.37349,0.00602,0.16217,1.91814,0.21346,2.75903,0.01287,1.08746,0.40603,2.14783,28.40628,0.01532,0.00174,1e-4,0.77071
1991-01-08,5.33644,0.03892,0.07978,0,0.16428,0.02217,0.00515,0.68423,0.34549,0.01067,0.0024,6.52035,0.00408,0.56343,0.09939,1.27216,0.09504,0.04574,0.84086,0.44551,9.63532,0.13308,0.00599,0.05796,1.23602,0.20851,0.45542,0.01576,0.69999,0.88577,3.07212,15.88034,0.00963,0.01349,1e-4,0.69432
1991-01-09,7.59404,0.03855,1.42831,0.13284,1.84582,4.46016,0.94035,3.83881,1.00581,0.01067,0.04805,10.70936,0.17519,8.9645,0.1316,14.65759,0.09557,3.35584,1.21564,6.37133,70.84358,0.2088,0.15891,0.0502,1.98891,0.40975,5.27759,0.59981,0.94852,38.5219,20.17371,38.35611,0.04293,0.01338,0.08134,9.70295
1991-01-10,8.65253,0.41288,1.9894,2.76361,8.42952,6.75289,1.44655,15.89971,1.67386,0.01295,0.09762,10.43907,0.15583,22.29066,0.36858,72.56973,0.9333,3.40504,5.03175,45.88084,290.68123,1.24145,0.61812,0.35859,7.26128,1.26214,23.79869,0.35141,4.3554,30.8872,90.58933,126.92565,0.09113,0.00356,0.05283,25.17042
1991-01-11,5.3925,0.06213,0.0791,0.47632,0.34614,0.02041,0.02673,0.78237,0.44776,0.01065,6.6e-4,6.1926,0.00573,1.22457,0.15711,21.8999,0.19412,0.33218,1.12964,1.3353,38.7148,0.2455,0.00919,0.05321,1.80092,0.19799,3.2099,0.00106,2.01256,0.41122,5.49949,52.79183,0.02723,0.00173,0.00534,1.43529
1991-01-12,5.50306,0.04185,0.08008,0,0.3725,0.02038,0.02304,0.68278,0.35487,0.01066,6.6e-4,6.28636,0.00682,0.98113,0.17101,1.50236,0.10407,0.17523,0.91245,0.50001,12.00285,0.15145,0.01103,0.05722,1.3392,0.19962,0.88958,0.00106,1.80022,0.41457,9.20227,28.58512,0.01271,0.00173,8e-4,1.18903
1991-01-13,5.68091,0.04351,0.08534,0,0.44853,0.02035,0.02236,0.67809,0.35816,0.01067,6.6e-4,6.44826,0.00743,1.0673,0.18239,1.3371,0.10833,0.04739,0.93744,0.51006,12.30231,0.15983,0.01162,0.06027,1.37671,0.20092,0.96473,0.00106,1.96663,0.41738,22.76633,31.63287,0.01395,0.00173,9.8e-4,1.29999
1991-01-14,5.23917,0.04483,0.08849,0,0.45102,0.0203,0.44198,0.68115,0.36018,0.01068,6.6e-4,5.99095,0.00773,0.94702,0.18376,1.14277,0.11147,0.04875,0.95917,0.51652,12.76142,0.1662,0.01174,0.06247,1.40936,0.20188999999999999,0.99551,0.00106,1.90519,9.18808,24.17616,32.36995,0.015,0.00173,0.0011,1.17806
1991-01-15,5.13796,0.14667,0.08997,1.72327,0.58485,0.02025,0.92064,0.68249,0.4075,0.01067,0.06821,5.87142,0.00785,0.82783,0.42632,97.36246,0.47345,0.05007,5.48027,16.05077,187.54097,0.6456,0.01166,0.28153,7.90927,0.60034,13.06472,0.08075,4.11551,6.23041,27.04524,97.71148,0.05219,0.00173,0.00116,1.45425
1991-01-16,5.23059,0.04668,0.09034,0,0.44314,0.02018,0.03219,0.68228,0.3619,0.01064,6.6e-4,5.99898,0.00785,0.72499,0.20306,2.43664,0.11702,0.0511,1.01228,0.52972,14.05603,0.17692,0.01149,0.06626,1.48824,0.20334,1.04839,0.00106,2.31119,0.42444,3.85531,36.62577,0.01689,0.00173,0.00119,0.94768
1991-01-17,9.09019,0.0474,0.8825,0,0.61671,1.99506,0.03112,2.477,0.36199,0.01536,6.6e-4,14.18609,0.11033,4.17029,0.22176,2.24668,0.12063,0.83374,1.66214,0.53703,17.67005,0.18336,0.02765,0.06851,2.15658,0.27156,1.08997,0.00106,2.18302,2.77647,8.22892,36.9016,0.01789,0.02383,0.00119,4.39198
1991-01-18,19.78432,0.27217,1.57255,1.90981,5.02595,4.83458,0.74495,18.53282,3.77521,0.02175,0.03591,24.43014,0.12538,20.97949,0.32513,37.39978,0.58092,2.96181,3.31578,6.13592,93.34228,0.78207,0.3539,0.14384,4.69961,1.34609,11.90508,0.64681,2.11155,31.74214,63.09968,41.36306,0.04379,0.08159,0.04562,23.56926
1991-01-19,5.92351,0.26747,0.5624,2.60836,3.15529,2.0342,0.47317,4.96683,0.6908,0.01507,0.0545,6.60236,0.03585,9.44097,0.3671,81.16924,0.67999,1.06708,3.81253,10.21697,115.92962,0.8928,0.18394,0.20478,5.47983,1.13127,17.18253,0.00106,3.22713,1.64415,31.32548,75.26986,0.05376,0.00174,0.00144,10.94976
1991-01-20,5.42684,0.05332,0.10505,0,0.62282,0.01996,0.03862,0.94494,0.36656,0.01256,6.6e-4,6.09477,0.01003,1.16941,0.26231,5.59873,0.14806,0.06034,1.19373,0.55396,15.66318,0.22589,0.01341,0.0735,1.74754,0.21111,1.19627,0.00106,1.96543,0.43796,2.53079,38.02615,0.02093,0.00174,0.00169,1.50573
