date,reservoir,flow
1966-01-01,Joe_Pool,0.0855
1966-01-02,Joe_Pool,0.0847
1966-01-03,Joe_Pool,0.0847
1966-01-04,Joe_Pool,0.0847
1966-01-05,Joe_Pool,0.0847
1966-01-06,Joe_Pool,0.6762
1966-01-07,Joe_Pool,1.7366
1966-01-08,Joe_Pool,0.1841
1966-01-09,Joe_Pool,0.0964
1966-01-10,Joe_Pool,0.6567
1966-01-11,Joe_Pool,0.102
1966-01-12,Joe_Pool,0.1062
1966-01-13,Joe_Pool,0.1122
1966-01-14,Joe_Pool,0.1461
1966-01-15,Joe_Pool,0.163
1966-01-16,Joe_Pool,0.1979
1966-01-17,Joe_Pool,0.1277
1966-01-18,Joe_Pool,0.1302
1966-01-19,Joe_Pool,0.1321
1966-01-20,Joe_Pool,0.1335
1966-01-21,Joe_Pool,0.1344
1966-01-22,Joe_Pool,0.1348
1966-01-23,Joe_Pool,0.1349
1966-01-24,Joe_Pool,0.1347
1966-01-25,Joe_Pool,0.1343
1966-01-26,Joe_Pool,0.1337
1966-01-27,Joe_Pool,0.1331
1966-01-28,Joe_Pool,0.1323
1966-01-29,Joe_Pool,0.1313
1966-01-30,Joe_Pool,0.1304
1966-01-31,Joe_Pool,0.1292
1966-02-01,Joe_Pool,0.9824
1966-02-02,Joe_Pool,1.2198
1966-02-03,Joe_Pool,0.1445
1966-02-04,Joe_Pool,0.1601
1966-02-05,Joe_Pool,0.1705
1966-02-06,Joe_Pool,0.1773
1966-02-07,Joe_Pool,0.1817
1966-02-08,Joe_Pool,0.1842
1966-02-09,Joe_Pool,0.1856
1966-02-10,Joe_Pool,0.1862
1966-02-11,Joe_Pool,0.1862
1966-02-12,Joe_Pool,0.1854
1966-02-13,Joe_Pool,0.1837
1966-02-14,Joe_Pool,0.1814
1966-02-15,Joe_Pool,0.1788
1966-02-16,Joe_Pool,0.176
1966-02-17,Joe_Pool,0.173
1966-02-18,Joe_Pool,0.1715
1966-02-19,Joe_Pool,0.1676
1966-02-20,Joe_Pool,0.1645
1966-02-21,Joe_Pool,0.1615
1966-02-22,Joe_Pool,0.1587
1966-02-23,Joe_Pool,0.1558
1966-02-24,Joe_Pool,0.1528
1966-02-25,Joe_Pool,0.1512
1966-02-26,Joe_Pool,0.1477
1966-02-27,Joe_Pool,0.1452
1966-02-28,Joe_Pool,0.1427
1966-03-01,Joe_Pool,0.1403
1966-03-02,Joe_Pool,0.138
1966-03-03,Joe_Pool,0.1359
1966-03-04,Joe_Pool,0.1338
1966-03-05,Joe_Pool,0.1318
