date,reservoir,flow
1966-01-01,Mountain_Creek,0.0964
1966-01-02,Mountain_Creek,0.0955
1966-01-03,Mountain_Creek,0.0955
1966-01-04,Mountain_Creek,0.0955
1966-01-05,Mountain_Creek,0.0955
1966-01-06,Mountain_Creek,0.7512
1966-01-07,Mountain_Creek,1.9315
1966-01-08,Mountain_Creek,0.2364
1966-01-09,Mountain_Creek,0.1081
1966-01-10,Mountain_Creek,0.7474
1966-01-11,Mountain_Creek,0.1136
1966-01-12,Mountain_Creek,0.1182
1966-01-13,Mountain_Creek,0.1244
1966-01-14,Mountain_Creek,0.1594
1966-01-15,Mountain_Creek,0.1812
1966-01-16,Mountain_Creek,0.2333
1966-01-17,Mountain_Creek,0.1406
1966-01-18,Mountain_Creek,0.1433
1966-01-19,Mountain_Creek,0.1453
1966-01-20,Mountain_Creek,0.1467
1966-01-21,Mountain_Creek,0.1477
1966-01-22,Mountain_Creek,0.1481
1966-01-23,Mountain_Creek,0.1482
1966-01-24,Mountain_Creek,0.1481
1966-01-25,Mountain_Creek,0.1476
1966-01-26,Mountain_Creek,0.147
1966-01-27,Mountain_Creek,0.1464
1966-01-28,Mountain_Creek,0.1456
1966-01-29,Mountain_Creek,0.1446
1966-01-30,Mountain_Creek,0.1436
1966-01-31,Mountain_Creek,0.1424
1966-02-01,Mountain_Creek,1.0777
1966-02-02,Mountain_Creek,1.3811
1966-02-03,Mountain_Creek,0.158
1966-02-04,Mountain_Creek,0.174
1966-02-05,Mountain_Creek,0.1847
1966-02-06,Mountain_Creek,0.1916
1966-02-07,Mountain_Creek,0.1962
1966-02-08,Mountain_Creek,0.1987
1966-02-09,Mountain_Creek,0.2001
1966-02-10,Mountain_Creek,0.2009
1966-02-11,Mountain_Creek,0.2008
1966-02-12,Mountain_Creek,0.2
1966-02-13,Mountain_Creek,0.1982
1966-02-14,Mountain_Creek,0.1959
1966-02-15,Mountain_Creek,0.1933
1966-02-16,Mountain_Creek,0.1904
1966-02-17,Mountain_Creek,0.1873
1966-02-18,Mountain_Creek,0.1866
1966-02-19,Mountain_Creek,0.1817
1966-02-20,Mountain_Creek,0.1785
1966-02-21,Mountain_Creek,0.1755
1966-02-22,Mountain_Creek,0.1726
1966-02-23,Mountain_Creek,0.1696
1966-02-24,Mountain_Creek,0.1666
1966-02-25,Mountain_Creek,0.1654
1966-02-26,Mountain_Creek,0.1613
1966-02-27,Mountain_Creek,0.1588
1966-02-28,Mountain_Creek,0.1562
1966-03-01,Mountain_Creek,0.1537
1966-03-02,Mountain_Creek,0.1514
1966-03-03,Mountain_Creek,0.1493
1966-03-04,Mountain_Creek,0.1472
1966-03-05,Mountain_Creek,0.145
1966-03-06,Mountain_Creek,0.143
1966-03-07,Mountain_Creek,0.1409
1966-03-08,Mountain_Creek,0.139
1966-03-09,Mountain_Creek,0.1371
1966-03-10,Mountain_Creek,0.1354
1966-03-11,Mountain_Creek,0.134
1966-03-12,Mountain_Creek,0.1566
1966-03-13,Mountain_Creek,0.4164
1966-03-14,Mountain_Creek,0.1303
1966-03-15,Mountain_Creek,0.1289
1966-03-16,Mountain_Creek,0.1277
1966-03-17,Mountain_Creek,0.1266
1966-03-18,Mountain_Creek,0.1254
1966-03-19,Mountain_Creek,0.1243
1966-03-20,Mountain_Creek,0.1236
1966-03-21,Mountain_Creek,0.1293
1966-03-22,Mountain_Creek,0.1216
1966-03-23,Mountain_Creek,0.1207
1966-03-24,Mountain_Creek,0.137
1966-03-25,Mountain_Creek,0.1192
1966-03-26,Mountain_Creek,0.1184
1966-03-27,Mountain_Creek,0.1176
1966-03-28,Mountain_Creek,0.1168
1966-03-29,Mountain_Creek,0.1161
1966-03-30,Mountain_Creek,0.1154
1966-03-31,Mountain_Creek,0.1148
1966-04-01,Mountain_Creek,0.1145
1966-04-02,Mountain_Creek,0.1138
1966-04-03,Mountain_Creek,0.1133
1966-04-04,Mountain_Creek,0.1129
1966-04-05,Mountain_Creek,0.1125
1966-04-06,Mountain_Creek,0.1123
1966-04-07,Mountain_Creek,0.7196
1966-04-08,Mountain_Creek,0.7682
1966-04-09,Mountain_Creek,0.1116
1966-04-10,Mountain_Creek,0.1774
1966-04-11,Mountain_Creek,2.1356
1966-04-12,Mountain_Creek,0.1147
1966-04-13,Mountain_Creek,0.1208
1966-04-14,Mountain_Creek,0.126
1966-04-15,Mountain_Creek,0.1298
1966-04-16,Mountain_Creek,0.1324
1966-04-17,Mountain_Creek,0.2301
1966-04-18,Mountain_Creek,0.1356
1966-04-19,Mountain_Creek,0.1368
1966-04-20,Mountain_Creek,0.1419
1966-04-21,Mountain_Creek,0.1463
1966-04-22,Mountain_Creek,0.1369
1966-04-23,Mountain_Creek,0.1368
1966-04-24,Mountain_Creek,0.1359
1966-04-25,Mountain_Creek,0.1352
1966-04-26,Mountain_Creek,0.1344
1966-04-27,Mountain_Creek,0.1336
1966-04-28,Mountain_Creek,0.1345
1966-04-29,Mountain_Creek,0.3207
1966-04-30,Mountain_Creek,0.1348
1966-05-01,Mountain_Creek,0.1306
1966-05-02,Mountain_Creek,0.1295
1966-05-03,Mountain_Creek,0.1293
1966-05-04,Mountain_Creek,0.1278
1966-05-05,Mountain_Creek,0.4798
1966-05-06,Mountain_Creek,0.1261
1966-05-07,Mountain_Creek,0.1257
1966-05-08,Mountain_Creek,0.1254
1966-05-09,Mountain_Creek,0.1238
1966-05-10,Mountain_Creek,0.1231
1966-05-11,Mountain_Creek,0.1247
1966-05-12,Mountain_Creek,0.122
1966-05-13,Mountain_Creek,0.1215
1966-05-14,Mountain_Creek,0.121
1966-05-15,Mountain_Creek,0.1503
1966-05-16,Mountain_Creek,0.7355
1966-05-17,Mountain_Creek,0.1433
1966-05-18,Mountain_Creek,0.1199
1966-05-19,Mountain_Creek,0.1194
1966-05-20,Mountain_Creek,0.4158
1966-05-21,Mountain_Creek,0.1218
1966-05-22,Mountain_Creek,0.1193
1966-05-23,Mountain_Creek,0.4716
1966-05-24,Mountain_Creek,0.1179
1966-05-25,Mountain_Creek,0.1176
1966-05-26,Mountain_Creek,0.1173
1966-05-27,Mountain_Creek,0.117
1966-05-28,Mountain_Creek,0.1168
1966-05-29,Mountain_Creek,0.1165
1966-05-30,Mountain_Creek,0.1162
1966-05-31,Mountain_Creek,0.116
