date,reservoir,flow
1966-01-01,Palo_Pinto,2e-5
1966-01-02,Palo_Pinto,2e-5
1966-01-03,Palo_Pinto,2e-5
1966-01-04,Palo_Pinto,2e-5
1966-01-05,Palo_Pinto,2e-5
1966-01-06,Palo_Pinto,0.46841
1966-01-07,Palo_Pinto,0.70633
1966-01-08,Palo_Pinto,0.08875
1966-01-09,Palo_Pinto,0.01662
1966-01-10,Palo_Pinto,0.04247
1966-01-11,Palo_Pinto,5.7e-4
1966-01-12,Palo_Pinto,1.1e-4
1966-01-13,Palo_Pinto,7.3e-4
1966-01-14,Palo_Pinto,0.01325
1966-01-15,Palo_Pinto,8.3e-4
1966-01-16,Palo_Pinto,0.01456
1966-01-17,Palo_Pinto,0.01726
1966-01-18,Palo_Pinto,0.01679
1966-01-19,Palo_Pinto,0.00585
1966-01-20,Palo_Pinto,0.00116
1966-01-21,Palo_Pinto,4.8e-4
1966-01-22,Palo_Pinto,1.6e-4
1966-01-23,Palo_Pinto,1.6e-4
1966-01-24,Palo_Pinto,1.6e-4
1966-01-25,Palo_Pinto,1.5e-4
1966-01-26,Palo_Pinto,1.5e-4
1966-01-27,Palo_Pinto,1.5e-4
1966-01-28,Palo_Pinto,1.4e-4
1966-01-29,Palo_Pinto,1.4e-4
1966-01-30,Palo_Pinto,1.3e-4
1966-01-31,Palo_Pinto,1.3e-4
1966-02-01,Palo_Pinto,0.0638
1966-02-02,Palo_Pinto,0.15998
1966-02-03,Palo_Pinto,1.2e-4
1966-02-04,Palo_Pinto,1.2e-4
1966-02-05,Palo_Pinto,1.2e-4
1966-02-06,Palo_Pinto,1.2e-4
1966-02-07,Palo_Pinto,1.2e-4
1966-02-08,Palo_Pinto,1.2e-4
1966-02-09,Palo_Pinto,1.1e-4
1966-02-10,Palo_Pinto,1.6e-4
1966-02-11,Palo_Pinto,1.1e-4
1966-02-12,Palo_Pinto,1.1e-4
1966-02-13,Palo_Pinto,1e-4
1966-02-14,Palo_Pinto,1e-4
1966-02-15,Palo_Pinto,1e-4
1966-02-16,Palo_Pinto,9e-5
1966-02-17,Palo_Pinto,9e-5
1966-02-18,Palo_Pinto,0.00121
1966-02-19,Palo_Pinto,8e-5
1966-02-20,Palo_Pinto,8e-5
1966-02-21,Palo_Pinto,7e-5
1966-02-22,Palo_Pinto,7e-5
1966-02-23,Palo_Pinto,7e-5
1966-02-24,Palo_Pinto,7e-5
1966-02-25,Palo_Pinto,7e-5
1966-02-26,Palo_Pinto,6e-5
1966-02-27,Palo_Pinto,6e-5
1966-02-28,Palo_Pinto,5e-5
1966-03-01,Palo_Pinto,5e-5
1966-03-02,Palo_Pinto,2.1e-4
1966-03-03,Palo_Pinto,5e-5
1966-03-04,Palo_Pinto,5e-5
1966-03-05,Palo_Pinto,4e-5
1966-03-06,Palo_Pinto,4e-5
1966-03-07,Palo_Pinto,4e-5
1966-03-08,Palo_Pinto,4e-5
1966-03-09,Palo_Pinto,3e-5
1966-03-10,Palo_Pinto,3e-5
1966-03-11,Palo_Pinto,5e-5
1966-03-12,Palo_Pinto,8.5e-4
1966-03-13,Palo_Pinto,0.10021
1966-03-14,Palo_Pinto,3e-5
1966-03-15,Palo_Pinto,3e-5
1966-03-16,Palo_Pinto,2e-5
1966-03-17,Palo_Pinto,2e-5
