date,reservoir,flow
1966-01-01,Ray_Hubbard,0.4329
1966-01-02,Ray_Hubbard,0.4316
1966-01-03,Ray_Hubbard,0.4314
1966-01-04,Ray_Hubbard,0.43120000000000003
1966-01-05,Ray_Hubbard,0.431
1966-01-06,Ray_Hubbard,1.6385
1966-01-07,Ray_Hubbard,5.8252
1966-01-08,Ray_Hubbard,7.509
1966-01-09,Ray_Hubbard,0.435
1966-01-10,Ray_Hubbard,4.0204
1966-01-11,Ray_Hubbard,0.4345
1966-01-12,Ray_Hubbard,0.4347
1966-01-13,Ray_Hubbard,0.436
1966-01-14,Ray_Hubbard,0.438
1966-01-15,Ray_Hubbard,0.4405
1966-01-16,Ray_Hubbard,1.9031
1966-01-17,Ray_Hubbard,0.4416
1966-01-18,Ray_Hubbard,0.4431
1966-01-19,Ray_Hubbard,0.4446
1966-01-20,Ray_Hubbard,0.4462
1966-01-21,Ray_Hubbard,0.4476
1966-01-22,Ray_Hubbard,0.4491
1966-01-23,Ray_Hubbard,0.4505
1966-01-24,Ray_Hubbard,0.4521
1966-01-25,Ray_Hubbard,0.4531
1966-01-26,Ray_Hubbard,0.4543
1966-01-27,Ray_Hubbard,0.4554
1966-01-28,Ray_Hubbard,0.4565
1966-01-29,Ray_Hubbard,0.4575
1966-01-30,Ray_Hubbard,0.4585
1966-01-31,Ray_Hubbard,0.4594
1966-02-01,Ray_Hubbard,1.9645
1966-02-02,Ray_Hubbard,6.6587
1966-02-03,Ray_Hubbard,0.4638
1966-02-04,Ray_Hubbard,0.4669
1966-02-05,Ray_Hubbard,0.47
1966-02-06,Ray_Hubbard,0.473
1966-02-07,Ray_Hubbard,0.4758
1966-02-08,Ray_Hubbard,0.4785
1966-02-09,Ray_Hubbard,0.4869
1966-02-10,Ray_Hubbard,0.4837
1966-02-11,Ray_Hubbard,0.4859
1966-02-12,Ray_Hubbard,0.4882
1966-02-13,Ray_Hubbard,0.4903
1966-02-14,Ray_Hubbard,0.4923
1966-02-15,Ray_Hubbard,0.4942
1966-02-16,Ray_Hubbard,0.4959
