date,reservoir,flow
1966-01-01,Victor_Braunig,0.095
1966-01-02,Victor_Braunig,0.0948
1966-01-03,Victor_Braunig,0.0947
1966-01-04,Victor_Braunig,0.0946
1966-01-05,Victor_Braunig,0.4596
1966-01-06,Victor_Braunig,5.7166
1966-01-07,Victor_Braunig,1.0055
1966-01-08,Victor_Braunig,0.1364
1966-01-09,Victor_Braunig,0.534
1966-01-10,Victor_Braunig,1.6562
1966-01-11,Victor_Braunig,0.1391
1966-01-12,Victor_Braunig,0.0968
1966-01-13,Victor_Braunig,0.0978
1966-01-14,Victor_Braunig,0.1005
1966-01-15,Victor_Braunig,0.0951
1966-01-16,Victor_Braunig,0.0969
1966-01-17,Victor_Braunig,0.0977
1966-01-18,Victor_Braunig,0.0939
1966-01-19,Victor_Braunig,0.0939
1966-01-20,Victor_Braunig,0.0939
1966-01-21,Victor_Braunig,0.0938
1966-01-22,Victor_Braunig,0.0938
1966-01-23,Victor_Braunig,0.0937
1966-01-24,Victor_Braunig,0.0937
1966-01-25,Victor_Braunig,0.0936
1966-01-26,Victor_Braunig,0.0936
1966-01-27,Victor_Braunig,0.0935
1966-01-28,Victor_Braunig,0.0934
1966-01-29,Victor_Braunig,0.0974
1966-01-30,Victor_Braunig,0.0933
1966-01-31,Victor_Braunig,0.2627
1966-02-01,Victor_Braunig,2.9076
1966-02-02,Victor_Braunig,0.0998
1966-02-03,Victor_Braunig,0.093
1966-02-04,Victor_Braunig,0.093
1966-02-05,Victor_Braunig,0.093
1966-02-06,Victor_Braunig,0.0929
1966-02-07,Victor_Braunig,0.0928
1966-02-08,Victor_Braunig,0.0934
1966-02-09,Victor_Braunig,0.0927
1966-02-10,Victor_Braunig,0.0979
1966-02-11,Victor_Braunig,0.0953
1966-02-12,Victor_Braunig,0.0925
1966-02-13,Victor_Braunig,0.0925
1966-02-14,Victor_Braunig,0.0924
1966-02-15,Victor_Braunig,0.0937
1966-02-16,Victor_Braunig,0.0922
1966-02-17,Victor_Braunig,0.0921
1966-02-18,Victor_Braunig,0.0922
1966-02-19,Victor_Braunig,0.0919
1966-02-20,Victor_Braunig,0.0918
1966-02-21,Victor_Braunig,0.0917
1966-02-22,Victor_Braunig,0.0916
1966-02-23,Victor_Braunig,0.0915
1966-02-24,Victor_Braunig,0.0914
1966-02-25,Victor_Braunig,0.0913
1966-02-26,Victor_Braunig,0.0912
1966-02-27,Victor_Braunig,0.0911
1966-02-28,Victor_Braunig,0.091
1966-03-01,Victor_Braunig,0.0909
1966-03-02,Victor_Braunig,0.0972
1966-03-03,Victor_Braunig,0.0907
1966-03-04,Victor_Braunig,0.0905
1966-03-05,Victor_Braunig,0.0904
1966-03-06,Victor_Braunig,0.0903
1966-03-07,Victor_Braunig,0.0902
1966-03-08,Victor_Braunig,0.0901
1966-03-09,Victor_Braunig,0.09
1966-03-10,Victor_Braunig,0.0901
1966-03-11,Victor_Braunig,0.1178
1966-03-12,Victor_Braunig,0.2936
1966-03-13,Victor_Braunig,0.2953
1966-03-14,Victor_Braunig,0.0895
1966-03-15,Victor_Braunig,0.0893
1966-03-16,Victor_Braunig,0.0891
1966-03-17,Victor_Braunig,0.089
1966-03-18,Victor_Braunig,0.091
1966-03-19,Victor_Braunig,0.0888
1966-03-20,Victor_Braunig,0.0892
1966-03-21,Victor_Braunig,0.0886
1966-03-22,Victor_Braunig,0.0885
1966-03-23,Victor_Braunig,0.0884
1966-03-24,Victor_Braunig,0.5646
1966-03-25,Victor_Braunig,0.8296
1966-03-26,Victor_Braunig,0.088
1966-03-27,Victor_Braunig,0.0879
1966-03-28,Victor_Braunig,0.0878
1966-03-29,Victor_Braunig,0.0877
1966-03-30,Victor_Braunig,0.0876
1966-03-31,Victor_Braunig,0.0875
1966-04-01,Victor_Braunig,0.0874
1966-04-02,Victor_Braunig,0.0873
1966-04-03,Victor_Braunig,0.0872
1966-04-04,Victor_Braunig,0.0871
1966-04-05,Victor_Braunig,0.087
1966-04-06,Victor_Braunig,0.5472
1966-04-07,Victor_Braunig,1.3344
1966-04-08,Victor_Braunig,0.0871
1966-04-09,Victor_Braunig,0.0866
1966-04-10,Victor_Braunig,2.7151
1966-04-11,Victor_Braunig,1.0498
1966-04-12,Victor_Braunig,0.0868
1966-04-13,Victor_Braunig,0.0865
1966-04-14,Victor_Braunig,0.0978
1966-04-15,Victor_Braunig,0.1383
1966-04-16,Victor_Braunig,0.0915
1966-04-17,Victor_Braunig,0.0859
1966-04-18,Victor_Braunig,0.0858
1966-04-19,Victor_Braunig,0.0857
1966-04-20,Victor_Braunig,0.0945
1966-04-21,Victor_Braunig,0.086
1966-04-22,Victor_Braunig,0.0854
1966-04-23,Victor_Braunig,0.0854
1966-04-24,Victor_Braunig,0.0853
1966-04-25,Victor_Braunig,0.0852
1966-04-26,Victor_Braunig,0.0851
1966-04-27,Victor_Braunig,0.085
1966-04-28,Victor_Braunig,0.0875
1966-04-29,Victor_Braunig,1.1231
1966-04-30,Victor_Braunig,1.0461
1966-05-01,Victor_Braunig,0.1238
1966-05-02,Victor_Braunig,0.0864
1966-05-03,Victor_Braunig,0.0888
1966-05-04,Victor_Braunig,0.1368
1966-05-05,Victor_Braunig,1.0704
1966-05-06,Victor_Braunig,0.2383
1966-05-07,Victor_Braunig,0.0842
1966-05-08,Victor_Braunig,0.0841
1966-05-09,Victor_Braunig,0.084
1966-05-10,Victor_Braunig,0.0839
1966-05-11,Victor_Braunig,0.0919
1966-05-12,Victor_Braunig,0.0853
1966-05-13,Victor_Braunig,0.0837
1966-05-14,Victor_Braunig,0.0836
1966-05-15,Victor_Braunig,0.0835
1966-05-16,Victor_Braunig,0.09
1966-05-17,Victor_Braunig,0.0938
1966-05-18,Victor_Braunig,0.0833
1966-05-19,Victor_Braunig,0.0832
1966-05-20,Victor_Braunig,0.0869
1966-05-21,Victor_Braunig,0.0976
1966-05-22,Victor_Braunig,0.3856
1966-05-23,Victor_Braunig,0.1502
1966-05-24,Victor_Braunig,0.0828
1966-05-25,Victor_Braunig,0.0849
1966-05-26,Victor_Braunig,0.0827
1966-05-27,Victor_Braunig,0.085
1966-05-28,Victor_Braunig,0.0825
1966-05-29,Victor_Braunig,0.0824
1966-05-30,Victor_Braunig,0.0824
1966-05-31,Victor_Braunig,0.0823
1966-06-01,Victor_Braunig,0.0822
1966-06-02,Victor_Braunig,0.0963
1966-06-03,Victor_Braunig,0.0821
1966-06-04,Victor_Braunig,0.082
1966-06-05,Victor_Braunig,0.0819
1966-06-06,Victor_Braunig,0.0818
1966-06-07,Victor_Braunig,0.0818
1966-06-08,Victor_Braunig,0.0817
1966-06-09,Victor_Braunig,0.0816
1966-06-10,Victor_Braunig,0.0816
1966-06-11,Victor_Braunig,0.0815
1966-06-12,Victor_Braunig,0.0814
1966-06-13,Victor_Braunig,0.0814
1966-06-14,Victor_Braunig,0.0813
1966-06-15,Victor_Braunig,0.0812
1966-06-16,Victor_Braunig,0.0811
1966-06-17,Victor_Braunig,0.0811
