date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2031-01-01,4.79514,0.03656,0.01657,0,0.08707,0.00264,0.00387,0.64256,0.45598,0.00368,0.00508,5.1209,7.3e-4,0.31329,0.13895,1.01568,0.10207,0.02445,0.59046,0.39776,10.97826,0.15664,0.00227,0.0545,1.12023,0.11916,1.12456,0.00106,0.10323,0.68893,1.46518,11.10485,0.00866,0.0041,3e-5,0.45432
2031-01-02,4.84846,0.03636,0.01653,0,0.08697,0.00262,0.0038,0.6416,0.45495,0.00367,0.00508,5.17321,7.2e-4,0.3128,0.13214,0.91695,0.10202,0.02438,0.59274,0.39833,10.7456,0.15627,0.00226,0.05414,1.12325,0.11906,1.09076,0.00106,0.10379,0.68911,1.46302,10.67585,0.00882,0.0041,3e-5,0.45108
2031-01-03,4.62452,0.03615,0.01647,0,0.08675,0.00262,0.00374,0.64068,0.45393,0.00366,0.00508,4.94824,7.2e-4,0.3123,0.12599,0.81839,0.10185,0.02433,0.59421,0.39878,10.51071,0.15571,0.00225,0.05363,1.12445,0.11895,1.05552,0.00106,0.1043,0.68925,1.46067,10.2797,0.00897,0.00409,3e-5,0.44802
2031-01-04,4.69069,0.03593,0.01642,0,0.08643,0.00261,0.00368,0.63978,0.4529,0.00365,0.00508,5.0134,7.2e-4,0.31177,0.12039,0.72516,0.10157,0.02428,0.59499,0.39911,10.28321,0.15499,0.00224,0.053,1.12407,0.11884,1.02001,0.00106,0.10474,0.68935,1.45823,9.91184,0.0091,0.00409,3e-5,0.44507
2031-01-05,4.92463,0.03571,0.01639,0,0.08601,0.0026,0.00362,0.63884,0.45189,0.00364,0.00508,5.24638,7.2e-4,0.31591,0.11524,0.63829,0.1012,0.02455,0.59514,0.39934,10.06342,0.15415,0.00223,0.05229,1.12232,0.11872,0.98451,0.00106,0.10507,0.68943,2.37868,9.57036,0.0092,0.00409,3e-5,0.44691
2031-01-06,4.55071,0.04756,0.13675,0.19571,0.1151,0.29783,0.00365,0.6438,0.45087,0.00369,0.24184,4.87147,0.00933,0.64115,0.12153,0.98716,0.14781,0.18582,1.09019,0.40009,15.659,0.21404,0.0082,0.0676,1.80504,0.57432,2.19793,0.00425,0.10539,0.68947,30.24945,16.52233,0.01245,0.00408,3e-5,0.82812
2031-01-07,4.48545,0.03525,0.01627,0.00912,0.09722,0.00258,0.00404,0.64132,0.45349,0.00363,0.00532,4.80512,7.2e-4,0.31032,0.10636,0.54717,0.10114,0.02412,0.59853,0.40321,10.52916,0.15316,0.00221,0.05367,1.12576,0.11849,1.03654,0.00106,0.13666,0.68952,1.45487,12.45512,0.01105,0.00408,3e-5,0.43908
2031-01-08,4.50039,0.03501,0.01622,0,0.08445,0.00257,0.00344,0.63603,0.44882,0.00362,0.00508,4.81896,7.1e-4,0.30982,0.10216,0.47879,0.09997,0.02404,0.59288,0.39959,9.53296,0.15137,0.0022,0.04986,1.11114,0.11838,0.89601,0.00106,0.10552,0.68946,1.45231,8.70186,0.00943,0.00408,3e-5,0.43463
2031-01-09,4.43607,0.03478,0.01617,0,0.08387,0.00256,0.00338,0.63513,0.44779,0.00362,0.00508,4.7536,7.1e-4,0.30934,0.09851,0.42681,0.09946,0.02398,0.59154,0.39955,9.34983,0.15031,0.00219,0.04899,1.10612,0.11826,0.8668,0.00106,0.10552,0.68941,1.45078,8.4607,0.00948,0.00407,3e-5,0.43229
2031-01-10,4.4079,0.03456,0.01612,0,0.08324,0.00255,0.00333,0.63422,0.44677,0.00361,0.00507,4.72436,7.1e-4,0.30889,0.0951,0.37748,0.09894,0.02392,0.58992,0.39946,9.17991,0.14924,0.00218,0.04812,1.10054,0.11815,0.83892,0.00106,0.10544,0.68935,1.44872,8.23549,0.00952,0.00407,3e-5,0.43009
