date,reservoir,flow
1966-01-01,Amistad,5.30659
1966-01-02,Amistad,5.32183
1966-01-03,Amistad,5.43413
1966-01-04,Amistad,5.40842
1966-01-05,Amistad,5.37568
1966-01-06,Amistad,5.55849
1966-01-07,Amistad,6.9042
1966-01-08,Amistad,5.78894
1966-01-09,Amistad,5.57609
1966-01-10,Amistad,5.19745
1966-01-11,Amistad,5.1957
1966-01-12,Amistad,5.30439
1966-01-13,Amistad,5.61086
1966-01-14,Amistad,5.25881
1966-01-15,Amistad,5.18041
1966-01-16,Amistad,5.53692
1966-01-17,Amistad,5.30424
1966-01-18,Amistad,5.19565
1966-01-19,Amistad,5.22535
1966-01-20,Amistad,5.2961
1966-01-21,Amistad,5.55432
1966-01-22,Amistad,5.3637
1966-01-23,Amistad,5.14728
1966-01-24,Amistad,6.89271
1966-01-25,Amistad,5.46904
1966-01-26,Amistad,5.15869
1966-01-27,Amistad,5.14285
1966-01-28,Amistad,5.14814
1966-01-29,Amistad,5.17206
1966-01-30,Amistad,5.18548
1966-01-31,Amistad,5.79717
1966-02-01,Amistad,5.33193
1966-02-02,Amistad,5.14832
1966-02-03,Amistad,5.0578
1966-02-04,Amistad,5.11472
1966-02-05,Amistad,5.82065
1966-02-06,Amistad,5.16424
1966-02-07,Amistad,5.10853
1966-02-08,Amistad,5.07868
1966-02-09,Amistad,5.04545
1966-02-10,Amistad,5.05792
1966-02-11,Amistad,5.03332
1966-02-12,Amistad,5.02045
1966-02-13,Amistad,5.03594
1966-02-14,Amistad,5.77368
1966-02-15,Amistad,7.12321
1966-02-16,Amistad,5.12055
1966-02-17,Amistad,4.93672
1966-02-18,Amistad,4.93243
1966-02-19,Amistad,5.05721
1966-02-20,Amistad,4.98973
1966-02-21,Amistad,4.94716
1966-02-22,Amistad,4.95356
1966-02-23,Amistad,5.32035
1966-02-24,Amistad,5.20597
1966-02-25,Amistad,7.37972
1966-02-26,Amistad,5.26113
1966-02-27,Amistad,5.18656
1966-02-28,Amistad,6.225
1966-03-01,Amistad,5.27064
1966-03-02,Amistad,5.07164
1966-03-03,Amistad,5.02488
1966-03-04,Amistad,5.05538
1966-03-05,Amistad,5.13092
1966-03-06,Amistad,5.22775
1966-03-07,Amistad,5.25421
1966-03-08,Amistad,5.23785
1966-03-09,Amistad,5.28602
1966-03-10,Amistad,5.48571
1966-03-11,Amistad,5.76694
1966-03-12,Amistad,5.36181
1966-03-13,Amistad,5.19642
1966-03-14,Amistad,5.26053
1966-03-15,Amistad,5.24144
1966-03-16,Amistad,5.44445
1966-03-17,Amistad,5.82314
1966-03-18,Amistad,5.26499
1966-03-19,Amistad,5.29103
1966-03-20,Amistad,5.22745
1966-03-21,Amistad,5.28415
1966-03-22,Amistad,5.31686
1966-03-23,Amistad,5.27124
1966-03-24,Amistad,5.32476
1966-03-25,Amistad,5.59595
1966-03-26,Amistad,6.4059
1966-03-27,Amistad,6.98401
1966-03-28,Amistad,6.61981
1966-03-29,Amistad,6.30435
1966-03-30,Amistad,6.06433
1966-03-31,Amistad,8.63978
1966-04-01,Amistad,6.05176
1966-04-02,Amistad,5.91729
1966-04-03,Amistad,5.89285
1966-04-04,Amistad,5.93387
1966-04-05,Amistad,5.98867
1966-04-06,Amistad,6.02779
1966-04-07,Amistad,6.00388
1966-04-08,Amistad,6.00008
1966-04-09,Amistad,6.24485
1966-04-10,Amistad,6.15145
1966-04-11,Amistad,6.20435
1966-04-12,Amistad,6.35779
1966-04-13,Amistad,6.25113
1966-04-14,Amistad,6.268
1966-04-15,Amistad,6.21642
1966-04-16,Amistad,6.31433
1966-04-17,Amistad,6.22789
1966-04-18,Amistad,6.13079
1966-04-19,Amistad,6.14901
1966-04-20,Amistad,6.27032
1966-04-21,Amistad,6.39589
1966-04-22,Amistad,7.07222
1966-04-23,Amistad,8.74154
1966-04-24,Amistad,9.27296
1966-04-25,Amistad,8.43076
1966-04-26,Amistad,9.37891
1966-04-27,Amistad,9.93416
1966-04-28,Amistad,8.54679
1966-04-29,Amistad,9.81906
1966-04-30,Amistad,10.65428
1966-05-01,Amistad,8.9537
1966-05-02,Amistad,9.60205
1966-05-03,Amistad,9.99312
1966-05-04,Amistad,9.90572
1966-05-05,Amistad,9.78975
1966-05-06,Amistad,10.49297
1966-05-07,Amistad,12.19109
1966-05-08,Amistad,12.94863
1966-05-09,Amistad,13.26817
1966-05-10,Amistad,12.56696
1966-05-11,Amistad,10.57107
1966-05-12,Amistad,10.02505
1966-05-13,Amistad,9.93201
1966-05-14,Amistad,11.77749
1966-05-15,Amistad,11.93351
1966-05-16,Amistad,12.91036
1966-05-17,Amistad,11.45557
1966-05-18,Amistad,10.66425
1966-05-19,Amistad,10.25375
1966-05-20,Amistad,10.36775
1966-05-21,Amistad,11.6319
1966-05-22,Amistad,11.48158
1966-05-23,Amistad,13.30635
1966-05-24,Amistad,10.90883
1966-05-25,Amistad,11.00976
1966-05-26,Amistad,11.41228
1966-05-27,Amistad,17.3667
1966-05-28,Amistad,17.47036
1966-05-29,Amistad,16.72594
1966-05-30,Amistad,13.92425
1966-05-31,Amistad,14.24783
1966-06-01,Amistad,13.0856
1966-06-02,Amistad,12.38284
1966-06-03,Amistad,11.71359
1966-06-04,Amistad,11.74046
1966-06-05,Amistad,12.25286
1966-06-06,Amistad,12.65646
1966-06-07,Amistad,14.30098
1966-06-08,Amistad,12.01793
1966-06-09,Amistad,11.87
1966-06-10,Amistad,12.4158
1966-06-11,Amistad,11.89191
1966-06-12,Amistad,12.12158
1966-06-13,Amistad,13.21637
1966-06-14,Amistad,15.74213
1966-06-15,Amistad,12.3645
1966-06-16,Amistad,12.47965
1966-06-17,Amistad,14.68953
1966-06-18,Amistad,14.91116
1966-06-19,Amistad,12.64614
1966-06-20,Amistad,12.65057
1966-06-21,Amistad,14.10293
1966-06-22,Amistad,15.20307
1966-06-23,Amistad,13.49444
1966-06-24,Amistad,14.70684
1966-06-25,Amistad,15.24123
1966-06-26,Amistad,12.62199
1966-06-27,Amistad,11.87775
1966-06-28,Amistad,13.0045
1966-06-29,Amistad,12.42831
1966-06-30,Amistad,11.27317
1966-07-01,Amistad,10.34568
1966-07-02,Amistad,10.02415
1966-07-03,Amistad,9.85128
1966-07-04,Amistad,9.62808
1966-07-05,Amistad,9.20775
1966-07-06,Amistad,8.8808
1966-07-07,Amistad,8.74947
1966-07-08,Amistad,8.51584
1966-07-09,Amistad,8.26168
1966-07-10,Amistad,7.99111
1966-07-11,Amistad,7.6678
1966-07-12,Amistad,7.45783
1966-07-13,Amistad,7.69307
1966-07-14,Amistad,7.50237
1966-07-15,Amistad,7.43257
1966-07-16,Amistad,7.05808
1966-07-17,Amistad,6.8397
1966-07-18,Amistad,6.91123
1966-07-19,Amistad,7.04468
1966-07-20,Amistad,6.52031
1966-07-21,Amistad,6.86201
1966-07-22,Amistad,6.39686
1966-07-23,Amistad,10.01155
1966-07-24,Amistad,7.66315
1966-07-25,Amistad,11.80979
1966-07-26,Amistad,11.55943
1966-07-27,Amistad,7.93753
1966-07-28,Amistad,6.58088
1966-07-29,Amistad,6.70351
1966-07-30,Amistad,6.98805
1966-07-31,Amistad,6.58405
1966-08-01,Amistad,11.53204
1966-08-02,Amistad,10.41872
1966-08-03,Amistad,8.51147
1966-08-04,Amistad,8.18023
1966-08-05,Amistad,7.49079
1966-08-06,Amistad,7.31528
1966-08-07,Amistad,8.36888
1966-08-08,Amistad,7.25995
1966-08-09,Amistad,7.36141
1966-08-10,Amistad,9.35476
1966-08-11,Amistad,7.19851
1966-08-12,Amistad,7.49233
1966-08-13,Amistad,7.7582700000000004
1966-08-14,Amistad,7.12916
1966-08-15,Amistad,6.9618
1966-08-16,Amistad,6.91342
