date,reservoir,flow
1966-01-01,Coleto Creek,0.0126
1966-01-02,Coleto Creek,0.0124
1966-01-03,Coleto Creek,0.0122
1966-01-04,Coleto Creek,0.012
1966-01-05,Coleto Creek,0.0119
1966-01-06,Coleto Creek,0.0118
1966-01-07,Coleto Creek,0.0116
1966-01-08,Coleto Creek,0.0156
1966-01-09,Coleto Creek,0.0494
1966-01-10,Coleto Creek,0.0112
1966-01-11,Coleto Creek,0.0111
1966-01-12,Coleto Creek,0.0109
1966-01-13,Coleto Creek,0.0108
1966-01-14,Coleto Creek,0.0107
1966-01-15,Coleto Creek,0.0106
1966-01-16,Coleto Creek,0.0104
1966-01-17,Coleto Creek,0.0103
1966-01-18,Coleto Creek,0.0102
1966-01-19,Coleto Creek,0.0101
1966-01-20,Coleto Creek,0.01
1966-01-21,Coleto Creek,0.0098
1966-01-22,Coleto Creek,0.0097
1966-01-23,Coleto Creek,0.0096
1966-01-24,Coleto Creek,0.0096
1966-01-25,Coleto Creek,0.2328
1966-01-26,Coleto Creek,0.0093
1966-01-27,Coleto Creek,0.0092
1966-01-28,Coleto Creek,1.3912
1966-01-29,Coleto Creek,0.0104
1966-01-30,Coleto Creek,0.0089
1966-01-31,Coleto Creek,0.0088
1966-02-01,Coleto Creek,0.0302
1966-02-02,Coleto Creek,0.0087
1966-02-03,Coleto Creek,0.0086
1966-02-04,Coleto Creek,0.0085
1966-02-05,Coleto Creek,0.0084
1966-02-06,Coleto Creek,0.0115
1966-02-07,Coleto Creek,0.0136
1966-02-08,Coleto Creek,0.3976
1966-02-09,Coleto Creek,0.1478
1966-02-10,Coleto Creek,0.008
1966-02-11,Coleto Creek,0.983
1966-02-12,Coleto Creek,0.1392
1966-02-13,Coleto Creek,0.0083
1966-02-14,Coleto Creek,0.1752
1966-02-15,Coleto Creek,0.0133
1966-02-16,Coleto Creek,0.0078
1966-02-17,Coleto Creek,0.0152
1966-02-18,Coleto Creek,0.0074
1966-02-19,Coleto Creek,0.3336
1966-02-20,Coleto Creek,0.0764
1966-02-21,Coleto Creek,0.0223
1966-02-22,Coleto Creek,0.0071
1966-02-23,Coleto Creek,0.0428
1966-02-24,Coleto Creek,0.107
1966-02-25,Coleto Creek,0.4962
1966-02-26,Coleto Creek,0.0772
1966-02-27,Coleto Creek,0.0068
1966-02-28,Coleto Creek,0.0068
1966-03-01,Coleto Creek,0.1277
1966-03-02,Coleto Creek,0.0159
1966-03-03,Coleto Creek,0.0095
1966-03-04,Coleto Creek,0.1924
1966-03-05,Coleto Creek,0.0065
1966-03-06,Coleto Creek,0.0064
1966-03-07,Coleto Creek,0.0064
1966-03-08,Coleto Creek,0.0063
1966-03-09,Coleto Creek,0.0063
1966-03-10,Coleto Creek,0.0062
1966-03-11,Coleto Creek,0.6332
1966-03-12,Coleto Creek,0.111
1966-03-13,Coleto Creek,0.0063
1966-03-14,Coleto Creek,0.006
1966-03-15,Coleto Creek,0.0726
1966-03-16,Coleto Creek,0.0092
1966-03-17,Coleto Creek,0.0059
1966-03-18,Coleto Creek,0.0103
1966-03-19,Coleto Creek,0.5227
1966-03-20,Coleto Creek,0.0058
1966-03-21,Coleto Creek,0.0057
1966-03-22,Coleto Creek,0.0057
1966-03-23,Coleto Creek,0.0132
1966-03-24,Coleto Creek,0.0303
1966-03-25,Coleto Creek,0.0056
1966-03-26,Coleto Creek,0.0055
1966-03-27,Coleto Creek,0.0055
1966-03-28,Coleto Creek,0.0055
1966-03-29,Coleto Creek,0.0054
1966-03-30,Coleto Creek,0.0054
1966-03-31,Coleto Creek,0.0054
1966-04-01,Coleto Creek,0.0292
1966-04-02,Coleto Creek,1.0063
1966-04-03,Coleto Creek,0.0056
1966-04-04,Coleto Creek,0.0052
1966-04-05,Coleto Creek,0.0052
1966-04-06,Coleto Creek,0.085
1966-04-07,Coleto Creek,0.3797
1966-04-08,Coleto Creek,2.1246
1966-04-09,Coleto Creek,0.4576
1966-04-10,Coleto Creek,0.0074
1966-04-11,Coleto Creek,0.005
1966-04-12,Coleto Creek,0.0075
1966-04-13,Coleto Creek,0.0887
1966-04-14,Coleto Creek,2.5452
1966-04-15,Coleto Creek,0.0385
1966-04-16,Coleto Creek,0.0074
1966-04-17,Coleto Creek,0.0054
1966-04-18,Coleto Creek,0.0057
1966-04-19,Coleto Creek,0.0056
1966-04-20,Coleto Creek,0.0057
1966-04-21,Coleto Creek,0.0935
1966-04-22,Coleto Creek,0.1192
1966-04-23,Coleto Creek,0.0225
1966-04-24,Coleto Creek,0.0252
1966-04-25,Coleto Creek,0.0411
1966-04-26,Coleto Creek,0.3368
1966-04-27,Coleto Creek,0.2551
1966-04-28,Coleto Creek,1.2344
1966-04-29,Coleto Creek,1.0678
1966-04-30,Coleto Creek,0.0466
1966-05-01,Coleto Creek,0.0066
1966-05-02,Coleto Creek,0.0084
1966-05-03,Coleto Creek,0.0503
1966-05-04,Coleto Creek,0.4701
1966-05-05,Coleto Creek,0.0587
1966-05-06,Coleto Creek,0.0102
1966-05-07,Coleto Creek,0.007
1966-05-08,Coleto Creek,0.007
1966-05-09,Coleto Creek,0.0073
1966-05-10,Coleto Creek,0.0075
1966-05-11,Coleto Creek,0.0077
1966-05-12,Coleto Creek,0.0075
1966-05-13,Coleto Creek,0.0372
1966-05-14,Coleto Creek,0.1698
1966-05-15,Coleto Creek,0.0773
1966-05-16,Coleto Creek,0.0459
1966-05-17,Coleto Creek,0.0134
1966-05-18,Coleto Creek,0.0088
1966-05-19,Coleto Creek,0.0077
1966-05-20,Coleto Creek,0.0072
1966-05-21,Coleto Creek,0.0103
1966-05-22,Coleto Creek,0.0072
1966-05-23,Coleto Creek,0.0072
1966-05-24,Coleto Creek,0.0072
1966-05-25,Coleto Creek,0.0519
1966-05-26,Coleto Creek,10.3693
1966-05-27,Coleto Creek,8.0191
1966-05-28,Coleto Creek,0.3523
1966-05-29,Coleto Creek,0.3386
1966-05-30,Coleto Creek,0.0466
1966-05-31,Coleto Creek,0.0728
1966-06-01,Coleto Creek,0.0411
1966-06-02,Coleto Creek,0.035
1966-06-03,Coleto Creek,0.0363
1966-06-04,Coleto Creek,0.0402
1966-06-05,Coleto Creek,0.0415
1966-06-06,Coleto Creek,0.0662
1966-06-07,Coleto Creek,0.0511
1966-06-08,Coleto Creek,0.0442
1966-06-09,Coleto Creek,0.0398
1966-06-10,Coleto Creek,0.0386
1966-06-11,Coleto Creek,0.1247
1966-06-12,Coleto Creek,1.4512
1966-06-13,Coleto Creek,0.0898
1966-06-14,Coleto Creek,0.1003
1966-06-15,Coleto Creek,0.0976
1966-06-16,Coleto Creek,0.0447
1966-06-17,Coleto Creek,0.0507
1966-06-18,Coleto Creek,0.0569
1966-06-19,Coleto Creek,0.063
1966-06-20,Coleto Creek,0.5425
1966-06-21,Coleto Creek,5.0313
1966-06-22,Coleto Creek,3.8558
1966-06-23,Coleto Creek,2.2307
1966-06-24,Coleto Creek,0.4089
1966-06-25,Coleto Creek,0.2134
1966-06-26,Coleto Creek,1.0648
1966-06-27,Coleto Creek,1.0315
1966-06-28,Coleto Creek,0.2144
1966-06-29,Coleto Creek,0.3022
1966-06-30,Coleto Creek,0.1039
1966-07-01,Coleto Creek,0.0746
