date,reservoir,flow
1966-01-01,Falcon,6.2387
1966-01-02,Falcon,6.2489
1966-01-03,Falcon,6.3559
1966-01-04,Falcon,6.3247
1966-01-05,Falcon,6.2867
1966-01-06,Falcon,6.4646
1966-01-07,Falcon,7.8058
1966-01-08,Falcon,6.6863
1966-01-09,Falcon,6.4707
1966-01-10,Falcon,6.0856
1966-01-11,Falcon,6.0797
1966-01-12,Falcon,6.1846
1966-01-13,Falcon,6.4875
1966-01-14,Falcon,6.1318
1966-01-15,Falcon,6.0498
1966-01-16,Falcon,6.4029
1966-01-17,Falcon,6.167
1966-01-18,Falcon,6.0553
1966-01-19,Falcon,6.082
1966-01-20,Falcon,6.1498
1966-01-21,Falcon,6.4053
1966-01-22,Falcon,6.2121
1966-01-23,Falcon,5.993
1966-01-24,Falcon,7.7359
1966-01-25,Falcon,6.3185
1966-01-26,Falcon,5.9969
1966-01-27,Falcon,5.9786
1966-01-28,Falcon,6.0014
1966-01-29,Falcon,6.0036
1966-01-30,Falcon,6.014
1966-01-31,Falcon,6.6231
1966-02-01,Falcon,6.1757
1966-02-02,Falcon,5.9702
1966-02-03,Falcon,5.8763
1966-02-04,Falcon,5.9306
1966-02-05,Falcon,6.6339
1966-02-06,Falcon,5.9756
1966-02-07,Falcon,6.2981
1966-02-08,Falcon,6.0111
1966-02-09,Falcon,6.1204
1966-02-10,Falcon,5.9421
1966-02-11,Falcon,6.6413
1966-02-12,Falcon,5.8307
1966-02-13,Falcon,5.8524
1966-02-14,Falcon,6.7193
1966-02-15,Falcon,7.9202
1966-02-16,Falcon,5.9112
1966-02-17,Falcon,5.7253
1966-02-18,Falcon,5.7205
1966-02-19,Falcon,6.2676
1966-02-20,Falcon,5.9421
1966-02-21,Falcon,5.7718
1966-02-22,Falcon,5.7317
1966-02-23,Falcon,6.0997
1966-02-24,Falcon,6.0196
1966-02-25,Falcon,8.5227
1966-02-26,Falcon,6.243
1966-02-27,Falcon,5.9597
1966-02-28,Falcon,6.9913
1966-03-01,Falcon,6.0349
1966-03-02,Falcon,5.8507
1966-03-03,Falcon,5.8217
1966-03-04,Falcon,13.7464
1966-03-05,Falcon,5.8857
1966-03-06,Falcon,5.9803
1966-03-07,Falcon,6.0299
1966-03-08,Falcon,5.9875
1966-03-09,Falcon,6.033
1966-03-10,Falcon,6.9618
1966-03-11,Falcon,9.9992
1966-03-12,Falcon,6.574
1966-03-13,Falcon,5.9393
1966-03-14,Falcon,6.0028
1966-03-15,Falcon,6.0119
1966-03-16,Falcon,6.38
1966-03-17,Falcon,6.5791
1966-03-18,Falcon,6.0131
1966-03-19,Falcon,6.2005
