date,reservoir,flow
1966-01-01,Ray_Hubbard,0.4406
1966-01-02,Ray_Hubbard,0.4403
1966-01-03,Ray_Hubbard,0.44
1966-01-04,Ray_Hubbard,0.4397
1966-01-05,Ray_Hubbard,0.4394
1966-01-06,Ray_Hubbard,0.439
1966-01-07,Ray_Hubbard,0.4387
1966-01-08,Ray_Hubbard,1.4674
1966-01-09,Ray_Hubbard,0.8549
1966-01-10,Ray_Hubbard,0.4376
1966-01-11,Ray_Hubbard,0.4373
1966-01-12,Ray_Hubbard,0.4369
1966-01-13,Ray_Hubbard,0.4366
1966-01-14,Ray_Hubbard,0.4362
1966-01-15,Ray_Hubbard,0.5525
1966-01-16,Ray_Hubbard,0.4602
1966-01-17,Ray_Hubbard,0.5196
1966-01-18,Ray_Hubbard,0.4347
1966-01-19,Ray_Hubbard,0.4344
1966-01-20,Ray_Hubbard,0.434
1966-01-21,Ray_Hubbard,0.4336
1966-01-22,Ray_Hubbard,0.4332
1966-01-23,Ray_Hubbard,0.4328
1966-01-24,Ray_Hubbard,0.4324
1966-01-25,Ray_Hubbard,5.1813
1966-01-26,Ray_Hubbard,0.4357
1966-01-27,Ray_Hubbard,0.4315
1966-01-28,Ray_Hubbard,0.8646
1966-01-29,Ray_Hubbard,0.4326
1966-01-30,Ray_Hubbard,0.4309
1966-01-31,Ray_Hubbard,0.4307
1966-02-01,Ray_Hubbard,2.1061
1966-02-02,Ray_Hubbard,0.4303
1966-02-03,Ray_Hubbard,0.4302
1966-02-04,Ray_Hubbard,0.43
1966-02-05,Ray_Hubbard,0.4298
1966-02-06,Ray_Hubbard,3.5138
1966-02-07,Ray_Hubbard,2.2326
1966-02-08,Ray_Hubbard,1.3456
1966-02-09,Ray_Hubbard,0.4301
1966-02-10,Ray_Hubbard,0.4304
1966-02-11,Ray_Hubbard,0.4307
1966-02-12,Ray_Hubbard,0.4534
1966-02-13,Ray_Hubbard,0.4314
1966-02-14,Ray_Hubbard,0.4458
1966-02-15,Ray_Hubbard,2.416
1966-02-16,Ray_Hubbard,3.6913
1966-02-17,Ray_Hubbard,0.4392
1966-02-18,Ray_Hubbard,0.4349
1966-02-19,Ray_Hubbard,0.4348
1966-02-20,Ray_Hubbard,1.297
1966-02-21,Ray_Hubbard,0.5662
1966-02-22,Ray_Hubbard,0.4375
1966-02-23,Ray_Hubbard,0.4394
1966-02-24,Ray_Hubbard,0.4484
1966-02-25,Ray_Hubbard,0.4521
1966-02-26,Ray_Hubbard,0.8902
1966-02-27,Ray_Hubbard,0.4415
1966-02-28,Ray_Hubbard,4.2686
1966-03-01,Ray_Hubbard,0.4491
1966-03-02,Ray_Hubbard,0.4445
1966-03-03,Ray_Hubbard,0.4458
1966-03-04,Ray_Hubbard,0.4469
1966-03-05,Ray_Hubbard,0.4479
1966-03-06,Ray_Hubbard,0.4488
1966-03-07,Ray_Hubbard,0.4496
1966-03-08,Ray_Hubbard,0.4504
1966-03-09,Ray_Hubbard,0.451
1966-03-10,Ray_Hubbard,0.4514
1966-03-11,Ray_Hubbard,0.4518
1966-03-12,Ray_Hubbard,0.4522
1966-03-13,Ray_Hubbard,0.5722
1966-03-14,Ray_Hubbard,0.4525
1966-03-15,Ray_Hubbard,0.4531
1966-03-16,Ray_Hubbard,0.4582
1966-03-17,Ray_Hubbard,0.4525
1966-03-18,Ray_Hubbard,1.509
1966-03-19,Ray_Hubbard,5.3279
1966-03-20,Ray_Hubbard,0.9779
1966-03-21,Ray_Hubbard,0.4575
1966-03-22,Ray_Hubbard,0.4546
1966-03-23,Ray_Hubbard,0.4554
1966-03-24,Ray_Hubbard,0.4561
1966-03-25,Ray_Hubbard,0.4567
1966-03-26,Ray_Hubbard,0.4572
1966-03-27,Ray_Hubbard,0.4575
1966-03-28,Ray_Hubbard,0.4577
1966-03-29,Ray_Hubbard,0.4578
1966-03-30,Ray_Hubbard,0.4578
1966-03-31,Ray_Hubbard,0.4808
1966-04-01,Ray_Hubbard,4.0372
1966-04-02,Ray_Hubbard,1.0152
1966-04-03,Ray_Hubbard,0.4586
1966-04-04,Ray_Hubbard,0.4587
1966-04-05,Ray_Hubbard,0.459
1966-04-06,Ray_Hubbard,0.4592
1966-04-07,Ray_Hubbard,0.4687
1966-04-08,Ray_Hubbard,0.4727
1966-04-09,Ray_Hubbard,0.459
1966-04-10,Ray_Hubbard,0.4587
1966-04-11,Ray_Hubbard,0.4584
1966-04-12,Ray_Hubbard,0.4579
1966-04-13,Ray_Hubbard,0.4824
1966-04-14,Ray_Hubbard,0.4583
1966-04-15,Ray_Hubbard,0.5221
