date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2003-01-01,2.21203,0.03401,0.02183,0,0.16876,0.01369,9.2e-4,0.4983,0.91169,0.00281,0.01205,2.41989,0.00417,0.28969,0.02902,0.00676,0.08707,0.02544,0.43667,0.40855,4.68667,0.11606,0.00348,0.03148,0.63599000000000006,0.15562,0.2588,8.4e-4,0.13829,0.80211,1.24563,4.81669,0.00281,0.00244,1e-5,0.41142
2003-01-02,2.12927,0.03398,0.02135,0,0.16716,0.00942,9.1e-4,0.49693,0.90928,0.00281,0.01092,2.33667,0.00386,0.28817,0.02896,0.00633,0.08698,0.02536,0.43613,0.40787,4.66083,0.11595,0.00345,0.02554,0.63499,0.147,0.25857,8.4e-4,0.13792,0.80142,1.14626,4.79577,0.00279,0.00244,1e-5,0.40912
2003-01-03,2.18431,0.09822,0.09822,0.77055,1.02296,0.2115,0.00336,0.70654,0.97525,0.00281,0.06584,2.39495,0.00939,1.42099,0.06001,0.06196,0.2357,0.36412,1.65921,0.41378,20.8773,0.31185,0.02655,0.04283,2.52773,0.53441,4.93499,0.0128,0.18166,0.80218,16.74599,7.36133,0.01211,0.00247,1.5e-4,2.02432
2003-01-04,2.559,0.07463,0.07536,1.09919,0.8952,0.32753,0.01477,1.61632,0.93016,0.00288,0.13082,2.7735,0.01365,1.44878,0.1605,12.49484,0.21936,0.04534,2.15928,0.41745,30.87582,0.31175,0.03377,0.06986,3.3749,0.42739,6.32807,0.00708,0.40786,2.18935,7.38582,22.59168,0.01321,0.00329,2.1e-4,2.00698
2003-01-05,2.12501,0.03537,0.03272,0.06639,0.16942,0.01414,0.00104,0.50824,0.90386,0.00282,0.10096,2.33113,0.00417,0.32589,0.06173,0.01306,0.09024,0.02781,1.11763,0.40621,7.66781,0.12555,0.00401,0.06063,1.68024,0.19834,0.77571,8.4e-4,0.18768,0.79962,5.50648,6.62323,0.00453,0.00243,1e-5,0.45821
2003-01-06,2.09344,0.03382,0.02078,0,0.1609,0.0093,8.9e-4,0.49158,0.89975,0.0028,0.01091,2.30723,0.00369,0.28584,0.02923,0.00879,0.08659,0.02506,0.43497,0.40522,4.63401,0.11544,0.00336,0.02498,0.6334,0.14632,0.25772,8.4e-4,0.13659,0.79875,1.13459,4.78506,0.00272,0.00243,1e-5,0.40376
2003-01-07,2.0509,0.03379,0.02064,0,0.1594,0.00927,8.9e-4,0.49028,0.89738,0.00279,0.01091,2.2682,0.00365,0.28528,0.02953,0.00969,0.08648,0.02498,0.43495,0.40457,4.62963,0.11532,0.00333,0.0248,0.63389,0.14616,0.25752,8.4e-4,0.13626,0.7981,1.13207,4.80366,0.00271,0.00243,1e-5,0.40246
2003-01-08,2.04327,0.03375,0.02051,0,0.1579,0.00924,8.8e-4,0.48894,0.89503,0.00279,0.01091,2.2529,0.00361,0.28472,0.02983,0.01016,0.08638,0.02491,0.43492,0.40392,4.62525,0.11519,0.00331,0.02464,0.63434,0.146,0.25733,8.4e-4,0.13594,0.79752,1.12952,4.81891,0.00269,0.00243,1e-5,0.40118
2003-01-09,2.04762,0.03371,0.02038,0,0.15642,0.0092,8.8e-4,0.48768,0.89269,0.00278,0.01091,2.25198,0.00357,0.28417,0.03013,0.01036,0.08628,0.02484,0.43488,0.40327,4.62071,0.11506,0.00329,0.02449,0.63474,0.14583,0.25711,8.4e-4,0.13563,0.7968,1.12682,4.83009,0.00268,0.00243,1e-5,0.39988
2003-01-10,2.12817,0.03367,0.02026,0,0.15497,0.00917,8.7e-4,0.4864,0.89035,0.00278,0.01101,2.33207,0.00353,0.28376,0.0304,0.01229,0.08617,0.02479,0.43482,0.40262,4.6181,0.11493,0.00327,0.02433,0.63508,0.14567,0.25691,0.00151,0.13531,0.79624,1.1306,4.83728,0.00266,0.00242,1e-5,0.39876
2003-01-11,2.05442,0.03363,0.02148,6.6e-4,0.15356,0.01375,8.7e-4,0.48516,0.88802,0.00278,0.01217,2.2579,0.00357,0.2874,0.03162,0.01038,0.08607,0.03092,0.5827,0.40199,4.88989,0.1148,0.00335,0.02886,0.80282,0.18935,0.26041,8.4e-4,0.13499,0.79549,10.90139,4.87297,0.00265,0.00242,1e-5,0.40166
2003-01-12,2.41461,0.0336,0.02,0,0.15214,0.0091,8.6e-4,0.48385,0.88569,0.00278,0.01122,2.61761,0.00346,0.28284,0.03091,0.01023,0.08597,0.02461,0.43467,0.40135,4.60634,0.11467,0.00323,0.02403,0.63554,0.14534,0.25651,8.4e-4,0.13468,0.79484,1.61923,4.84153,0.00263,0.00242,1e-5,0.39641
2003-01-13,2.37439,0.0342,0.02118,0.00863,0.19067,0.01141,8.6e-4,0.49627,0.88363,0.00277,0.02897,2.57696,0.00343,0.29636,0.0314,0.01021,0.08705,0.02651,0.44012,0.40071,4.85268,0.11596,0.00327,0.02657,0.64566,0.14672,0.35856,8.4e-4,0.13648,0.79418,1.84587,5.12389,0.00295,0.00242,1e-5,0.42878
2003-01-14,2.08911,0.03352,0.01976,0,0.14938,0.00903,8.5e-4,0.48134,0.88106,0.00277,0.0109,2.29123,0.00338,0.28173,0.03127,0.00976,0.08576,0.02446,0.4344,0.40008,4.59594,0.1144,0.00319,0.02373,0.63568,0.14501,0.25609,8.4e-4,0.13406,0.79352,1.11338,4.83274,0.0026,0.00241,1e-5,0.39389
2003-01-15,2.05546,0.03348,0.01964,0,0.14802,0.009,8.5e-4,0.48009,0.87876,0.00276,0.01099,2.25713,0.00335,0.28091,0.03142,0.00945,0.08566,0.02439,0.43424,0.39944,4.59049,0.11426,0.00316,0.02358,0.63563,0.14485,0.25589,8.4e-4,0.13375,0.79285,1.11164,4.82481,0.00259,0.00241,1e-5,0.39238
2003-01-16,2.36748,0.03344,0.01952,0,0.14667,0.00896,8.4e-4,0.47883,0.87648,0.00276,0.01089,2.5687,0.00332,0.28038,0.03154,0.00918,0.08555,0.02432,0.43406,0.39882,4.58484,0.11413,0.00315,0.02343,0.63551,0.14468,0.25568,8.4e-4,0.13345,0.79219,1.10804,4.81495,0.00257,0.00241,1e-5,0.39117
2003-01-17,2.1125,0.0334,0.01941,0,0.14535,0.00893,8.4e-4,0.47761,0.87419,0.00275,0.01089,2.3133,0.00328,0.27986,0.03164,0.00888,0.08544,0.02424,0.43385,0.39819,4.57905,0.11399,0.00313,0.02328,0.63531,0.14452,0.25548,8.4e-4,0.13313,0.79152,1.10544,4.80343,0.00256,0.00241,1e-5,0.38996
2003-01-18,2.12166,0.03337,0.01929,0,0.14405,0.00889,8.3e-4,0.47638,0.87191,0.00275,0.01089,2.32202,0.00325,0.27934,0.03171,0.01099,0.08534,0.02417,0.43362,0.39756,4.57306,0.11385,0.0031,0.02314,0.63504,0.14435,0.25526,0.00306,0.13283,0.79088,1.10282,4.79101,0.00255,0.0024,1e-5,0.38876
2003-01-19,2.03455,0.03333,0.01918,6e-5,0.14327,0.00885,8.9e-4,0.47519,0.87095,0.00275,0.01096,2.23588,0.00322,0.27883,0.03177,0.08233,0.08523,0.0241,0.43337,0.39696,4.67361,0.11371,0.00309,0.023,0.6347,0.14418,0.2572,0.00164,0.13594,1.03289,1.10044,4.93292,0.00257,0.00241,1e-5,0.38759
2003-01-20,1.99842,0.03329,0.01908,0,0.14149,0.00882,8.4e-4,0.47507,0.874,0.00274,0.01088,2.23367,0.00319,0.27832,0.0318,0.02251,0.08512,0.02404,0.4332,0.3963,4.57131,0.11357,0.00307,0.02285,0.63457,0.14402,0.25499,8.4e-4,0.13225,0.79328,1.09766,4.76072,0.00253,0.00272,1e-5,0.38641
2003-01-21,2.0061,0.03358,0.01899,0.0012,0.14843,0.00911,0.01967,0.47681,0.86945,0.00274,0.01088,2.21372,0.00316,0.27867,0.03185,1.99156,0.0856,0.02397,0.43431,0.4018,8.10115,0.11468,0.00306,0.02316,0.63917,0.14388,0.36416,0.00289,0.14555,0.93675,1.10338,6.35313,0.00434,0.00269,4.8e-4,0.38761
2003-01-22,2.68954,0.0336,0.01886,0.00189,0.14492,0.01078,9.9e-4,0.47902,0.88367,0.00274,0.01588,2.93788,0.00312,0.2798,0.03746,6.0252,0.0853,0.02389,0.46835,0.39518,5.01647,0.11438,0.00315,0.02535,0.68672,0.1472,0.26948,0.0017,0.15451,1.27466,1.16629,5.30644,0.00256,0.00591,1e-5,0.39113
2003-01-23,3.08831,0.03329,0.01875,0.00873,0.13932,0.00881,0.00272,0.47312,0.86413,0.00274,0.01095,3.28728,0.00309,0.27703,0.0327,0.9524,0.08541,0.02382,0.45589,0.39816,6.59502,0.11534,0.00303,0.06447,0.72155,0.14354,0.37183,0.00113,0.27564,0.84622,1.09351,8.03877,0.00488,0.00253,1e-5,0.38436
2003-01-24,2.56079,0.03314,0.01864,0,0.13658,0.00867,8.1e-4,0.46914,0.8584,0.00273,0.01087,2.75889,0.00307,0.27632,0.03175,1.01816,0.0848,0.02375,0.43196,0.39384,5.2622,0.11335,0.00299,0.02446,0.63254,0.14336,0.25477,0.0014,0.21341,0.8734,1.08735,9.48864,0.0026,0.00239,1e-5,0.38226
2003-01-25,3.65142,0.03319,0.01854,1e-4,0.13666,0.00873,8.9e-4,0.46982,0.86036,0.00273,0.01087,3.85059,0.00304,0.27644,0.03169,0.73469,0.08463,0.02368,0.43139,0.39327,4.54673,0.11298,0.00299,0.02219,0.63122,0.1432,0.25432,8.6e-4,0.13075,0.86615,1.08476,4.72946,0.00246,0.00402,1e-5,0.38244
