date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2015-01-01,1.7878,0.03221,0.04772,0,0.45156,0.00649,0.01004,0.51623,0.32864,0.00671,9.6e-4,2.43024,0.00577,0.44449,0.03037,2.78542,0.09332,0.03707,0.42213,0.59036,5.24969,0.12811,0.00684,0.01906,0.65843,0.12344,0.42802,0.00106,0.1239,0.7051,1.51329,7.57579,0.00537,0.00168,2.5e-4,0.69424
2015-01-02,1.93606,0.03224,0.04743,6e-5,0.45188,0.00652,0.01179,0.51822,0.3365,0.00673,9.6e-4,2.57293,0.00569,0.44249,0.03056,2.45364,0.09344,0.03705,0.42274,0.59079,6.39245,0.12822,0.00676,0.01901,0.65956,0.12343,0.42668,0.00106,0.1239,0.70567,1.47913,7.60434,0.00546,0.00237,7.3e-4,0.6856
2015-01-03,3.75616,0.03222,0.04711,3e-5,0.46761,0.00654,0.02927,1.30483,1.22223,0.00674,9.6e-4,6.25403,0.00561,0.4408,0.03072,9.61738,0.09348,0.03701,0.42337,0.59308,9.62065,0.12817,0.00672,0.01895,0.66034,0.1234,0.4276,0.01694,0.18787,7.62459,1.47494,8.21596,0.00563,0.00948,0.00516,0.67732
2015-01-04,5.3698,0.0322,0.04686,0,0.95581,0.00662,0.01277,2.6894,1.18034,0.0072,9.6e-4,6.45828,0.00554,0.91612,0.03088,3.90429,0.09349,0.03697,0.42391,0.59054,5.50629,0.12813,0.01382,0.01889,0.66103,0.12336,0.42208,0.01751,0.12363,4.96287,1.47087,7.14607,0.00561,0.00569,0.00818,1.1691
2015-01-05,6.30495,0.28334,0.55067,1.79236,2.07507,2.13722,0.00883,2.93184,0.40268,0.01197,0.01181,6.96862,0.06682,15.85228,0.10376,1.8202,0.60882,0.53113,2.17363,0.60361,44.09737,0.79598,0.54897,0.06797,3.32453,0.53431,14.39701,0.02934,0.64563,2.18804,9.75812,19.97912,0.03231,0.00226,5.2e-4,18.07421
2015-01-06,2.3379,0.03883,0.04612,0.14089,0.45039,0.01074,0.00917,0.52116,0.33157,0.00699,0.00125,2.95809,0.00536,0.604,0.0359,2.09568,0.1202,0.03687,0.49631,0.59155,8.39625,0.15939,0.00747,0.02347,0.80066,0.12792,0.81828,0.00107,0.29245,0.70971,1.57399,11.93423,0.0082,0.00166,2.7e-4,0.83087
2015-01-07,1.95785,0.03229,0.0458,0,0.4458,0.0066,0.00813,0.51456,0.33231,0.00698,9.6e-4,2.57404,0.00528,0.44672,0.03163,1.50964,0.09504,0.03682,0.42587,0.58976,5.28494,0.12962,0.00805,0.01863,0.66399,0.12321,0.41456,0.00106,0.12352,0.70809,1.45782,6.82531,0.00586,0.00166,2.7e-4,0.66637
2015-01-08,1.9683,0.0325,0.0458,0.00093000000000000005,0.45596,0.00833,0.00804,1.12958,0.67769,0.00711,9.6e-4,2.57911,0.00526,0.58361,0.03201,1.36405,0.0964,0.03678,0.4273,0.58954,5.32202,0.13146,0.00868,0.01853,0.66734,0.12363,0.42081,0.00106,0.12358,0.70851,1.55253,6.73628,0.00595,0.00166,3.4e-4,0.80841
2015-01-09,1.83657,0.03258,0.04549,6.8e-4,0.44182,0.01078,0.00766,0.51442,0.33333,0.00718,9.6e-4,2.44093,0.00512,0.45185,0.0325,1.23634,0.09704,0.03673,0.43071,0.58889,5.33761,0.13188,0.00835,0.02027,0.67304,0.12315,0.41128,0.00106,0.12464,0.70888,1.56165,6.8108,0.00607,0.00166,2.8e-4,0.6666
2015-01-10,1.84991,0.03249,0.04486,0,0.43878,0.00662,0.00743,0.5132,0.33368,0.00724,9.5e-4,2.44788,0.00504,0.45141,0.03269,1.11553,0.09753,0.03667,0.42814,0.58832,5.30436,0.13224,0.00832,0.0183,0.66779,0.12304,0.40608,0.00106,0.12372,0.70919,1.44513,6.57652,0.00612,0.00166,2.8e-4,0.66202
