date,reservoir,flow
1966-01-01,Pat_Mayse,0.01779
1966-01-02,Pat_Mayse,0.01778
1966-01-03,Pat_Mayse,0.01776
1966-01-04,Pat_Mayse,0.01774
1966-01-05,Pat_Mayse,0.01898
1966-01-06,Pat_Mayse,0.01777
1966-01-07,Pat_Mayse,0.04028
1966-01-08,Pat_Mayse,0.13223
1966-01-09,Pat_Mayse,0.1291
1966-01-10,Pat_Mayse,0.0176
1966-01-11,Pat_Mayse,0.01772
1966-01-12,Pat_Mayse,0.01783
1966-01-13,Pat_Mayse,0.01792
1966-01-14,Pat_Mayse,0.021
1966-01-15,Pat_Mayse,0.02166
1966-01-16,Pat_Mayse,0.07566
1966-01-17,Pat_Mayse,0.20165
1966-01-18,Pat_Mayse,0.19191
1966-01-19,Pat_Mayse,0.12662
1966-01-20,Pat_Mayse,0.07511
1966-01-21,Pat_Mayse,0.09617
1966-01-22,Pat_Mayse,0.08639
1966-01-23,Pat_Mayse,0.05344
1966-01-24,Pat_Mayse,0.04337
1966-01-25,Pat_Mayse,0.03368
1966-01-26,Pat_Mayse,0.03504
1966-01-27,Pat_Mayse,0.03636
1966-01-28,Pat_Mayse,0.03712
1966-01-29,Pat_Mayse,0.03749
1966-01-30,Pat_Mayse,0.03756
1966-01-31,Pat_Mayse,0.03741
1966-02-01,Pat_Mayse,0.0371
1966-02-02,Pat_Mayse,0.03987
1966-02-03,Pat_Mayse,0.03667
1966-02-04,Pat_Mayse,0.03561
1966-02-05,Pat_Mayse,0.03502
1966-02-06,Pat_Mayse,0.0344
1966-02-07,Pat_Mayse,0.03376
1966-02-08,Pat_Mayse,0.03313
1966-02-09,Pat_Mayse,0.0325
1966-02-10,Pat_Mayse,0.0319
1966-02-11,Pat_Mayse,0.04631
1966-02-12,Pat_Mayse,0.03098
1966-02-13,Pat_Mayse,0.08711
1966-02-14,Pat_Mayse,0.14585
1966-02-15,Pat_Mayse,0.03113
1966-02-16,Pat_Mayse,0.0285
1966-02-17,Pat_Mayse,0.02812
1966-02-18,Pat_Mayse,0.02896
1966-02-19,Pat_Mayse,0.05917
1966-02-20,Pat_Mayse,0.49549
1966-02-21,Pat_Mayse,0.02721
1966-02-22,Pat_Mayse,0.03607
1966-02-23,Pat_Mayse,0.05962
1966-02-24,Pat_Mayse,0.02944
1966-02-25,Pat_Mayse,0.04689
1966-02-26,Pat_Mayse,0.05447
1966-02-27,Pat_Mayse,0.03035
1966-02-28,Pat_Mayse,0.03044
1966-03-01,Pat_Mayse,0.03045
1966-03-02,Pat_Mayse,0.0304
1966-03-03,Pat_Mayse,0.03029
1966-03-04,Pat_Mayse,0.03012
1966-03-05,Pat_Mayse,0.02993
1966-03-06,Pat_Mayse,0.03055
1966-03-07,Pat_Mayse,0.03947
1966-03-08,Pat_Mayse,0.05605
1966-03-09,Pat_Mayse,0.02912
1966-03-10,Pat_Mayse,0.02856
1966-03-11,Pat_Mayse,0.02899
1966-03-12,Pat_Mayse,0.02792
1966-03-13,Pat_Mayse,0.02759
1966-03-14,Pat_Mayse,0.02728
1966-03-15,Pat_Mayse,0.02698
1966-03-16,Pat_Mayse,0.03022
1966-03-17,Pat_Mayse,0.30577
1966-03-18,Pat_Mayse,0.11514
1966-03-19,Pat_Mayse,0.02606
1966-03-20,Pat_Mayse,0.02707
1966-03-21,Pat_Mayse,0.02869
1966-03-22,Pat_Mayse,0.02517
1966-03-23,Pat_Mayse,0.02531
1966-03-24,Pat_Mayse,0.04466
1966-03-25,Pat_Mayse,0.32204
1966-03-26,Pat_Mayse,0.034
1966-03-27,Pat_Mayse,0.02467
1966-03-28,Pat_Mayse,0.02476
1966-03-29,Pat_Mayse,0.02482
1966-03-30,Pat_Mayse,0.02483
1966-03-31,Pat_Mayse,0.02506
1966-04-01,Pat_Mayse,0.12531
1966-04-02,Pat_Mayse,0.0307
1966-04-03,Pat_Mayse,0.02489
1966-04-04,Pat_Mayse,0.0257
1966-04-05,Pat_Mayse,0.02639
1966-04-06,Pat_Mayse,0.02497
1966-04-07,Pat_Mayse,0.0242
1966-04-08,Pat_Mayse,0.02418
1966-04-09,Pat_Mayse,0.04275
1966-04-10,Pat_Mayse,0.02495
1966-04-11,Pat_Mayse,0.26661
1966-04-12,Pat_Mayse,0.05623
1966-04-13,Pat_Mayse,0.05824
1966-04-14,Pat_Mayse,0.04229
1966-04-15,Pat_Mayse,0.03356
1966-04-16,Pat_Mayse,0.20305
1966-04-17,Pat_Mayse,0.04526
1966-04-18,Pat_Mayse,0.02932
1966-04-19,Pat_Mayse,0.03416
1966-04-20,Pat_Mayse,0.02377
1966-04-21,Pat_Mayse,0.05313
1966-04-22,Pat_Mayse,0.024
1966-04-23,Pat_Mayse,0.02405
1966-04-24,Pat_Mayse,0.02407
1966-04-25,Pat_Mayse,0.02406
1966-04-26,Pat_Mayse,0.02403
1966-04-27,Pat_Mayse,0.02397
1966-04-28,Pat_Mayse,0.02389
1966-04-29,Pat_Mayse,0.06143
1966-04-30,Pat_Mayse,0.04353
1966-05-01,Pat_Mayse,0.02355
1966-05-02,Pat_Mayse,0.02341
1966-05-03,Pat_Mayse,0.02326
1966-05-04,Pat_Mayse,0.02456
1966-05-05,Pat_Mayse,0.02563
1966-05-06,Pat_Mayse,0.05319
1966-05-07,Pat_Mayse,0.16256
1966-05-08,Pat_Mayse,0.02244
1966-05-09,Pat_Mayse,0.02227
1966-05-10,Pat_Mayse,0.02209
1966-05-11,Pat_Mayse,0.18366
1966-05-12,Pat_Mayse,0.02613
1966-05-13,Pat_Mayse,0.05027
1966-05-14,Pat_Mayse,0.02146
1966-05-15,Pat_Mayse,0.02126
1966-05-16,Pat_Mayse,0.0211
1966-05-17,Pat_Mayse,0.02094
1966-05-18,Pat_Mayse,0.02077
1966-05-19,Pat_Mayse,0.02477
1966-05-20,Pat_Mayse,0.06635
1966-05-21,Pat_Mayse,0.06102
1966-05-22,Pat_Mayse,0.26416
1966-05-23,Pat_Mayse,0.02052
1966-05-24,Pat_Mayse,0.02006
1966-05-25,Pat_Mayse,0.02004
1966-05-26,Pat_Mayse,0.02001
1966-05-27,Pat_Mayse,0.01997
1966-05-28,Pat_Mayse,0.01992
1966-05-29,Pat_Mayse,0.01986
1966-05-30,Pat_Mayse,0.0198
1966-05-31,Pat_Mayse,0.01972
1966-06-01,Pat_Mayse,0.01965
1966-06-02,Pat_Mayse,0.01956
1966-06-03,Pat_Mayse,0.01948
1966-06-04,Pat_Mayse,0.0194
1966-06-05,Pat_Mayse,0.0703
1966-06-06,Pat_Mayse,0.01958
1966-06-07,Pat_Mayse,0.0218
1966-06-08,Pat_Mayse,0.01899
1966-06-09,Pat_Mayse,0.01889
1966-06-10,Pat_Mayse,0.01879
1966-06-11,Pat_Mayse,0.01868
1966-06-12,Pat_Mayse,0.01858
1966-06-13,Pat_Mayse,0.01847
1966-06-14,Pat_Mayse,0.01837
1966-06-15,Pat_Mayse,0.01826
1966-06-16,Pat_Mayse,0.01816
1966-06-17,Pat_Mayse,0.01806
1966-06-18,Pat_Mayse,0.01795
1966-06-19,Pat_Mayse,0.02409
1966-06-20,Pat_Mayse,0.01826
1966-06-21,Pat_Mayse,0.01811
1966-06-22,Pat_Mayse,0.01755
1966-06-23,Pat_Mayse,0.01745
1966-06-24,Pat_Mayse,0.01735
1966-06-25,Pat_Mayse,0.01726
1966-06-26,Pat_Mayse,0.01716
1966-06-27,Pat_Mayse,0.01707
1966-06-28,Pat_Mayse,0.01698
1966-06-29,Pat_Mayse,0.01689
1966-06-30,Pat_Mayse,0.02623
1966-07-01,Pat_Mayse,0.01671
1966-07-02,Pat_Mayse,0.01663
1966-07-03,Pat_Mayse,0.01654
1966-07-04,Pat_Mayse,0.0165
1966-07-05,Pat_Mayse,0.01981
1966-07-06,Pat_Mayse,0.04758
1966-07-07,Pat_Mayse,0.01631
1966-07-08,Pat_Mayse,0.0169
1966-07-09,Pat_Mayse,0.01608
1966-07-10,Pat_Mayse,0.016
1966-07-11,Pat_Mayse,0.02998
1966-07-12,Pat_Mayse,0.01601
1966-07-13,Pat_Mayse,0.0158
1966-07-14,Pat_Mayse,0.01573
1966-07-15,Pat_Mayse,0.01597
1966-07-16,Pat_Mayse,0.01561
1966-07-17,Pat_Mayse,0.02135
1966-07-18,Pat_Mayse,0.0156
1966-07-19,Pat_Mayse,0.01572
1966-07-20,Pat_Mayse,0.01608
