date,reservoir,flow
1966-01-01,Richland-Chambers,1.00141
1966-01-02,Richland-Chambers,0.95895
1966-01-03,Richland-Chambers,0.9679
1966-01-04,Richland-Chambers,0.97478
1966-01-05,Richland-Chambers,0.9905
1966-01-06,Richland-Chambers,0.9889
1966-01-07,Richland-Chambers,2.98128
1966-01-08,Richland-Chambers,0.98472
1966-01-09,Richland-Chambers,1.30503
1966-01-10,Richland-Chambers,1.11208
1966-01-11,Richland-Chambers,1.59906
1966-01-12,Richland-Chambers,18.13787
1966-01-13,Richland-Chambers,6.32116
1966-01-14,Richland-Chambers,1.96178
1966-01-15,Richland-Chambers,2.06757
1966-01-16,Richland-Chambers,2.16068
1966-01-17,Richland-Chambers,2.17635
1966-01-18,Richland-Chambers,2.15578
1966-01-19,Richland-Chambers,2.50908
1966-01-20,Richland-Chambers,2.08234
1966-01-21,Richland-Chambers,2.03887
1966-01-22,Richland-Chambers,1.9716
1966-01-23,Richland-Chambers,1.90478
1966-01-24,Richland-Chambers,1.83503
1966-01-25,Richland-Chambers,1.76311
1966-01-26,Richland-Chambers,1.69265
1966-01-27,Richland-Chambers,1.62482
1966-01-28,Richland-Chambers,1.559
1966-01-29,Richland-Chambers,1.49544
1966-01-30,Richland-Chambers,1.43316
1966-01-31,Richland-Chambers,1.37176
1966-02-01,Richland-Chambers,1.31163
1966-02-02,Richland-Chambers,1.7308
1966-02-03,Richland-Chambers,2.63929
1966-02-04,Richland-Chambers,1.28205
1966-02-05,Richland-Chambers,1.13489
1966-02-06,Richland-Chambers,1.09129
1966-02-07,Richland-Chambers,1.04795
1966-02-08,Richland-Chambers,1.00558
1966-02-09,Richland-Chambers,0.96557
1966-02-10,Richland-Chambers,0.93613
1966-02-11,Richland-Chambers,1.81349
1966-02-12,Richland-Chambers,1.22609
1966-02-13,Richland-Chambers,6.50333
1966-02-14,Richland-Chambers,7.5107
1966-02-15,Richland-Chambers,2.2942
1966-02-16,Richland-Chambers,0.88094
1966-02-17,Richland-Chambers,0.89771
1966-02-18,Richland-Chambers,0.94039
1966-02-19,Richland-Chambers,2.29438
1966-02-20,Richland-Chambers,8.78748
1966-02-21,Richland-Chambers,0.93892
1966-02-22,Richland-Chambers,12.38268
1966-02-23,Richland-Chambers,2.51747
