date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1969-01-01,4.84494,0.03028,0.06799,8e-5,0.12911,0.01491,0.00536,0.87834,0.67959,0.01213,0.00102,8.44489,0.00379,1.10012,0.04224,0.60563,0.07727,0.06772,0.48844,0.36952,4.30443,0.10624,0.00627,0.01281,0.75981,0.15587,0.26553,0.0065,0.08666,0.80795,1.5417,3.04675,0.00201,0.00301,2e-4,1.19539
1969-01-02,5.08936,0.10115,0.06827,0.26171,0.3112,0.03792,0.00324,1.43262,0.6807,0.01366,0.00102,9.94715,0.00428,5.36564,0.04501,0.46663,0.26746,0.59319,0.49511,0.36916,7.98784,0.31241,0.11029,0.0129,0.77011,0.1558,2.08809,0.00106,0.10916,0.67362,3.23319,4.00883,0.00667,0.0024,9e-5,6.1766
1969-01-03,5.34936,0.03815,0.06849,0.03135,0.16323,0.0317,0.00324,1.56761,0.69139,0.01288,0.00102,11.98891,0.00411,3.00119,0.04715,0.44019,0.11422,0.17468,0.50136,0.36879,5.05509,0.15082,0.03815,0.01298,0.77956,0.15572,0.58225,0.00106,0.08928,0.67453,1.95548,3.46245,0.00286,0.00241,9e-5,3.30824
1969-01-04,5.035,0.03735,0.07018,0.03095,0.15456,0.06918,0.00322,1.70762,0.69964,0.01303,0.00102,10.12894,0.0047,2.87345,0.04883,0.41076,0.11385,0.32424,0.5072,0.36841,4.95341,0.15083,0.04043,0.01306,0.78841,0.15564,0.42209,0.00106,0.087,0.67535,2.95058,3.47312,0.002,0.00253,9e-5,3.11417
1969-01-05,5.48431,0.0592,0.30711,0.03164,0.18192,0.55011,0.00319,1.88131,0.71788,0.01292,0.00102,9.1276,0.03516,4.82381,0.05043,0.38074,0.13805,0.44624,0.51278,0.368,6.03894,0.18773,0.05024,0.0169,0.8053,0.15582,0.41658,0.00106,0.08594,0.6761,6.11132,3.66837,0.00199,0.00243,9e-5,5.086
1969-01-06,6.90651,0.04787,0.20747,0.16159,0.93433,0.3476,0.20314,3.25776,1.41247,0.01435,0.00102,12.95677,0.02038,4.76591,0.05108,15.67754,0.15189,0.70501,0.5816,0.37925,17.91453,0.19551,0.05368,0.01341,0.90666,0.1579,1.87181,0.04717,0.16639,9.78415,4.09629,5.93803,0.00991,0.01591,0.00659,5.27267
1969-01-07,5.77424,0.03553,0.11937,0.05078,0.32585,0.19743,0.0584,2.33805,1.06787,0.0129,0.00102,9.10878,0.01121,2.5672,0.05013,21.85996,0.10868,0.19961,0.52133,0.37424,17.07396,0.14581,0.03587,0.0135,0.80945,0.15598,0.68643,0.14761,0.17112,6.8614,3.54001,10.68208,0.0048,0.00281,4.6e-4,2.79044
1969-01-08,6.83424,0.06149,0.13134,0.25929,0.87077,0.52194,0.00775,2.45507,0.88847,0.013,0.00102,10.28821,0.01574,2.19544,0.0512,6.90764,0.18108,0.14178,0.57335,0.42803,13.99127,0.238,0.03392,0.021329999999999998,0.90945,0.15904,2.06981,0.14719,0.1865,4.20245,5.74373,7.68168,0.00938,0.00267,3.7e-4,2.68813
1969-01-09,6.97017,0.06247,0.0714,0.13377,1.35563,0.31241,0.0921,5.16675,2.55654,0.01411,0.00102,10.96471,0.00613,3.39392,0.05321,0.92342,0.16376,0.25142,0.65273,0.43688,9.04968,0.22709,0.07085,0.04182,1.05782,0.17079,1.74278,0.0104,0.12608,5.80671,4.14943,4.69267,0.00525,0.01549,0.00803,3.84698
1969-01-10,6.53711,0.04082,0.07883,0.14003,0.48368,0.38302,0.05221,1.43795,1.22018,0.01326,0.00476,10.17354,0.00751,1.62191,0.0526,2.31429,0.14106,0.27814,0.55146,0.47873,7.83815,0.18725,0.02142,0.05538,0.86544,0.17427,1.58875,0.00107,0.09499,8.75329,4.27912,4.61271,0.00401,0.00711,0.00314,1.99584
