date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2022-01-01,4.096,0.04078,0.19766,0,1.10966,0.25257,0.00667,1.50909,1.47432,0.01234,7e-4,5.30949,0.00635,1.10215,0.16099,2.8778,0.14394,0.39158,1.59583,0.39887,12.58075,0.19375,0.00828,0.05023,2.27655,0.54724,0.42419,0.00106,0.14163,0.9544,7.48893,10.10647,0.01,0.00454,0.00209,1.40736
2022-01-02,4.40035,0.04057,0.19609,0,1.09143,0.24808,0.0066,1.4931,1.46866,0.01225,7e-4,5.59344,0.00624,1.09083,0.15699,2.455,0.14219,0.38767,1.57781,0.39856,12.45864,0.1914,0.00812,0.05003,2.25062,0.53916,0.41908,0.00106,0.14205,0.95426,7.38418,9.99445,0.00995,0.00451,0.00203,1.39316
2022-01-03,4.56905,0.04036,0.19458,0,1.07355,0.24379,0.00652,1.47732,1.46307,0.01216,7e-4,5.74212,0.00613,1.07964,0.15248,2.1055,0.14048,0.3838,1.55922,0.39822,12.33378,0.18911,0.00797,0.04981,2.22398,0.53169,0.41414,0.00106,0.14242,0.95411,7.2873,9.8599,0.0099,0.00448,0.00198,1.37918
2022-01-04,4.16247,0.04016,0.19336,0,1.0561,0.2397,0.00644,1.46217,1.45761,0.012070000000000001,7e-4,5.3158,0.00603,1.07231,0.14772,1.82063,0.13886,0.38003,1.54024,0.39788,12.20838,0.18693,0.00782,0.04958,2.19687,0.52514,0.40948,0.00106,0.14273,0.95472,7.20002,9.71206,0.00984,0.00444,0.00192,1.36914
2022-01-05,4.06667,0.03996,0.19202,0,1.03957,0.23647,0.00636,1.45962,1.45254,0.01216,7e-4,11.93474,0.00597,1.09219,0.1429,1.58226,0.13733,0.37625,1.52102,0.39753,12.08483,0.18488,0.01293,0.04934,2.16948,0.51973,0.40517,0.00107,0.14298,0.95409,7.12259,9.55711,0.00978,0.00441,0.00187,1.38686
2022-01-06,4.05998,0.03977,0.19038,0,1.02207,0.23221,0.00628,1.43437,1.44691,0.01191,7e-4,5.48874,0.00582,1.04837,0.13813,1.41263,0.13592,0.3726,1.50172,0.39716,11.96016,0.18297,0.00757,0.04911,2.14201,0.51446,0.40128,0.00106,0.1432,0.95362,7.04953,9.40195,0.00972,0.00438,0.00182,1.34016
2022-01-07,3.83616,0.03958,0.18903,0,1.00561,0.22854,0.00621,1.42116,1.4417,0.01183,7e-4,4.93666,0.00572,1.03857,0.13349,1.27406,0.13458,0.36897,1.48243,0.39678,11.83689,0.18115,0.00745,0.04886,2.11457,0.50946,0.39766,0.00106,0.14337,0.95344,6.97944,9.24832,0.00965,0.00435,0.00178,1.32796
2022-01-08,3.82543,0.03942,0.18773,4.1e-4,0.99029,0.2249,0.00617,1.41241,1.44011,0.01175,0.00103,4.91448,0.00563,1.02901,0.12901,1.21794,0.13329,0.3654,1.46357,0.3964,11.75983,0.17943,0.00734,0.0492,2.08826,0.50431,0.39607,0.02973,0.14446,0.95332,6.91463,9.12239,0.00962,0.00448,0.00175,1.31642
2022-01-09,3.84765,0.03921,0.18646,0,0.97369000000000006,0.22135,0.00605,1.3963699999999999,1.43155,0.01168,7e-4,5.00513,0.00554,1.01962,0.12468,1.32277,0.13192,0.3619,1.44398,0.39599,11.69416,0.17756,0.00722,0.04836,2.05993,0.49918,0.39079,0.00109,0.14382,0.95526,6.83947,9.26088,0.00952,0.00431,0.00171,1.3043
2022-01-10,10.37089,0.03903,0.18524,0,1.19677,0.21807000000000001,0.0082,4.66336,2.11531,0.01368,7e-4,15.34709,0.00546,1.70621,0.1205,1.89377,0.1306,0.36221,1.42484,0.39564,11.84648,0.17579,0.0077,0.04809,2.03276,0.49425,0.38728,0.1625,0.14368,2.39108,6.79816,8.82251,0.00945,0.01034,0.00167,1.98884
2022-01-11,9.65806,0.03885,0.18406,0,1.024,0.21467,0.0059,4.97832,1.44603,0.01351,7e-4,20.7505,0.00536,1.2405,0.11649,0.91828,0.12939,0.35512,1.40584,0.39518,11.34761,0.17415,0.00735,0.04783,2.00579,0.48987000000000003,0.38409,0.00106,0.14372,0.95281,6.71005,8.65645,0.00938,0.00457,0.00164,1.52072
