date,reservoir,flow
1966-01-01,Bryan_Utilities,2.6555
1966-01-02,Bryan_Utilities,2.7108
1966-01-03,Bryan_Utilities,2.643
1966-01-04,Bryan_Utilities,2.5791
1966-01-05,Bryan_Utilities,2.5195
1966-01-06,Bryan_Utilities,2.511
1966-01-07,Bryan_Utilities,5.3604
1966-01-08,Bryan_Utilities,2.5754
1966-01-09,Bryan_Utilities,2.5151
1966-01-10,Bryan_Utilities,5.8509
1966-01-11,Bryan_Utilities,7.7096
1966-01-12,Bryan_Utilities,20.6047
1966-01-13,Bryan_Utilities,8.6479
1966-01-14,Bryan_Utilities,2.5936
1966-01-15,Bryan_Utilities,2.6044
1966-01-16,Bryan_Utilities,3.5494
1966-01-17,Bryan_Utilities,8.8241
1966-01-18,Bryan_Utilities,16.7469
1966-01-19,Bryan_Utilities,4.2664
1966-01-20,Bryan_Utilities,2.5438
1966-01-21,Bryan_Utilities,2.464
1966-01-22,Bryan_Utilities,2.4647
1966-01-23,Bryan_Utilities,2.4186
1966-01-24,Bryan_Utilities,2.3949
1966-01-25,Bryan_Utilities,2.4375
1966-01-26,Bryan_Utilities,4.1635
1966-01-27,Bryan_Utilities,21.4962
1966-01-28,Bryan_Utilities,3.04
1966-01-29,Bryan_Utilities,10.2841
1966-01-30,Bryan_Utilities,10.7334
1966-01-31,Bryan_Utilities,8.7604
1966-02-01,Bryan_Utilities,13.5239
1966-02-02,Bryan_Utilities,7.9066
1966-02-03,Bryan_Utilities,3.9336
1966-02-04,Bryan_Utilities,4.1705
1966-02-05,Bryan_Utilities,3.0672
1966-02-06,Bryan_Utilities,3.5944
1966-02-07,Bryan_Utilities,34.9362
1966-02-08,Bryan_Utilities,2.8414
1966-02-09,Bryan_Utilities,2.8919
1966-02-10,Bryan_Utilities,3.7397
1966-02-11,Bryan_Utilities,3.3102
1966-02-12,Bryan_Utilities,5.965
1966-02-13,Bryan_Utilities,37.8668
1966-02-14,Bryan_Utilities,56.7844
1966-02-15,Bryan_Utilities,7.1928
1966-02-16,Bryan_Utilities,5.2953
1966-02-17,Bryan_Utilities,11.3203
1966-02-18,Bryan_Utilities,5.2143
1966-02-19,Bryan_Utilities,5.0338
1966-02-20,Bryan_Utilities,4.999
1966-02-21,Bryan_Utilities,5.7503
1966-02-22,Bryan_Utilities,4.5691
1966-02-23,Bryan_Utilities,12.429
1966-02-24,Bryan_Utilities,32.2812
1966-02-25,Bryan_Utilities,5.1817
1966-02-26,Bryan_Utilities,4.9312
1966-02-27,Bryan_Utilities,5.6836
1966-02-28,Bryan_Utilities,7.6902
1966-03-01,Bryan_Utilities,8.5929
1966-03-02,Bryan_Utilities,4.6771
1966-03-03,Bryan_Utilities,4.7729
1966-03-04,Bryan_Utilities,9.4925
1966-03-05,Bryan_Utilities,8.7183
1966-03-06,Bryan_Utilities,4.1567
1966-03-07,Bryan_Utilities,4.0297
1966-03-08,Bryan_Utilities,4.4595
1966-03-09,Bryan_Utilities,4.8927
1966-03-10,Bryan_Utilities,7.6499
1966-03-11,Bryan_Utilities,4.2076
1966-03-12,Bryan_Utilities,4.1349
1966-03-13,Bryan_Utilities,3.6112
1966-03-14,Bryan_Utilities,3.5297
1966-03-15,Bryan_Utilities,3.4707
1966-03-16,Bryan_Utilities,3.3918
1966-03-17,Bryan_Utilities,3.326
1966-03-18,Bryan_Utilities,3.2545
1966-03-19,Bryan_Utilities,3.1863
1966-03-20,Bryan_Utilities,3.1226
1966-03-21,Bryan_Utilities,3.0641
1966-03-22,Bryan_Utilities,3.008
1966-03-23,Bryan_Utilities,3.3701
1966-03-24,Bryan_Utilities,3.105
1966-03-25,Bryan_Utilities,24.5825
1966-03-26,Bryan_Utilities,3.9673
1966-03-27,Bryan_Utilities,3.0764
1966-03-28,Bryan_Utilities,2.8674
1966-03-29,Bryan_Utilities,2.7598
1966-03-30,Bryan_Utilities,2.728
1966-03-31,Bryan_Utilities,3.1345
1966-04-01,Bryan_Utilities,21.8219
1966-04-02,Bryan_Utilities,2.6841
1966-04-03,Bryan_Utilities,2.6293
1966-04-04,Bryan_Utilities,2.6964
1966-04-05,Bryan_Utilities,3.8727
1966-04-06,Bryan_Utilities,41.5451
1966-04-07,Bryan_Utilities,2.5816
1966-04-08,Bryan_Utilities,2.6122
1966-04-09,Bryan_Utilities,2.9918
1966-04-10,Bryan_Utilities,3.2088
1966-04-11,Bryan_Utilities,3.2496
1966-04-12,Bryan_Utilities,5.9115
1966-04-13,Bryan_Utilities,3.3023
1966-04-14,Bryan_Utilities,2.5337
1966-04-15,Bryan_Utilities,2.7348
1966-04-16,Bryan_Utilities,2.4933
1966-04-17,Bryan_Utilities,2.4618
1966-04-18,Bryan_Utilities,2.4287
1966-04-19,Bryan_Utilities,2.4884
1966-04-20,Bryan_Utilities,2.5599
1966-04-21,Bryan_Utilities,2.3413
1966-04-22,Bryan_Utilities,2.3165
1966-04-23,Bryan_Utilities,66.0947
1966-04-24,Bryan_Utilities,5.3872
1966-04-25,Bryan_Utilities,2.4654
1966-04-26,Bryan_Utilities,2.5071
1966-04-27,Bryan_Utilities,2.5047
1966-04-28,Bryan_Utilities,2.4845
1966-04-29,Bryan_Utilities,2.455
1966-04-30,Bryan_Utilities,2.4208
1966-05-01,Bryan_Utilities,2.385
1966-05-02,Bryan_Utilities,2.347
1966-05-03,Bryan_Utilities,2.3114
1966-05-04,Bryan_Utilities,3.2688
1966-05-05,Bryan_Utilities,14.848
1966-05-06,Bryan_Utilities,8.9662
1966-05-07,Bryan_Utilities,28.4889
1966-05-08,Bryan_Utilities,13.1308
1966-05-09,Bryan_Utilities,2.3049
1966-05-10,Bryan_Utilities,3.3389
1966-05-11,Bryan_Utilities,17.4985
1966-05-12,Bryan_Utilities,5.9164
1966-05-13,Bryan_Utilities,2.3559
1966-05-14,Bryan_Utilities,2.3461
1966-05-15,Bryan_Utilities,2.5741
1966-05-16,Bryan_Utilities,41.8527
1966-05-17,Bryan_Utilities,9.9219
1966-05-18,Bryan_Utilities,2.8968
1966-05-19,Bryan_Utilities,3.2211
1966-05-20,Bryan_Utilities,5.3343
1966-05-21,Bryan_Utilities,18.0107
1966-05-22,Bryan_Utilities,13.6631
1966-05-23,Bryan_Utilities,3.2588
1966-05-24,Bryan_Utilities,3.7401
1966-05-25,Bryan_Utilities,11.7767
1966-05-26,Bryan_Utilities,54.7405
1966-05-27,Bryan_Utilities,59.3827
1966-05-28,Bryan_Utilities,63.8948
1966-05-29,Bryan_Utilities,21.3497
1966-05-30,Bryan_Utilities,13.0491
1966-05-31,Bryan_Utilities,10.8631
1966-06-01,Bryan_Utilities,30.8561
1966-06-02,Bryan_Utilities,9.5787
1966-06-03,Bryan_Utilities,7.5655
1966-06-04,Bryan_Utilities,6.7465
1966-06-05,Bryan_Utilities,6.1161
1966-06-06,Bryan_Utilities,5.4804
1966-06-07,Bryan_Utilities,5.0169
1966-06-08,Bryan_Utilities,4.8346
1966-06-09,Bryan_Utilities,4.3427
1966-06-10,Bryan_Utilities,4.0693
1966-06-11,Bryan_Utilities,3.8897
1966-06-12,Bryan_Utilities,3.9169
1966-06-13,Bryan_Utilities,15.4928
1966-06-14,Bryan_Utilities,3.8399
1966-06-15,Bryan_Utilities,3.3276
1966-06-16,Bryan_Utilities,83.3444
1966-06-17,Bryan_Utilities,8.5754
1966-06-18,Bryan_Utilities,6.7395
1966-06-19,Bryan_Utilities,14.1748
1966-06-20,Bryan_Utilities,8.7889
1966-06-21,Bryan_Utilities,9.5147
1966-06-22,Bryan_Utilities,8.5312
1966-06-23,Bryan_Utilities,25.1849
1966-06-24,Bryan_Utilities,50.3221
1966-06-25,Bryan_Utilities,9.2599
1966-06-26,Bryan_Utilities,7.4742
1966-06-27,Bryan_Utilities,6.1883
1966-06-28,Bryan_Utilities,5.3356
1966-06-29,Bryan_Utilities,4.7361
1966-06-30,Bryan_Utilities,4.2718
1966-07-01,Bryan_Utilities,3.9325
1966-07-02,Bryan_Utilities,3.7012
1966-07-03,Bryan_Utilities,3.5085
1966-07-04,Bryan_Utilities,3.3453
1966-07-05,Bryan_Utilities,3.2156
1966-07-06,Bryan_Utilities,15.6407
1966-07-07,Bryan_Utilities,58.9052
1966-07-08,Bryan_Utilities,3.6462
1966-07-09,Bryan_Utilities,3.2845
1966-07-10,Bryan_Utilities,3.3163
1966-07-11,Bryan_Utilities,5.47
1966-07-12,Bryan_Utilities,3.0677
1966-07-13,Bryan_Utilities,2.8549
1966-07-14,Bryan_Utilities,2.7703
1966-07-15,Bryan_Utilities,2.754
1966-07-16,Bryan_Utilities,2.9462
1966-07-17,Bryan_Utilities,2.6806
1966-07-18,Bryan_Utilities,2.6603
1966-07-19,Bryan_Utilities,2.5883
1966-07-20,Bryan_Utilities,2.5572
1966-07-21,Bryan_Utilities,2.5442
1966-07-22,Bryan_Utilities,2.5015
1966-07-23,Bryan_Utilities,2.4954
1966-07-24,Bryan_Utilities,2.4943
1966-07-25,Bryan_Utilities,3.5081
1966-07-26,Bryan_Utilities,2.4468
1966-07-27,Bryan_Utilities,2.492
1966-07-28,Bryan_Utilities,2.4555
1966-07-29,Bryan_Utilities,2.6818
1966-07-30,Bryan_Utilities,2.5683
1966-07-31,Bryan_Utilities,2.3311
1966-08-01,Bryan_Utilities,2.2825
1966-08-02,Bryan_Utilities,2.2653
1966-08-03,Bryan_Utilities,2.2446
1966-08-04,Bryan_Utilities,2.2393
1966-08-05,Bryan_Utilities,2.2578
1966-08-06,Bryan_Utilities,7.651
1966-08-07,Bryan_Utilities,29.0837
1966-08-08,Bryan_Utilities,6.8819
