date,reservoir,flow
1966-01-01,Livingston,5.9916
1966-01-02,Livingston,6.4982
1966-01-03,Livingston,6.4206
1966-01-04,Livingston,6.3672
1966-01-05,Livingston,6.3707
1966-01-06,Livingston,6.3426
1966-01-07,Livingston,11.4424
1966-01-08,Livingston,6.4124
1966-01-09,Livingston,6.3206
1966-01-10,Livingston,9.5242
1966-01-11,Livingston,21.2344
1966-01-12,Livingston,75.6318
1966-01-13,Livingston,31.82
1966-01-14,Livingston,6.6802
1966-01-15,Livingston,6.6993
1966-01-16,Livingston,7.5259
1966-01-17,Livingston,12.1136
1966-01-18,Livingston,15.7678
1966-01-19,Livingston,6.9592
1966-01-20,Livingston,7.2067
1966-01-21,Livingston,6.9078
1966-01-22,Livingston,6.8765
1966-01-23,Livingston,6.8524
1966-01-24,Livingston,7.2029
1966-01-25,Livingston,7.9095
1966-01-26,Livingston,11.0716
1966-01-27,Livingston,83.2422
1966-01-28,Livingston,18.6818
1966-01-29,Livingston,10.6019
1966-01-30,Livingston,83.8038
1966-01-31,Livingston,47.5675
1966-02-01,Livingston,24.8915
1966-02-02,Livingston,24.5306
1966-02-03,Livingston,10.0147
1966-02-04,Livingston,8.9168
1966-02-05,Livingston,7.9442
1966-02-06,Livingston,7.8365
1966-02-07,Livingston,110.1355
1966-02-08,Livingston,21.8695
1966-02-09,Livingston,8.2889
1966-02-10,Livingston,17.0514
1966-02-11,Livingston,9.3431
1966-02-12,Livingston,13.8563
1966-02-13,Livingston,28.27
1966-02-14,Livingston,123.6274
1966-02-15,Livingston,40.6819
1966-02-16,Livingston,9.8627
1966-02-17,Livingston,29.2942
1966-02-18,Livingston,10.3171
1966-02-19,Livingston,9.8963
1966-02-20,Livingston,12.1167
1966-02-21,Livingston,32.9156
1966-02-22,Livingston,9.8869
1966-02-23,Livingston,19.3466
1966-02-24,Livingston,73.5729
1966-02-25,Livingston,12.0192
1966-02-26,Livingston,9.9265
1966-02-27,Livingston,10.3
1966-02-28,Livingston,11.7842
1966-03-01,Livingston,10.759
1966-03-02,Livingston,11.23
1966-03-03,Livingston,10.8698
1966-03-04,Livingston,10.1255
1966-03-05,Livingston,10.7479
1966-03-06,Livingston,9.6877
1966-03-07,Livingston,9.5497
1966-03-08,Livingston,9.4217
1966-03-09,Livingston,9.3042
1966-03-10,Livingston,9.3058
1966-03-11,Livingston,9.0669
1966-03-12,Livingston,8.9313
1966-03-13,Livingston,8.7916
1966-03-14,Livingston,8.6461
1966-03-15,Livingston,8.5038
1966-03-16,Livingston,8.366
1966-03-17,Livingston,8.232
1966-03-18,Livingston,8.1016
1966-03-19,Livingston,7.97
1966-03-20,Livingston,7.8442
1966-03-21,Livingston,7.7257
1966-03-22,Livingston,7.6052
1966-03-23,Livingston,11.9301
1966-03-24,Livingston,14.9219
1966-03-25,Livingston,75.6128
1966-03-26,Livingston,8.1799
1966-03-27,Livingston,7.1883
1966-03-28,Livingston,7.1231
1966-03-29,Livingston,7.0536
1966-03-30,Livingston,6.9813
1966-03-31,Livingston,6.9083
1966-04-01,Livingston,121.3331
1966-04-02,Livingston,14.3986
1966-04-03,Livingston,6.9528
1966-04-04,Livingston,7.2001
1966-04-05,Livingston,6.9989
1966-04-06,Livingston,73.2744
1966-04-07,Livingston,9.857
1966-04-08,Livingston,7.2875
1966-04-09,Livingston,7.2025
1966-04-10,Livingston,7.227
1966-04-11,Livingston,7.224
1966-04-12,Livingston,10.9305
1966-04-13,Livingston,27.4715
1966-04-14,Livingston,7.1588
1966-04-15,Livingston,7.1252
1966-04-16,Livingston,7.0856
1966-04-17,Livingston,7.0329
1966-04-18,Livingston,6.9709
1966-04-19,Livingston,6.9579
1966-04-20,Livingston,13.8029
1966-04-21,Livingston,7.3603
1966-04-22,Livingston,6.7165
1966-04-23,Livingston,164.5603
1966-04-24,Livingston,59.2613
1966-04-25,Livingston,7.0398
1966-04-26,Livingston,7.2115
1966-04-27,Livingston,7.3057
1966-04-28,Livingston,7.3442
1966-04-29,Livingston,7.3371
1966-04-30,Livingston,7.2985
1966-05-01,Livingston,7.2351
1966-05-02,Livingston,7.1479
1966-05-03,Livingston,7.0555
1966-05-04,Livingston,6.9906
1966-05-05,Livingston,26.9874
1966-05-06,Livingston,20.8661
1966-05-07,Livingston,127.5216
1966-05-08,Livingston,85.6648
1966-05-09,Livingston,7.1784
1966-05-10,Livingston,7.4552
1966-05-11,Livingston,50.5543
1966-05-12,Livingston,46.4086
1966-05-13,Livingston,8.2507
1966-05-14,Livingston,8.4098
1966-05-15,Livingston,9.3853
1966-05-16,Livingston,91.4343
1966-05-17,Livingston,88.942
1966-05-18,Livingston,11.0233
1966-05-19,Livingston,11.2477
1966-05-20,Livingston,13.015
1966-05-21,Livingston,61.2687
1966-05-22,Livingston,53.0167
1966-05-23,Livingston,15.7571
1966-05-24,Livingston,14.5482
1966-05-25,Livingston,13.766
1966-05-26,Livingston,110.0952
1966-05-27,Livingston,141.842
1966-05-28,Livingston,159.9938
1966-05-29,Livingston,48.6413
1966-05-30,Livingston,47.1214
1966-05-31,Livingston,37.1881
1966-06-01,Livingston,62.3229
1966-06-02,Livingston,92.7225
1966-06-03,Livingston,31.7363
1966-06-04,Livingston,28.4924
1966-06-05,Livingston,26.5219
1966-06-06,Livingston,24.6653
1966-06-07,Livingston,23.0623
1966-06-08,Livingston,21.8733
1966-06-09,Livingston,20.3049
1966-06-10,Livingston,19.213
