date,reservoir,flow
1966-01-01,Richland-Chambers,1.5318
1966-01-02,Richland-Chambers,1.7506
1966-01-03,Richland-Chambers,1.8158
1966-01-04,Richland-Chambers,1.8022
1966-01-05,Richland-Chambers,1.7823
1966-01-06,Richland-Chambers,1.7412
1966-01-07,Richland-Chambers,1.691
1966-01-08,Richland-Chambers,1.6633
1966-01-09,Richland-Chambers,1.5987
1966-01-10,Richland-Chambers,1.6157
1966-01-11,Richland-Chambers,2.4666
1966-01-12,Richland-Chambers,9.4691
1966-01-13,Richland-Chambers,4.273
1966-01-14,Richland-Chambers,1.5172
1966-01-15,Richland-Chambers,1.5016
1966-01-16,Richland-Chambers,1.5127
1966-01-17,Richland-Chambers,1.5049
1966-01-18,Richland-Chambers,1.4828
1966-01-19,Richland-Chambers,1.4504
1966-01-20,Richland-Chambers,1.4118
1966-01-21,Richland-Chambers,1.3696
1966-01-22,Richland-Chambers,1.329
1966-01-23,Richland-Chambers,1.2869
1966-01-24,Richland-Chambers,1.2921
1966-01-25,Richland-Chambers,1.2421
1966-01-26,Richland-Chambers,1.521
1966-01-27,Richland-Chambers,5.6512
1966-01-28,Richland-Chambers,2.0661
1966-01-29,Richland-Chambers,1.7211
1966-01-30,Richland-Chambers,2.5068
1966-01-31,Richland-Chambers,2.0162
1966-02-01,Richland-Chambers,3.9071
1966-02-02,Richland-Chambers,1.7131
1966-02-03,Richland-Chambers,1.0403
1966-02-04,Richland-Chambers,1.0489
1966-02-05,Richland-Chambers,1.0449
1966-02-06,Richland-Chambers,1.0336
1966-02-07,Richland-Chambers,8.0947
1966-02-08,Richland-Chambers,1.3728
1966-02-09,Richland-Chambers,1.0732
1966-02-10,Richland-Chambers,3.3857
1966-02-11,Richland-Chambers,1.1335
1966-02-12,Richland-Chambers,1.2162
1966-02-13,Richland-Chambers,6.627
1966-02-14,Richland-Chambers,9.9094
1966-02-15,Richland-Chambers,3.7281
1966-02-16,Richland-Chambers,1.517
1966-02-17,Richland-Chambers,2.9567
1966-02-18,Richland-Chambers,1.6886
1966-02-19,Richland-Chambers,1.7046
1966-02-20,Richland-Chambers,1.753
1966-02-21,Richland-Chambers,1.6814
1966-02-22,Richland-Chambers,1.6489
1966-02-23,Richland-Chambers,3.028
1966-02-24,Richland-Chambers,7.3064
1966-02-25,Richland-Chambers,1.5716
1966-02-26,Richland-Chambers,1.5082
1966-02-27,Richland-Chambers,1.4675
1966-02-28,Richland-Chambers,1.4289
1966-03-01,Richland-Chambers,1.3876
1966-03-02,Richland-Chambers,1.4365
1966-03-03,Richland-Chambers,1.3044
1966-03-04,Richland-Chambers,1.2607
1966-03-05,Richland-Chambers,1.2169
1966-03-06,Richland-Chambers,1.1704
1966-03-07,Richland-Chambers,1.1186
1966-03-08,Richland-Chambers,1.0692
1966-03-09,Richland-Chambers,1.0262
1966-03-10,Richland-Chambers,0.987
1966-03-11,Richland-Chambers,0.9495
1966-03-12,Richland-Chambers,0.9087
1966-03-13,Richland-Chambers,0.8681
1966-03-14,Richland-Chambers,0.8269
1966-03-15,Richland-Chambers,0.7892
1966-03-16,Richland-Chambers,0.7549
1966-03-17,Richland-Chambers,0.7232
1966-03-18,Richland-Chambers,0.6935
1966-03-19,Richland-Chambers,0.6642
1966-03-20,Richland-Chambers,0.6376
1966-03-21,Richland-Chambers,0.6138
1966-03-22,Richland-Chambers,0.5899
1966-03-23,Richland-Chambers,1.3482
1966-03-24,Richland-Chambers,0.6929
1966-03-25,Richland-Chambers,5.388
1966-03-26,Richland-Chambers,0.5583
1966-03-27,Richland-Chambers,0.5203
1966-03-28,Richland-Chambers,0.5055
