date,reservoir,flow
1966-01-01,Texoma,1.40004
1966-01-02,Texoma,1.60192
1966-01-03,Texoma,1.31477
1966-01-04,Texoma,1.31127
1966-01-05,Texoma,1.30767
1966-01-06,Texoma,1.33476
1966-01-07,Texoma,12.32845
1966-01-08,Texoma,1.84682
1966-01-09,Texoma,1.53227
1966-01-10,Texoma,2.11116
1966-01-11,Texoma,9.59843
1966-01-12,Texoma,14.38616
1966-01-13,Texoma,1.97027
1966-01-14,Texoma,2.16152
1966-01-15,Texoma,2.08825
1966-01-16,Texoma,2.61632
1966-01-17,Texoma,15.64896
1966-01-18,Texoma,65.96391
1966-01-19,Texoma,11.17103
1966-01-20,Texoma,17.77572
1966-01-21,Texoma,10.67637
1966-01-22,Texoma,1.44614
1966-01-23,Texoma,7.20496
1966-01-24,Texoma,1.43835
1966-01-25,Texoma,1.25864
1966-01-26,Texoma,29.89831
1966-01-27,Texoma,65.71632
1966-01-28,Texoma,2.4002
1966-01-29,Texoma,1.34173
1966-01-30,Texoma,1.33461
1966-01-31,Texoma,2.30662
1966-02-01,Texoma,3.99723
1966-02-02,Texoma,33.38406
1966-02-03,Texoma,10.86847
1966-02-04,Texoma,29.836
1966-02-05,Texoma,52.52671
1966-02-06,Texoma,35.67562
1966-02-07,Texoma,58.58409
1966-02-08,Texoma,1.40228
1966-02-09,Texoma,1.98748
1966-02-10,Texoma,4.79686
1966-02-11,Texoma,9.02631
1966-02-12,Texoma,84.99967
1966-02-13,Texoma,38.62354
1966-02-14,Texoma,51.6422
1966-02-15,Texoma,6.09176
1966-02-16,Texoma,5.05396
1966-02-17,Texoma,1.3761
1966-02-18,Texoma,1.37695
1966-02-19,Texoma,1.38112
1966-02-20,Texoma,10.13793
1966-02-21,Texoma,2.15304
1966-02-22,Texoma,1.40366
1966-02-23,Texoma,8.25997
1966-02-24,Texoma,168.42002
1966-02-25,Texoma,17.25114
1966-02-26,Texoma,1.65826
1966-02-27,Texoma,32.83959
1966-02-28,Texoma,29.92849
1966-03-01,Texoma,53.11816
1966-03-02,Texoma,7.28539
1966-03-03,Texoma,3.28224
1966-03-04,Texoma,81.95238
1966-03-05,Texoma,19.83853
1966-03-06,Texoma,1.81165
1966-03-07,Texoma,1.82229
1966-03-08,Texoma,2.69843
1966-03-09,Texoma,2.31953
1966-03-10,Texoma,10.88685
1966-03-11,Texoma,2.07611
1966-03-12,Texoma,2.43658
1966-03-13,Texoma,1.74473
1966-03-14,Texoma,1.71514
1966-03-15,Texoma,1.69206
1966-03-16,Texoma,1.67048
1966-03-17,Texoma,1.65218
1966-03-18,Texoma,1.63646
1966-03-19,Texoma,1.62112
1966-03-20,Texoma,1.61152
1966-03-21,Texoma,1.5939
1966-03-22,Texoma,1.5808
1966-03-23,Texoma,1.69419
1966-03-24,Texoma,4.01414
1966-03-25,Texoma,39.24531
