date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1977-01-01,3.23397,0.02915,0.04187,0,0.23518,0.01723,0.00552,0.69969,0.31745,0.01315,6.2e-4,3.80908,0.00489,0.65562,0.04855,0.2566,0.07765,0.26266,0.81012,0.40717,6.10444,0.11279,0.00765,0.04337,1.09204,0.2316,0.46905,0.00106,0.10776,0.7565,3.16676,5.86447,0.00497,0.00307,4.4e-4,0.74589
1977-01-02,5.15012,0.04679,0.17604,0.05936,0.73714,0.34452,0.00624,1.36771,0.34756,0.01391,0.00544,5.72448,0.01474,2.1091,0.05548,0.24096,0.10811,0.52995,0.96254,0.41263,8.91895,0.15323,0.03405,0.04359,1.32012,0.31832,1.10679,0.00106,0.10763,0.75644,10.39663,5.85131,0.0072,0.00304,4.4e-4,2.43487
1977-01-03,6.16117,0.03967,0.09284,0.07702,0.52173,0.25772,0.02255,1.38975,0.76182,0.01384,0.0096,7.04944,0.00964,1.48699,0.06772,0.75884,0.09613,0.36666,1.19868,0.41196,10.77429,0.13716,0.03036,0.04468,1.59505,0.38709,1.53209,0.00218,0.12881,1.77714,7.05705,6.58601,0.01007,0.00671,0.00268,1.7899
1977-01-04,6.03045,0.0287,0.04276,0,0.22812,0.02658,0.00542,1.33807,1.23392,0.01286,6.1e-4,8.03922,0.00515,0.72962,0.04891,0.21671,0.07728,0.30081,0.80799,0.40775,6.09649,0.11183,0.00698,0.04269,1.08951,0.23435,0.4606,0.00928,0.10705,4.77699,3.39542,5.66455,0.00521,0.00673,9e-4,0.81839
1977-01-05,3.35366,0.04854,0.13512,0.14315,0.83659,0.37716,0.21279,0.98981,0.95415,0.0128,0.00163,4.8668,0.01438,1.14173,0.05356,16.38271,0.11865,0.32796,0.87943,1.07625,21.23414,0.1649,0.01918,0.04869,1.19856,0.38586,2.34117,0.02632,0.13274,20.24223,10.10641,6.78872,0.0112,0.01047,0.01145,1.36609
1977-01-06,3.26558,0.0323,0.05939,0.06493,0.38954,0.12065,0.11093,0.73386,0.38455,0.01267,0.0013,3.87595,0.00668,0.73597,0.0542,13.24431,0.08958,0.25888,0.89439,1.3542,17.51457,0.12885,0.00984,0.04463,1.22521,0.26818,1.23195,0.01115,0.26308,7.09921,3.68416,8.94312,0.01191,0.0042,0.00251,0.87492
1977-01-07,3.18675,0.03233,0.03982,0.05823,0.26708,0.02782,0.03641,0.66374,0.3091,0.01261,0.00396,3.75718,0.00449,0.6668,0.06606,3.89055,0.08807,0.2949,0.99893,0.95936,13.48057,0.12704,0.00669,0.06126,1.36824,0.26075,1.19692,0.00108,0.35201,0.85316,4.70708,13.89189,0.01167,0.0029,5.4e-4,0.77572
1977-01-08,2.9413299999999998,0.02813,0.03914,0,0.21904,0.01629,0.00539,0.65384,0.30811,0.01255,6.1e-4,3.50769,0.00443,0.60345,0.0485,0.32265,0.07679,0.25016,0.79838,0.40828,6.04598,0.11062,0.00658,0.04076,1.07794,0.23484,0.45222,0.00106,0.10612,0.75692,3.04579,5.39589,0.0055,0.00287,4.8e-4,0.69041
1977-01-09,3.11128,0.028,0.03882,0,0.21752,0.01615,0.0054,0.65082,0.30715,0.01249,6.1e-4,3.68759,0.00437,0.60665,0.04833,0.34573,0.07667,0.24846,0.79502,0.40845,6.03844,0.11032,0.0065,0.04019,1.07388,0.23499,0.45053,0.00106,0.10597,0.75718,3.14734,5.31269,0.00558,0.00285,4.9e-4,0.69317
1977-01-10,3.05908,0.02786,0.0385,0,0.21596,0.01602,0.00541,0.64792,0.30619,0.01243,6.1e-4,3.69905,0.00431,0.59674,0.0481,0.34805,0.07654,0.2468,0.79131,0.40858,6.02614,0.11003,0.00642,0.0396,1.06941,0.23514,0.4488,0.00106,0.10582,0.7574,3.00872,5.25315,0.00565,0.00283,5e-4,0.68285
1977-01-11,3.67191,0.02773,0.03819,0,0.21571,0.01589,0.00542,0.65415,0.33719,0.01238,6.1e-4,4.96412,0.00426,0.5956,0.0478,0.34129,0.07642,0.24517,0.78727,0.40867,6.01259,0.10974,0.00644,0.039,1.0645,0.23532,0.44701,0.00106,0.10565,0.75758,3.00172,5.19396,0.00572,0.00281,5.1e-4,0.68132
1977-01-12,3.47915,0.02903,0.03878,0.00144,0.22369,0.03146,0.00628,0.66298,0.3587,0.01232,0.0038,4.24672,0.00427,0.62193,0.04763,0.3592,0.07841,0.24355,0.88822,0.40873,6.41465,0.11356,0.00684,0.03914,1.18628,0.27609,0.45272,0.00301,0.10549,1.13476,3.34334,5.13706,0.00579,0.00317,0.00093000000000000005,0.71755
1977-01-13,3.46967,0.02991,0.0376,0.02261,0.25111,0.01564,0.03166,0.64298,0.3213,0.01227,0.0065,4.02851,0.00415,0.58785,0.04978,2.37338,0.0835,0.24191,0.85667,0.41489,10.12035,0.11986,0.0062,0.04635,1.16669,0.25553,0.75107,0.01539,0.19772,2.65831,3.12252,8.44267,0.00897,0.00298,0.00106,0.68612
1977-01-14,7.24666,0.02736,0.0373,0,0.20956,0.01551,0.00542,0.63651,0.30252,0.0122,6.1e-4,7.79914,0.0041,0.58832,0.04657,0.29384,0.07605,0.24106,0.77366,0.40869,5.93714,0.10887,0.00613,0.03716,1.04795,0.23539,0.43858,0.00106,0.107,0.75797,2.97883,5.11052,0.00591,0.00275,5e-4,0.6728
1977-01-15,4.71468,0.02724,0.03718,0,0.20762,0.01603,0.00541,0.63319,0.30159,0.01214,6.1e-4,5.2621,0.00411,0.60454,0.04606,0.39132,0.0759,0.24437999999999999,0.76867,0.40861,5.93058,0.10855,0.00606,0.03655,1.04185,0.23487,0.43344,0.00109,0.10497,0.8085,3.05108,4.96574,0.00596,0.00274,5e-4,0.68861000000000006
1977-01-16,3.01832,0.02786,0.04181,0.03085,0.22852,0.03752,0.02861,0.65657,0.30209,0.012070000000000001,0.03947,3.56605,0.00463,0.64787,0.07336,1.21698,0.07616,0.23774,1.30475,0.4136,12.63404,0.10923,0.00708,0.05974,1.68867,0.63364,0.77151,0.0035,0.21391,0.90302,4.4549,8.27941,0.01084,0.00322,5.9e-4,0.74111
1977-01-17,3.04479,0.07396,0.05084,0.27224,0.55752,0.10388,0.01503,0.70541,0.3396,0.012,0.14227,3.58882,0.00542,0.71996,0.12386,0.24156,0.16379,0.23646,3.79028,0.503,22.29138,0.23285,0.00679,0.16902,4.64545,1.93788,2.44334,0.00107,0.10515,1.27131,15.34605,7.57008,0.01333,0.00333,5.9e-4,1.06814
1977-01-18,3.02906,0.08898,0.04076,0.24913,0.45948,0.24949,0.05919,0.6795,0.30155,0.01193,0.09234,3.56292,0.00437,0.79109,0.13526,0.92267,0.18607,0.23903,2.88901,1.29164,22.60283,0.26305,0.0224,0.10668,3.74545,1.12324,2.86358,0.00169,0.24981,0.7738,15.54266,9.28038,0.02161,0.00282,7.3e-4,1.16671
1977-01-19,2.90274,0.02679,0.03585,0,0.19885,0.014880000000000001,0.00534,0.62065,0.29821,0.01185,6.1e-4,3.43065,0.00385,0.56705,0.04684,0.21386,0.07533,0.23177,0.7699,0.40804,5.86965,0.10732,0.00579,0.03464,1.03987,0.24727,0.41517,0.02587,0.1046,0.87224,2.82012,7.7868,0.00616,0.00267,4.8e-4,0.64947
1977-01-20,2.90871,0.02668,0.03558,0,0.19655,0.01476,0.00532,0.61778,0.29684,0.01178,6.1e-4,3.43142,0.00381,0.56394,0.04873,0.18997,0.07522,0.23013,0.78154,0.40788,5.87315,0.10707,0.00573,0.03446,1.05189,0.25709,0.41172,0.00107,0.10416,0.75803,2.82757,4.91962,0.00623,0.00266,4.7e-4,0.64596
1977-01-21,2.91364,0.02658,0.03533,0,0.19427,0.01463,0.00529,0.61504,0.29589,0.01171,6.1e-4,3.43088,0.00376,0.56091,0.05025,8.64925,0.07512,0.22852,0.79189,0.40772,6.39598,0.10683,0.00567,0.03424,1.06259,0.26523,0.40878,0.00112,0.14652,2.39612,2.83158,8.076,0.00629,0.00265,4.6e-4,0.64254
1977-01-22,2.92823,0.02703,0.03827,9e-5,0.19483,0.02282,0.00527,0.62519,0.29514,0.01165,6.1e-4,3.43959,0.0041,0.61937,0.05134,0.17533,0.07559,0.23516,0.80072,0.40752,5.9544,0.10758,0.00691,0.034,1.07196,0.27178,0.40579,0.00106,0.1039,0.75788,2.87259,5.62208,0.00636,0.00264,4.5e-4,0.70155
1977-01-23,2.96384,0.0267,0.03487,8e-5,0.19166,0.01448,0.00524,0.611,0.29408,0.01159,6.1e-4,3.47004,0.00368,0.5564,0.05204,0.1693,0.07529,0.22539,0.80753,0.40732,5.93904,0.10693,0.00576,0.03372,1.07871,0.27668,0.40256,0.00106,0.10376,0.75779,2.81852,4.77346,0.00641,0.00264,4.5e-4,0.63838
