date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2019-01-01,5.23421,0.0511,0.59762,0,0.23658,1.00212,0.00399,0.73546,0.46698,0.00664,0.00455,5.61103,0.03989,2.63853,0.10573,2.29124,0.18685,0.33734,1.65797,0.4169,16.10159,0.26847,0.01446,0.04706,2.3901,1.13041,0.52599,0.00106,0.37348,0.62198,9.19235,11.06055,0.00632,0.00221,8e-5,2.83454
2019-01-02,5.18162,0.05029,0.57599,0,0.23264,0.98202,0.00392,0.73055,0.46535,0.00661,0.00458,5.55143,0.03871,2.56932,0.10266,1.94139,0.18212,0.33279,1.62475,0.41665,15.76751,0.26162,0.01409,0.04616,2.34532,1.08456,0.51339,0.00106,0.36871,0.62215,8.98041,10.94061,0.00633,0.00221,8e-5,2.76205
2019-01-03,5.14243,0.04952,0.55607,0,0.22869,0.96288,0.00386,0.7257,0.46374,0.00658,0.0046,5.50537,0.03755,2.50391,0.09962,1.66603,0.17768,0.32845,1.59258,0.41634,15.45249,0.25518,0.01375,0.04534,2.30176,1.04444,0.50163,0.00106,0.36298,0.62229,8.78445,10.79727,0.00633,0.00221,7e-5,2.69355
2019-01-04,5.08219,0.0527,0.53875,0.116,0.23313,0.95283,0.0235,0.7238,0.4623,0.00656,0.01001,5.43968,0.0366,2.46718,0.10992,1.85472,0.18354,0.3352,1.94817,0.42946,24.05711,0.26636,0.01465,0.05373,2.84846,1.09276,1.56511,0.00107,0.53673,0.62277,13.3959,12.7726,0.01349,0.00222,7e-5,2.65724
2019-01-05,5.06147,0.04809,0.52258,0,0.22102,0.92978,0.00374,0.7171,0.46054,0.00652,0.00464,5.41406,0.03539,2.38843,0.09389,1.31678,0.17007,0.32042,1.53116,0.41568,14.89883,0.24399,0.0131,0.04379,2.21818,0.98348,0.48228,0.00107,0.35051,0.62264,8.47356,10.47941,0.00634,0.00221,7e-5,2.57268
2019-01-06,5.11505,0.04743,0.50779,0,0.21728,0.91286,0.00374,0.7129,0.45898,0.0065,0.00466,5.4632,0.03438,2.33624,0.09123,2.20658,0.16628,0.31669,1.502,0.4164,15.79916,0.23849,0.0128,0.04306,2.17833,0.95146,0.47274,0.0068,0.4113,0.7414,8.31893,10.61707,0.00634,0.00221,7e-5,2.51806
2019-01-07,5.6332,0.04678,0.52641,3e-5,0.21362,0.90585,0.00363,0.70886,0.4575,0.00647,0.03561,5.97863,0.03375,2.42174,0.08869,1.20749,0.16261,0.74561,1.47442,0.415,14.61766,0.23316,0.01255,0.0424,2.14237,0.92323,0.46342,0.00108,0.33906,0.62413,24.95406,10.96504,0.00634,0.00226,7e-5,2.60122
2019-01-08,5.04541,0.04618,0.48221,0,0.21067,0.88192,0.00357,0.70799,0.45589,0.00644,0.01018,5.38692,0.03247,2.26413,0.08627,0.9529,0.15916,0.30961,1.44651,0.41465,14.12822,0.22815,0.01232,0.04174,2.10226,0.89937,0.45411,0.00107,0.33332,0.62275,8.71492,10.06937,0.00632,0.0022,7e-5,2.44137
2019-01-09,5.9345,0.04559,0.47165,0,0.20679,0.87079,0.00352,0.70779,0.45469,0.00647,0.00473,6.34999,0.03164,2.23612,0.08395,0.83832,0.15609,0.30628,1.41997,0.41427,13.89209,0.22364,0.01198,0.04105,2.06559,0.87773,0.44597,0.00106,0.32876,0.62259,7.9646,9.80149,0.00632,0.0022,7e-5,2.4112
2019-01-10,6.3225,0.06593,0.53959,0.09935,1.2311,1.06215,0.00395,3.65626,1.13687,0.00647,0.00475,8.82476,0.04281,5.01583,0.08262,0.76497,0.19177,0.52691,1.4485,0.4159,15.38711,0.26234,0.06576,0.04043,2.10088,0.91275,1.29018,0.00106,0.32217,0.65027,8.91685,9.66322,0.00648,0.00772,0.00365,5.37578
2019-01-11,5.32324,0.04451,0.45398,0,0.20398,0.84832,0.00342,1.0478,0.58847,0.00656,0.00477,8.6421500000000009,0.03015,3.01144,0.0797,1.47436,0.15091,0.40254,1.36982,0.41348,13.49224,0.21585,0.01254,0.03984,1.9961,0.84346,0.43269,0.01658,0.31667,0.87898,7.8842,9.45561,0.0063,0.00494,4.8e-4,3.18275
2019-01-12,5.1768,0.04399,0.4461,0,0.19633,0.82954,0.00337,0.74613,0.44986,0.00924,0.00479,5.64799,0.02931,2.31546,0.07772,0.64112,0.14817,0.29732,1.34596,0.41305,13.26012,0.21183,0.01129,0.03927,1.96289,0.82288,0.42548,0.00106,0.31114000000000003,0.62247,7.65774,9.289,0.00629,0.0022,7e-5,2.48499
2019-01-13,5.14952,0.0435,0.43855,0,0.1931,0.81589,0.00332,0.68907,0.44839,0.00635,0.00481,5.52969,0.02859,2.06762,0.07581,0.5646,0.14554,0.29447,1.32281,0.41261,13.05259,0.20797,0.01108,0.03871,1.93057,0.80408,0.41833,0.00106,0.30562,0.6224,7.55189,9.12404,0.00628,0.0022,7e-5,2.23542
2019-01-14,5.03813,0.04303,0.4314,0,0.18995,0.80301,0.00328,0.68573,0.44694,0.00635,0.00483,5.45638,0.02789,2.03748,0.07396,0.50568,0.14308,0.29164,1.30036,0.41215,12.85651,0.20436000000000001,0.01088,0.03819,1.89911,0.78752,0.4118,0.00106,0.30017,0.62231,7.46445,8.96315,0.00626,0.0022,7e-5,2.2036
2019-01-15,5.92881,0.04262,0.42657,3.5e-4,0.4458,0.79356,0.00329,2.48074,0.46369,0.00648,0.00485,6.58499,0.02743,2.48182,0.0722,0.46091,0.14088,0.3102,1.27859,0.41169,12.68646,0.20106,0.01461,0.03768,1.86856,0.77376,0.41579,0.0011,0.29485,0.62236,7.41738,8.80689,0.00624,0.0022,7e-5,2.67425
2019-01-16,5.23243,0.05915,0.44289,0.21599,1.00141,1.11971,0.31828,1.83823,1.11594,0.00636,0.00541,5.81443,0.03358,2.41336,0.07498,13.001,0.17561,0.28783,1.35893,0.86346,36.38982,0.24401,0.02669,0.04111,2.02213,0.79729,3.0923,0.11397,0.57388,7.22584,7.88751,10.92697,0.01829,0.00589,0.00623,2.81348
2019-01-17,4.95256,0.04209,0.41456,0.00536,0.22491,0.78905,0.0297,0.80483,0.44266,0.00636,0.00635,5.28075,0.02599,1.95794,0.07017,5.41545,0.14112,0.28367,1.24882,0.66796,18.4745,0.20065,0.01032,0.04134,1.82634,0.75936,0.60757,0.00685,0.57286,1.9019,7.49774,15.51023,0.00834,0.0022,7e-5,2.12146
