date,reservoir,flow
1966-01-01,Palo_Pinto,0.0011
1966-01-02,Palo_Pinto,0
1966-01-03,Palo_Pinto,0
1966-01-04,Palo_Pinto,6e-4
1966-01-05,Palo_Pinto,0.002
1966-01-06,Palo_Pinto,0
1966-01-07,Palo_Pinto,0.116
1966-01-08,Palo_Pinto,0
1966-01-09,Palo_Pinto,0
1966-01-10,Palo_Pinto,0.0037
1966-01-11,Palo_Pinto,0.0177
1966-01-12,Palo_Pinto,0.1262
1966-01-13,Palo_Pinto,0
1966-01-14,Palo_Pinto,0.4182
1966-01-15,Palo_Pinto,0.1291
1966-01-16,Palo_Pinto,0.001
1966-01-17,Palo_Pinto,1e-4
1966-01-18,Palo_Pinto,1e-4
1966-01-19,Palo_Pinto,1e-4
1966-01-20,Palo_Pinto,0.0762
1966-01-21,Palo_Pinto,0.0649
1966-01-22,Palo_Pinto,2e-4
1966-01-23,Palo_Pinto,0.0294
1966-01-24,Palo_Pinto,0.0081
1966-01-25,Palo_Pinto,4e-4
1966-01-26,Palo_Pinto,0.14
1966-01-27,Palo_Pinto,1e-4
1966-01-28,Palo_Pinto,1e-4
1966-01-29,Palo_Pinto,1e-4
1966-01-30,Palo_Pinto,4e-4
1966-01-31,Palo_Pinto,1e-4
1966-02-01,Palo_Pinto,1e-4
1966-02-02,Palo_Pinto,0.12
1966-02-03,Palo_Pinto,0.0161
1966-02-04,Palo_Pinto,0.0167
1966-02-05,Palo_Pinto,0.004
1966-02-06,Palo_Pinto,1e-4
1966-02-07,Palo_Pinto,8e-4
1966-02-08,Palo_Pinto,6e-4
1966-02-09,Palo_Pinto,2e-4
1966-02-10,Palo_Pinto,0.2314
1966-02-11,Palo_Pinto,0.0015
1966-02-12,Palo_Pinto,1e-4
1966-02-13,Palo_Pinto,1e-4
1966-02-14,Palo_Pinto,1e-4
1966-02-15,Palo_Pinto,1e-4
1966-02-16,Palo_Pinto,0.0122
1966-02-17,Palo_Pinto,0.3703
1966-02-18,Palo_Pinto,0.1428
1966-02-19,Palo_Pinto,0.0417
1966-02-20,Palo_Pinto,0.0494
1966-02-21,Palo_Pinto,0.604
1966-02-22,Palo_Pinto,0.3934
1966-02-23,Palo_Pinto,1.3759
1966-02-24,Palo_Pinto,0.7111
1966-02-25,Palo_Pinto,0.0024
1966-02-26,Palo_Pinto,0.0062
1966-02-27,Palo_Pinto,0.0166
1966-02-28,Palo_Pinto,0.007
1966-03-01,Palo_Pinto,0.0039
1966-03-02,Palo_Pinto,0.007
1966-03-03,Palo_Pinto,0.1691
1966-03-04,Palo_Pinto,0.0042
1966-03-05,Palo_Pinto,0.0042
1966-03-06,Palo_Pinto,0.1263
1966-03-07,Palo_Pinto,0.0274
1966-03-08,Palo_Pinto,0.0043
1966-03-09,Palo_Pinto,0.0043
1966-03-10,Palo_Pinto,0.0048
1966-03-11,Palo_Pinto,0.0042
1966-03-12,Palo_Pinto,0.0041
1966-03-13,Palo_Pinto,0.004
1966-03-14,Palo_Pinto,0.0038
1966-03-15,Palo_Pinto,0.0101
1966-03-16,Palo_Pinto,0.0036
1966-03-17,Palo_Pinto,0.0035
1966-03-18,Palo_Pinto,0.0033
1966-03-19,Palo_Pinto,0.0032
1966-03-20,Palo_Pinto,0.0031
1966-03-21,Palo_Pinto,0.0029
1966-03-22,Palo_Pinto,0.0028
1966-03-23,Palo_Pinto,0.0026
1966-03-24,Palo_Pinto,0.0608
1966-03-25,Palo_Pinto,0.0234
1966-03-26,Palo_Pinto,0.0022
1966-03-27,Palo_Pinto,0.0021
1966-03-28,Palo_Pinto,0.0022
1966-03-29,Palo_Pinto,0.1503
1966-03-30,Palo_Pinto,0.0019
1966-03-31,Palo_Pinto,0.0018
1966-04-01,Palo_Pinto,0.0017
1966-04-02,Palo_Pinto,0.0016
1966-04-03,Palo_Pinto,0.0016
1966-04-04,Palo_Pinto,0.0015
1966-04-05,Palo_Pinto,0.0014
1966-04-06,Palo_Pinto,0.0013
1966-04-07,Palo_Pinto,0.0013
1966-04-08,Palo_Pinto,0.0012
1966-04-09,Palo_Pinto,0.0012
1966-04-10,Palo_Pinto,0.0021
1966-04-11,Palo_Pinto,0.0238
1966-04-12,Palo_Pinto,0.001
1966-04-13,Palo_Pinto,0.0011
1966-04-14,Palo_Pinto,0.0016
1966-04-15,Palo_Pinto,0.1262
1966-04-16,Palo_Pinto,0.0233
1966-04-17,Palo_Pinto,0.0135
1966-04-18,Palo_Pinto,9e-4
1966-04-19,Palo_Pinto,8e-4
1966-04-20,Palo_Pinto,8e-4
1966-04-21,Palo_Pinto,8e-4
1966-04-22,Palo_Pinto,0.002
1966-04-23,Palo_Pinto,0.3733
1966-04-24,Palo_Pinto,8e-4
1966-04-25,Palo_Pinto,8e-4
1966-04-26,Palo_Pinto,0.1522
1966-04-27,Palo_Pinto,7e-4
1966-04-28,Palo_Pinto,7e-4
1966-04-29,Palo_Pinto,8e-4
1966-04-30,Palo_Pinto,0.08
1966-05-01,Palo_Pinto,0.008
1966-05-02,Palo_Pinto,7e-4
1966-05-03,Palo_Pinto,0.0018
1966-05-04,Palo_Pinto,7e-4
1966-05-05,Palo_Pinto,0.0013
1966-05-06,Palo_Pinto,0.5751
1966-05-07,Palo_Pinto,0.0017
1966-05-08,Palo_Pinto,6e-4
1966-05-09,Palo_Pinto,6e-4
1966-05-10,Palo_Pinto,7e-4
1966-05-11,Palo_Pinto,0.3296
1966-05-12,Palo_Pinto,0.4083
1966-05-13,Palo_Pinto,0.0011
1966-05-14,Palo_Pinto,0.001
1966-05-15,Palo_Pinto,8e-4
1966-05-16,Palo_Pinto,0.001
1966-05-17,Palo_Pinto,0.0033
1966-05-18,Palo_Pinto,0.0032
1966-05-19,Palo_Pinto,0.0428
1966-05-20,Palo_Pinto,0.0021
1966-05-21,Palo_Pinto,8e-4
1966-05-22,Palo_Pinto,8e-4
1966-05-23,Palo_Pinto,7e-4
1966-05-24,Palo_Pinto,7e-4
1966-05-25,Palo_Pinto,7e-4
1966-05-26,Palo_Pinto,7e-4
1966-05-27,Palo_Pinto,0.0127
1966-05-28,Palo_Pinto,9e-4
1966-05-29,Palo_Pinto,0.0061
1966-05-30,Palo_Pinto,0.0215
1966-05-31,Palo_Pinto,0.008
1966-06-01,Palo_Pinto,7e-4
1966-06-02,Palo_Pinto,7e-4
1966-06-03,Palo_Pinto,6e-4
1966-06-04,Palo_Pinto,6e-4
1966-06-05,Palo_Pinto,0.0015
1966-06-06,Palo_Pinto,8e-4
1966-06-07,Palo_Pinto,0.0016
1966-06-08,Palo_Pinto,6e-4
1966-06-09,Palo_Pinto,0.0052
1966-06-10,Palo_Pinto,0.0326
1966-06-11,Palo_Pinto,6e-4
1966-06-12,Palo_Pinto,0.004
1966-06-13,Palo_Pinto,0.6672
1966-06-14,Palo_Pinto,0.1478
1966-06-15,Palo_Pinto,0.0064
1966-06-16,Palo_Pinto,7e-4
1966-06-17,Palo_Pinto,7e-4
1966-06-18,Palo_Pinto,0.0632
1966-06-19,Palo_Pinto,7e-4
1966-06-20,Palo_Pinto,7e-4
1966-06-21,Palo_Pinto,0.006
1966-06-22,Palo_Pinto,0.0056
1966-06-23,Palo_Pinto,6e-4
1966-06-24,Palo_Pinto,6e-4
1966-06-25,Palo_Pinto,6e-4
1966-06-26,Palo_Pinto,0.0012
1966-06-27,Palo_Pinto,0.001
1966-06-28,Palo_Pinto,8e-4
1966-06-29,Palo_Pinto,0.0455
1966-06-30,Palo_Pinto,0.0026
1966-07-01,Palo_Pinto,0.3381
1966-07-02,Palo_Pinto,0.108
1966-07-03,Palo_Pinto,0.0037
1966-07-04,Palo_Pinto,0.0042
1966-07-05,Palo_Pinto,7e-4
1966-07-06,Palo_Pinto,6e-4
1966-07-07,Palo_Pinto,6e-4
1966-07-08,Palo_Pinto,8e-4
1966-07-09,Palo_Pinto,6e-4
1966-07-10,Palo_Pinto,8e-4
1966-07-11,Palo_Pinto,0.0038
1966-07-12,Palo_Pinto,7e-4
1966-07-13,Palo_Pinto,8e-4
1966-07-14,Palo_Pinto,0.0065
1966-07-15,Palo_Pinto,0.0045
1966-07-16,Palo_Pinto,0.057
1966-07-17,Palo_Pinto,0.007
1966-07-18,Palo_Pinto,0.0014
1966-07-19,Palo_Pinto,0.0011
1966-07-20,Palo_Pinto,6e-4
1966-07-21,Palo_Pinto,6e-4
1966-07-22,Palo_Pinto,6e-4
1966-07-23,Palo_Pinto,7e-4
1966-07-24,Palo_Pinto,9e-4
1966-07-25,Palo_Pinto,6e-4
1966-07-26,Palo_Pinto,6e-4
1966-07-27,Palo_Pinto,6e-4
1966-07-28,Palo_Pinto,6e-4
1966-07-29,Palo_Pinto,6e-4
1966-07-30,Palo_Pinto,0.0026
1966-07-31,Palo_Pinto,6e-4
1966-08-01,Palo_Pinto,6e-4
1966-08-02,Palo_Pinto,0.0019
1966-08-03,Palo_Pinto,0.0023
1966-08-04,Palo_Pinto,0.1795
1966-08-05,Palo_Pinto,0.0013
1966-08-06,Palo_Pinto,6e-4
1966-08-07,Palo_Pinto,6e-4
1966-08-08,Palo_Pinto,0.0018
1966-08-09,Palo_Pinto,0.0022
1966-08-10,Palo_Pinto,6e-4
1966-08-11,Palo_Pinto,6e-4
1966-08-12,Palo_Pinto,0.002
1966-08-13,Palo_Pinto,0.0021
1966-08-14,Palo_Pinto,0.001
1966-08-15,Palo_Pinto,8e-4
1966-08-16,Palo_Pinto,0.0168
1966-08-17,Palo_Pinto,0.0011
1966-08-18,Palo_Pinto,0.0015
1966-08-19,Palo_Pinto,7e-4
1966-08-20,Palo_Pinto,6e-4
1966-08-21,Palo_Pinto,6e-4
1966-08-22,Palo_Pinto,0.0012
1966-08-23,Palo_Pinto,9e-4
1966-08-24,Palo_Pinto,5e-4
1966-08-25,Palo_Pinto,7e-4
1966-08-26,Palo_Pinto,0.0012
1966-08-27,Palo_Pinto,0.0019
1966-08-28,Palo_Pinto,0.0106
1966-08-29,Palo_Pinto,0.0291
1966-08-30,Palo_Pinto,0.0017
1966-08-31,Palo_Pinto,0.0018
1966-09-01,Palo_Pinto,0.0213
1966-09-02,Palo_Pinto,0.2878
1966-09-03,Palo_Pinto,0.0446
1966-09-04,Palo_Pinto,0.0128
1966-09-05,Palo_Pinto,8e-4
1966-09-06,Palo_Pinto,5e-4
1966-09-07,Palo_Pinto,5e-4
1966-09-08,Palo_Pinto,5e-4
1966-09-09,Palo_Pinto,5e-4
1966-09-10,Palo_Pinto,5e-4
1966-09-11,Palo_Pinto,5e-4
1966-09-12,Palo_Pinto,5e-4
1966-09-13,Palo_Pinto,5e-4
1966-09-14,Palo_Pinto,6e-4
1966-09-15,Palo_Pinto,6e-4
1966-09-16,Palo_Pinto,5e-4
1966-09-17,Palo_Pinto,5e-4
1966-09-18,Palo_Pinto,0.0017
1966-09-19,Palo_Pinto,0.0083
1966-09-20,Palo_Pinto,0.004
1966-09-21,Palo_Pinto,5e-4
1966-09-22,Palo_Pinto,5e-4
1966-09-23,Palo_Pinto,6e-4
1966-09-24,Palo_Pinto,0.0228
1966-09-25,Palo_Pinto,0.0037
1966-09-26,Palo_Pinto,0.1746
1966-09-27,Palo_Pinto,0.0012
1966-09-28,Palo_Pinto,6e-4
1966-09-29,Palo_Pinto,9e-4
1966-09-30,Palo_Pinto,8e-4
1966-10-01,Palo_Pinto,7e-4
1966-10-02,Palo_Pinto,0.0011
1966-10-03,Palo_Pinto,5e-4
1966-10-04,Palo_Pinto,5e-4
1966-10-05,Palo_Pinto,0.0074
1966-10-06,Palo_Pinto,8e-4
1966-10-07,Palo_Pinto,6e-4
1966-10-08,Palo_Pinto,0.0025
1966-10-09,Palo_Pinto,5e-4
1966-10-10,Palo_Pinto,5e-4
1966-10-11,Palo_Pinto,0.0013
1966-10-12,Palo_Pinto,0.0094
1966-10-13,Palo_Pinto,5e-4
1966-10-14,Palo_Pinto,5e-4
1966-10-15,Palo_Pinto,5e-4
1966-10-16,Palo_Pinto,5e-4
1966-10-17,Palo_Pinto,0.0149
1966-10-18,Palo_Pinto,9e-4
1966-10-19,Palo_Pinto,0.4054
1966-10-20,Palo_Pinto,0.0093
1966-10-21,Palo_Pinto,5e-4
1966-10-22,Palo_Pinto,5e-4
1966-10-23,Palo_Pinto,0.3765
1966-10-24,Palo_Pinto,0.4084
1966-10-25,Palo_Pinto,9e-4
1966-10-26,Palo_Pinto,0.0011
1966-10-27,Palo_Pinto,0.0011
1966-10-28,Palo_Pinto,0.4156
1966-10-29,Palo_Pinto,0.0015
1966-10-30,Palo_Pinto,0.0018
1966-10-31,Palo_Pinto,0.0018
1966-11-01,Palo_Pinto,0.0019
1966-11-02,Palo_Pinto,0.0019
1966-11-03,Palo_Pinto,0.0019
1966-11-04,Palo_Pinto,0.002
1966-11-05,Palo_Pinto,0.0019
1966-11-06,Palo_Pinto,0.0022
1966-11-07,Palo_Pinto,0.0019
1966-11-08,Palo_Pinto,0.0019
1966-11-09,Palo_Pinto,0.0019
1966-11-10,Palo_Pinto,0.0019
1966-11-11,Palo_Pinto,0.0019
1966-11-12,Palo_Pinto,0.0019
1966-11-13,Palo_Pinto,0.0019
1966-11-14,Palo_Pinto,0.0019
1966-11-15,Palo_Pinto,0.0019
1966-11-16,Palo_Pinto,0.0018
1966-11-17,Palo_Pinto,0.0018
1966-11-18,Palo_Pinto,0.0018
1966-11-19,Palo_Pinto,0.0018
1966-11-20,Palo_Pinto,0.0018
1966-11-21,Palo_Pinto,0.0132
1966-11-22,Palo_Pinto,0.3448
1966-11-23,Palo_Pinto,0.003
1966-11-24,Palo_Pinto,0.0018
1966-11-25,Palo_Pinto,0.0018
1966-11-26,Palo_Pinto,0.0018
1966-11-27,Palo_Pinto,0.0022
1966-11-28,Palo_Pinto,0.0031
1966-11-29,Palo_Pinto,0.0024
1966-11-30,Palo_Pinto,0.0023
1966-12-01,Palo_Pinto,0.0022
1966-12-02,Palo_Pinto,0.0017
1966-12-03,Palo_Pinto,0.0017
1966-12-04,Palo_Pinto,0.0017
1966-12-05,Palo_Pinto,0.0023
1966-12-06,Palo_Pinto,0.0017
1966-12-07,Palo_Pinto,0.0016
1966-12-08,Palo_Pinto,0.0016
1966-12-09,Palo_Pinto,0.0016
1966-12-10,Palo_Pinto,0.0016
1966-12-11,Palo_Pinto,0.0016
1966-12-12,Palo_Pinto,0.0024
1966-12-13,Palo_Pinto,0.0016
1966-12-14,Palo_Pinto,0.0016
1966-12-15,Palo_Pinto,0.0016
1966-12-16,Palo_Pinto,0.0029
1966-12-17,Palo_Pinto,0.0016
1966-12-18,Palo_Pinto,0.0016
1966-12-19,Palo_Pinto,0.0016
1966-12-20,Palo_Pinto,0.0018
1966-12-21,Palo_Pinto,0.0016
1966-12-22,Palo_Pinto,0.0018
1966-12-23,Palo_Pinto,0.0016
1966-12-24,Palo_Pinto,0.0015
1966-12-25,Palo_Pinto,0.0022
1966-12-26,Palo_Pinto,0.1066
1966-12-27,Palo_Pinto,0.0015
1966-12-28,Palo_Pinto,0.0015
1966-12-29,Palo_Pinto,0.0015
1966-12-30,Palo_Pinto,0.0015
1966-12-31,Palo_Pinto,0.249
1967-01-01,Palo_Pinto,0.6382
1967-01-02,Palo_Pinto,0.0249
1967-01-03,Palo_Pinto,0.0037
1967-01-04,Palo_Pinto,0.0022
1967-01-05,Palo_Pinto,0.0022
1967-01-06,Palo_Pinto,0.0022
1967-01-07,Palo_Pinto,0.0154
1967-01-08,Palo_Pinto,0.1094
1967-01-09,Palo_Pinto,0.0408
1967-01-10,Palo_Pinto,0.0781
1967-01-11,Palo_Pinto,0.0991
1967-01-12,Palo_Pinto,0.0078
1967-01-13,Palo_Pinto,0.0025
1967-01-14,Palo_Pinto,0.0026
1967-01-15,Palo_Pinto,0.0026
1967-01-16,Palo_Pinto,0.0026
1967-01-17,Palo_Pinto,0.0026
1967-01-18,Palo_Pinto,0.0026
1967-01-19,Palo_Pinto,0.0027
1967-01-20,Palo_Pinto,0.0025
1967-01-21,Palo_Pinto,0.2035
1967-01-22,Palo_Pinto,0.0025
1967-01-23,Palo_Pinto,0.0025
1967-01-24,Palo_Pinto,0.0025
1967-01-25,Palo_Pinto,0.1065
1967-01-26,Palo_Pinto,0.0025
1967-01-27,Palo_Pinto,0.1036
1967-01-28,Palo_Pinto,0.0025
1967-01-29,Palo_Pinto,0.1746
1967-01-30,Palo_Pinto,0.0883
1967-01-31,Palo_Pinto,0.0068
1967-02-01,Palo_Pinto,0.0034
1967-02-02,Palo_Pinto,0.0027
1967-02-03,Palo_Pinto,0.0035
1967-02-04,Palo_Pinto,0.1029
1967-02-05,Palo_Pinto,0.2193
1967-02-06,Palo_Pinto,0.0469
1967-02-07,Palo_Pinto,0.1061
1967-02-08,Palo_Pinto,0.0048
1967-02-09,Palo_Pinto,0.0041
1967-02-10,Palo_Pinto,0.0296
1967-02-11,Palo_Pinto,0.0046
1967-02-12,Palo_Pinto,0.0043
1967-02-13,Palo_Pinto,0.0043
1967-02-14,Palo_Pinto,0.0042
1967-02-15,Palo_Pinto,0.0042
1967-02-16,Palo_Pinto,0.0042
1967-02-17,Palo_Pinto,0.0041
1967-02-18,Palo_Pinto,0.0041
1967-02-19,Palo_Pinto,0.0041
1967-02-20,Palo_Pinto,0.004
1967-02-21,Palo_Pinto,0.004
1967-02-22,Palo_Pinto,0.0039
1967-02-23,Palo_Pinto,0.0039
1967-02-24,Palo_Pinto,0.0038
1967-02-25,Palo_Pinto,0.0038
1967-02-26,Palo_Pinto,0.0038
1967-02-27,Palo_Pinto,0.0037
1967-02-28,Palo_Pinto,0.0037
1967-03-01,Palo_Pinto,0.007
1967-03-02,Palo_Pinto,0.0338
1967-03-03,Palo_Pinto,0.0036
1967-03-04,Palo_Pinto,0.0036
1967-03-05,Palo_Pinto,0.0035
1967-03-06,Palo_Pinto,0.0035
1967-03-07,Palo_Pinto,0.0034
1967-03-08,Palo_Pinto,0.0034
1967-03-09,Palo_Pinto,0.0034
1967-03-10,Palo_Pinto,0.0033
1967-03-11,Palo_Pinto,0.0033
1967-03-12,Palo_Pinto,0.0033
1967-03-13,Palo_Pinto,0.0033
1967-03-14,Palo_Pinto,0.0038
1967-03-15,Palo_Pinto,0.0032
1967-03-16,Palo_Pinto,0.0032
1967-03-17,Palo_Pinto,0.0032
1967-03-18,Palo_Pinto,0.0031
1967-03-19,Palo_Pinto,0.0031
1967-03-20,Palo_Pinto,0.0031
1967-03-21,Palo_Pinto,0.003
1967-03-22,Palo_Pinto,0.0563
1967-03-23,Palo_Pinto,0.0046
1967-03-24,Palo_Pinto,0.0043
1967-03-25,Palo_Pinto,0.0033
1967-03-26,Palo_Pinto,0.0051
1967-03-27,Palo_Pinto,0.0038
1967-03-28,Palo_Pinto,0.0029
1967-03-29,Palo_Pinto,0.003
1967-03-30,Palo_Pinto,0.0028
1967-03-31,Palo_Pinto,0.0028
1967-04-01,Palo_Pinto,0.0028
1967-04-02,Palo_Pinto,0.0034
1967-04-03,Palo_Pinto,0.0117
1967-04-04,Palo_Pinto,0.0071
1967-04-05,Palo_Pinto,0.0458
1967-04-06,Palo_Pinto,0.2427
1967-04-07,Palo_Pinto,0.0028
1967-04-08,Palo_Pinto,0.0027
1967-04-09,Palo_Pinto,0.0032
1967-04-10,Palo_Pinto,0.044
1967-04-11,Palo_Pinto,0.0026
1967-04-12,Palo_Pinto,0.0026
1967-04-13,Palo_Pinto,0.0026
1967-04-14,Palo_Pinto,0.0025
1967-04-15,Palo_Pinto,0.0028
1967-04-16,Palo_Pinto,0.0035
1967-04-17,Palo_Pinto,0.0034
1967-04-18,Palo_Pinto,0.0037
1967-04-19,Palo_Pinto,0.0035
1967-04-20,Palo_Pinto,0.0024
1967-04-21,Palo_Pinto,0.0024
1967-04-22,Palo_Pinto,0.0032
1967-04-23,Palo_Pinto,0.0179
1967-04-24,Palo_Pinto,0.0036
1967-04-25,Palo_Pinto,0.0027
1967-04-26,Palo_Pinto,0.0032
1967-04-27,Palo_Pinto,0.0023
1967-04-28,Palo_Pinto,0.0023
