date,reservoir,flow
1966-01-01,Ray_Hubbard,0.508
1966-01-02,Ray_Hubbard,0.5078
1966-01-03,Ray_Hubbard,0.5076
1966-01-04,Ray_Hubbard,0.5106
1966-01-05,Ray_Hubbard,1.3447
1966-01-06,Ray_Hubbard,0.5067
1966-01-07,Ray_Hubbard,0.7708
1966-01-08,Ray_Hubbard,0.5069
1966-01-09,Ray_Hubbard,0.5058
1966-01-10,Ray_Hubbard,0.5056
1966-01-11,Ray_Hubbard,0.5055
1966-01-12,Ray_Hubbard,1.8484
1966-01-13,Ray_Hubbard,4.2207
1966-01-14,Ray_Hubbard,11.6806
1966-01-15,Ray_Hubbard,0.8393
1966-01-16,Ray_Hubbard,0.5207
1966-01-17,Ray_Hubbard,0.5292
1966-01-18,Ray_Hubbard,0.5366
1966-01-19,Ray_Hubbard,0.5438
1966-01-20,Ray_Hubbard,0.5716
1966-01-21,Ray_Hubbard,2.2972
1966-01-22,Ray_Hubbard,0.564
1966-01-23,Ray_Hubbard,0.5709
1966-01-24,Ray_Hubbard,0.576
1966-01-25,Ray_Hubbard,0.5807
1966-01-26,Ray_Hubbard,5.5429
1966-01-27,Ray_Hubbard,1.1096
1966-01-28,Ray_Hubbard,0.6039
1966-01-29,Ray_Hubbard,0.613
1966-01-30,Ray_Hubbard,0.6373
1966-01-31,Ray_Hubbard,0.6372
1966-02-01,Ray_Hubbard,0.6364
1966-02-02,Ray_Hubbard,1.3528
1966-02-03,Ray_Hubbard,2.4589
1966-02-04,Ray_Hubbard,0.655
1966-02-05,Ray_Hubbard,0.6615
1966-02-06,Ray_Hubbard,0.6678
1966-02-07,Ray_Hubbard,0.6734
1966-02-08,Ray_Hubbard,0.681
1966-02-09,Ray_Hubbard,0.6827
1966-02-10,Ray_Hubbard,9.0921
1966-02-11,Ray_Hubbard,0.7086
1966-02-12,Ray_Hubbard,0.7141
1966-02-13,Ray_Hubbard,0.7283
1966-02-14,Ray_Hubbard,0.7411
1966-02-15,Ray_Hubbard,0.7525
1966-02-16,Ray_Hubbard,0.7683
1966-02-17,Ray_Hubbard,4.3488
1966-02-18,Ray_Hubbard,5.7722
1966-02-19,Ray_Hubbard,3.3101
1966-02-20,Ray_Hubbard,1.2554
1966-02-21,Ray_Hubbard,4.6631
1966-02-22,Ray_Hubbard,4.7588
1966-02-23,Ray_Hubbard,3.3468
1966-02-24,Ray_Hubbard,12.8654
1966-02-25,Ray_Hubbard,1.2437
1966-02-26,Ray_Hubbard,1.4085
1966-02-27,Ray_Hubbard,1.5415
1966-02-28,Ray_Hubbard,1.6457
1966-03-01,Ray_Hubbard,1.7266
1966-03-02,Ray_Hubbard,1.7878
1966-03-03,Ray_Hubbard,6.6313
1966-03-04,Ray_Hubbard,2.4196
1966-03-05,Ray_Hubbard,1.9476
1966-03-06,Ray_Hubbard,2.0109
1966-03-07,Ray_Hubbard,2.0483
1966-03-08,Ray_Hubbard,2.0575
1966-03-09,Ray_Hubbard,2.0734
1966-03-10,Ray_Hubbard,2.5566
1966-03-11,Ray_Hubbard,2.0865
1966-03-12,Ray_Hubbard,2.0773
1966-03-13,Ray_Hubbard,2.0682
1966-03-14,Ray_Hubbard,2.0549
1966-03-15,Ray_Hubbard,2.0383
1966-03-16,Ray_Hubbard,2.0189
1966-03-17,Ray_Hubbard,1.9971
1966-03-18,Ray_Hubbard,1.9735
1966-03-19,Ray_Hubbard,1.9482
1966-03-20,Ray_Hubbard,1.9214
1966-03-21,Ray_Hubbard,1.8934
1966-03-22,Ray_Hubbard,1.8641
1966-03-23,Ray_Hubbard,1.834
1966-03-24,Ray_Hubbard,2.4873
1966-03-25,Ray_Hubbard,3.6146
1966-03-26,Ray_Hubbard,1.744
1966-03-27,Ray_Hubbard,1.7168
1966-03-28,Ray_Hubbard,1.6895
1966-03-29,Ray_Hubbard,6.814
1966-03-30,Ray_Hubbard,3.5162
1966-03-31,Ray_Hubbard,1.6556
1966-04-01,Ray_Hubbard,1.6291
1966-04-02,Ray_Hubbard,1.6198
1966-04-03,Ray_Hubbard,1.6309
1966-04-04,Ray_Hubbard,3.7207
1966-04-05,Ray_Hubbard,1.5808
1966-04-06,Ray_Hubbard,1.5672
1966-04-07,Ray_Hubbard,1.5519
1966-04-08,Ray_Hubbard,1.5345
1966-04-09,Ray_Hubbard,1.5158
1966-04-10,Ray_Hubbard,1.4957
1966-04-11,Ray_Hubbard,1.4968
1966-04-12,Ray_Hubbard,1.6052
1966-04-13,Ray_Hubbard,1.4321
1966-04-14,Ray_Hubbard,1.4477
1966-04-15,Ray_Hubbard,3.626
1966-04-16,Ray_Hubbard,9.173
1966-04-17,Ray_Hubbard,2.283
1966-04-18,Ray_Hubbard,1.3572
1966-04-19,Ray_Hubbard,1.3534
1966-04-20,Ray_Hubbard,1.3473
1966-04-21,Ray_Hubbard,1.3388
1966-04-22,Ray_Hubbard,1.3282
1966-04-23,Ray_Hubbard,10.7732
1966-04-24,Ray_Hubbard,1.3221
1966-04-25,Ray_Hubbard,1.3318
1966-04-26,Ray_Hubbard,1.3516
1966-04-27,Ray_Hubbard,1.3515
1966-04-28,Ray_Hubbard,1.3379
1966-04-29,Ray_Hubbard,1.333
1966-04-30,Ray_Hubbard,9.5269
1966-05-01,Ray_Hubbard,3.2715
1966-05-02,Ray_Hubbard,1.4959
1966-05-03,Ray_Hubbard,1.7554
1966-05-04,Ray_Hubbard,1.3804
1966-05-05,Ray_Hubbard,1.4991
1966-05-06,Ray_Hubbard,21.6901
1966-05-07,Ray_Hubbard,6.3212
1966-05-08,Ray_Hubbard,1.758
1966-05-09,Ray_Hubbard,1.94
1966-05-10,Ray_Hubbard,2.0657
1966-05-11,Ray_Hubbard,5.8595
1966-05-12,Ray_Hubbard,13.4796
1966-05-13,Ray_Hubbard,3.5734
1966-05-14,Ray_Hubbard,2.7486
1966-05-15,Ray_Hubbard,2.9281
