date,reservoir,flow
1966-01-01,Ray_Roberts,0.2078
1966-01-02,Ray_Roberts,0.2071
1966-01-03,Ray_Roberts,0.2068
1966-01-04,Ray_Roberts,0.2086
1966-01-05,Ray_Roberts,0.3372
1966-01-06,Ray_Roberts,0.206
1966-01-07,Ray_Roberts,0.2171
1966-01-08,Ray_Roberts,0.2066
1966-01-09,Ray_Roberts,0.2054
1966-01-10,Ray_Roberts,0.2052
1966-01-11,Ray_Roberts,0.205
1966-01-12,Ray_Roberts,0.5346
1966-01-13,Ray_Roberts,1.0017
1966-01-14,Ray_Roberts,2.0165
1966-01-15,Ray_Roberts,0.4282
1966-01-16,Ray_Roberts,0.2564
1966-01-17,Ray_Roberts,0.2262
1966-01-18,Ray_Roberts,0.2438
1966-01-19,Ray_Roberts,0.2171
1966-01-20,Ray_Roberts,0.246
1966-01-21,Ray_Roberts,0.6615
1966-01-22,Ray_Roberts,0.2238
1966-01-23,Ray_Roberts,0.2224
1966-01-24,Ray_Roberts,0.2244
1966-01-25,Ray_Roberts,0.2248
1966-01-26,Ray_Roberts,1.1397
1966-01-27,Ray_Roberts,0.3097
1966-01-28,Ray_Roberts,0.23
1966-01-29,Ray_Roberts,0.2323
1966-01-30,Ray_Roberts,0.2354
1966-01-31,Ray_Roberts,0.2361
1966-02-01,Ray_Roberts,0.2375
1966-02-02,Ray_Roberts,0.4166
1966-02-03,Ray_Roberts,0.4406
1966-02-04,Ray_Roberts,0.2414
1966-02-05,Ray_Roberts,0.2426
1966-02-06,Ray_Roberts,0.2434
1966-02-07,Ray_Roberts,0.2441
1966-02-08,Ray_Roberts,0.2454
1966-02-09,Ray_Roberts,0.2446
1966-02-10,Ray_Roberts,1.967
1966-02-11,Ray_Roberts,0.2588
1966-02-12,Ray_Roberts,0.2519
1966-02-13,Ray_Roberts,0.2558
1966-02-14,Ray_Roberts,0.2593
1966-02-15,Ray_Roberts,0.2618
1966-02-16,Ray_Roberts,0.2639
1966-02-17,Ray_Roberts,0.6652
1966-02-18,Ray_Roberts,0.8474
1966-02-19,Ray_Roberts,0.4672
1966-02-20,Ray_Roberts,0.4986
1966-02-21,Ray_Roberts,2.1993
1966-02-22,Ray_Roberts,0.6485
1966-02-23,Ray_Roberts,1.2652
1966-02-24,Ray_Roberts,3.751
1966-02-25,Ray_Roberts,0.4529
1966-02-26,Ray_Roberts,0.5295
1966-02-27,Ray_Roberts,0.5698
1966-02-28,Ray_Roberts,0.5912
1966-03-01,Ray_Roberts,0.6005
1966-03-02,Ray_Roberts,0.6019
1966-03-03,Ray_Roberts,2.7693
1966-03-04,Ray_Roberts,0.6295
1966-03-05,Ray_Roberts,0.6583
1966-03-06,Ray_Roberts,0.6744
1966-03-07,Ray_Roberts,0.6824
1966-03-08,Ray_Roberts,0.6815
1966-03-09,Ray_Roberts,0.67490000000000006
1966-03-10,Ray_Roberts,0.8532
1966-03-11,Ray_Roberts,0.6565
1966-03-12,Ray_Roberts,0.6447
1966-03-13,Ray_Roberts,0.6311
1966-03-14,Ray_Roberts,0.6184
1966-03-15,Ray_Roberts,0.6045
1966-03-16,Ray_Roberts,0.5908
1966-03-17,Ray_Roberts,0.5766
1966-03-18,Ray_Roberts,0.5618
1966-03-19,Ray_Roberts,0.547
1966-03-20,Ray_Roberts,0.5319
1966-03-21,Ray_Roberts,0.5163
1966-03-22,Ray_Roberts,0.5007
1966-03-23,Ray_Roberts,0.4854
1966-03-24,Ray_Roberts,1.5503
1966-03-25,Ray_Roberts,0.6339
1966-03-26,Ray_Roberts,0.453
1966-03-27,Ray_Roberts,0.4429
