date,reservoir,flow
1966-01-01,South_Texas_Project_Reservoir,4.2e-4
1966-01-02,South_Texas_Project_Reservoir,4.2e-4
1966-01-03,South_Texas_Project_Reservoir,4.2e-4
1966-01-04,South_Texas_Project_Reservoir,4.2e-4
1966-01-05,South_Texas_Project_Reservoir,0.00441
1966-01-06,South_Texas_Project_Reservoir,4.2e-4
1966-01-07,South_Texas_Project_Reservoir,0.00561
1966-01-08,South_Texas_Project_Reservoir,0.00182
1966-01-09,South_Texas_Project_Reservoir,4.2e-4
1966-01-10,South_Texas_Project_Reservoir,4.2e-4
1966-01-11,South_Texas_Project_Reservoir,4.2e-4
1966-01-12,South_Texas_Project_Reservoir,0.00202
1966-01-13,South_Texas_Project_Reservoir,5e-4
1966-01-14,South_Texas_Project_Reservoir,0.00559
1966-01-15,South_Texas_Project_Reservoir,4.2e-4
1966-01-16,South_Texas_Project_Reservoir,4.2e-4
1966-01-17,South_Texas_Project_Reservoir,4.2e-4
1966-01-18,South_Texas_Project_Reservoir,4.2e-4
1966-01-19,South_Texas_Project_Reservoir,4.2e-4
1966-01-20,South_Texas_Project_Reservoir,4.2e-4
1966-01-21,South_Texas_Project_Reservoir,0.0282
1966-01-22,South_Texas_Project_Reservoir,4.2e-4
1966-01-23,South_Texas_Project_Reservoir,4.3e-4
1966-01-24,South_Texas_Project_Reservoir,4.3e-4
1966-01-25,South_Texas_Project_Reservoir,4.3e-4
1966-01-26,South_Texas_Project_Reservoir,0.00228
1966-01-27,South_Texas_Project_Reservoir,0.00544
1966-01-28,South_Texas_Project_Reservoir,4.3e-4
1966-01-29,South_Texas_Project_Reservoir,4.3e-4
1966-01-30,South_Texas_Project_Reservoir,4.3e-4
1966-01-31,South_Texas_Project_Reservoir,4.3e-4
1966-02-01,South_Texas_Project_Reservoir,4.3e-4
1966-02-02,South_Texas_Project_Reservoir,4.3e-4
1966-02-03,South_Texas_Project_Reservoir,0.00671
1966-02-04,South_Texas_Project_Reservoir,4.4e-4
1966-02-05,South_Texas_Project_Reservoir,4.4e-4
1966-02-06,South_Texas_Project_Reservoir,4.4e-4
1966-02-07,South_Texas_Project_Reservoir,4.4e-4
1966-02-08,South_Texas_Project_Reservoir,4.3e-4
1966-02-09,South_Texas_Project_Reservoir,4.3e-4
1966-02-10,South_Texas_Project_Reservoir,0.01359
1966-02-11,South_Texas_Project_Reservoir,0.00103
1966-02-12,South_Texas_Project_Reservoir,4.3e-4
1966-02-13,South_Texas_Project_Reservoir,4.4e-4
1966-02-14,South_Texas_Project_Reservoir,4.4e-4
1966-02-15,South_Texas_Project_Reservoir,4.4e-4
1966-02-16,South_Texas_Project_Reservoir,4.4e-4
1966-02-17,South_Texas_Project_Reservoir,0.00593
1966-02-18,South_Texas_Project_Reservoir,0.04564
1966-02-19,South_Texas_Project_Reservoir,4.7e-4
1966-02-20,South_Texas_Project_Reservoir,4.6e-4
1966-02-21,South_Texas_Project_Reservoir,4.6e-4
1966-02-22,South_Texas_Project_Reservoir,0.00278
1966-02-23,South_Texas_Project_Reservoir,0.08822
1966-02-24,South_Texas_Project_Reservoir,0.00984
1966-02-25,South_Texas_Project_Reservoir,5.3e-4
1966-02-26,South_Texas_Project_Reservoir,5.4e-4
1966-02-27,South_Texas_Project_Reservoir,5.4e-4
1966-02-28,South_Texas_Project_Reservoir,5.4e-4
1966-03-01,South_Texas_Project_Reservoir,5.4e-4
1966-03-02,South_Texas_Project_Reservoir,0.00688
1966-03-03,South_Texas_Project_Reservoir,0.01253
1966-03-04,South_Texas_Project_Reservoir,5.5e-4
1966-03-05,South_Texas_Project_Reservoir,5.4e-4
1966-03-06,South_Texas_Project_Reservoir,0.0168
1966-03-07,South_Texas_Project_Reservoir,0.00164
1966-03-08,South_Texas_Project_Reservoir,5.5e-4
1966-03-09,South_Texas_Project_Reservoir,0.00522
1966-03-10,South_Texas_Project_Reservoir,0.01374
1966-03-11,South_Texas_Project_Reservoir,8.6e-4
1966-03-12,South_Texas_Project_Reservoir,5.7e-4
1966-03-13,South_Texas_Project_Reservoir,5.9e-4
1966-03-14,South_Texas_Project_Reservoir,5.7e-4
1966-03-15,South_Texas_Project_Reservoir,5.7e-4
1966-03-16,South_Texas_Project_Reservoir,5.7e-4
1966-03-17,South_Texas_Project_Reservoir,0.00725
1966-03-18,South_Texas_Project_Reservoir,8.5e-4
1966-03-19,South_Texas_Project_Reservoir,5.6e-4
1966-03-20,South_Texas_Project_Reservoir,5.6e-4
1966-03-21,South_Texas_Project_Reservoir,5.8e-4
1966-03-22,South_Texas_Project_Reservoir,5.8e-4
1966-03-23,South_Texas_Project_Reservoir,5.6e-4
1966-03-24,South_Texas_Project_Reservoir,6.5e-4
1966-03-25,South_Texas_Project_Reservoir,5.8e-4
1966-03-26,South_Texas_Project_Reservoir,5.5e-4
1966-03-27,South_Texas_Project_Reservoir,5.5e-4
1966-03-28,South_Texas_Project_Reservoir,5.5e-4
1966-03-29,South_Texas_Project_Reservoir,8.7e-4
1966-03-30,South_Texas_Project_Reservoir,0.01887
1966-03-31,South_Texas_Project_Reservoir,5.4e-4
1966-04-01,South_Texas_Project_Reservoir,5.4e-4
1966-04-02,South_Texas_Project_Reservoir,5.4e-4
1966-04-03,South_Texas_Project_Reservoir,0.001
1966-04-04,South_Texas_Project_Reservoir,0.00195
1966-04-05,South_Texas_Project_Reservoir,5.3e-4
1966-04-06,South_Texas_Project_Reservoir,5.3e-4
1966-04-07,South_Texas_Project_Reservoir,6.3e-4
1966-04-08,South_Texas_Project_Reservoir,5.4e-4
1966-04-09,South_Texas_Project_Reservoir,5.3e-4
1966-04-10,South_Texas_Project_Reservoir,5.2e-4
1966-04-11,South_Texas_Project_Reservoir,5.2e-4
1966-04-12,South_Texas_Project_Reservoir,5.2e-4
1966-04-13,South_Texas_Project_Reservoir,5.1e-4
1966-04-14,South_Texas_Project_Reservoir,0.00285
1966-04-15,South_Texas_Project_Reservoir,0.03025
1966-04-16,South_Texas_Project_Reservoir,0.02624
1966-04-17,South_Texas_Project_Reservoir,5.2e-4
1966-04-18,South_Texas_Project_Reservoir,5.2e-4
1966-04-19,South_Texas_Project_Reservoir,5.2e-4
1966-04-20,South_Texas_Project_Reservoir,5.2e-4
1966-04-21,South_Texas_Project_Reservoir,5.2e-4
1966-04-22,South_Texas_Project_Reservoir,5.3e-4
1966-04-23,South_Texas_Project_Reservoir,0.01134
1966-04-24,South_Texas_Project_Reservoir,5.1e-4
1966-04-25,South_Texas_Project_Reservoir,5.1e-4
1966-04-26,South_Texas_Project_Reservoir,6.5e-4
1966-04-27,South_Texas_Project_Reservoir,5.5e-4
1966-04-28,South_Texas_Project_Reservoir,5e-4
1966-04-29,South_Texas_Project_Reservoir,0.00768
1966-04-30,South_Texas_Project_Reservoir,0.03795
1966-05-01,South_Texas_Project_Reservoir,0.00145
1966-05-02,South_Texas_Project_Reservoir,5.1e-4
1966-05-03,South_Texas_Project_Reservoir,0.00465
1966-05-04,South_Texas_Project_Reservoir,0.00567
1966-05-05,South_Texas_Project_Reservoir,0.00317
1966-05-06,South_Texas_Project_Reservoir,5.2e-4
1966-05-07,South_Texas_Project_Reservoir,5.6e-4
1966-05-08,South_Texas_Project_Reservoir,5.2e-4
1966-05-09,South_Texas_Project_Reservoir,5.1e-4
1966-05-10,South_Texas_Project_Reservoir,5.1e-4
1966-05-11,South_Texas_Project_Reservoir,0.00933
1966-05-12,South_Texas_Project_Reservoir,0.02105
1966-05-13,South_Texas_Project_Reservoir,6.7e-4
1966-05-14,South_Texas_Project_Reservoir,5.1e-4
1966-05-15,South_Texas_Project_Reservoir,5.1e-4
1966-05-16,South_Texas_Project_Reservoir,8.1e-4
1966-05-17,South_Texas_Project_Reservoir,0.03727
1966-05-18,South_Texas_Project_Reservoir,0.01972
