date,reservoir,flow
1966-01-01,Texoma,1.06839
1966-01-02,Texoma,0.94952
1966-01-03,Texoma,0.94755
1966-01-04,Texoma,1.06734
1966-01-05,Texoma,12.4573
1966-01-06,Texoma,0.94177
1966-01-07,Texoma,2.45404
1966-01-08,Texoma,0.95112
1966-01-09,Texoma,0.93633
1966-01-10,Texoma,1.42224
1966-01-11,Texoma,1.14618
1966-01-12,Texoma,24.39803
1966-01-13,Texoma,19.53665
1966-01-14,Texoma,28.0407
1966-01-15,Texoma,10.87347
1966-01-16,Texoma,4.90031
1966-01-17,Texoma,2.47459
1966-01-18,Texoma,5.31828
1966-01-19,Texoma,0.93361
1966-01-20,Texoma,6.99273
1966-01-21,Texoma,17.87603
1966-01-22,Texoma,1.1159
1966-01-23,Texoma,1.3835
1966-01-24,Texoma,1.04238
1966-01-25,Texoma,1.27622
1966-01-26,Texoma,35.6183
1966-01-27,Texoma,4.39177
1966-01-28,Texoma,1.37408
1966-01-29,Texoma,0.95877
1966-01-30,Texoma,1.13053
1966-01-31,Texoma,1.00188
1966-02-01,Texoma,0.91923
1966-02-02,Texoma,16.54631
1966-02-03,Texoma,7.31583
1966-02-04,Texoma,1.60264
1966-02-05,Texoma,0.91594
1966-02-06,Texoma,0.91494
1966-02-07,Texoma,0.99225
1966-02-08,Texoma,0.95642
1966-02-09,Texoma,1.15845
1966-02-10,Texoma,143.597
1966-02-11,Texoma,3.80184
1966-02-12,Texoma,0.94891
1966-02-13,Texoma,0.95833
1966-02-14,Texoma,0.96412
1966-02-15,Texoma,0.96761
1966-02-16,Texoma,0.99363
1966-02-17,Texoma,9.96315
1966-02-18,Texoma,12.65197
1966-02-19,Texoma,14.00135
1966-02-20,Texoma,38.88382
1966-02-21,Texoma,37.97562
1966-02-22,Texoma,1.72921
1966-02-23,Texoma,48.07643
1966-02-24,Texoma,217.0283
1966-02-25,Texoma,2.44004
1966-02-26,Texoma,1.16674
1966-02-27,Texoma,1.2563
1966-02-28,Texoma,1.28571
1966-03-01,Texoma,1.18489
1966-03-02,Texoma,3.54726
1966-03-03,Texoma,98.15442
1966-03-04,Texoma,5.40885
1966-03-05,Texoma,1.51102
1966-03-06,Texoma,1.54391
1966-03-07,Texoma,1.41308
1966-03-08,Texoma,1.34876
1966-03-09,Texoma,1.32986
1966-03-10,Texoma,3.36176
1966-03-11,Texoma,1.8544
1966-03-12,Texoma,1.26991
1966-03-13,Texoma,1.24992
1966-03-14,Texoma,3.35505
1966-03-15,Texoma,1.59662
1966-03-16,Texoma,1.20386
1966-03-17,Texoma,1.18112
1966-03-18,Texoma,1.16524
1966-03-19,Texoma,1.14974
1966-03-20,Texoma,1.13516
1966-03-21,Texoma,1.12083
1966-03-22,Texoma,1.10552
1966-03-23,Texoma,1.0921
1966-03-24,Texoma,44.01548
1966-03-25,Texoma,4.15228
1966-03-26,Texoma,1.08578
1966-03-27,Texoma,1.0849
1966-03-28,Texoma,1.14946
1966-03-29,Texoma,115.0106
1966-03-30,Texoma,5.40842
1966-03-31,Texoma,4.60024
1966-04-01,Texoma,1.12783
1966-04-02,Texoma,1.12401
1966-04-03,Texoma,1.29926
1966-04-04,Texoma,3.71875
1966-04-05,Texoma,1.09338
1966-04-06,Texoma,1.11884
1966-04-07,Texoma,1.07247
1966-04-08,Texoma,1.0582
