date,reservoir,flow
1966-01-01,Toledo_Bend,2.6584
1966-01-02,Toledo_Bend,2.656
1966-01-03,Toledo_Bend,2.6531
1966-01-04,Toledo_Bend,2.6711
1966-01-05,Toledo_Bend,7.1107
1966-01-06,Toledo_Bend,2.8065
1966-01-07,Toledo_Bend,2.8006
1966-01-08,Toledo_Bend,10.9627
1966-01-09,Toledo_Bend,2.6422
1966-01-10,Toledo_Bend,2.8309
1966-01-11,Toledo_Bend,4.009
1966-01-12,Toledo_Bend,9.2757
1966-01-13,Toledo_Bend,9.078
1966-01-14,Toledo_Bend,13.7646
1966-01-15,Toledo_Bend,3.1783
1966-01-16,Toledo_Bend,2.6761
1966-01-17,Toledo_Bend,2.6411
1966-01-18,Toledo_Bend,2.6447
1966-01-19,Toledo_Bend,2.6482
1966-01-20,Toledo_Bend,2.6821
1966-01-21,Toledo_Bend,13.0297
1966-01-22,Toledo_Bend,4.4992
1966-01-23,Toledo_Bend,2.6576
1966-01-24,Toledo_Bend,2.6593
1966-01-25,Toledo_Bend,2.6652
1966-01-26,Toledo_Bend,11.2401
1966-01-27,Toledo_Bend,13.1971
1966-01-28,Toledo_Bend,2.6701
1966-01-29,Toledo_Bend,2.6768
1966-01-30,Toledo_Bend,2.6957
1966-01-31,Toledo_Bend,2.7056
1966-02-01,Toledo_Bend,2.6895
1966-02-02,Toledo_Bend,3.0224
1966-02-03,Toledo_Bend,15.0576
1966-02-04,Toledo_Bend,2.7755
1966-02-05,Toledo_Bend,2.6977
1966-02-06,Toledo_Bend,2.6999
1966-02-07,Toledo_Bend,2.701
1966-02-08,Toledo_Bend,2.7032
1966-02-09,Toledo_Bend,2.7002
1966-02-10,Toledo_Bend,28.2464
1966-02-11,Toledo_Bend,6.4169
1966-02-12,Toledo_Bend,2.7113
1966-02-13,Toledo_Bend,2.7203
1966-02-14,Toledo_Bend,2.7234
1966-02-15,Toledo_Bend,2.7272
1966-02-16,Toledo_Bend,2.7318
1966-02-17,Toledo_Bend,14.3173
1966-02-18,Toledo_Bend,45.3414
1966-02-19,Toledo_Bend,34.1458
1966-02-20,Toledo_Bend,4.738
1966-02-21,Toledo_Bend,8.8361
1966-02-22,Toledo_Bend,7.9025
1966-02-23,Toledo_Bend,17.1424
1966-02-24,Toledo_Bend,72.5522
1966-02-25,Toledo_Bend,3.854
1966-02-26,Toledo_Bend,4.3297
1966-02-27,Toledo_Bend,4.6838
1966-02-28,Toledo_Bend,4.9363
1966-03-01,Toledo_Bend,5.107
1966-03-02,Toledo_Bend,5.2154
1966-03-03,Toledo_Bend,18.0702
1966-03-04,Toledo_Bend,8.5215
1966-03-05,Toledo_Bend,5.3734
1966-03-06,Toledo_Bend,8.4746
1966-03-07,Toledo_Bend,23.8641
1966-03-08,Toledo_Bend,5.6699
1966-03-09,Toledo_Bend,5.5667
1966-03-10,Toledo_Bend,15.404
1966-03-11,Toledo_Bend,5.6209
1966-03-12,Toledo_Bend,5.6263
1966-03-13,Toledo_Bend,5.6186
1966-03-14,Toledo_Bend,5.5941
1966-03-15,Toledo_Bend,5.5568
1966-03-16,Toledo_Bend,5.5108
1966-03-17,Toledo_Bend,5.4583
1966-03-18,Toledo_Bend,5.4124
1966-03-19,Toledo_Bend,5.342
1966-03-20,Toledo_Bend,5.2799
1966-03-21,Toledo_Bend,5.2197
1966-03-22,Toledo_Bend,5.1568
1966-03-23,Toledo_Bend,5.0849
1966-03-24,Toledo_Bend,5.0878
1966-03-25,Toledo_Bend,8.2091
1966-03-26,Toledo_Bend,4.8923
1966-03-27,Toledo_Bend,4.8295
1966-03-28,Toledo_Bend,4.7677
1966-03-29,Toledo_Bend,9.1891
1966-03-30,Toledo_Bend,72.9557
1966-03-31,Toledo_Bend,6.454
1966-04-01,Toledo_Bend,4.795
1966-04-02,Toledo_Bend,4.8638
1966-04-03,Toledo_Bend,5.1085
1966-04-04,Toledo_Bend,18.6559
1966-04-05,Toledo_Bend,4.9876
1966-04-06,Toledo_Bend,5.0183
1966-04-07,Toledo_Bend,7.8259
1966-04-08,Toledo_Bend,5.1827
1966-04-09,Toledo_Bend,5.0311
1966-04-10,Toledo_Bend,5.0088
1966-04-11,Toledo_Bend,4.9764
1966-04-12,Toledo_Bend,5.0336
1966-04-13,Toledo_Bend,4.9241
1966-04-14,Toledo_Bend,4.8351
1966-04-15,Toledo_Bend,5.0059
1966-04-16,Toledo_Bend,39.757
1966-04-17,Toledo_Bend,9.1787
1966-04-18,Toledo_Bend,4.7182
1966-04-19,Toledo_Bend,4.7132
1966-04-20,Toledo_Bend,4.7005
1966-04-21,Toledo_Bend,4.6764
1966-04-22,Toledo_Bend,4.6437
1966-04-23,Toledo_Bend,31.7844
1966-04-24,Toledo_Bend,5.855
1966-04-25,Toledo_Bend,4.6498
1966-04-26,Toledo_Bend,4.7501
1966-04-27,Toledo_Bend,9.9135
1966-04-28,Toledo_Bend,4.5938
1966-04-29,Toledo_Bend,4.5639
1966-04-30,Toledo_Bend,27.112
1966-05-01,Toledo_Bend,63.7229
1966-05-02,Toledo_Bend,25.14
1966-05-03,Toledo_Bend,13.8375
1966-05-04,Toledo_Bend,6.2961
1966-05-05,Toledo_Bend,6.1661
1966-05-06,Toledo_Bend,84.825
1966-05-07,Toledo_Bend,45.9048
1966-05-08,Toledo_Bend,15.1468
1966-05-09,Toledo_Bend,12.6925
1966-05-10,Toledo_Bend,13.1806
1966-05-11,Toledo_Bend,13.8563
1966-05-12,Toledo_Bend,60.5142
1966-05-13,Toledo_Bend,22.0002
1966-05-14,Toledo_Bend,14.8414
1966-05-15,Toledo_Bend,15.1163
1966-05-16,Toledo_Bend,15.0168
1966-05-17,Toledo_Bend,32.5631
1966-05-18,Toledo_Bend,15.6167
1966-05-19,Toledo_Bend,14.4309
1966-05-20,Toledo_Bend,25.5144
1966-05-21,Toledo_Bend,33.6213
1966-05-22,Toledo_Bend,33.2903
1966-05-23,Toledo_Bend,21.4935
1966-05-24,Toledo_Bend,16.211
1966-05-25,Toledo_Bend,13.5075
