date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1988-01-01,7.22374,0.18441,0.70827,0.08796,1.79208,0.85362,0.11301,2.94539,1.38684,0.00667,0.00733,7.58421,0.04992,3.26986,0.31539,11.96817,0.53803,2.6218,1.34903,1.44635,23.32769,0.74485,0.03941,0.07312,2.12943,0.28219,3.01306,0.00125,0.20743,0.90323,36.08948,28.34554,0.02829,0.00216,0.00093000000000000005,4.4597
1988-01-02,5.22277,0.17356,0.31144,0,0.57188,0.07841,0.0138,1.7128,1.29577,0.0067,0.00762,5.51431,0.03254,1.14066,0.28198,3.18257,0.51337,2.32562,1.35776,0.45076,16.56953,0.71387,0.02008,0.07305,2.14668,0.28228,2.0591,0.00106,0.18153,0.77277,39.86134,24.64412,0.02806,0.00198,2.7e-4,1.8767
1988-01-03,4.15904,0.09346,0.28576,0.00222,0.53587,0.06483,0.01392,0.44369,0.4625,0.00672,0.03521,4.44869,0.0248,0.82624,0.26757,2.79537,0.50555,0.36526,1.42239,0.45496,16.98435,0.71056,0.01987,0.07482,2.24705,0.30535,2.08014,0.00106,0.18762,0.77477,33.90893,24.53766,0.0295,0.00198,2.9e-4,1.46299
1988-01-04,3.95479,0.09442,0.27972,6.7e-4,0.52305,0.03448,0.01376,0.42513,0.436,0.00673,0.00978,4.24279,0.02458,0.81285,0.252,2.40701,0.49982,0.2016,1.41282,0.45817,16.59327,0.70462,0.01915,0.07272,2.24449,0.28322,2.06457,0.00106,0.18772,0.7764,10.86535,24.08637,0.03037,0.00199,3.1e-4,1.38548
1988-01-05,3.97954,0.09403,0.26792,0,0.51508,0.01503,0.01396,0.42995,0.44789,0.00674,0.00732,4.2669,0.02393,0.78372,0.23894,2.1967,0.48767,0.20726,1.42006,0.46065,16.573,0.68949,0.01815,0.07035,2.26141,0.28003,2.02506,0.00107,0.18946,0.80044,5.65147,23.56888,0.03108,0.00199,3.2e-4,1.29802
1988-01-06,3.91402,0.09285,0.25363,0.00112,0.51304,0.01532,0.01313,0.43408,0.45804,0.00674,0.0134,4.20084,0.02304,0.7624,0.22766,1.8195,0.472,0.21026,1.42916,0.463,16.4833,0.66913,0.01751,0.06924,2.27796,0.27864,2.00654,0.00106,0.18987,0.77881,5.99206,22.91976,0.03173,0.002,3.3e-4,1.24929
1988-01-07,3.91219,0.09119,0.23896,1.5e-4,0.50196,0.01557,0.0128,0.43325,0.46813,0.00673,0.0112,4.19816,0.02207,0.73929,0.21678,1.61865,0.4547,0.21257,1.42789,0.46414,16.23015,0.64612,0.0167,0.06715,2.28064,0.27706,1.92217,0.00808,0.19059,0.78402,5.23088,22.30027,0.03193,0.00203,3.3e-4,1.20567
1988-01-08,3.84848,0.08926,0.22554,0.00124,0.48955,0.03461,0.01247,0.43262,0.4687,0.00672,0.00805,4.13224,0.02109,0.71848,0.20735,1.394,0.43682,0.21389,1.43609,0.46535,16.08811,0.62197,0.01606,0.0657,2.29216,0.27847,1.86408,0.00106,0.19116,0.78056,4.90542,21.7072,0.0321,0.00201,3.3e-4,1.15512
1988-01-09,3.83853,0.08721,0.21363,2e-4,0.48318,0.03624,0.01218,0.43173,0.47247,0.00671,0.00748,4.12345,0.02015,0.6999,0.19731,1.23011,0.41928,0.2139,1.41894,0.46633,15.81826,0.59801,0.01554,0.06353,2.27067,0.28014,1.79486,0.0011,0.19161,0.79052,4.86604,20.99492,0.03217,0.00204,3.3e-4,1.11064
1988-01-10,3.84861,0.0851,0.20285,0,0.47598,0.01616,0.01182,0.43285,0.47498,0.00669,0.00731,4.13318,0.01926,0.67629,0.18837,1.08432,0.40213,0.21316,1.40978,0.46705,15.48637,0.57437,0.01492,0.06136,2.25783,0.27186,1.72895,0.00106,0.19185,0.78181,4.49014,20.30605,0.0321,0.00202,3.2e-4,1.05933
1988-01-11,3.84491,0.08302,0.19331,0.04853,0.71327,0.05194,0.19316,0.67933,0.62017,0.00672,0.00731,4.25205,0.01844,0.7013,0.17994,10.78016,0.38789,0.21229,1.39875,0.64947,18.50747,0.55391,0.01735,0.05948,2.24178,0.27085,2.48082,0.07947,0.1932,9.07693,4.48769,19.67464,0.03254,0.00978,0.00762,1.09217
1988-01-12,3.80594,0.08097,0.18453,0.01327,0.52147,0.05348,0.06917,0.46376,0.51154,0.00667,0.01061,4.09407,0.01766,0.66202,0.17291,28.69975,0.37229,0.21211,1.40261,0.60277,20.9364,0.53227,0.0153,0.05889,2.24727,0.27351,1.76591,0.0477,0.21259,7.87953,4.60162,20.38981,0.03212,0.00295,0.00263,1.01571
1988-01-13,3.78808,0.07897,0.17569,7.3e-4,0.4619,0.01659,0.01195,0.42815,0.48665,0.00665,0.00949,4.07513,0.01694,0.62873,0.16463,1.06956,0.35624,0.21198,1.37717,0.46844,14.73944,0.51021,0.01352,0.05597,2.20636,0.26862,1.55842,0.00124,0.19673,0.78497,4.16659,19.26458,0.03157,0.00204,3.3e-4,0.95336
1988-01-14,3.81177,0.07703,0.16764,0,0.45502,0.01671,0.01113,0.42674,0.47953,0.00664,0.00731,4.10241,0.01628,0.6143,0.15756,1.05484,0.34183,0.21152,1.35672,0.4687,14.39319,0.48992,0.01312,0.05409,2.17728,0.26511,1.49503,0.00106,0.1918,0.78444,3.96745,17.93162,0.03125,0.00203,3.3e-4,0.92238
1988-01-15,3.98259,0.07515,0.16003,0,0.44986,0.01681,0.01099,0.42511,0.47956,0.00662,0.00731,4.26665,0.01566,0.60505,0.15079,1.09178,0.32789,0.2106,1.3406,0.46887,14.114,0.47028,0.01274,0.0524,2.15211,0.26317,1.43389,0.00113,0.19147,0.78716,3.99124,17.39038,0.03092,0.00203,3.4e-4,0.89768
