date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2033-01-01,4.5756,0.01336,0.0277,0,0.00989,0.00558,4.3e-4,0.32084,0.29323,0.00548,3.2e-4,4.73454,0.00278,0.32969,0.01978,2.9e-4,0.04296,0.14637,0.23226,0.22099,2.3773,0.06002,0.00268,0.03247,0.36733,0.05762,0.15849,4.7e-4,0.02912,0.59546,1.35399,2.2874,0.00174,0.00161,0,0.35263
2033-01-02,4.38149,0.01334,0.02753,2e-5,0.00986,0.00561,4.3e-4,0.32022,0.29268,0.00545,3.2e-4,4.5482,0.00276,0.3287,0.01969,0.05662,0.04293,0.14507,0.2329,0.22081,2.38325,0.05998,0.00266,0.032,0.36836,0.05757,0.15853,4.9e-4,0.0291,0.59568,1.3434,2.33141,0.00175,0.0017,0,0.35159
2033-01-03,4.26733,0.01334,0.02735,7e-5,0.00981,0.00563,4.5e-4,0.31958,0.29192,0.00543,3.2e-4,4.44539,0.00273,0.32772,0.01962,0.01291,0.04289,0.14377,0.23349,0.22067,2.39359,0.05994,0.00264,0.03153,0.36927,0.05752,0.15881,4.8e-4,0.02922,0.60186,1.33376,3.66728,0.00177,0.00163,0,0.35055
2033-01-04,4.28846,0.01332,0.02716,0,0.00976,0.00566,4.3e-4,0.31895,0.29126,0.00541,3.2e-4,4.44724,0.00271,0.32676,0.01952,5.2e-4,0.04286,0.14251,0.23402,0.22045,2.37813,0.0599,0.00263,0.031,0.37007,0.05748,0.15818,4.7e-4,0.029,0.59373,1.32438,2.30642,0.00174,0.0016,0,0.34948
2033-01-05,4.33974,0.01331,0.02696,0,0.00972,0.00568,4.3e-4,0.31832,0.2906,0.00539,3.2e-4,4.49818,0.00269,0.3258,0.01943,3e-4,0.04284,0.14124,0.23451,0.22027,2.37738,0.05986,0.00261,0.03048,0.37078,0.05742,0.1581,4.6e-4,0.02896,0.59316,1.31504,2.29133,0.00174,0.0016,0,0.34844
2033-01-06,4.37584,0.01331,0.02676,0,0.00968,0.0057,4.3e-4,0.31772,0.28995,0.00537,3.2e-4,4.53412,0.00267,0.32486,0.01934,3e-4,0.0428,0.13998,0.23494,0.2201,2.37697,0.05981,0.0026,0.02995,0.37138,0.05737,0.158,4.6e-4,0.02892,0.59259,1.30633,2.29074,0.00173,0.0016,0,0.34742
2033-01-07,4.28406,0.01329,0.02657,0,0.00967,0.00572,4.2e-4,0.31712,0.29006,0.00535,3.2e-4,4.44451,0.00265,0.32393,0.01926,3e-4,0.04277,0.13874,0.23532,0.21991,2.37641,0.05977,0.00258,0.02942,0.3719,0.05732,0.15789,4.6e-4,0.02888,0.59202,1.29774,2.2896,0.00173,0.00193,0,0.34641
2033-01-08,4.58232,0.01329,0.02637,9.2e-4,0.01004,0.00575,0.0011,0.31657,0.28922,0.00533,3.2e-4,4.74066,0.00263,0.323,0.01926,0.9137,0.04273,0.1375,0.23585,0.21983,2.4642,0.05973,0.00256,0.02901,0.37291,0.05726,0.1618,0.00322,0.02904,0.61936,1.28949,2.6406,0.00179,0.00179,0,0.34793
2033-01-09,4.58149,0.01328,0.02617,0,0.00955,0.00574,4.2e-4,0.31595,0.28809,0.00531,4.9e-4,5.42111,0.0026,0.32208,0.01909,0.09092,0.0427,0.13627,0.23596,0.21956,2.43484,0.05968,0.00255,0.02837,0.37268,0.05721,0.15774,5.5e-4,0.02887,0.59131,1.28126,2.73109,0.00173,0.0016,0,0.34443
2033-01-10,4.36745,0.01327,0.02598,0,0.00949,0.00576,4.2e-4,0.31592,0.28773,0.00529,3.2e-4,12.47268,0.00259,0.32117,0.01901,3.1e-4,0.04267,0.13507,0.23622,0.21937,2.37381,0.05965,0.00254,0.02785,0.37295,0.05715,0.15759,0.00605,0.02877,0.6523,1.27346,2.28317,0.00173,0.00191,0,0.34343
