date,reservoir,flow
1966-01-01,Greenville_City,0.01142
1966-01-02,Greenville_City,0.01142
1966-01-03,Greenville_City,0.01141
1966-01-04,Greenville_City,0.01141
1966-01-05,Greenville_City,0.0114
1966-01-06,Greenville_City,0.0114
1966-01-07,Greenville_City,0.01139
1966-01-08,Greenville_City,0.01139
1966-01-09,Greenville_City,0.01142
1966-01-10,Greenville_City,0.01568
1966-01-11,Greenville_City,0.01142
1966-01-12,Greenville_City,0.01137
1966-01-13,Greenville_City,0.01136
1966-01-14,Greenville_City,0.13133
1966-01-15,Greenville_City,0.10704
1966-01-16,Greenville_City,0.0137
1966-01-17,Greenville_City,0.01139
1966-01-18,Greenville_City,0.01135
1966-01-19,Greenville_City,0.01135
1966-01-20,Greenville_City,0.01135
1966-01-21,Greenville_City,0.01134
1966-01-22,Greenville_City,0.01134
1966-01-23,Greenville_City,0.01135
1966-01-24,Greenville_City,0.01134
1966-01-25,Greenville_City,0.01133
1966-01-26,Greenville_City,0.01133
1966-01-27,Greenville_City,0.01143
1966-01-28,Greenville_City,0.01133
1966-01-29,Greenville_City,0.01132
1966-01-30,Greenville_City,0.01132
1966-01-31,Greenville_City,0.01138
1966-02-01,Greenville_City,0.01132
1966-02-02,Greenville_City,0.01132
1966-02-03,Greenville_City,0.01132
1966-02-04,Greenville_City,0.01131
1966-02-05,Greenville_City,0.01131
1966-02-06,Greenville_City,0.0113
1966-02-07,Greenville_City,0.0113
1966-02-08,Greenville_City,0.01129
1966-02-09,Greenville_City,0.01129
1966-02-10,Greenville_City,0.01129
1966-02-11,Greenville_City,0.0113
1966-02-12,Greenville_City,0.01632
1966-02-13,Greenville_City,0.02725
1966-02-14,Greenville_City,0.01128
1966-02-15,Greenville_City,0.01127
1966-02-16,Greenville_City,0.01128
1966-02-17,Greenville_City,0.01126
1966-02-18,Greenville_City,0.01133
1966-02-19,Greenville_City,0.02615
1966-02-20,Greenville_City,0.02325
1966-02-21,Greenville_City,0.01131
1966-02-22,Greenville_City,0.20193
1966-02-23,Greenville_City,0.01201
1966-02-24,Greenville_City,0.01128
1966-02-25,Greenville_City,0.01125
1966-02-26,Greenville_City,0.01124
1966-02-27,Greenville_City,0.01124
1966-02-28,Greenville_City,0.05127
1966-03-01,Greenville_City,0.01586
1966-03-02,Greenville_City,0.01124
1966-03-03,Greenville_City,0.01124
1966-03-04,Greenville_City,0.01126
1966-03-05,Greenville_City,0.01126
1966-03-06,Greenville_City,0.10457
1966-03-07,Greenville_City,0.02583
1966-03-08,Greenville_City,0.01125
1966-03-09,Greenville_City,0.01125
1966-03-10,Greenville_City,0.04877
1966-03-11,Greenville_City,0.02049
1966-03-12,Greenville_City,0.0113
1966-03-13,Greenville_City,0.01126
1966-03-14,Greenville_City,0.01126
1966-03-15,Greenville_City,0.01126
1966-03-16,Greenville_City,0.01126
1966-03-17,Greenville_City,0.01127
1966-03-18,Greenville_City,0.01127
1966-03-19,Greenville_City,0.01127
1966-03-20,Greenville_City,0.01127
1966-03-21,Greenville_City,0.01127
1966-03-22,Greenville_City,0.01127
1966-03-23,Greenville_City,0.01148
1966-03-24,Greenville_City,0.01148
1966-03-25,Greenville_City,0.01126
1966-03-26,Greenville_City,0.01126
1966-03-27,Greenville_City,0.02755
1966-03-28,Greenville_City,0.0114
1966-03-29,Greenville_City,0.01126
1966-03-30,Greenville_City,0.17147
1966-03-31,Greenville_City,0.39278
1966-04-01,Greenville_City,0.01129
1966-04-02,Greenville_City,0.01133
1966-04-03,Greenville_City,0.01136
1966-04-04,Greenville_City,0.05338
1966-04-05,Greenville_City,0.03729
1966-04-06,Greenville_City,0.01145
1966-04-07,Greenville_City,0.01147
1966-04-08,Greenville_City,0.0115
1966-04-09,Greenville_City,0.16758
1966-04-10,Greenville_City,0.01156
1966-04-11,Greenville_City,0.01158
1966-04-12,Greenville_City,0.01162
1966-04-13,Greenville_City,0.01166
1966-04-14,Greenville_City,0.01321
1966-04-15,Greenville_City,0.01174
1966-04-16,Greenville_City,0.01177
1966-04-17,Greenville_City,0.0118
1966-04-18,Greenville_City,0.01183
1966-04-19,Greenville_City,0.05506
1966-04-20,Greenville_City,0.02056
1966-04-21,Greenville_City,0.01188
1966-04-22,Greenville_City,0.0119
1966-04-23,Greenville_City,0.03503
1966-04-24,Greenville_City,0.2456
1966-04-25,Greenville_City,0.01196
1966-04-26,Greenville_City,0.01201
1966-04-27,Greenville_City,0.01204
1966-04-28,Greenville_City,0.01208
1966-04-29,Greenville_City,0.0121
1966-04-30,Greenville_City,0.01211
1966-05-01,Greenville_City,0.01212
1966-05-02,Greenville_City,0.01212
1966-05-03,Greenville_City,0.01214
1966-05-04,Greenville_City,0.01225
1966-05-05,Greenville_City,0.01212
1966-05-06,Greenville_City,0.01211
1966-05-07,Greenville_City,0.07336
1966-05-08,Greenville_City,1.0669
1966-05-09,Greenville_City,0.01627
1966-05-10,Greenville_City,0.0144
1966-05-11,Greenville_City,0.0148
1966-05-12,Greenville_City,0.015
1966-05-13,Greenville_City,0.02791
1966-05-14,Greenville_City,0.02493
1966-05-15,Greenville_City,0.25984
1966-05-16,Greenville_City,0.17987
1966-05-17,Greenville_City,0.01704
1966-05-18,Greenville_City,0.01853
1966-05-19,Greenville_City,0.02058
1966-05-20,Greenville_City,0.02593
1966-05-21,Greenville_City,0.02655
1966-05-22,Greenville_City,0.02685
1966-05-23,Greenville_City,0.02797
1966-05-24,Greenville_City,0.02859
1966-05-25,Greenville_City,0.02878
1966-05-26,Greenville_City,0.02895
1966-05-27,Greenville_City,0.02829
1966-05-28,Greenville_City,0.02777
1966-05-29,Greenville_City,0.02715
1966-05-30,Greenville_City,0.02647
1966-05-31,Greenville_City,0.02606
1966-06-01,Greenville_City,0.02552
1966-06-02,Greenville_City,0.02474
1966-06-03,Greenville_City,0.02606
1966-06-04,Greenville_City,0.0232
1966-06-05,Greenville_City,0.02264
1966-06-06,Greenville_City,0.0221
1966-06-07,Greenville_City,0.0216
1966-06-08,Greenville_City,0.02113
1966-06-09,Greenville_City,0.0207
1966-06-10,Greenville_City,0.02029
1966-06-11,Greenville_City,0.01993
1966-06-12,Greenville_City,0.01952
1966-06-13,Greenville_City,0.01918
1966-06-14,Greenville_City,0.01886
1966-06-15,Greenville_City,0.01856
1966-06-16,Greenville_City,0.01828
1966-06-17,Greenville_City,0.01803
1966-06-18,Greenville_City,0.01932
1966-06-19,Greenville_City,0.01757
1966-06-20,Greenville_City,0.01753
1966-06-21,Greenville_City,0.05752
1966-06-22,Greenville_City,0.01752
1966-06-23,Greenville_City,0.02135
1966-06-24,Greenville_City,0.03369
1966-06-25,Greenville_City,0.02027
1966-06-26,Greenville_City,0.01635
1966-06-27,Greenville_City,0.01621
1966-06-28,Greenville_City,0.01609
1966-06-29,Greenville_City,0.01598
1966-06-30,Greenville_City,0.01588
1966-07-01,Greenville_City,0.01624
1966-07-02,Greenville_City,0.01576
1966-07-03,Greenville_City,0.01581
1966-07-04,Greenville_City,0.01554
1966-07-05,Greenville_City,0.01566
1966-07-06,Greenville_City,0.01535
1966-07-07,Greenville_City,0.03036
1966-07-08,Greenville_City,0.01548
1966-07-09,Greenville_City,0.01517
1966-07-10,Greenville_City,0.01507
1966-07-11,Greenville_City,0.01501
1966-07-12,Greenville_City,0.01501
1966-07-13,Greenville_City,0.04229
1966-07-14,Greenville_City,0.22254
1966-07-15,Greenville_City,0.36827
1966-07-16,Greenville_City,0.23388
1966-07-17,Greenville_City,0.17024
1966-07-18,Greenville_City,0.01575
1966-07-19,Greenville_City,0.02887
1966-07-20,Greenville_City,0.01797
1966-07-21,Greenville_City,0.01851
1966-07-22,Greenville_City,0.01887
1966-07-23,Greenville_City,0.01999
1966-07-24,Greenville_City,0.02002
1966-07-25,Greenville_City,0.02045
1966-07-26,Greenville_City,0.02042
1966-07-27,Greenville_City,0.02242
1966-07-28,Greenville_City,0.0206
1966-07-29,Greenville_City,0.02122
1966-07-30,Greenville_City,0.02048
1966-07-31,Greenville_City,0.02036
1966-08-01,Greenville_City,0.02021
1966-08-02,Greenville_City,0.02004
1966-08-03,Greenville_City,0.01985
1966-08-04,Greenville_City,0.02014
1966-08-05,Greenville_City,0.01947
1966-08-06,Greenville_City,0.01927
1966-08-07,Greenville_City,0.01922
1966-08-08,Greenville_City,0.15587
1966-08-09,Greenville_City,0.15168
1966-08-10,Greenville_City,0.119
1966-08-11,Greenville_City,0.01961
1966-08-12,Greenville_City,0.02017
1966-08-13,Greenville_City,0.02063
1966-08-14,Greenville_City,0.02502
1966-08-15,Greenville_City,0.02132999999999999
1966-08-16,Greenville_City,0.02134
1966-08-17,Greenville_City,0.0214
1966-08-18,Greenville_City,0.0214
1966-08-19,Greenville_City,0.02132999999999999
1966-08-20,Greenville_City,0.02121
1966-08-21,Greenville_City,0.02107
1966-08-22,Greenville_City,0.0209
1966-08-23,Greenville_City,0.0207
1966-08-24,Greenville_City,0.02056
1966-08-25,Greenville_City,0.02025
1966-08-26,Greenville_City,0.02002
1966-08-27,Greenville_City,0.01979
1966-08-28,Greenville_City,0.01955
1966-08-29,Greenville_City,0.01932
1966-08-30,Greenville_City,0.01912
1966-08-31,Greenville_City,0.02005
1966-09-01,Greenville_City,0.25795
1966-09-02,Greenville_City,0.01875
1966-09-03,Greenville_City,0.01888
1966-09-04,Greenville_City,0.01901
1966-09-05,Greenville_City,0.01909
1966-09-06,Greenville_City,0.01914
1966-09-07,Greenville_City,0.01914
1966-09-08,Greenville_City,0.01925
1966-09-09,Greenville_City,0.02131
1966-09-10,Greenville_City,0.01915
1966-09-11,Greenville_City,0.01891
1966-09-12,Greenville_City,0.0188
1966-09-13,Greenville_City,0.01873
1966-09-14,Greenville_City,0.2335
1966-09-15,Greenville_City,0.10277
1966-09-16,Greenville_City,0.01928
1966-09-17,Greenville_City,0.03674
1966-09-18,Greenville_City,0.07959
1966-09-19,Greenville_City,0.07859
1966-09-20,Greenville_City,0.09958
1966-09-21,Greenville_City,0.07711
1966-09-22,Greenville_City,0.35048
1966-09-23,Greenville_City,0.03254
1966-09-24,Greenville_City,0.04066
1966-09-25,Greenville_City,0.04638
1966-09-26,Greenville_City,0.04994
1966-09-27,Greenville_City,0.05198
1966-09-28,Greenville_City,0.06002
1966-09-29,Greenville_City,0.19188
1966-09-30,Greenville_City,0.05393
1966-10-01,Greenville_City,0.05576
1966-10-02,Greenville_City,0.0565
1966-10-03,Greenville_City,0.05632
1966-10-04,Greenville_City,0.05551
1966-10-05,Greenville_City,0.05428
1966-10-06,Greenville_City,0.06312
1966-10-07,Greenville_City,0.08314
1966-10-08,Greenville_City,0.18936
1966-10-09,Greenville_City,0.07522
1966-10-10,Greenville_City,0.05162
1966-10-11,Greenville_City,0.05236
1966-10-12,Greenville_City,0.05272
1966-10-13,Greenville_City,0.05199
1966-10-14,Greenville_City,0.05136
1966-10-15,Greenville_City,0.05047
1966-10-16,Greenville_City,0.04936
1966-10-17,Greenville_City,0.04807
1966-10-18,Greenville_City,0.04687
1966-10-19,Greenville_City,0.08631
1966-10-20,Greenville_City,0.04399
1966-10-21,Greenville_City,0.04284
1966-10-22,Greenville_City,0.04171
1966-10-23,Greenville_City,0.06406
1966-10-24,Greenville_City,0.0397
1966-10-25,Greenville_City,0.03862
1966-10-26,Greenville_City,0.03768
1966-10-27,Greenville_City,0.03675
1966-10-28,Greenville_City,0.03586
1966-10-29,Greenville_City,0.03516
1966-10-30,Greenville_City,0.05056
1966-10-31,Greenville_City,0.03345
1966-11-01,Greenville_City,0.03259
1966-11-02,Greenville_City,0.03189
1966-11-03,Greenville_City,0.03124
1966-11-04,Greenville_City,0.03061
1966-11-05,Greenville_City,0.03001
1966-11-06,Greenville_City,0.02943
1966-11-07,Greenville_City,0.02887
1966-11-08,Greenville_City,0.02833
1966-11-09,Greenville_City,0.02782
1966-11-10,Greenville_City,0.02734
1966-11-11,Greenville_City,0.02687
1966-11-12,Greenville_City,0.02643
1966-11-13,Greenville_City,0.026
1966-11-14,Greenville_City,0.02559
1966-11-15,Greenville_City,0.02523
1966-11-16,Greenville_City,0.02554
1966-11-17,Greenville_City,0.02449
1966-11-18,Greenville_City,0.02413
1966-11-19,Greenville_City,0.02383
1966-11-20,Greenville_City,0.02372
1966-11-21,Greenville_City,0.02321
1966-11-22,Greenville_City,0.02293
1966-11-23,Greenville_City,0.07935
1966-11-24,Greenville_City,0.14581
1966-11-25,Greenville_City,0.02255
1966-11-26,Greenville_City,0.03195
1966-11-27,Greenville_City,0.02332
1966-11-28,Greenville_City,0.03157
1966-11-29,Greenville_City,0.02342
1966-11-30,Greenville_City,0.0236
1966-12-01,Greenville_City,0.02374
1966-12-02,Greenville_City,0.02385
1966-12-03,Greenville_City,0.02393
1966-12-04,Greenville_City,0.02398
1966-12-05,Greenville_City,0.024
1966-12-06,Greenville_City,0.02406
1966-12-07,Greenville_City,0.02398
1966-12-08,Greenville_City,0.02398
1966-12-09,Greenville_City,0.02389
1966-12-10,Greenville_City,0.02383
1966-12-11,Greenville_City,0.02375
1966-12-12,Greenville_City,0.02365
1966-12-13,Greenville_City,0.02355
1966-12-14,Greenville_City,0.02343
1966-12-15,Greenville_City,0.0413
1966-12-16,Greenville_City,0.04481
1966-12-17,Greenville_City,0.02307
1966-12-18,Greenville_City,0.02353
1966-12-19,Greenville_City,0.0229
1966-12-20,Greenville_City,0.02282
1966-12-21,Greenville_City,0.02274
1966-12-22,Greenville_City,0.02265
1966-12-23,Greenville_City,0.02256
1966-12-24,Greenville_City,0.02256
1966-12-25,Greenville_City,0.02251
1966-12-26,Greenville_City,0.02226
1966-12-27,Greenville_City,0.02215
1966-12-28,Greenville_City,0.02204
1966-12-29,Greenville_City,0.02193
1966-12-30,Greenville_City,0.02193
1966-12-31,Greenville_City,0.02172
1967-01-01,Greenville_City,0.0216
1967-01-02,Greenville_City,0.02148
1967-01-03,Greenville_City,0.03435
1967-01-04,Greenville_City,0.1428
1967-01-05,Greenville_City,0.04982
1967-01-06,Greenville_City,0.02149
1967-01-07,Greenville_City,0.0217
1967-01-08,Greenville_City,0.02191
1967-01-09,Greenville_City,0.12141
1967-01-10,Greenville_City,0.0225
1967-01-11,Greenville_City,0.02302
1967-01-12,Greenville_City,0.02352
1967-01-13,Greenville_City,0.02398
1967-01-14,Greenville_City,0.02437
1967-01-15,Greenville_City,0.0247
1967-01-16,Greenville_City,0.02499
1967-01-17,Greenville_City,0.02876
1967-01-18,Greenville_City,0.02536
1967-01-19,Greenville_City,0.02547
1967-01-20,Greenville_City,0.02553
1967-01-21,Greenville_City,0.0291
1967-01-22,Greenville_City,0.13112
1967-01-23,Greenville_City,0.05923
1967-01-24,Greenville_City,0.02633
1967-01-25,Greenville_City,0.02688
1967-01-26,Greenville_City,0.02736
1967-01-27,Greenville_City,0.02775
1967-01-28,Greenville_City,0.02804
1967-01-29,Greenville_City,0.02823
1967-01-30,Greenville_City,0.02833
1967-01-31,Greenville_City,0.02836
1967-02-01,Greenville_City,0.02831
1967-02-02,Greenville_City,0.02821
1967-02-03,Greenville_City,0.0281
1967-02-04,Greenville_City,0.0349
1967-02-05,Greenville_City,0.20265
1967-02-06,Greenville_City,0.10771
1967-02-07,Greenville_City,0.21785
1967-02-08,Greenville_City,0.03492
1967-02-09,Greenville_City,0.04018
1967-02-10,Greenville_City,0.04441
1967-02-11,Greenville_City,0.04779
1967-02-12,Greenville_City,0.05055
1967-02-13,Greenville_City,0.05262
1967-02-14,Greenville_City,0.05395
1967-02-15,Greenville_City,0.05458
1967-02-16,Greenville_City,0.05461
1967-02-17,Greenville_City,0.05417
1967-02-18,Greenville_City,0.05336
1967-02-19,Greenville_City,0.05229
1967-02-20,Greenville_City,0.05108
1967-02-21,Greenville_City,0.04982
1967-02-22,Greenville_City,0.04857
1967-02-23,Greenville_City,0.04736
1967-02-24,Greenville_City,0.05271
1967-02-25,Greenville_City,0.04503
1967-02-26,Greenville_City,0.04393
