date,reservoir,flow
1966-01-01,Livingston,3.53201
1966-01-02,Livingston,3.50461
1966-01-03,Livingston,3.50214
1966-01-04,Livingston,3.49897
1966-01-05,Livingston,3.49535
1966-01-06,Livingston,3.49147
1966-01-07,Livingston,3.48715
1966-01-08,Livingston,3.48253
1966-01-09,Livingston,3.50882
1966-01-10,Livingston,4.16752
1966-01-11,Livingston,3.47174
1966-01-12,Livingston,3.46307
1966-01-13,Livingston,3.45801
1966-01-14,Livingston,21.35406
1966-01-15,Livingston,33.33191
1966-01-16,Livingston,3.97093
1966-01-17,Livingston,3.44816
1966-01-18,Livingston,3.44666
1966-01-19,Livingston,3.44579
1966-01-20,Livingston,3.47748
1966-01-21,Livingston,3.51161
1966-01-22,Livingston,3.44344
1966-01-23,Livingston,3.44145
1966-01-24,Livingston,3.44591
1966-01-25,Livingston,3.53653
1966-01-26,Livingston,3.65835
1966-01-27,Livingston,3.55739
1966-01-28,Livingston,3.42187
1966-01-29,Livingston,3.41762
1966-01-30,Livingston,3.42689
1966-01-31,Livingston,3.41887
1966-02-01,Livingston,3.44518
1966-02-02,Livingston,3.40165
1966-02-03,Livingston,3.58863
1966-02-04,Livingston,3.39401
1966-02-05,Livingston,3.38707
1966-02-06,Livingston,3.78628
1966-02-07,Livingston,3.65862
1966-02-08,Livingston,3.37589
1966-02-09,Livingston,3.36964
1966-02-10,Livingston,3.36695
1966-02-11,Livingston,3.37733
1966-02-12,Livingston,20.77158
1966-02-13,Livingston,8.84444
1966-02-14,Livingston,3.41982
1966-02-15,Livingston,3.78756
1966-02-16,Livingston,3.35495
1966-02-17,Livingston,3.33657
1966-02-18,Livingston,10.45494
1966-02-19,Livingston,4.36106
1966-02-20,Livingston,3.37803
1966-02-21,Livingston,31.352
1966-02-22,Livingston,57.59217
1966-02-23,Livingston,3.99661
1966-02-24,Livingston,3.39513
1966-02-25,Livingston,3.32979
1966-02-26,Livingston,3.3308
1966-02-27,Livingston,3.33064
1966-02-28,Livingston,14.4342
1966-03-01,Livingston,5.84248
1966-03-02,Livingston,3.3281
1966-03-03,Livingston,3.32683
1966-03-04,Livingston,3.51236
1966-03-05,Livingston,3.32823
1966-03-06,Livingston,44.53919
1966-03-07,Livingston,3.77115
1966-03-08,Livingston,3.32181
1966-03-09,Livingston,3.32653
1966-03-10,Livingston,7.73569
1966-03-11,Livingston,16.00269
1966-03-12,Livingston,3.80877
1966-03-13,Livingston,3.65743
1966-03-14,Livingston,3.33556
1966-03-15,Livingston,3.33103
1966-03-16,Livingston,25.22843
1966-03-17,Livingston,13.86855
1966-03-18,Livingston,3.33632
1966-03-19,Livingston,3.33964
1966-03-20,Livingston,3.34099
1966-03-21,Livingston,3.34081
1966-03-22,Livingston,3.34704
1966-03-23,Livingston,11.2123
1966-03-24,Livingston,3.60404
1966-03-25,Livingston,3.3319
1966-03-26,Livingston,3.32916
1966-03-27,Livingston,37.79055
1966-03-28,Livingston,9.20384
1966-03-29,Livingston,3.9782
1966-03-30,Livingston,85.97649
1966-03-31,Livingston,67.09075
1966-04-01,Livingston,3.38772
1966-04-02,Livingston,3.41682
1966-04-03,Livingston,3.43919
1966-04-04,Livingston,52.58724
1966-04-05,Livingston,43.37587
1966-04-06,Livingston,3.56981
1966-04-07,Livingston,3.62336
1966-04-08,Livingston,3.67307
1966-04-09,Livingston,99.2991
1966-04-10,Livingston,3.77268
1966-04-11,Livingston,3.83241
1966-04-12,Livingston,3.87239
1966-04-13,Livingston,3.8925
1966-04-14,Livingston,12.84176
1966-04-15,Livingston,3.91337
1966-04-16,Livingston,3.92018
1966-04-17,Livingston,3.92215
1966-04-18,Livingston,3.91943
1966-04-19,Livingston,14.79577
1966-04-20,Livingston,6.68661
1966-04-21,Livingston,3.91218
1966-04-22,Livingston,3.90673
1966-04-23,Livingston,14.89017
1966-04-24,Livingston,35.05368
1966-04-25,Livingston,3.92065
1966-04-26,Livingston,4.02232
1966-04-27,Livingston,3.96822
1966-04-28,Livingston,3.9797
1966-04-29,Livingston,3.98354
1966-04-30,Livingston,3.98142
1966-05-01,Livingston,3.97275
1966-05-02,Livingston,3.95875
1966-05-03,Livingston,4.27078
1966-05-04,Livingston,4.24434
1966-05-05,Livingston,3.9065
1966-05-06,Livingston,3.93397
1966-05-07,Livingston,38.54921
1966-05-08,Livingston,231.6282
1966-05-09,Livingston,25.54429
1966-05-10,Livingston,5.73507
1966-05-11,Livingston,6.17273
1966-05-12,Livingston,8.28747
1966-05-13,Livingston,39.76485
1966-05-14,Livingston,7.32569
1966-05-15,Livingston,92.49263
1966-05-16,Livingston,85.51915
1966-05-17,Livingston,8.09141
1966-05-18,Livingston,8.36424
1966-05-19,Livingston,8.36737
1966-05-20,Livingston,88.90588
1966-05-21,Livingston,51.05436
1966-05-22,Livingston,8.232
1966-05-23,Livingston,8.13916
1966-05-24,Livingston,7.89891
1966-05-25,Livingston,10.12974
1966-05-26,Livingston,7.59364
1966-05-27,Livingston,7.36124
1966-05-28,Livingston,7.17549
1966-05-29,Livingston,7.09954
1966-05-30,Livingston,6.83358
1966-05-31,Livingston,6.86725
1966-06-01,Livingston,6.55705
1966-06-02,Livingston,6.7002
1966-06-03,Livingston,8.58112
1966-06-04,Livingston,8.04089
1966-06-05,Livingston,5.96336
1966-06-06,Livingston,5.87853
1966-06-07,Livingston,5.77677
1966-06-08,Livingston,5.66425
1966-06-09,Livingston,6.35555
1966-06-10,Livingston,9.95317
1966-06-11,Livingston,8.94716
1966-06-12,Livingston,5.32427
1966-06-13,Livingston,5.97994
1966-06-14,Livingston,5.10815
1966-06-15,Livingston,5.07776
1966-06-16,Livingston,4.96993
1966-06-17,Livingston,4.90222
1966-06-18,Livingston,5.00304
1966-06-19,Livingston,4.79177
1966-06-20,Livingston,4.73244
1966-06-21,Livingston,5.66514
1966-06-22,Livingston,21.97475
1966-06-23,Livingston,37.23185
1966-06-24,Livingston,18.57919
1966-06-25,Livingston,41.94909
1966-06-26,Livingston,4.65898
1966-06-27,Livingston,4.5502
1966-06-28,Livingston,4.43485
1966-06-29,Livingston,4.47293
1966-06-30,Livingston,13.32038
1966-07-01,Livingston,4.56355
1966-07-02,Livingston,4.67415
1966-07-03,Livingston,6.06618
1966-07-04,Livingston,26.53329
1966-07-05,Livingston,18.8932
1966-07-06,Livingston,4.70169
1966-07-07,Livingston,8.81679
1966-07-08,Livingston,10.15589
1966-07-09,Livingston,4.20778
1966-07-10,Livingston,4.1301
1966-07-11,Livingston,4.11321
1966-07-12,Livingston,4.11037
1966-07-13,Livingston,20.75469
1966-07-14,Livingston,80.89197
1966-07-15,Livingston,93.65373
1966-07-16,Livingston,42.94504
1966-07-17,Livingston,51.00467
1966-07-18,Livingston,18.88887
1966-07-19,Livingston,7.7614
1966-07-20,Livingston,7.19921
1966-07-21,Livingston,7.13637
1966-07-22,Livingston,7.39402
1966-07-23,Livingston,7.27433
1966-07-24,Livingston,7.21789
1966-07-25,Livingston,6.55597
1966-07-26,Livingston,6.4103
1966-07-27,Livingston,9.19498
1966-07-28,Livingston,6.29366
1966-07-29,Livingston,6.10391
1966-07-30,Livingston,5.94311
1966-07-31,Livingston,5.89091
1966-08-01,Livingston,5.77585
1966-08-02,Livingston,5.67324
1966-08-03,Livingston,5.61513
1966-08-04,Livingston,5.47508
1966-08-05,Livingston,5.40055
1966-08-06,Livingston,5.32095
1966-08-07,Livingston,9.37924
1966-08-08,Livingston,49.0894
1966-08-09,Livingston,147.96068
1966-08-10,Livingston,37.6716
1966-08-11,Livingston,7.12145
1966-08-12,Livingston,7.12396
1966-08-13,Livingston,5.89761
1966-08-14,Livingston,7.13772
1966-08-15,Livingston,8.7058700000000009
1966-08-16,Livingston,8.57337
1966-08-17,Livingston,6.73928
1966-08-18,Livingston,8.40767
1966-08-19,Livingston,8.88239
1966-08-20,Livingston,5.75084
1966-08-21,Livingston,5.84003
1966-08-22,Livingston,5.79578
1966-08-23,Livingston,6.16223
1966-08-24,Livingston,9.80114
1966-08-25,Livingston,5.44443
1966-08-26,Livingston,5.36889
1966-08-27,Livingston,5.36719
1966-08-28,Livingston,5.4064
1966-08-29,Livingston,5.19126
1966-08-30,Livingston,5.3398
1966-08-31,Livingston,5.38158
1966-09-01,Livingston,28.38722
1966-09-02,Livingston,16.83918
1966-09-03,Livingston,4.94174
1966-09-04,Livingston,4.89208
