date,reservoir,flow
1966-01-01,Ray_Hubbard,0.47803
1966-01-02,Ray_Hubbard,0.47748
1966-01-03,Ray_Hubbard,0.47685
1966-01-04,Ray_Hubbard,0.47626
1966-01-05,Ray_Hubbard,0.47566
1966-01-06,Ray_Hubbard,0.47505
1966-01-07,Ray_Hubbard,0.47444
1966-01-08,Ray_Hubbard,0.47383
1966-01-09,Ray_Hubbard,0.47556
1966-01-10,Ray_Hubbard,0.58354
1966-01-11,Ray_Hubbard,0.47279
1966-01-12,Ray_Hubbard,0.4713
1966-01-13,Ray_Hubbard,0.47066
1966-01-14,Ray_Hubbard,2.80368
1966-01-15,Ray_Hubbard,3.34596
1966-01-16,Ray_Hubbard,0.55355
1966-01-17,Ray_Hubbard,0.46969
1966-01-18,Ray_Hubbard,0.46865
1966-01-19,Ray_Hubbard,0.46843
1966-01-20,Ray_Hubbard,0.46824
1966-01-21,Ray_Hubbard,0.46804
1966-01-22,Ray_Hubbard,0.46781
1966-01-23,Ray_Hubbard,0.468
1966-01-24,Ray_Hubbard,0.46733
1966-01-25,Ray_Hubbard,0.4671
1966-01-26,Ray_Hubbard,0.46683
1966-01-27,Ray_Hubbard,0.47028
1966-01-28,Ray_Hubbard,0.46623
1966-01-29,Ray_Hubbard,0.46591
1966-01-30,Ray_Hubbard,0.46559
1966-01-31,Ray_Hubbard,0.46785
1966-02-01,Ray_Hubbard,0.46484
1966-02-02,Ray_Hubbard,0.46445
1966-02-03,Ray_Hubbard,0.46424
1966-02-04,Ray_Hubbard,0.4636
1966-02-05,Ray_Hubbard,0.46315
1966-02-06,Ray_Hubbard,0.46407
1966-02-07,Ray_Hubbard,0.4657
1966-02-08,Ray_Hubbard,0.46172
1966-02-09,Ray_Hubbard,0.46123
1966-02-10,Ray_Hubbard,0.46097
1966-02-11,Ray_Hubbard,0.46056
1966-02-12,Ray_Hubbard,0.98848
1966-02-13,Ray_Hubbard,1.17215
1966-02-14,Ray_Hubbard,0.46297
1966-02-15,Ray_Hubbard,0.53565
1966-02-16,Ray_Hubbard,0.45758
1966-02-17,Ray_Hubbard,0.45702
1966-02-18,Ray_Hubbard,0.46437
1966-02-19,Ray_Hubbard,0.55543
1966-02-20,Ray_Hubbard,0.5007
1966-02-21,Ray_Hubbard,0.50585
1966-02-22,Ray_Hubbard,6.44098
1966-02-23,Ray_Hubbard,0.52408
1966-02-24,Ray_Hubbard,0.45561
1966-02-25,Ray_Hubbard,0.45489
1966-02-26,Ray_Hubbard,0.45514
1966-02-27,Ray_Hubbard,0.45536
1966-02-28,Ray_Hubbard,1.68466
1966-03-01,Ray_Hubbard,0.5605
1966-03-02,Ray_Hubbard,0.45607
1966-03-03,Ray_Hubbard,0.45633
1966-03-04,Ray_Hubbard,0.4882
1966-03-05,Ray_Hubbard,0.45834
1966-03-06,Ray_Hubbard,4.50245
1966-03-07,Ray_Hubbard,0.88505
1966-03-08,Ray_Hubbard,0.45866
1966-03-09,Ray_Hubbard,0.45969
1966-03-10,Ray_Hubbard,2.24376
1966-03-11,Ray_Hubbard,0.73524
1966-03-12,Ray_Hubbard,0.47055
1966-03-13,Ray_Hubbard,0.46404
1966-03-14,Ray_Hubbard,0.46512
1966-03-15,Ray_Hubbard,0.4661
1966-03-16,Ray_Hubbard,0.46697
1966-03-17,Ray_Hubbard,0.47098
1966-03-18,Ray_Hubbard,0.46838
1966-03-19,Ray_Hubbard,0.46892
1966-03-20,Ray_Hubbard,0.46936
1966-03-21,Ray_Hubbard,0.46969
1966-03-22,Ray_Hubbard,0.4699
1966-03-23,Ray_Hubbard,0.52735
1966-03-24,Ray_Hubbard,0.5075
1966-03-25,Ray_Hubbard,0.47001
1966-03-26,Ray_Hubbard,0.46989
1966-03-27,Ray_Hubbard,1.7938
1966-03-28,Ray_Hubbard,0.51497
1966-03-29,Ray_Hubbard,0.47517
1966-03-30,Ray_Hubbard,8.1816
1966-03-31,Ray_Hubbard,11.60563
1966-04-01,Ray_Hubbard,0.4813
1966-04-02,Ray_Hubbard,0.49326
1966-04-03,Ray_Hubbard,0.50414
1966-04-04,Ray_Hubbard,3.31722
1966-04-05,Ray_Hubbard,1.93099
1966-04-06,Ray_Hubbard,0.53496
1966-04-07,Ray_Hubbard,0.54574
1966-04-08,Ray_Hubbard,0.55529
1966-04-09,Ray_Hubbard,7.88311
1966-04-10,Ray_Hubbard,0.5811
1966-04-11,Ray_Hubbard,0.59897
1966-04-12,Ray_Hubbard,0.6152
1966-04-13,Ray_Hubbard,0.62883
1966-04-14,Ray_Hubbard,1.08424
1966-04-15,Ray_Hubbard,0.64921
1966-04-16,Ray_Hubbard,0.65707
1966-04-17,Ray_Hubbard,0.6634
1966-04-18,Ray_Hubbard,0.66826
1966-04-19,Ray_Hubbard,2.09889
1966-04-20,Ray_Hubbard,1.47152
1966-04-21,Ray_Hubbard,0.67813
