date,reservoir,flow
1966-01-01,Toledo_Bend,4.94282
1966-01-02,Toledo_Bend,4.9567
1966-01-03,Toledo_Bend,4.98148
1966-01-04,Toledo_Bend,4.99285
1966-01-05,Toledo_Bend,4.99188
1966-01-06,Toledo_Bend,4.98116
1966-01-07,Toledo_Bend,4.965
1966-01-08,Toledo_Bend,4.93955
1966-01-09,Toledo_Bend,4.92216
1966-01-10,Toledo_Bend,6.4719
1966-01-11,Toledo_Bend,4.85332
1966-01-12,Toledo_Bend,4.81192
1966-01-13,Toledo_Bend,4.77578
1966-01-14,Toledo_Bend,10.54583
1966-01-15,Toledo_Bend,26.17777
1966-01-16,Toledo_Bend,7.71232
1966-01-17,Toledo_Bend,4.6827
1966-01-18,Toledo_Bend,4.68217
1966-01-19,Toledo_Bend,4.6792299999999996
1966-01-20,Toledo_Bend,4.67304
1966-01-21,Toledo_Bend,4.66358
1966-01-22,Toledo_Bend,4.65106
1966-01-23,Toledo_Bend,4.63618
1966-01-24,Toledo_Bend,4.61866
1966-01-25,Toledo_Bend,4.6138
1966-01-26,Toledo_Bend,4.57888
1966-01-27,Toledo_Bend,4.55833
1966-01-28,Toledo_Bend,4.53159
1966-01-29,Toledo_Bend,4.5056
1966-01-30,Toledo_Bend,4.49454
1966-01-31,Toledo_Bend,4.47822
1966-02-01,Toledo_Bend,4.62758
1966-02-02,Toledo_Bend,4.39506
1966-02-03,Toledo_Bend,5.24598
1966-02-04,Toledo_Bend,4.6053
1966-02-05,Toledo_Bend,4.30578
1966-02-06,Toledo_Bend,4.27632
1966-02-07,Toledo_Bend,4.24788
1966-02-08,Toledo_Bend,4.21916
1966-02-09,Toledo_Bend,4.1896
1966-02-10,Toledo_Bend,4.16947
1966-02-11,Toledo_Bend,4.13526
1966-02-12,Toledo_Bend,4.34784
1966-02-13,Toledo_Bend,8.19462
1966-02-14,Toledo_Bend,4.63103
1966-02-15,Toledo_Bend,4.0545
1966-02-16,Toledo_Bend,4.03983
1966-02-17,Toledo_Bend,3.97305
1966-02-18,Toledo_Bend,8.48934
1966-02-19,Toledo_Bend,50.87081
1966-02-20,Toledo_Bend,4.83632
1966-02-21,Toledo_Bend,11.10167
1966-02-22,Toledo_Bend,69.57709
1966-02-23,Toledo_Bend,10.99596
1966-02-24,Toledo_Bend,4.99884
1966-02-25,Toledo_Bend,5.54083
1966-02-26,Toledo_Bend,5.97417
1966-02-27,Toledo_Bend,6.30677
1966-02-28,Toledo_Bend,13.71252
1966-03-01,Toledo_Bend,15.86045
1966-03-02,Toledo_Bend,7.00857
1966-03-03,Toledo_Bend,7.18818
1966-03-04,Toledo_Bend,7.31051
1966-03-05,Toledo_Bend,7.38341
1966-03-06,Toledo_Bend,35.7156
1966-03-07,Toledo_Bend,11.30576
1966-03-08,Toledo_Bend,7.65404
1966-03-09,Toledo_Bend,7.75931
1966-03-10,Toledo_Bend,9.13717
1966-03-11,Toledo_Bend,12.41578
1966-03-12,Toledo_Bend,7.84542
1966-03-13,Toledo_Bend,7.82008
1966-03-14,Toledo_Bend,7.774
1966-03-15,Toledo_Bend,7.70624
1966-03-16,Toledo_Bend,37.11086
1966-03-17,Toledo_Bend,21.74268
1966-03-18,Toledo_Bend,7.78807
1966-03-19,Toledo_Bend,7.91512
1966-03-20,Toledo_Bend,7.98477
1966-03-21,Toledo_Bend,8.00384
1966-03-22,Toledo_Bend,7.97742
1966-03-23,Toledo_Bend,12.39489
1966-03-24,Toledo_Bend,14.46985
1966-03-25,Toledo_Bend,7.80766
1966-03-26,Toledo_Bend,7.74492
1966-03-27,Toledo_Bend,22.31121
1966-03-28,Toledo_Bend,10.22972
1966-03-29,Toledo_Bend,7.59498
1966-03-30,Toledo_Bend,32.10388
1966-03-31,Toledo_Bend,48.29056
1966-04-01,Toledo_Bend,7.8866
1966-04-02,Toledo_Bend,8.06943
1966-04-03,Toledo_Bend,8.21355
1966-04-04,Toledo_Bend,22.72347
1966-04-05,Toledo_Bend,54.83624
1966-04-06,Toledo_Bend,9.02965
1966-04-07,Toledo_Bend,9.60432
1966-04-08,Toledo_Bend,9.95535
1966-04-09,Toledo_Bend,71.92391
1966-04-10,Toledo_Bend,11.25896
1966-04-11,Toledo_Bend,12.08858
1966-04-12,Toledo_Bend,12.60795
1966-04-13,Toledo_Bend,12.79929
1966-04-14,Toledo_Bend,35.02006
1966-04-15,Toledo_Bend,12.8741
1966-04-16,Toledo_Bend,12.8828
1966-04-17,Toledo_Bend,12.77097
1966-04-18,Toledo_Bend,12.56231
1966-04-19,Toledo_Bend,12.74938
1966-04-20,Toledo_Bend,14.33844
1966-04-21,Toledo_Bend,11.72253
1966-04-22,Toledo_Bend,11.38552
1966-04-23,Toledo_Bend,11.58342
1966-04-24,Toledo_Bend,97.25071
1966-04-25,Toledo_Bend,11.04517
1966-04-26,Toledo_Bend,11.45662
1966-04-27,Toledo_Bend,11.64355
1966-04-28,Toledo_Bend,11.67417
1966-04-29,Toledo_Bend,11.58435
1966-04-30,Toledo_Bend,11.401
1966-05-01,Toledo_Bend,11.15028
1966-05-02,Toledo_Bend,10.85421
1966-05-03,Toledo_Bend,10.54067
1966-05-04,Toledo_Bend,10.48906
1966-05-05,Toledo_Bend,9.95959
1966-05-06,Toledo_Bend,9.6272
1966-05-07,Toledo_Bend,10.33498
1966-05-08,Toledo_Bend,113.03788
1966-05-09,Toledo_Bend,90.06679
1966-05-10,Toledo_Bend,12.22042
1966-05-11,Toledo_Bend,15.72949
1966-05-12,Toledo_Bend,15.69404
1966-05-13,Toledo_Bend,17.19965
1966-05-14,Toledo_Bend,20.86173
1966-05-15,Toledo_Bend,24.05231
1966-05-16,Toledo_Bend,90.70251
1966-05-17,Toledo_Bend,19.6965
1966-05-18,Toledo_Bend,19.12589
1966-05-19,Toledo_Bend,19.58101
1966-05-20,Toledo_Bend,43.30662
1966-05-21,Toledo_Bend,59.1709
1966-05-22,Toledo_Bend,22.54673
1966-05-23,Toledo_Bend,22.42291
1966-05-24,Toledo_Bend,22.40576
1966-05-25,Toledo_Bend,21.86232
1966-05-26,Toledo_Bend,21.05807
1966-05-27,Toledo_Bend,20.07576
1966-05-28,Toledo_Bend,19.07409
1966-05-29,Toledo_Bend,18.08832
1966-05-30,Toledo_Bend,17.1795
1966-05-31,Toledo_Bend,16.27004
1966-06-01,Toledo_Bend,15.58755
1966-06-02,Toledo_Bend,14.9674
1966-06-03,Toledo_Bend,14.31983
1966-06-04,Toledo_Bend,13.4881
1966-06-05,Toledo_Bend,12.81854
1966-06-06,Toledo_Bend,12.26947
1966-06-07,Toledo_Bend,11.75811
1966-06-08,Toledo_Bend,11.3712
1966-06-09,Toledo_Bend,10.88351
1966-06-10,Toledo_Bend,19.30576
1966-06-11,Toledo_Bend,12.3365
1966-06-12,Toledo_Bend,9.8222
1966-06-13,Toledo_Bend,9.50831
1966-06-14,Toledo_Bend,9.2352
1966-06-15,Toledo_Bend,8.97932
1966-06-16,Toledo_Bend,8.70368
1966-06-17,Toledo_Bend,8.67967
1966-06-18,Toledo_Bend,8.6113
1966-06-19,Toledo_Bend,8.08244
1966-06-20,Toledo_Bend,7.93057
1966-06-21,Toledo_Bend,8.09691
1966-06-22,Toledo_Bend,8.62429
1966-06-23,Toledo_Bend,9.44661
1966-06-24,Toledo_Bend,49.9719
1966-06-25,Toledo_Bend,8.36407
1966-06-26,Toledo_Bend,7.51797
1966-06-27,Toledo_Bend,7.51454
1966-06-28,Toledo_Bend,7.45732
1966-06-29,Toledo_Bend,7.4695
1966-06-30,Toledo_Bend,7.43293
1966-07-01,Toledo_Bend,7.16383
1966-07-02,Toledo_Bend,7.18687
1966-07-03,Toledo_Bend,7.28279
1966-07-04,Toledo_Bend,7.82761
1966-07-05,Toledo_Bend,39.21579
1966-07-06,Toledo_Bend,10.35228
1966-07-07,Toledo_Bend,7.57374
1966-07-08,Toledo_Bend,7.98651
1966-07-09,Toledo_Bend,6.44854
1966-07-10,Toledo_Bend,6.35858
1966-07-11,Toledo_Bend,6.28953
1966-07-12,Toledo_Bend,6.22492
1966-07-13,Toledo_Bend,6.67329
1966-07-14,Toledo_Bend,12.17677
1966-07-15,Toledo_Bend,13.99603
1966-07-16,Toledo_Bend,14.26707
1966-07-17,Toledo_Bend,11.63565
1966-07-18,Toledo_Bend,25.571
1966-07-19,Toledo_Bend,16.39461
1966-07-20,Toledo_Bend,10.86055
1966-07-21,Toledo_Bend,6.48067
1966-07-22,Toledo_Bend,6.47741
1966-07-23,Toledo_Bend,6.75303
