date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2000-01-01,6.23204,0.02369,0.0232,0,0.06196,0.00523,0.00276,0.48637,0.19478,0.00869,0.00848,6.41488,0.00106,0.55207,0.02254,0.16652,0.06205,0.05677,0.35453,0.3503,3.82284,0.08502,0.00219,0.02135,0.51608,0.11292,0.22709,0.00241,0.09673,0.46141,1.83253,3.57849,0.00235,0.00156,2e-5,0.60499
2000-01-02,6.9507,0.09464,0.09143,0.24452,0.37948,0.27606,0.02311,1.05287,0.21253,0.00875,0.02473,7.20099,0.00603,1.06736,0.06518,29.27015,0.2241,0.05286,1.3628,0.3536,19.13389,0.31382,0.05049,0.05915,2.089,0.16746,1.41774,0.16909,0.27047,6.01843,2.51286,18.8342,0.00673,0.00364,4.5e-4,1.49741
2000-01-03,5.51077,0.02363,0.0217,0.00311,0.09976,0.00366,0.01708,0.58692,0.22413,0.00861,0.00845,5.71189,9.7e-4,0.52364,0.02244,23.85822,0.06193,0.04458,0.35344,0.35049,8.06444,0.08485,0.00216,0.02046,0.51403,0.11266,0.28082,0.04087,0.1675,1.70602,1.65306,9.70157,0.0032,0.00215,4.6e-4,0.57636
2000-01-04,5.34373,0.02361,0.02163,0,0.05975,0.00364,0.00263,0.48021,0.19368,0.00858,0.00844,5.52455,9.7e-4,0.5208,0.02239,0.65912,0.06187,0.04441,0.35309,0.34935,3.79261,0.08478,0.00215,0.0202,0.51347,0.11255,0.22501,0.00118,0.09605,0.46088,1.64902,3.45279,0.00233,0.00152,2e-5,0.57261
2000-01-05,5.61948,0.02362,0.022,0,0.06586,0.03832,0.0026,0.47953,0.19335,0.00856,0.00895,5.79861,0.00114,0.53828,0.02235,0.7468,0.06202,0.04551,0.35285,0.34905,3.84242,0.08501,0.00214,0.02467,0.51313,0.11388,0.22452,0.0118,0.09589,0.46134,1.73856,3.48631,0.00233,0.00152,2e-5,0.59134
2000-01-06,5.8327,0.03114,0.02204,0.00936,0.09798,0.58678,0.00262,0.50226,0.19958,0.00853,0.09068,6.01098,0.00351,1.48059,0.02264,0.75745,0.0678,0.19828,0.40791,0.34888,6.38693,0.099,0.03722,0.02733,0.61151,0.35369,0.26705,0.00382,0.10523,0.46822,5.08385,4.13419,0.00241,0.00152,8e-5,1.55557
2000-01-07,7.21564,0.02355,0.02148,0,0.05765,0.0036,0.00253,0.47793,0.19266,0.0085,0.01312,7.39317,9.6e-4,0.51968,0.02227,0.6813,0.06172,0.04438,0.35207,0.34842,3.78055,0.08459,0.00212,0.01975,0.5118,0.1122,0.22309,0.00106,0.09555,0.46079,1.72203,3.51294,0.00232,0.00151,2e-5,0.57044
2000-01-08,7.38685,0.02696,0.10092,0.01274,0.05756,0.06202,0.00291,0.47768,0.19317,0.00847,0.03834,7.56714,0.00477,0.64571,0.02635,0.70304,0.078,0.0946,0.69447,0.34815,5.57717,0.10939,0.00224,0.06472,0.93518,0.25118,0.2364,0.00106,0.09561,0.47497,4.30918,4.05057,0.00236,0.00178,2e-5,0.69695
2000-01-09,5.30096,0.02351,0.02129,0,0.0563,0.00357,0.00247,0.47411,0.19202,0.00844,0.00844,5.48008,9.6e-4,0.50736,0.02219,0.59873,0.06162,0.04356,0.35139,0.34778,3.78944,0.08446,0.00211,0.01946,0.51065,0.11196,0.22191,0.00115,0.09526,0.47047,1.62723,3.59323,0.00232,0.00154,2e-5,0.55745
2000-01-10,5.22377,0.02349,0.02121,0,0.05564,0.00355,0.00244,0.47287,0.19164,0.0084,0.00843,5.39964,9.5e-4,0.50498,0.02215,0.52315,0.06157,0.04339,0.35103,0.34744,3.76828,0.08439,0.0021,0.01932,0.51005,0.11185,0.22131,0.00106,0.09505,0.46064,1.62271,3.50658,0.00231,0.00151,2e-5,0.55474
