date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2046-01-01,10.78141,0.16443,0.21503,0.78907,1.18447,0.26032,0.16162,5.08243,2.1097,0.02764,0.06175,12.06618,0.02625,3.6455,1.05728,15.71268,0.50093,0.14745,5.45303,2.43985,44.67463,0.73817,0.10322,0.48358,7.01565,0.47608,6.01499,0.20456,0.4109,13.37275,7.00129,43.28567,0.01019,0.01032,0.00696,5.37726
2046-01-02,6.0621,0.18474,0.39551,0.75918,0.97744,0.77584,0.01666,4.25952,0.82649,0.02819,0.06736,7.02721,0.03202,3.6092,0.94464,6.38218,0.58089,0.38306,5.7675,0.60828,37.65508,0.82593,0.11673,0.49774,7.4411,0.53154,4.58124,0.06503,0.29087,8.24924,12.37813,37.82089,0.00663,0.00308,1.9e-4,5.36091
2046-01-03,6.38135,0.15758,0.5105,0.06629,0.90196,1.71162,0.00399,3.57484,0.6059,0.0287,0.07501,7.30674,0.02875,3.27704,0.82863,1.02214,0.5359,0.71335,5.82024,0.45209,33.72945,0.76941,0.15322,0.49173,7.52136,0.62015,2.06989,0.00108,0.2464,0.85017,32.78002,35.2164,0.00386,0.00255,9e-5,4.99912
2046-01-04,8.99658,0.15077,0.2555,0.01025,0.67286,0.50069,0.00396,3.3053,0.60981,0.0291,0.10821,9.90475,0.01405,3.17721,0.73103,0.97331,0.5226,0.26114,5.89006,0.45316,31.69807,0.7538,0.06558,0.48108,7.6024,0.87779,1.18216,0.00107,0.25757,0.85106,64.45063,33.79543,0.00407,0.00252,9e-5,4.75251
2046-01-05,5.71771,0.14687,0.1935,0.34837,0.5955,0.08489,0.00401,2.93759,0.60137,0.0293,0.08993,6.61955,0.01368,1.89972,0.64892,1.01463,0.52644,0.12968,6.02166,0.45933,31.73337,0.757,0.05927,0.473,7.78817,0.61052,2.33526,0.00396,0.26726,0.92542,75.85278,32.56482,0.00456,0.00304,0.00118,3.2681
2046-01-06,11.34553,0.14259,0.43334,8e-5,0.59507,0.26546,0.00391,2.65924,0.60332,0.02949,0.11099,12.22531,0.03188,2.56372,0.57954,0.84031,0.51622,0.39724,5.85059,0.45477,29.79347,0.73661,0.05603,0.45152,7.58372,0.54144,1.12925,0.00168,0.27606,0.85176,27.76534,30.83917,0.00431,0.00257,1e-4,3.85101
2046-01-07,8.19974,0.14255,0.19644,0.00133,0.58222,0.14148,0.004,2.47526,0.60695,0.02955,0.15646,9.06521,0.01401,1.7668,0.55486,0.75873,0.51381,0.1302,6.81799,0.45543,31.94037,0.7397,0.05426,0.45194,8.856,0.74522,1.12073,0.00106,0.28234,0.8508,11.44067,29.73536,0.00447,0.00275,1e-4,3.00202
2046-01-08,4.69276,0.1371,0.19096,0.33093,0.57839,0.04476,0.0038,2.28572,0.60816,0.02942,0.11786,5.54658,0.0131,1.63032,0.47249,0.8774,0.50519,0.12996,5.68078,0.45585,31.65049,0.71465,0.0483,0.42146,7.41425,0.50105,2.77486,0.00211,0.28862,0.94186,7.12033,34.7301,0.00714,0.00272,1e-4,2.86237
2046-01-09,4.32824,0.13237,0.18719,0.00108,0.56109,0.04355,0.00375,2.10948,0.60956,0.02936,0.08151,5.16431,0.01276,1.57363,0.43061,0.61617,0.48737,0.12985,5.54344,0.45623,27.90648,0.68878,0.04514,0.38954,7.25547,0.49757,1.08228,0.00106,0.292,0.85066,6.05202,26.76561,0.00468,0.0025,1e-4,2.66679
2046-01-10,4.39081,0.12882,0.18366,0.00113,0.5537,0.04208,0.00373,1.99072,0.61055,0.02925,0.08363,5.21503,0.01241,1.52411,0.39555,0.56269,0.47457,0.12965,5.42603,0.45651,27.38128,0.66869,0.04229,0.37034,7.11964,0.49701,1.06076,0.00106,0.29467,0.85089,6.04509,25.68293,0.00479,0.0025,1e-4,2.55159
2046-01-11,4.34636,0.12556,0.1799,0,0.54185,0.04094,0.00363,1.89043,0.61109,0.02911,0.08516,5.1523,0.01204,1.47259,0.36478,0.5138,0.46166,0.12929,5.29697,0.45668,26.80068,0.64886,0.03975,0.35221,6.96683,0.49401,1.03497,0.00106,0.29617,0.85071,6.00001,24.66,0.00486,0.00249,1e-4,2.43748
2046-01-12,4.47352,0.12239,0.176,0,0.53242,0.03982,0.00357,1.79259,0.61135,0.02897,0.0869,5.26356,0.01168,1.42509,0.3374,0.46685,0.44789,0.12877,5.1626,0.45678,26.2233,0.62826,0.03747,0.33467,6.80874,0.49076,1.00877,0.00106,0.29664,0.85069,5.96053,23.66997,0.00495,0.00249,1e-4,2.32644
2046-01-13,4.49993,0.1194,0.17218,0,0.52324,0.03875,0.00352,1.72044,0.61149,0.02881,0.08837,5.37173,0.01134,1.38956,0.31297,0.42354,0.43443,0.12825,5.02356,0.45683,25.63656,0.60822,0.03542,0.31803,6.64347,0.4872,0.9825,0.00106,0.29617,0.85064,5.91593,22.75885,0.00503,0.00249,9e-5,2.2421
2046-01-14,6.58594,0.11661,0.16928,0,0.73635,0.03774,0.00357,3.26248,1.38665,0.0298,0.08959,16.28618,0.01122,2.54776,0.29114,0.38785,0.42164,0.24877,4.88217,0.45681,25.05168,0.58916,0.04906,0.30238,6.47397,0.48354,0.95816,0.00106,0.29496,0.90385,7.38381,21.90677,0.00511,0.00903,0.00383,3.41603
2046-01-15,6.37175,0.27526,0.62373,2.07241,5.27255,2.26379,0.21768,11.16651,3.043,0.03062,0.09169,16.22535,0.06236,11.20692,0.27285,7.3081,0.68446,0.911,5.29626,0.48231,52.65139,0.92743,0.38996,0.28847,7.2382,0.87825,12.16712,0.00106,0.29332,3.67526,23.49588,21.26129,0.0116,0.01833,0.01563,13.54288
2046-01-16,4.61824,0.11588,0.1679,0.03797,0.73904,0.16373,0.00794,2.38198,0.92218,0.02865,0.09152,6.38945,0.01305,1.73573,0.25459,1.46445,0.40788,0.32013,4.61536,0.46033,25.13668,0.56753,0.04744,0.27429,6.16863,0.50195,1.23536,0.00942,0.29115,4.95405,6.35725,20.39171,0.00532,0.00786,0.00308,2.62099
2046-01-17,4.44361,0.11002,0.15993,0.00352,0.50626,0.0351,0.00332,1.92079,0.66291,0.02845,0.09229,5.24848,0.01009,1.30681,0.23951,0.32015,0.3925,0.12568,4.47678,0.45666,23.51577,0.54445,0.03011,0.26198,5.98448,0.47703,0.93442,0.00106,0.2887,0.85038,5.69867,19.74126,0.00533,0.00249,1.1e-4,2.11895
2046-01-18,9.92252,0.10814,0.32591,0.00164,0.94018,0.25324,0.00328,3.54264,0.90258,0.02914,0.09241,11.29912,0.02486,3.28182,0.2252,0.29759,0.38318,0.3819,4.338,0.45644,23.22906,0.53026,0.06747,0.24926,5.81316,0.47224,0.89328,0.00106,0.28598,0.8507,12.134,19.05235,0.00537,0.00491,6.9e-4,4.13809
2046-01-19,5.85389,0.4634,1.26645,6.66286,3.9667,5.08624,0.41919,6.38342,1.92769,0.0289,0.36729,7.84868,0.09773,9.10623,0.42316,53.49332,1.03973,1.01587,9.38279,6.73754,144.16068,1.40019,0.32412,0.64361,12.66941,2.45767,35.73825,0.31277,1.10593,42.00607,165.20422,67.95251,0.04417,0.03063,0.01797,12.51246
2046-01-20,4.43801,0.11673,0.20042,0.1451,0.57895,0.23504,0.00344,2.39187,0.64521,0.02856,0.11443,5.2411,0.01298,1.75567,0.23067,0.82586,0.40063,0.21324,4.5466,0.46104,24.93442,0.55019,0.03931,0.29191,6.0531,0.58608,1.61363,0.00107,0.2883,0.8509,10.30169,19.83805,0.00716,0.00249,1.4e-4,2.77247
2046-01-21,4.70533,0.1102,0.15697,0.00745,0.53538,0.03521,0.00349,2.31345,0.62768,0.02848,0.09664,5.50623,0.00919,1.3731,0.22362,1.00649,0.396,0.12435,4.11827,0.45686,22.48163,0.54069,0.02959,0.23605,5.54184,0.50738,0.87544,0.00106,0.28565,0.85092,6.2586,19.00558,0.00564,0.00248,1.6e-4,2.44136
