date,reservoir,flow
1966-01-01,Amistad,7.09797
1966-01-02,Amistad,6.76384
1966-01-03,Amistad,6.70816
1966-01-04,Amistad,7.95485
1966-01-05,Amistad,6.85642
1966-01-06,Amistad,6.78788
1966-01-07,Amistad,6.71216
1966-01-08,Amistad,7.08583
1966-01-09,Amistad,6.58265
1966-01-10,Amistad,6.56085
1966-01-11,Amistad,6.68245
1966-01-12,Amistad,6.92668
1966-01-13,Amistad,6.84829
1966-01-14,Amistad,6.70301
1966-01-15,Amistad,6.64197
1966-01-16,Amistad,6.49476
1966-01-17,Amistad,6.52181
1966-01-18,Amistad,6.58983
1966-01-19,Amistad,6.44086
1966-01-20,Amistad,6.34909
1966-01-21,Amistad,6.31568
1966-01-22,Amistad,6.33317
1966-01-23,Amistad,6.38634
1966-01-24,Amistad,6.29548
1966-01-25,Amistad,6.30457
1966-01-26,Amistad,6.22829
1966-01-27,Amistad,6.22727
1966-01-28,Amistad,6.45312
1966-01-29,Amistad,6.8089
1966-01-30,Amistad,6.79666
1966-01-31,Amistad,6.57412
1966-02-01,Amistad,6.62746
1966-02-02,Amistad,6.23334
1966-02-03,Amistad,6.32404
1966-02-04,Amistad,6.19289
1966-02-05,Amistad,6.18085
1966-02-06,Amistad,6.64645
1966-02-07,Amistad,6.46924
1966-02-08,Amistad,6.11553
1966-02-09,Amistad,6.1164
1966-02-10,Amistad,6.12002
1966-02-11,Amistad,6.16605
1966-02-12,Amistad,6.29818
1966-02-13,Amistad,6.83452
1966-02-14,Amistad,6.66436
1966-02-15,Amistad,6.526
1966-02-16,Amistad,6.24206
1966-02-17,Amistad,8.18516
1966-02-18,Amistad,9.07399
1966-02-19,Amistad,9.94609
1966-02-20,Amistad,6.08073
1966-02-21,Amistad,6.23829
1966-02-22,Amistad,6.01423
1966-02-23,Amistad,6.16894
1966-02-24,Amistad,7.27307
1966-02-25,Amistad,7.71241
1966-02-26,Amistad,6.2088
1966-02-27,Amistad,6.17471
1966-02-28,Amistad,6.62191
1966-03-01,Amistad,6.69943
1966-03-02,Amistad,6.86645
1966-03-03,Amistad,6.10172
1966-03-04,Amistad,6.3001
1966-03-05,Amistad,6.23251
1966-03-06,Amistad,5.97933
1966-03-07,Amistad,5.9658
1966-03-08,Amistad,5.95007
1966-03-09,Amistad,6.08985
1966-03-10,Amistad,6.30478
1966-03-11,Amistad,6.40912
1966-03-12,Amistad,6.35212
1966-03-13,Amistad,6.10019
1966-03-14,Amistad,8.50217
1966-03-15,Amistad,6.47405
1966-03-16,Amistad,6.01888
1966-03-17,Amistad,6.15146
1966-03-18,Amistad,6.52937
1966-03-19,Amistad,7.15437
1966-03-20,Amistad,7.56137
1966-03-21,Amistad,7.657
1966-03-22,Amistad,7.44446
1966-03-23,Amistad,6.99062
1966-03-24,Amistad,6.82453
