date,reservoir,flow
1966-01-01,Greenville_City,0.6281
1966-01-02,Greenville_City,0.0612
1966-01-03,Greenville_City,0.0169
1966-01-04,Greenville_City,0.017
1966-01-05,Greenville_City,0.1086
1966-01-06,Greenville_City,0.1101
1966-01-07,Greenville_City,0.2414
1966-01-08,Greenville_City,0.0174
1966-01-09,Greenville_City,0.0366
1966-01-10,Greenville_City,0.0176
1966-01-11,Greenville_City,0.0177
1966-01-12,Greenville_City,0.0178
1966-01-13,Greenville_City,0.018
1966-01-14,Greenville_City,0.0181
1966-01-15,Greenville_City,0.0182
1966-01-16,Greenville_City,0.0192
1966-01-17,Greenville_City,0.0184
1966-01-18,Greenville_City,0.0185
1966-01-19,Greenville_City,0.0186
1966-01-20,Greenville_City,0.0186
1966-01-21,Greenville_City,0.0187
1966-01-22,Greenville_City,0.0187
1966-01-23,Greenville_City,0.0188
1966-01-24,Greenville_City,0.0188
1966-01-25,Greenville_City,0.0188
1966-01-26,Greenville_City,0.0189
1966-01-27,Greenville_City,0.0189
1966-01-28,Greenville_City,0.0189
1966-01-29,Greenville_City,0.019
1966-01-30,Greenville_City,0.019
1966-01-31,Greenville_City,0.0248
1966-02-01,Greenville_City,0.4779
1966-02-02,Greenville_City,0.1083
1966-02-03,Greenville_City,0.6034
1966-02-04,Greenville_City,0.0216
1966-02-05,Greenville_City,0.0206
1966-02-06,Greenville_City,0.0215
1966-02-07,Greenville_City,0.0219
1966-02-08,Greenville_City,0.0226
1966-02-09,Greenville_City,0.0228
1966-02-10,Greenville_City,0.023
1966-02-11,Greenville_City,0.0232
1966-02-12,Greenville_City,0.0233
1966-02-13,Greenville_City,0.0233
1966-02-14,Greenville_City,0.0234
1966-02-15,Greenville_City,0.0233
1966-02-16,Greenville_City,0.0233
1966-02-17,Greenville_City,0.2979
1966-02-18,Greenville_City,0.1727
1966-02-19,Greenville_City,0.0238
1966-02-20,Greenville_City,0.1885
1966-02-21,Greenville_City,0.0285
1966-02-22,Greenville_City,0.0284
1966-02-23,Greenville_City,0.0307
1966-02-24,Greenville_City,0.0328
1966-02-25,Greenville_City,0.0346
1966-02-26,Greenville_City,0.0361
1966-02-27,Greenville_City,0.0372
1966-02-28,Greenville_City,0.038
1966-03-01,Greenville_City,0.3918
1966-03-02,Greenville_City,0.1239
1966-03-03,Greenville_City,0.1298
1966-03-04,Greenville_City,0.0689
1966-03-05,Greenville_City,0.0519
1966-03-06,Greenville_City,0.1774
1966-03-07,Greenville_City,0.0565
1966-03-08,Greenville_City,0.0759
1966-03-09,Greenville_City,0.0592
1966-03-10,Greenville_City,0.0595
1966-03-11,Greenville_City,0.0592
1966-03-12,Greenville_City,0.0584
1966-03-13,Greenville_City,0.0573
1966-03-14,Greenville_City,0.0561
1966-03-15,Greenville_City,0.0822
1966-03-16,Greenville_City,0.0609
1966-03-17,Greenville_City,0.0521
1966-03-18,Greenville_City,0.0508
1966-03-19,Greenville_City,0.0497
1966-03-20,Greenville_City,0.0487
1966-03-21,Greenville_City,0.0477
1966-03-22,Greenville_City,0.0467
1966-03-23,Greenville_City,0.0458
1966-03-24,Greenville_City,0.0449
1966-03-25,Greenville_City,0.0441
1966-03-26,Greenville_City,0.0433
1966-03-27,Greenville_City,0.0426
1966-03-28,Greenville_City,0.0418
1966-03-29,Greenville_City,0.3079
1966-03-30,Greenville_City,0.1117
1966-03-31,Greenville_City,0.0846
1966-04-01,Greenville_City,0.043
1966-04-02,Greenville_City,0.0438
1966-04-03,Greenville_City,0.0444
1966-04-04,Greenville_City,0.0448
1966-04-05,Greenville_City,0.1794
1966-04-06,Greenville_City,0.3912
1966-04-07,Greenville_City,0.09
1966-04-08,Greenville_City,0.0614
1966-04-09,Greenville_City,0.058
1966-04-10,Greenville_City,0.0612
1966-04-11,Greenville_City,0.0632
1966-04-12,Greenville_City,0.0987
1966-04-13,Greenville_City,0.119
1966-04-14,Greenville_City,0.0657
1966-04-15,Greenville_City,0.0659
1966-04-16,Greenville_City,0.0656
1966-04-17,Greenville_City,0.0651
1966-04-18,Greenville_City,0.0666
1966-04-19,Greenville_City,0.0644
1966-04-20,Greenville_City,0.063
1966-04-21,Greenville_City,0.0656
1966-04-22,Greenville_City,0.0587
1966-04-23,Greenville_City,0.0571
1966-04-24,Greenville_City,0.0554
1966-04-25,Greenville_City,0.1802
1966-04-26,Greenville_City,0.0525
1966-04-27,Greenville_City,0.0513
1966-04-28,Greenville_City,0.0504
1966-04-29,Greenville_City,0.0491
1966-04-30,Greenville_City,0.048
1966-05-01,Greenville_City,0.0469
1966-05-02,Greenville_City,0.0459
1966-05-03,Greenville_City,0.0548
1966-05-04,Greenville_City,0.1993
1966-05-05,Greenville_City,0.134
1966-05-06,Greenville_City,0.0433
1966-05-07,Greenville_City,0.0426
1966-05-08,Greenville_City,0.0419
1966-05-09,Greenville_City,0.0414
1966-05-10,Greenville_City,0.1646
1966-05-11,Greenville_City,0.0404
1966-05-12,Greenville_City,0.04
1966-05-13,Greenville_City,0.0396
1966-05-14,Greenville_City,0.0391
1966-05-15,Greenville_City,0.0386
1966-05-16,Greenville_City,0.038
1966-05-17,Greenville_City,0.0374
1966-05-18,Greenville_City,0.1218
1966-05-19,Greenville_City,0.0362
1966-05-20,Greenville_City,0.1395
1966-05-21,Greenville_City,0.0789
1966-05-22,Greenville_City,0.0393
1966-05-23,Greenville_City,0.0346
1966-05-24,Greenville_City,0.0342
1966-05-25,Greenville_City,0.0339
1966-05-26,Greenville_City,0.0335
1966-05-27,Greenville_City,0.0332
1966-05-28,Greenville_City,0.033
1966-05-29,Greenville_City,0.0323
1966-05-30,Greenville_City,0.0319
1966-05-31,Greenville_City,0.0316
1966-06-01,Greenville_City,0.0312
1966-06-02,Greenville_City,0.0308
1966-06-03,Greenville_City,0.045
1966-06-04,Greenville_City,0.0301
1966-06-05,Greenville_City,1.0217
1966-06-06,Greenville_City,0.0313
1966-06-07,Greenville_City,0.0338
1966-06-08,Greenville_City,0.0361
1966-06-09,Greenville_City,0.0379
1966-06-10,Greenville_City,0.0392
1966-06-11,Greenville_City,0.1226
1966-06-12,Greenville_City,0.3669
1966-06-13,Greenville_City,0.0514
1966-06-14,Greenville_City,0.0512
1966-06-15,Greenville_City,0.055
1966-06-16,Greenville_City,0.0571
1966-06-17,Greenville_City,0.0579
1966-06-18,Greenville_City,0.0575
1966-06-19,Greenville_City,0.0566
1966-06-20,Greenville_City,0.0553
1966-06-21,Greenville_City,0.0542
1966-06-22,Greenville_City,0.0522
1966-06-23,Greenville_City,0.0509
1966-06-24,Greenville_City,0.049
1966-06-25,Greenville_City,0.0475
1966-06-26,Greenville_City,0.046
1966-06-27,Greenville_City,0.0446
1966-06-28,Greenville_City,0.0433
1966-06-29,Greenville_City,0.0421
1966-06-30,Greenville_City,0.0409
1966-07-01,Greenville_City,0.0398
1966-07-02,Greenville_City,0.0388
1966-07-03,Greenville_City,0.0379
1966-07-04,Greenville_City,0.0371
1966-07-05,Greenville_City,0.0363
1966-07-06,Greenville_City,0.0356
1966-07-07,Greenville_City,0.0349
1966-07-08,Greenville_City,0.0343
1966-07-09,Greenville_City,0.0337
1966-07-10,Greenville_City,0.0332
1966-07-11,Greenville_City,0.0327
1966-07-12,Greenville_City,0.0322
1966-07-13,Greenville_City,0.0318
1966-07-14,Greenville_City,0.0314
1966-07-15,Greenville_City,0.031
1966-07-16,Greenville_City,0.0307
1966-07-17,Greenville_City,0.0304
1966-07-18,Greenville_City,0.0301
1966-07-19,Greenville_City,0.0298
1966-07-20,Greenville_City,0.0296
1966-07-21,Greenville_City,0.0293
1966-07-22,Greenville_City,0.0291
1966-07-23,Greenville_City,0.0288
1966-07-24,Greenville_City,0.0286
1966-07-25,Greenville_City,0.0284
1966-07-26,Greenville_City,0.0283
1966-07-27,Greenville_City,0.0281
1966-07-28,Greenville_City,0.0279
1966-07-29,Greenville_City,0.0566
1966-07-30,Greenville_City,0.0276
1966-07-31,Greenville_City,0.0275
1966-08-01,Greenville_City,0.0274
1966-08-02,Greenville_City,0.0273
1966-08-03,Greenville_City,0.0272
1966-08-04,Greenville_City,0.027
1966-08-05,Greenville_City,0.027
1966-08-06,Greenville_City,0.027
1966-08-07,Greenville_City,0.0268
1966-08-08,Greenville_City,0.0267
1966-08-09,Greenville_City,0.0267
1966-08-10,Greenville_City,0.0267
1966-08-11,Greenville_City,0.0271
1966-08-12,Greenville_City,0.0264
1966-08-13,Greenville_City,0.1083
1966-08-14,Greenville_City,0.0263
1966-08-15,Greenville_City,0.0262
1966-08-16,Greenville_City,0.0262
1966-08-17,Greenville_City,0.0261
1966-08-18,Greenville_City,0.0492
1966-08-19,Greenville_City,0.0261
1966-08-20,Greenville_City,0.026
1966-08-21,Greenville_City,0.026
1966-08-22,Greenville_City,0.051
1966-08-23,Greenville_City,0.0332
1966-08-24,Greenville_City,0.0618
1966-08-25,Greenville_City,0.0314
1966-08-26,Greenville_City,0.0258
1966-08-27,Greenville_City,0.0258
1966-08-28,Greenville_City,0.0439
1966-08-29,Greenville_City,0.0272
1966-08-30,Greenville_City,0.2909
1966-08-31,Greenville_City,0.37
1966-09-01,Greenville_City,0.5092
1966-09-02,Greenville_City,0.3947
1966-09-03,Greenville_City,0.0531
1966-09-04,Greenville_City,0.105
1966-09-05,Greenville_City,0.038
1966-09-06,Greenville_City,0.0337
1966-09-07,Greenville_City,0.0358
1966-09-08,Greenville_City,0.0375
1966-09-09,Greenville_City,0.0388
1966-09-10,Greenville_City,0.0396
1966-09-11,Greenville_City,0.0401
1966-09-12,Greenville_City,0.0403
1966-09-13,Greenville_City,0.0406
1966-09-14,Greenville_City,0.0403
1966-09-15,Greenville_City,0.0401
1966-09-16,Greenville_City,0.0396
1966-09-17,Greenville_City,0.0392
1966-09-18,Greenville_City,0.0387
1966-09-19,Greenville_City,0.0382
1966-09-20,Greenville_City,0.0377
1966-09-21,Greenville_City,0.0372
1966-09-22,Greenville_City,0.0366
1966-09-23,Greenville_City,0.0362
1966-09-24,Greenville_City,0.0356
1966-09-25,Greenville_City,0.0352
1966-09-26,Greenville_City,0.0347
1966-09-27,Greenville_City,0.0343
1966-09-28,Greenville_City,0.0338
1966-09-29,Greenville_City,0.0334
1966-09-30,Greenville_City,0.0331
1966-10-01,Greenville_City,0.0327
1966-10-02,Greenville_City,0.0648
1966-10-03,Greenville_City,0.0596
1966-10-04,Greenville_City,0.073
1966-10-05,Greenville_City,0.0335
1966-10-06,Greenville_City,0.0312
1966-10-07,Greenville_City,0.031
1966-10-08,Greenville_City,0.0308
1966-10-09,Greenville_City,0.0306
1966-10-10,Greenville_City,0.037
1966-10-11,Greenville_City,0.0302
1966-10-12,Greenville_City,0.1913
1966-10-13,Greenville_City,0.208
1966-10-14,Greenville_City,0.0299
1966-10-15,Greenville_City,0.03
1966-10-16,Greenville_City,0.0749
1966-10-17,Greenville_City,0.0625
1966-10-18,Greenville_City,0.2635
1966-10-19,Greenville_City,0.0968
1966-10-20,Greenville_City,0.4189
1966-10-21,Greenville_City,0.1307
1966-10-22,Greenville_City,0.0401
1966-10-23,Greenville_City,0.0453
1966-10-24,Greenville_City,0.0495
1966-10-25,Greenville_City,0.0526
1966-10-26,Greenville_City,0.0546
1966-10-27,Greenville_City,0.0558
1966-10-28,Greenville_City,0.0564
1966-10-29,Greenville_City,0.0565
1966-10-30,Greenville_City,0.0562
1966-10-31,Greenville_City,0.0557
1966-11-01,Greenville_City,0.0579
1966-11-02,Greenville_City,0.0543
1966-11-03,Greenville_City,0.0536
1966-11-04,Greenville_City,0.0529
1966-11-05,Greenville_City,0.0521
1966-11-06,Greenville_City,0.0919
1966-11-07,Greenville_City,0.734
1966-11-08,Greenville_City,0.0715
1966-11-09,Greenville_City,0.1165
1966-11-10,Greenville_City,0.1021
1966-11-11,Greenville_City,0.0938
1966-11-12,Greenville_City,0.101
1966-11-13,Greenville_City,0.1056
1966-11-14,Greenville_City,0.1084
1966-11-15,Greenville_City,0.1097
1966-11-16,Greenville_City,0.1256
1966-11-17,Greenville_City,0.1495
1966-11-18,Greenville_City,0.1084
1966-11-19,Greenville_City,0.1071
1966-11-20,Greenville_City,0.1054
1966-11-21,Greenville_City,0.1034
1966-11-22,Greenville_City,0.1012
1966-11-23,Greenville_City,0.0987
1966-11-24,Greenville_City,0.0962
1966-11-25,Greenville_City,0.0936
1966-11-26,Greenville_City,0.091
1966-11-27,Greenville_City,0.0885
1966-11-28,Greenville_City,0.086
1966-11-29,Greenville_City,0.0837
