date,reservoir,flow
1966-01-01,Mountain_Creek,1.8878
1966-01-02,Mountain_Creek,0.1425
1966-01-03,Mountain_Creek,0.1488
1966-01-04,Mountain_Creek,0.1546
1966-01-05,Mountain_Creek,0.3378
1966-01-06,Mountain_Creek,0.8965
1966-01-07,Mountain_Creek,0.5582
1966-01-08,Mountain_Creek,0.2186
1966-01-09,Mountain_Creek,0.256
1966-01-10,Mountain_Creek,0.249
1966-01-11,Mountain_Creek,0.2616
1966-01-12,Mountain_Creek,0.2701
1966-01-13,Mountain_Creek,0.2753
1966-01-14,Mountain_Creek,0.2781
1966-01-15,Mountain_Creek,0.2791
1966-01-16,Mountain_Creek,0.279
1966-01-17,Mountain_Creek,0.2778
1966-01-18,Mountain_Creek,0.2764
1966-01-19,Mountain_Creek,0.2756
1966-01-20,Mountain_Creek,0.2704
1966-01-21,Mountain_Creek,0.267
1966-01-22,Mountain_Creek,0.2636
1966-01-23,Mountain_Creek,0.2601
1966-01-24,Mountain_Creek,0.2562
1966-01-25,Mountain_Creek,0.252
1966-01-26,Mountain_Creek,0.2478
1966-01-27,Mountain_Creek,0.2434
1966-01-28,Mountain_Creek,0.2388
1966-01-29,Mountain_Creek,0.2342
1966-01-30,Mountain_Creek,0.2296
1966-01-31,Mountain_Creek,0.2313
1966-02-01,Mountain_Creek,0.8258
1966-02-02,Mountain_Creek,0.3964
1966-02-03,Mountain_Creek,1.9231
1966-02-04,Mountain_Creek,0.26
1966-02-05,Mountain_Creek,0.292
1966-02-06,Mountain_Creek,0.3182
1966-02-07,Mountain_Creek,0.3332
1966-02-08,Mountain_Creek,0.3428
1966-02-09,Mountain_Creek,0.3476
1966-02-10,Mountain_Creek,0.3491
1966-02-11,Mountain_Creek,0.3477
1966-02-12,Mountain_Creek,0.344
1966-02-13,Mountain_Creek,0.3388
1966-02-14,Mountain_Creek,0.3338
1966-02-15,Mountain_Creek,0.328
1966-02-16,Mountain_Creek,0.3224
1966-02-17,Mountain_Creek,1.0214
1966-02-18,Mountain_Creek,1.5709
1966-02-19,Mountain_Creek,0.5004
1966-02-20,Mountain_Creek,0.8358
1966-02-21,Mountain_Creek,0.4595
1966-02-22,Mountain_Creek,0.4967
