date,reservoir,flow
1966-01-01,Ray_Roberts,2.99375
1966-01-02,Ray_Roberts,0.42654
1966-01-03,Ray_Roberts,0.25987
1966-01-04,Ray_Roberts,0.56023
1966-01-05,Ray_Roberts,1.1767
1966-01-06,Ray_Roberts,0.82458
1966-01-07,Ray_Roberts,0.76122
1966-01-08,Ray_Roberts,0.27874
1966-01-09,Ray_Roberts,0.44996
1966-01-10,Ray_Roberts,0.29037
1966-01-11,Ray_Roberts,0.29691
1966-01-12,Ray_Roberts,0.30164
1966-01-13,Ray_Roberts,0.30482
1966-01-14,Ray_Roberts,0.3069
1966-01-15,Ray_Roberts,0.30813
1966-01-16,Ray_Roberts,0.31177
1966-01-17,Ray_Roberts,0.30916
1966-01-18,Ray_Roberts,0.31361
1966-01-19,Ray_Roberts,0.31399
1966-01-20,Ray_Roberts,0.308
1966-01-21,Ray_Roberts,0.30717
1966-01-22,Ray_Roberts,0.30632
1966-01-23,Ray_Roberts,0.30535
1966-01-24,Ray_Roberts,0.30412
1966-01-25,Ray_Roberts,0.30578
1966-01-26,Ray_Roberts,0.30105
1966-01-27,Ray_Roberts,0.29897
1966-01-28,Ray_Roberts,0.29665
1966-01-29,Ray_Roberts,0.29421
1966-01-30,Ray_Roberts,0.29173
1966-01-31,Ray_Roberts,0.39054
1966-02-01,Ray_Roberts,1.2297
1966-02-02,Ray_Roberts,0.64182
1966-02-03,Ray_Roberts,2.2535
1966-02-04,Ray_Roberts,0.61779
1966-02-05,Ray_Roberts,0.53969
1966-02-06,Ray_Roberts,0.62317
1966-02-07,Ray_Roberts,0.50041
1966-02-08,Ray_Roberts,0.35474
1966-02-09,Ray_Roberts,0.36208
1966-02-10,Ray_Roberts,0.36733
1966-02-11,Ray_Roberts,0.37015
1966-02-12,Ray_Roberts,0.37102
1966-02-13,Ray_Roberts,0.37034
1966-02-14,Ray_Roberts,0.36879
1966-02-15,Ray_Roberts,0.36705
1966-02-16,Ray_Roberts,0.42662
1966-02-17,Ray_Roberts,3.62926
1966-02-18,Ray_Roberts,0.40731
1966-02-19,Ray_Roberts,1.22059
1966-02-20,Ray_Roberts,2.71738
1966-02-21,Ray_Roberts,0.57563
1966-02-22,Ray_Roberts,0.61053
1966-02-23,Ray_Roberts,0.65488
1966-02-24,Ray_Roberts,0.67976
1966-02-25,Ray_Roberts,0.73104
1966-02-26,Ray_Roberts,0.69543
1966-02-27,Ray_Roberts,0.69216
1966-02-28,Ray_Roberts,0.68593
1966-03-01,Ray_Roberts,1.77433
1966-03-02,Ray_Roberts,0.81973
1966-03-03,Ray_Roberts,1.05833
1966-03-04,Ray_Roberts,0.71605
1966-03-05,Ray_Roberts,0.69345
1966-03-06,Ray_Roberts,0.77763
1966-03-07,Ray_Roberts,0.7785
1966-03-08,Ray_Roberts,0.6934
1966-03-09,Ray_Roberts,0.68408
1966-03-10,Ray_Roberts,0.67635
1966-03-11,Ray_Roberts,0.66603
1966-03-12,Ray_Roberts,0.65332
1966-03-13,Ray_Roberts,0.63791
1966-03-14,Ray_Roberts,0.6214
1966-03-15,Ray_Roberts,1.36189
1966-03-16,Ray_Roberts,0.60596
1966-03-17,Ray_Roberts,0.58816
1966-03-18,Ray_Roberts,0.57803
1966-03-19,Ray_Roberts,0.56648
1966-03-20,Ray_Roberts,0.55332
1966-03-21,Ray_Roberts,0.53896
1966-03-22,Ray_Roberts,0.52447
1966-03-23,Ray_Roberts,0.51011
1966-03-24,Ray_Roberts,0.49659
1966-03-25,Ray_Roberts,0.48384
1966-03-26,Ray_Roberts,0.4711
1966-03-27,Ray_Roberts,0.45925
1966-03-28,Ray_Roberts,0.44914
1966-03-29,Ray_Roberts,2.73405
1966-03-30,Ray_Roberts,0.63456
1966-03-31,Ray_Roberts,0.79906
1966-04-01,Ray_Roberts,0.44886
1966-04-02,Ray_Roberts,0.45006
1966-04-03,Ray_Roberts,0.44927
1966-04-04,Ray_Roberts,0.44784
1966-04-05,Ray_Roberts,5.54703
1966-04-06,Ray_Roberts,1.90041
1966-04-07,Ray_Roberts,1.43761
1966-04-08,Ray_Roberts,1.47497
1966-04-09,Ray_Roberts,1.40336
1966-04-10,Ray_Roberts,1.3748
1966-04-11,Ray_Roberts,1.3172
1966-04-12,Ray_Roberts,1.4315
1966-04-13,Ray_Roberts,1.26295
1966-04-14,Ray_Roberts,1.14544
1966-04-15,Ray_Roberts,1.08386
1966-04-16,Ray_Roberts,1.02617
1966-04-17,Ray_Roberts,1.26643
1966-04-18,Ray_Roberts,0.9488
1966-04-19,Ray_Roberts,0.89527
1966-04-20,Ray_Roberts,0.85957
1966-04-21,Ray_Roberts,0.84377
1966-04-22,Ray_Roberts,0.77532
1966-04-23,Ray_Roberts,0.73676
1966-04-24,Ray_Roberts,0.70258
1966-04-25,Ray_Roberts,2.17636
1966-04-26,Ray_Roberts,0.6545
1966-04-27,Ray_Roberts,0.64112
1966-04-28,Ray_Roberts,0.6359
1966-04-29,Ray_Roberts,0.61651
1966-04-30,Ray_Roberts,0.6022
1966-05-01,Ray_Roberts,0.58092
1966-05-02,Ray_Roberts,0.58604
1966-05-03,Ray_Roberts,0.71876
1966-05-04,Ray_Roberts,2.81438
1966-05-05,Ray_Roberts,1.40713
1966-05-06,Ray_Roberts,0.58905
1966-05-07,Ray_Roberts,0.60958
1966-05-08,Ray_Roberts,0.612
1966-05-09,Ray_Roberts,0.60307
1966-05-10,Ray_Roberts,1.50323
1966-05-11,Ray_Roberts,0.5849
1966-05-12,Ray_Roberts,0.57343
1966-05-13,Ray_Roberts,0.55758
1966-05-14,Ray_Roberts,0.77667
1966-05-15,Ray_Roberts,0.52212
1966-05-16,Ray_Roberts,0.49941
1966-05-17,Ray_Roberts,1.01469
1966-05-18,Ray_Roberts,1.16885
1966-05-19,Ray_Roberts,0.45804
1966-05-20,Ray_Roberts,0.95188
1966-05-21,Ray_Roberts,0.87746
1966-05-22,Ray_Roberts,0.44616
1966-05-23,Ray_Roberts,0.44144
1966-05-24,Ray_Roberts,0.43097
1966-05-25,Ray_Roberts,0.41792
1966-05-26,Ray_Roberts,0.40552
1966-05-27,Ray_Roberts,0.39476
1966-05-28,Ray_Roberts,0.38367
1966-05-29,Ray_Roberts,0.37122
1966-05-30,Ray_Roberts,0.36003
1966-05-31,Ray_Roberts,0.35074
1966-06-01,Ray_Roberts,0.34112
1966-06-02,Ray_Roberts,0.33016
1966-06-03,Ray_Roberts,0.43598
1966-06-04,Ray_Roberts,0.31566
1966-06-05,Ray_Roberts,0.36115
1966-06-06,Ray_Roberts,0.3039
1966-06-07,Ray_Roberts,0.29844
1966-06-08,Ray_Roberts,0.2955
1966-06-09,Ray_Roberts,0.29069
1966-06-10,Ray_Roberts,0.28742
1966-06-11,Ray_Roberts,0.29704
1966-06-12,Ray_Roberts,2.71772
1966-06-13,Ray_Roberts,0.33974
1966-06-14,Ray_Roberts,0.28465
1966-06-15,Ray_Roberts,0.28493
1966-06-16,Ray_Roberts,0.28358
1966-06-17,Ray_Roberts,0.28136
1966-06-18,Ray_Roberts,0.27899
1966-06-19,Ray_Roberts,0.27657
1966-06-20,Ray_Roberts,0.36949
1966-06-21,Ray_Roberts,0.52806
1966-06-22,Ray_Roberts,0.27032
1966-06-23,Ray_Roberts,0.26885
1966-06-24,Ray_Roberts,0.26634
1966-06-25,Ray_Roberts,0.26433
1966-06-26,Ray_Roberts,0.26247
1966-06-27,Ray_Roberts,0.26072
1966-06-28,Ray_Roberts,0.25909
1966-06-29,Ray_Roberts,0.25753
1966-06-30,Ray_Roberts,0.25599
1966-07-01,Ray_Roberts,0.25447
1966-07-02,Ray_Roberts,0.25292
1966-07-03,Ray_Roberts,0.25128
1966-07-04,Ray_Roberts,0.24959
1966-07-05,Ray_Roberts,0.24792
1966-07-06,Ray_Roberts,0.24627
1966-07-07,Ray_Roberts,0.24474
1966-07-08,Ray_Roberts,0.24331
1966-07-09,Ray_Roberts,0.24192
1966-07-10,Ray_Roberts,0.24056
1966-07-11,Ray_Roberts,0.23918
1966-07-12,Ray_Roberts,0.2378
1966-07-13,Ray_Roberts,0.2365
1966-07-14,Ray_Roberts,0.23523
1966-07-15,Ray_Roberts,0.23401
1966-07-16,Ray_Roberts,0.23285
1966-07-17,Ray_Roberts,0.23171
1966-07-18,Ray_Roberts,0.23048
1966-07-19,Ray_Roberts,0.22919
1966-07-20,Ray_Roberts,0.22791
1966-07-21,Ray_Roberts,0.22671
1966-07-22,Ray_Roberts,0.22558
1966-07-23,Ray_Roberts,0.22451
1966-07-24,Ray_Roberts,0.22344
1966-07-25,Ray_Roberts,0.22232
1966-07-26,Ray_Roberts,0.22125
1966-07-27,Ray_Roberts,0.22025
1966-07-28,Ray_Roberts,0.21927
1966-07-29,Ray_Roberts,0.22368
1966-07-30,Ray_Roberts,0.21748
1966-07-31,Ray_Roberts,0.21656
1966-08-01,Ray_Roberts,0.21565
1966-08-02,Ray_Roberts,0.21475
1966-08-03,Ray_Roberts,0.21389
1966-08-04,Ray_Roberts,0.21303
1966-08-05,Ray_Roberts,0.21221
1966-08-06,Ray_Roberts,0.2119
1966-08-07,Ray_Roberts,0.21074
1966-08-08,Ray_Roberts,0.20993
1966-08-09,Ray_Roberts,0.20977
1966-08-10,Ray_Roberts,0.20881
1966-08-11,Ray_Roberts,0.20789
1966-08-12,Ray_Roberts,0.20717
1966-08-13,Ray_Roberts,0.29523
1966-08-14,Ray_Roberts,0.20601
1966-08-15,Ray_Roberts,0.2053
1966-08-16,Ray_Roberts,0.20462
1966-08-17,Ray_Roberts,0.20398
1966-08-18,Ray_Roberts,0.20496
1966-08-19,Ray_Roberts,0.2141
1966-08-20,Ray_Roberts,0.20271
1966-08-21,Ray_Roberts,0.20205
1966-08-22,Ray_Roberts,0.26784
1966-08-23,Ray_Roberts,0.21906
1966-08-24,Ray_Roberts,0.31623
1966-08-25,Ray_Roberts,0.20499
1966-08-26,Ray_Roberts,0.19952
1966-08-27,Ray_Roberts,0.19903
1966-08-28,Ray_Roberts,0.55547
1966-08-29,Ray_Roberts,0.73291
1966-08-30,Ray_Roberts,2.48088
1966-08-31,Ray_Roberts,1.00333
1966-09-01,Ray_Roberts,7.16413
1966-09-02,Ray_Roberts,2.31269
1966-09-03,Ray_Roberts,0.26975
1966-09-04,Ray_Roberts,0.75611
1966-09-05,Ray_Roberts,0.27541
1966-09-06,Ray_Roberts,0.27208
1966-09-07,Ray_Roberts,0.26884
1966-09-08,Ray_Roberts,0.26766
1966-09-09,Ray_Roberts,0.26108
1966-09-10,Ray_Roberts,0.25695
1966-09-11,Ray_Roberts,0.2531
1966-09-12,Ray_Roberts,0.24947
1966-09-13,Ray_Roberts,0.2464
1966-09-14,Ray_Roberts,0.24331
1966-09-15,Ray_Roberts,0.26797
1966-09-16,Ray_Roberts,0.25359
1966-09-17,Ray_Roberts,0.23557
1966-09-18,Ray_Roberts,0.23316
1966-09-19,Ray_Roberts,0.23118
1966-09-20,Ray_Roberts,0.22914
1966-09-21,Ray_Roberts,0.22708
1966-09-22,Ray_Roberts,0.22491
1966-09-23,Ray_Roberts,0.22288
1966-09-24,Ray_Roberts,0.221
1966-09-25,Ray_Roberts,0.21927
1966-09-26,Ray_Roberts,0.21767
1966-09-27,Ray_Roberts,0.21622
1966-09-28,Ray_Roberts,0.21486
1966-09-29,Ray_Roberts,0.21361
1966-09-30,Ray_Roberts,0.21246
1966-10-01,Ray_Roberts,0.23132
1966-10-02,Ray_Roberts,0.28484
1966-10-03,Ray_Roberts,0.50409
1966-10-04,Ray_Roberts,0.40271
1966-10-05,Ray_Roberts,0.35516
1966-10-06,Ray_Roberts,0.2118
1966-10-07,Ray_Roberts,0.20751
1966-10-08,Ray_Roberts,0.20686
1966-10-09,Ray_Roberts,0.20621
1966-10-10,Ray_Roberts,0.38517
1966-10-11,Ray_Roberts,0.83363
1966-10-12,Ray_Roberts,1.77328
1966-10-13,Ray_Roberts,0.89973
1966-10-14,Ray_Roberts,0.20482
1966-10-15,Ray_Roberts,0.20502
1966-10-16,Ray_Roberts,0.92071
1966-10-17,Ray_Roberts,0.27348
1966-10-18,Ray_Roberts,1.30219
1966-10-19,Ray_Roberts,0.21529
1966-10-20,Ray_Roberts,3.69405
1966-10-21,Ray_Roberts,0.6715
1966-10-22,Ray_Roberts,0.22856
1966-10-23,Ray_Roberts,0.2361
1966-10-24,Ray_Roberts,0.2406
1966-10-25,Ray_Roberts,0.24335
1966-10-26,Ray_Roberts,0.24485
1966-10-27,Ray_Roberts,0.24546
1966-10-28,Ray_Roberts,0.24558
1966-10-29,Ray_Roberts,0.24529
1966-10-30,Ray_Roberts,0.24456
1966-10-31,Ray_Roberts,0.24355
1966-11-01,Ray_Roberts,0.24245
1966-11-02,Ray_Roberts,0.24149
1966-11-03,Ray_Roberts,0.24059
1966-11-04,Ray_Roberts,0.23973
1966-11-05,Ray_Roberts,0.23896
1966-11-06,Ray_Roberts,0.56474
1966-11-07,Ray_Roberts,3.67195
1966-11-08,Ray_Roberts,0.53634
1966-11-09,Ray_Roberts,0.47414
1966-11-10,Ray_Roberts,0.28572
1966-11-11,Ray_Roberts,0.27498
1966-11-12,Ray_Roberts,0.27938
1966-11-13,Ray_Roberts,0.28189
1966-11-14,Ray_Roberts,0.2831
1966-11-15,Ray_Roberts,0.28359
1966-11-16,Ray_Roberts,0.32866
