date,reservoir,flow
1966-01-01,Richland-Chambers,13.85427
1966-01-02,Richland-Chambers,0.31245
1966-01-03,Richland-Chambers,0.28219
1966-01-04,Richland-Chambers,0.29002
1966-01-05,Richland-Chambers,3.56235
1966-01-06,Richland-Chambers,6.64208
1966-01-07,Richland-Chambers,3.40585
1966-01-08,Richland-Chambers,0.42916
1966-01-09,Richland-Chambers,0.56541
1966-01-10,Richland-Chambers,0.42042
1966-01-11,Richland-Chambers,0.43805
1966-01-12,Richland-Chambers,0.45045
1966-01-13,Richland-Chambers,0.45847
1966-01-14,Richland-Chambers,0.46328
1966-01-15,Richland-Chambers,0.46558
1966-01-16,Richland-Chambers,0.46924
1966-01-17,Richland-Chambers,0.46557
1966-01-18,Richland-Chambers,0.46363
1966-01-19,Richland-Chambers,0.46043
1966-01-20,Richland-Chambers,0.4567
1966-01-21,Richland-Chambers,0.45269
1966-01-22,Richland-Chambers,0.44851
1966-01-23,Richland-Chambers,0.44404
1966-01-24,Richland-Chambers,0.43888
1966-01-25,Richland-Chambers,0.43334
1966-01-26,Richland-Chambers,0.42706
1966-01-27,Richland-Chambers,0.42064
1966-01-28,Richland-Chambers,0.41462
1966-01-29,Richland-Chambers,0.40799
1966-01-30,Richland-Chambers,0.40131
1966-01-31,Richland-Chambers,0.39646
1966-02-01,Richland-Chambers,16.91327
1966-02-02,Richland-Chambers,3.90714
1966-02-03,Richland-Chambers,11.5378
1966-02-04,Richland-Chambers,0.79104
1966-02-05,Richland-Chambers,0.89209
1966-02-06,Richland-Chambers,0.96422
1966-02-07,Richland-Chambers,0.99759
1966-02-08,Richland-Chambers,1.02477
1966-02-09,Richland-Chambers,1.01409
1966-02-10,Richland-Chambers,1.00521
1966-02-11,Richland-Chambers,0.98807
1966-02-12,Richland-Chambers,0.96455
1966-02-13,Richland-Chambers,0.93864
1966-02-14,Richland-Chambers,0.91892
1966-02-15,Richland-Chambers,0.89637
1966-02-16,Richland-Chambers,0.87101
1966-02-17,Richland-Chambers,6.69041
1966-02-18,Richland-Chambers,12.64856
