date,reservoir,flow
1966-01-01,Texoma,38.21853
1966-01-02,Texoma,6.31363
1966-01-03,Texoma,2.63812
1966-01-04,Texoma,8.17987
1966-01-05,Texoma,42.74464
1966-01-06,Texoma,14.14992
1966-01-07,Texoma,17.52035
1966-01-08,Texoma,16.83396
1966-01-09,Texoma,19.60944
1966-01-10,Texoma,1.54063
1966-01-11,Texoma,8.25451
1966-01-12,Texoma,7.67136
1966-01-13,Texoma,4.95835
1966-01-14,Texoma,1.36253
1966-01-15,Texoma,1.30438
1966-01-16,Texoma,1.34094
1966-01-17,Texoma,1.30147
1966-01-18,Texoma,3.41617
1966-01-19,Texoma,1.71089
1966-01-20,Texoma,1.29694
1966-01-21,Texoma,1.29348
1966-01-22,Texoma,1.29118
1966-01-23,Texoma,1.2899
1966-01-24,Texoma,1.29683
1966-01-25,Texoma,1.44014
1966-01-26,Texoma,1.28107
1966-01-27,Texoma,1.27758
1966-01-28,Texoma,1.27393
1966-01-29,Texoma,1.27023
1966-01-30,Texoma,1.26657
1966-01-31,Texoma,80.06981
1966-02-01,Texoma,28.37892
1966-02-02,Texoma,3.29596
1966-02-03,Texoma,7.40163
1966-02-04,Texoma,2.42912
1966-02-05,Texoma,3.10135
1966-02-06,Texoma,9.01972
1966-02-07,Texoma,60.162
1966-02-08,Texoma,35.27791
1966-02-09,Texoma,68.6761
1966-02-10,Texoma,107.56379
1966-02-11,Texoma,41.92574
1966-02-12,Texoma,30.49824
1966-02-13,Texoma,10.3345
1966-02-14,Texoma,1.50153
1966-02-15,Texoma,4.54082
1966-02-16,Texoma,8.27604
1966-02-17,Texoma,51.2907
1966-02-18,Texoma,1.5698
1966-02-19,Texoma,111.03465
1966-02-20,Texoma,146.01629
1966-02-21,Texoma,3.52744
1966-02-22,Texoma,2.1136
1966-02-23,Texoma,2.2411
1966-02-24,Texoma,2.27137
1966-02-25,Texoma,6.47202
1966-02-26,Texoma,2.23403
1966-02-27,Texoma,2.19917
1966-02-28,Texoma,2.17637
1966-03-01,Texoma,16.61763
1966-03-02,Texoma,24.89254
1966-03-03,Texoma,27.76923
1966-03-04,Texoma,2.5256
1966-03-05,Texoma,27.01757
1966-03-06,Texoma,10.72131
1966-03-07,Texoma,2.67316
1966-03-08,Texoma,2.24437
1966-03-09,Texoma,2.18746
1966-03-10,Texoma,2.15785
1966-03-11,Texoma,2.11866
1966-03-12,Texoma,2.07391
1966-03-13,Texoma,2.02745
1966-03-14,Texoma,2.00841
1966-03-15,Texoma,79.72468
1966-03-16,Texoma,1.99215
1966-03-17,Texoma,1.99433
1966-03-18,Texoma,1.98863
1966-03-19,Texoma,1.96988
1966-03-20,Texoma,1.94536
1966-03-21,Texoma,1.91936
1966-03-22,Texoma,1.89336
1966-03-23,Texoma,1.86814
1966-03-24,Texoma,1.84405
1966-03-25,Texoma,1.82169
1966-03-26,Texoma,1.80016
1966-03-27,Texoma,1.77987
1966-03-28,Texoma,2.03791
1966-03-29,Texoma,106.09475
1966-03-30,Texoma,82.8773
1966-03-31,Texoma,22.30746
1966-04-01,Texoma,1.82447
1966-04-02,Texoma,1.84726
1966-04-03,Texoma,1.85927
1966-04-04,Texoma,1.85047
1966-04-05,Texoma,15.97682
1966-04-06,Texoma,6.2967
1966-04-07,Texoma,1.87494
1966-04-08,Texoma,2.11183
1966-04-09,Texoma,2.00961
