date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1967-01-01,6.35025,0.04233,0.20836,0.11335,0.44211,0.36409,0.10173,0.85646,1.26526,0.01256,0.03319,6.84576,0.0125,1.38002,0.04421,41.1778,0.12423,0.22058,1.20056,1.52877,23.85405,0.17261,0.01668,0.03751,1.64984,0.40336,1.08704,0.03744,0.29143,8.57581,7.93627,22.90365,0.00662,0.00761,0.01117,1.57069
1967-01-02,6.32039,0.03544,0.0917,0,0.31971,0.05538,0.00183,0.77642,0.99181,0.01249,0.00119,6.77584,0.00483,1.00776,0.03307,3.96278,0.10257,0.17018,0.82464,0.41043,5.46227,0.14309,0.00665,0.02383,1.12165,0.23204,0.26636,7e-4,0.12077,0.35155,1.498,5.40354,0.00138,0.00303,2e-5,1.15118
1967-01-03,6.3285,0.03524,0.09113,1.9e-4,0.3191,0.05469,0.05199,0.77512,0.99137,0.01242,0.00116,6.99896,0.00476,1.0004,0.03313,16.39504,0.10201,0.16878,0.81119,0.59588,10.1819,0.14217,0.00656,0.02212,1.10616,0.23176,0.28677,0.06382,0.12843,5.36113,1.49142,7.53189,0.00141,0.00542,0.00149,1.14281
1967-01-04,6.29539,0.03508,0.09058,0.26137,0.37803,0.05398,0.24389,0.77004,1.05734,0.01237,0.0012,6.81985,0.00469,0.99315,0.05458,24.53115,0.10346,0.16741,0.86555,4.84151,34.30548,0.14408,0.00648,0.02533,1.23905,0.23144,2.8575,0.02784,0.79465,5.58087,1.48745,27.58528,0.0195,0.01354,0.00401,1.14686
1967-01-05,6.29822,0.03485,0.09003,3e-5,0.30774,0.05323,0.03643,0.76584,0.98358,0.01232,0.00116,6.75067,0.00462,0.98589,0.03443,8.19861,0.10087,0.16606,0.811,2.34716,25.0282,0.14035,0.0064,0.02203,1.10389,0.23105,0.423,7.6e-4,0.49912,0.35148,1.48024,19.42061,0.01642,0.00302,2e-5,1.12631
1967-01-06,6.24694,0.03468,0.08951,1.6e-4,0.30386,0.05269,0.0018600000000000001,0.76208,0.98088,0.01226,0.00126,6.69833,0.00456,0.97887,0.03504,5.32322,0.10038,0.16473,0.81082,0.41095,6.46482,0.13956,0.00632,0.02202,1.10282,0.23098,0.26704,7.7e-4,0.29048,0.35157,1.48088,9.46561,0.0014,0.00302,2e-5,1.11828
1967-01-07,6.27382,0.03449,0.08898,0,0.30008,0.05182,0.00185,0.75825,0.97815,0.0122,0.00124,6.72413,0.00449,0.9718,0.03558,4.39185,0.09975,0.16341,0.80927,0.41151,5.59518,0.13856,0.00624,0.02231,1.09994,0.23038,0.26614,7.7e-4,0.28903,0.35165,1.46963,11.44092,0.00139,0.00302,2e-5,1.11023
1967-01-08,6.39395,0.03431,0.08846,0,0.29636,0.05105,0.00184,0.75415,0.97547,0.01213,0.00116,6.84318,0.00443,0.96467,0.03594,3.60507,0.09913,0.16208,0.80776,0.41198,5.34532,0.13762,0.00617,0.02181,1.09723,0.22983,0.2663,7.8e-4,0.12067,0.35174,1.46413,12.22392,0.0014,0.00301,2e-5,1.10213
1967-01-09,6.32945,0.03414,0.08794,0,0.29267,0.05031,0.00182,0.75015,0.97279,0.01206,0.00116,6.77766,0.00437,0.95756,0.03625,3.00593,0.09853,0.16076,0.8058,0.41235,5.33227,0.1367,0.00609,0.02172,1.094,0.22928,0.26635,7.8e-4,0.12138,0.35181,1.45866,6.68105,0.0014,0.00301,2e-5,1.09406
1967-01-10,6.56765,0.03398,0.08743,0,0.28907,0.04958,0.00181,0.7462,0.97012,0.01198,0.00116,7.01478,0.00431,0.95059,0.03645,2.55142,0.09796,0.15945,0.80342,0.41263,5.31694,0.13582,0.00602,0.02163,1.09028,0.22871,0.26635,7.8e-4,0.12199,0.35186,1.45313,6.83114,0.00141,0.00301,2e-5,1.08612
