date,reservoir,flow
1966-01-01,Bardwell,0
1966-01-02,Bardwell,0
1966-01-03,Bardwell,0
1966-01-04,Bardwell,0.11846
1966-01-05,Bardwell,9.7e-4
1966-01-06,Bardwell,0
1966-01-07,Bardwell,0
1966-01-08,Bardwell,0
1966-01-09,Bardwell,0
1966-01-10,Bardwell,0
1966-01-11,Bardwell,0
1966-01-12,Bardwell,0.30028
1966-01-13,Bardwell,0.74079
1966-01-14,Bardwell,2.85756
1966-01-15,Bardwell,0.17911
1966-01-16,Bardwell,0.00398
1966-01-17,Bardwell,0.0027
1966-01-18,Bardwell,0.00299
1966-01-19,Bardwell,8e-4
1966-01-20,Bardwell,5e-5
1966-01-21,Bardwell,0.01974
1966-01-22,Bardwell,7.9e-4
1966-01-23,Bardwell,0.04489
1966-01-24,Bardwell,0.11338
1966-01-25,Bardwell,0.00331
1966-01-26,Bardwell,0
1966-01-27,Bardwell,0
1966-01-28,Bardwell,0.00133
1966-01-29,Bardwell,5.5e-4
1966-01-30,Bardwell,0
1966-01-31,Bardwell,0
1966-02-01,Bardwell,1.12382
1966-02-02,Bardwell,0
1966-02-03,Bardwell,0
1966-02-04,Bardwell,6e-5
1966-02-05,Bardwell,0
1966-02-06,Bardwell,0
1966-02-07,Bardwell,0
1966-02-08,Bardwell,0
1966-02-09,Bardwell,1.16539
1966-02-10,Bardwell,0.89213
1966-02-11,Bardwell,0.00514
1966-02-12,Bardwell,0
1966-02-13,Bardwell,0.00142
1966-02-14,Bardwell,0
1966-02-15,Bardwell,0.54162
1966-02-16,Bardwell,0.20995
1966-02-17,Bardwell,0.00381
1966-02-18,Bardwell,0
1966-02-19,Bardwell,2e-4
1966-02-20,Bardwell,0.57661
1966-02-21,Bardwell,0.14825
1966-02-22,Bardwell,0.02685
1966-02-23,Bardwell,0.02432
1966-02-24,Bardwell,0.0018600000000000001
1966-02-25,Bardwell,0
1966-02-26,Bardwell,0
1966-02-27,Bardwell,0
1966-02-28,Bardwell,3.3e-4
1966-03-01,Bardwell,4e-5
1966-03-02,Bardwell,1e-5
1966-03-03,Bardwell,0
1966-03-04,Bardwell,0
1966-03-05,Bardwell,0
1966-03-06,Bardwell,0
1966-03-07,Bardwell,8.4e-4
1966-03-08,Bardwell,0.157
1966-03-09,Bardwell,1e-5
1966-03-10,Bardwell,0
1966-03-11,Bardwell,0
1966-03-12,Bardwell,0
1966-03-13,Bardwell,0
1966-03-14,Bardwell,0.48298
1966-03-15,Bardwell,1.01762
1966-03-16,Bardwell,0.39332
1966-03-17,Bardwell,0
1966-03-18,Bardwell,0
1966-03-19,Bardwell,1e-4
1966-03-20,Bardwell,0
1966-03-21,Bardwell,0.88503
1966-03-22,Bardwell,0.27723
1966-03-23,Bardwell,0
1966-03-24,Bardwell,0.0624
1966-03-25,Bardwell,0.00129
1966-03-26,Bardwell,0
1966-03-27,Bardwell,0
1966-03-28,Bardwell,0.18945
1966-03-29,Bardwell,1.0456
1966-03-30,Bardwell,0
1966-03-31,Bardwell,0
1966-04-01,Bardwell,0
1966-04-02,Bardwell,0
1966-04-03,Bardwell,0
1966-04-04,Bardwell,9e-5
1966-04-05,Bardwell,2.58703
1966-04-06,Bardwell,1.02912
1966-04-07,Bardwell,0.03322
1966-04-08,Bardwell,9e-5
1966-04-09,Bardwell,1e-5
1966-04-10,Bardwell,0
1966-04-11,Bardwell,0
1966-04-12,Bardwell,0
1966-04-13,Bardwell,1e-5
1966-04-14,Bardwell,0.03469
1966-04-15,Bardwell,0.46256
1966-04-16,Bardwell,0
1966-04-17,Bardwell,1e-5
1966-04-18,Bardwell,8e-4
1966-04-19,Bardwell,0
1966-04-20,Bardwell,0
1966-04-21,Bardwell,0
1966-04-22,Bardwell,0.05505
1966-04-23,Bardwell,0.00533
1966-04-24,Bardwell,0.19455
1966-04-25,Bardwell,0.40706
1966-04-26,Bardwell,0.35354
1966-04-27,Bardwell,2.71687
1966-04-28,Bardwell,3.81108
1966-04-29,Bardwell,0.3821
1966-04-30,Bardwell,2e-5
1966-05-01,Bardwell,0
1966-05-02,Bardwell,0
1966-05-03,Bardwell,0
1966-05-04,Bardwell,0
1966-05-05,Bardwell,1.18134
1966-05-06,Bardwell,1.08526
1966-05-07,Bardwell,0.58502
1966-05-08,Bardwell,0
1966-05-09,Bardwell,0
1966-05-10,Bardwell,1.3e-4
1966-05-11,Bardwell,0
1966-05-12,Bardwell,0.20034
1966-05-13,Bardwell,0.35243
1966-05-14,Bardwell,0.11334
1966-05-15,Bardwell,2.02814
1966-05-16,Bardwell,3.13846
1966-05-17,Bardwell,0.04838
1966-05-18,Bardwell,0
1966-05-19,Bardwell,0
1966-05-20,Bardwell,0
1966-05-21,Bardwell,2e-5
1966-05-22,Bardwell,8.5e-4
1966-05-23,Bardwell,0
1966-05-24,Bardwell,0
1966-05-25,Bardwell,0
1966-05-26,Bardwell,0
1966-05-27,Bardwell,0
1966-05-28,Bardwell,0
1966-05-29,Bardwell,0
1966-05-30,Bardwell,0
1966-05-31,Bardwell,0
1966-06-01,Bardwell,0.56468
1966-06-02,Bardwell,0.32138
1966-06-03,Bardwell,0.41217
1966-06-04,Bardwell,0.47958
1966-06-05,Bardwell,0.07779
1966-06-06,Bardwell,0.41835
1966-06-07,Bardwell,0.75391
1966-06-08,Bardwell,0.51633
1966-06-09,Bardwell,0.85746
1966-06-10,Bardwell,0.7922
1966-06-11,Bardwell,0.35614
1966-06-12,Bardwell,0.00215
1966-06-13,Bardwell,0.0132
1966-06-14,Bardwell,0.71419
1966-06-15,Bardwell,0.47234
1966-06-16,Bardwell,0.62383
1966-06-17,Bardwell,0.17119
1966-06-18,Bardwell,0.14466
1966-06-19,Bardwell,2.15477
1966-06-20,Bardwell,0.72157
1966-06-21,Bardwell,0.29427
1966-06-22,Bardwell,0.06894
1966-06-23,Bardwell,1.4e-4
1966-06-24,Bardwell,0.00138
1966-06-25,Bardwell,0.00308
1966-06-26,Bardwell,0.01366
1966-06-27,Bardwell,0.01679
1966-06-28,Bardwell,0.11367
1966-06-29,Bardwell,0.12437
1966-06-30,Bardwell,0
1966-07-01,Bardwell,0
1966-07-02,Bardwell,1.2e-4
1966-07-03,Bardwell,1.1e-4
1966-07-04,Bardwell,0.00184
1966-07-05,Bardwell,2e-5
1966-07-06,Bardwell,4.1e-4
1966-07-07,Bardwell,7e-5
1966-07-08,Bardwell,1.9e-4
1966-07-09,Bardwell,0.00103
1966-07-10,Bardwell,2e-5
1966-07-11,Bardwell,0
1966-07-12,Bardwell,0
1966-07-13,Bardwell,0
1966-07-14,Bardwell,0
1966-07-15,Bardwell,0
1966-07-16,Bardwell,0
