date,reservoir,flow
1966-01-01,Greenville_City,0.0274
1966-01-02,Greenville_City,0.0168
1966-01-03,Greenville_City,0.0168
1966-01-04,Greenville_City,0.0886
1966-01-05,Greenville_City,0.0186
1966-01-06,Greenville_City,0.0168
1966-01-07,Greenville_City,0.0168
1966-01-08,Greenville_City,0.0168
1966-01-09,Greenville_City,0.0168
1966-01-10,Greenville_City,0.0169
1966-01-11,Greenville_City,0.0169
1966-01-12,Greenville_City,0.0262
1966-01-13,Greenville_City,0.0686
1966-01-14,Greenville_City,1.03
1966-01-15,Greenville_City,0.1037
1966-01-16,Greenville_City,0.0199
1966-01-17,Greenville_City,0.0196
1966-01-18,Greenville_City,0.0189
1966-01-19,Greenville_City,0.018
1966-01-20,Greenville_City,0.018
1966-01-21,Greenville_City,0.0186
1966-01-22,Greenville_City,0.0182
1966-01-23,Greenville_City,0.0183
1966-01-24,Greenville_City,0.0677
1966-01-25,Greenville_City,0.0185
1966-01-26,Greenville_City,0.0186
1966-01-27,Greenville_City,0.0187
1966-01-28,Greenville_City,0.0201
1966-01-29,Greenville_City,0.0189
1966-01-30,Greenville_City,0.019
1966-01-31,Greenville_City,0.019
1966-02-01,Greenville_City,0.294
1966-02-02,Greenville_City,0.0195
1966-02-03,Greenville_City,0.0192
1966-02-04,Greenville_City,0.0194
1966-02-05,Greenville_City,0.0194
1966-02-06,Greenville_City,0.0195
1966-02-07,Greenville_City,0.0196
1966-02-08,Greenville_City,0.0197
1966-02-09,Greenville_City,0.2116
1966-02-10,Greenville_City,0.376
1966-02-11,Greenville_City,0.0216
1966-02-12,Greenville_City,0.0204
1966-02-13,Greenville_City,0.0211
1966-02-14,Greenville_City,0.021
1966-02-15,Greenville_City,0.0851
1966-02-16,Greenville_City,0.0808
1966-02-17,Greenville_City,0.0233
1966-02-18,Greenville_City,0.0223
1966-02-19,Greenville_City,0.0227
1966-02-20,Greenville_City,0.2482
1966-02-21,Greenville_City,0.2018
1966-02-22,Greenville_City,0.0253
1966-02-23,Greenville_City,0.0621
1966-02-24,Greenville_City,0.0304
1966-02-25,Greenville_City,0.0323
1966-02-26,Greenville_City,0.0347
1966-02-27,Greenville_City,0.0372
1966-02-28,Greenville_City,0.0395
1966-03-01,Greenville_City,0.0417
1966-03-02,Greenville_City,0.0436
1966-03-03,Greenville_City,0.0452
1966-03-04,Greenville_City,0.0463
1966-03-05,Greenville_City,0.0472
1966-03-06,Greenville_City,0.0477
1966-03-07,Greenville_City,0.048
1966-03-08,Greenville_City,0.112
1966-03-09,Greenville_City,0.0479
1966-03-10,Greenville_City,0.0478
1966-03-11,Greenville_City,0.0475
1966-03-12,Greenville_City,0.0471
1966-03-13,Greenville_City,0.0466
1966-03-14,Greenville_City,0.1079
1966-03-15,Greenville_City,0.3313
