date,reservoir,flow
1966-01-01,Joe_Pool,0.1033
1966-01-02,Joe_Pool,0.1032
1966-01-03,Joe_Pool,0.103
1966-01-04,Joe_Pool,0.138
1966-01-05,Joe_Pool,0.1071
1966-01-06,Joe_Pool,0.1025
1966-01-07,Joe_Pool,0.1023
1966-01-08,Joe_Pool,0.1022
1966-01-09,Joe_Pool,0.102
1966-01-10,Joe_Pool,0.1018
1966-01-11,Joe_Pool,0.1017
1966-01-12,Joe_Pool,0.3245
1966-01-13,Joe_Pool,0.7679
1966-01-14,Joe_Pool,2.443
1966-01-15,Joe_Pool,0.2666
1966-01-16,Joe_Pool,0.1348
1966-01-17,Joe_Pool,0.1409
1966-01-18,Joe_Pool,0.1495
1966-01-19,Joe_Pool,0.1505
1966-01-20,Joe_Pool,0.1539
1966-01-21,Joe_Pool,0.1603
1966-01-22,Joe_Pool,0.1582
1966-01-23,Joe_Pool,0.1794
1966-01-24,Joe_Pool,0.2453
1966-01-25,Joe_Pool,0.1708
1966-01-26,Joe_Pool,0.1608
1966-01-27,Joe_Pool,0.1609
1966-01-28,Joe_Pool,0.1617
1966-01-29,Joe_Pool,0.1604
1966-01-30,Joe_Pool,0.1599
1966-01-31,Joe_Pool,0.1592
1966-02-01,Joe_Pool,0.9782
1966-02-02,Joe_Pool,0.1601
1966-02-03,Joe_Pool,0.1632
1966-02-04,Joe_Pool,0.166
1966-02-05,Joe_Pool,0.1682
1966-02-06,Joe_Pool,0.1698
1966-02-07,Joe_Pool,0.1708
1966-02-08,Joe_Pool,0.1713
1966-02-09,Joe_Pool,1.2386
1966-02-10,Joe_Pool,0.3702
1966-02-11,Joe_Pool,0.1998
1966-02-12,Joe_Pool,0.212
1966-02-13,Joe_Pool,0.224
1966-02-14,Joe_Pool,0.2309
1966-02-15,Joe_Pool,0.6268
1966-02-16,Joe_Pool,0.4693
1966-02-17,Joe_Pool,0.2713
1966-02-18,Joe_Pool,0.2692
1966-02-19,Joe_Pool,0.277
1966-02-20,Joe_Pool,0.7387
1966-02-21,Joe_Pool,0.6156
1966-02-22,Joe_Pool,0.316
1966-02-23,Joe_Pool,0.3353
1966-02-24,Joe_Pool,0.3446
1966-02-25,Joe_Pool,0.3509
1966-02-26,Joe_Pool,0.3537
1966-02-27,Joe_Pool,0.3526
1966-02-28,Joe_Pool,0.3495
1966-03-01,Joe_Pool,0.3454
1966-03-02,Joe_Pool,0.3398
1966-03-03,Joe_Pool,0.3325
1966-03-04,Joe_Pool,0.3239
1966-03-05,Joe_Pool,0.3157
1966-03-06,Joe_Pool,0.3072
1966-03-07,Joe_Pool,0.2999
1966-03-08,Joe_Pool,0.3665
1966-03-09,Joe_Pool,0.2818
1966-03-10,Joe_Pool,0.2734
1966-03-11,Joe_Pool,0.2656
1966-03-12,Joe_Pool,0.2574
1966-03-13,Joe_Pool,0.2491
1966-03-14,Joe_Pool,0.4498
1966-03-15,Joe_Pool,0.9561
1966-03-16,Joe_Pool,0.4116
1966-03-17,Joe_Pool,0.2396
1966-03-18,Joe_Pool,0.2424
1966-03-19,Joe_Pool,0.2453
1966-03-20,Joe_Pool,0.2432
1966-03-21,Joe_Pool,1.4092
1966-03-22,Joe_Pool,0.4466
1966-03-23,Joe_Pool,0.2998
1966-03-24,Joe_Pool,0.3617
1966-03-25,Joe_Pool,0.3344
1966-03-26,Joe_Pool,0.3392
1966-03-27,Joe_Pool,0.338
1966-03-28,Joe_Pool,0.4228
1966-03-29,Joe_Pool,1.1751
1966-03-30,Joe_Pool,0.3451
1966-03-31,Joe_Pool,0.3601
1966-04-01,Joe_Pool,0.3668
1966-04-02,Joe_Pool,0.3661
1966-04-03,Joe_Pool,0.3603
1966-04-04,Joe_Pool,0.3525
1966-04-05,Joe_Pool,2.1268
1966-04-06,Joe_Pool,1.4363
1966-04-07,Joe_Pool,0.7071
1966-04-08,Joe_Pool,0.7058
1966-04-09,Joe_Pool,0.745
1966-04-10,Joe_Pool,0.748
1966-04-11,Joe_Pool,0.7291
1966-04-12,Joe_Pool,0.701
1966-04-13,Joe_Pool,0.6704
1966-04-14,Joe_Pool,0.7522
1966-04-15,Joe_Pool,0.7776
1966-04-16,Joe_Pool,0.587
1966-04-17,Joe_Pool,0.5605
1966-04-18,Joe_Pool,0.5348
1966-04-19,Joe_Pool,0.5096
1966-04-20,Joe_Pool,0.4841
1966-04-21,Joe_Pool,0.4586
1966-04-22,Joe_Pool,0.4416
1966-04-23,Joe_Pool,0.4397
1966-04-24,Joe_Pool,0.448
1966-04-25,Joe_Pool,0.7555
1966-04-26,Joe_Pool,0.7028
1966-04-27,Joe_Pool,2.9281
1966-04-28,Joe_Pool,4.3521
1966-04-29,Joe_Pool,1.9144
1966-04-30,Joe_Pool,2.0156
1966-05-01,Joe_Pool,1.9541
1966-05-02,Joe_Pool,1.8095
1966-05-03,Joe_Pool,1.6484
1966-05-04,Joe_Pool,1.4922
1966-05-05,Joe_Pool,2.2737
1966-05-06,Joe_Pool,2.0671
1966-05-07,Joe_Pool,1.4304
1966-05-08,Joe_Pool,1.381
1966-05-09,Joe_Pool,1.3349
1966-05-10,Joe_Pool,1.26
1966-05-11,Joe_Pool,1.1789
1966-05-12,Joe_Pool,1.2252
1966-05-13,Joe_Pool,1.9255
1966-05-14,Joe_Pool,1.1792
1966-05-15,Joe_Pool,3.6127
1966-05-16,Joe_Pool,4.3294
1966-05-17,Joe_Pool,3.0779
1966-05-18,Joe_Pool,3.1807
1966-05-19,Joe_Pool,2.951
1966-05-20,Joe_Pool,2.6582
1966-05-21,Joe_Pool,2.3769
1966-05-22,Joe_Pool,2.1232
1966-05-23,Joe_Pool,1.8924
1966-05-24,Joe_Pool,1.687
1966-05-25,Joe_Pool,1.507
1966-05-26,Joe_Pool,1.3449
1966-05-27,Joe_Pool,1.2027
1966-05-28,Joe_Pool,1.0784
1966-05-29,Joe_Pool,0.9696
1966-05-30,Joe_Pool,0.8734
1966-05-31,Joe_Pool,0.7956
1966-06-01,Joe_Pool,0.9879
1966-06-02,Joe_Pool,0.7761
1966-06-03,Joe_Pool,0.7745
1966-06-04,Joe_Pool,0.8052
1966-06-05,Joe_Pool,0.6051
1966-06-06,Joe_Pool,0.7172
