date,reservoir,flow
1966-01-01,Livingston,4.38156
1966-01-02,Livingston,4.20632
1966-01-03,Livingston,4.19445
1966-01-04,Livingston,10.99925
1966-01-05,Livingston,4.90695
1966-01-06,Livingston,4.17911
1966-01-07,Livingston,4.17158
1966-01-08,Livingston,4.1639
1966-01-09,Livingston,4.15429
1966-01-10,Livingston,4.14299
1966-01-11,Livingston,4.12979
1966-01-12,Livingston,15.24001
1966-01-13,Livingston,98.6462
1966-01-14,Livingston,325.96526
1966-01-15,Livingston,24.81891
1966-01-16,Livingston,8.60374
1966-01-17,Livingston,8.55298
1966-01-18,Livingston,8.40459
1966-01-19,Livingston,8.28271
1966-01-20,Livingston,8.29313
1966-01-21,Livingston,21.81091
1966-01-22,Livingston,9.12243
1966-01-23,Livingston,8.76488
1966-01-24,Livingston,15.38174
1966-01-25,Livingston,8.47475
1966-01-26,Livingston,7.84927
1966-01-27,Livingston,7.76241
1966-01-28,Livingston,7.86206
1966-01-29,Livingston,7.6417
1966-01-30,Livingston,7.54714
1966-01-31,Livingston,7.42006
1966-02-01,Livingston,99.95352
1966-02-02,Livingston,7.35884
1966-02-03,Livingston,7.42849
1966-02-04,Livingston,7.47577
1966-02-05,Livingston,7.48609
1966-02-06,Livingston,7.45678
1966-02-07,Livingston,7.40358
1966-02-08,Livingston,7.41753
1966-02-09,Livingston,100.10996
1966-02-10,Livingston,73.76755
1966-02-11,Livingston,8.80615
1966-02-12,Livingston,8.59905
1966-02-13,Livingston,9.01938
1966-02-14,Livingston,9.03749
1966-02-15,Livingston,62.32015
1966-02-16,Livingston,25.77399
1966-02-17,Livingston,11.18785
1966-02-18,Livingston,10.03153
1966-02-19,Livingston,9.89313
1966-02-20,Livingston,43.18196
1966-02-21,Livingston,45.96911
1966-02-22,Livingston,12.08224
1966-02-23,Livingston,14.66583
1966-02-24,Livingston,11.59328
1966-02-25,Livingston,11.01148
1966-02-26,Livingston,10.97947
1966-02-27,Livingston,10.91084
1966-02-28,Livingston,10.8562
1966-03-01,Livingston,10.76111
1966-03-02,Livingston,10.61978
1966-03-03,Livingston,10.41379
1966-03-04,Livingston,10.2277
1966-03-05,Livingston,10.21699
1966-03-06,Livingston,9.91284
1966-03-07,Livingston,9.76936
1966-03-08,Livingston,41.14602
1966-03-09,Livingston,12.69116
1966-03-10,Livingston,9.61454
1966-03-11,Livingston,9.11891
1966-03-12,Livingston,8.95402
1966-03-13,Livingston,8.78727
1966-03-14,Livingston,41.83333
1966-03-15,Livingston,149.82573
1966-03-16,Livingston,27.03168
1966-03-17,Livingston,9.267
1966-03-18,Livingston,9.41418
1966-03-19,Livingston,9.70128
1966-03-20,Livingston,9.3874
1966-03-21,Livingston,144.0751
1966-03-22,Livingston,26.78346
1966-03-23,Livingston,10.19854
1966-03-24,Livingston,14.9393
1966-03-25,Livingston,11.61821
1966-03-26,Livingston,10.41352
1966-03-27,Livingston,10.27099
1966-03-28,Livingston,30.57518
1966-03-29,Livingston,112.29266
1966-03-30,Livingston,10.72946
1966-03-31,Livingston,11.04359
1966-04-01,Livingston,11.07279
1966-04-02,Livingston,10.96454
1966-04-03,Livingston,10.78093
1966-04-04,Livingston,11.9149
1966-04-05,Livingston,140.13742
1966-04-06,Livingston,132.21324
1966-04-07,Livingston,30.15972
1966-04-08,Livingston,15.31112
1966-04-09,Livingston,16.2272
