date,reservoir,flow
1966-01-01,Mountain_Creek,0.12058
1966-01-02,Mountain_Creek,0.12032
1966-01-03,Mountain_Creek,0.12006
1966-01-04,Mountain_Creek,0.16702
1966-01-05,Mountain_Creek,0.12472
1966-01-06,Mountain_Creek,0.11934
1966-01-07,Mountain_Creek,0.1191
1966-01-08,Mountain_Creek,0.11887
1966-01-09,Mountain_Creek,0.11864
1966-01-10,Mountain_Creek,0.11841
1966-01-11,Mountain_Creek,0.1182
1966-01-12,Mountain_Creek,0.38434
1966-01-13,Mountain_Creek,0.87436
1966-01-14,Mountain_Creek,2.92592
1966-01-15,Mountain_Creek,0.33071
1966-01-16,Mountain_Creek,0.17947
1966-01-17,Mountain_Creek,0.19403
1966-01-18,Mountain_Creek,0.20784
1966-01-19,Mountain_Creek,0.21198
1966-01-20,Mountain_Creek,0.21769
1966-01-21,Mountain_Creek,0.22633
1966-01-22,Mountain_Creek,0.22399
1966-01-23,Mountain_Creek,0.24732
1966-01-24,Mountain_Creek,0.32653
1966-01-25,Mountain_Creek,0.23715
1966-01-26,Mountain_Creek,0.22547
1966-01-27,Mountain_Creek,0.22468
1966-01-28,Mountain_Creek,0.2249
1966-01-29,Mountain_Creek,0.22232
1966-01-30,Mountain_Creek,0.22065
1966-01-31,Mountain_Creek,0.2189
1966-02-01,Mountain_Creek,1.14782
1966-02-02,Mountain_Creek,0.218
1966-02-03,Mountain_Creek,0.22088
1966-02-04,Mountain_Creek,0.22339
1966-02-05,Mountain_Creek,0.22512
1966-02-06,Mountain_Creek,0.2262
1966-02-07,Mountain_Creek,0.22656
1966-02-08,Mountain_Creek,0.22631
1966-02-09,Mountain_Creek,1.43132
1966-02-10,Mountain_Creek,0.45872
1966-02-11,Mountain_Creek,0.25708
1966-02-12,Mountain_Creek,0.27122
1966-02-13,Mountain_Creek,0.28494
1966-02-14,Mountain_Creek,0.29263
1966-02-15,Mountain_Creek,0.74045
1966-02-16,Mountain_Creek,0.55879
1966-02-17,Mountain_Creek,0.33644
1966-02-18,Mountain_Creek,0.33394
1966-02-19,Mountain_Creek,0.34246
1966-02-20,Mountain_Creek,0.86617
1966-02-21,Mountain_Creek,0.73937
1966-02-22,Mountain_Creek,0.38614
1966-02-23,Mountain_Creek,0.4106
