date,reservoir,flow
1966-01-01,Texoma,1.07878
1966-01-02,Texoma,1.07654
1966-01-03,Texoma,1.08856
1966-01-04,Texoma,6.4534
1966-01-05,Texoma,1.11791
1966-01-06,Texoma,1.07
1966-01-07,Texoma,1.06557
1966-01-08,Texoma,1.06344
1966-01-09,Texoma,1.0613
1966-01-10,Texoma,1.0592
1966-01-11,Texoma,1.0570600000000001
1966-01-12,Texoma,13.59647
1966-01-13,Texoma,118.22928
1966-01-14,Texoma,173.98178
1966-01-15,Texoma,87.36401
1966-01-16,Texoma,6.19901
1966-01-17,Texoma,1.39005
1966-01-18,Texoma,1.34452
1966-01-19,Texoma,2.96386
1966-01-20,Texoma,1.17095
1966-01-21,Texoma,1.28807
1966-01-22,Texoma,1.56986
1966-01-23,Texoma,2.0674
1966-01-24,Texoma,8.06657
1966-01-25,Texoma,3.71802
1966-01-26,Texoma,13.02812
1966-01-27,Texoma,3.77256
1966-01-28,Texoma,1.35274
1966-01-29,Texoma,1.17835
1966-01-30,Texoma,1.68038
1966-01-31,Texoma,7.15641
1966-02-01,Texoma,91.50172
1966-02-02,Texoma,2.28043
1966-02-03,Texoma,1.2627
1966-02-04,Texoma,1.21978
1966-02-05,Texoma,1.23133
1966-02-06,Texoma,1.25924
1966-02-07,Texoma,1.25439
1966-02-08,Texoma,2.54452
1966-02-09,Texoma,111.95882
1966-02-10,Texoma,54.94555
1966-02-11,Texoma,3.8659
1966-02-12,Texoma,2.61531
1966-02-13,Texoma,1.42084
1966-02-14,Texoma,1.56334
1966-02-15,Texoma,15.88825
1966-02-16,Texoma,28.7967
1966-02-17,Texoma,2.09667
1966-02-18,Texoma,6.41986
1966-02-19,Texoma,14.80596
1966-02-20,Texoma,26.72419
1966-02-21,Texoma,19.029
1966-02-22,Texoma,24.48109
1966-02-23,Texoma,28.4245
1966-02-24,Texoma,6.57495
1966-02-25,Texoma,2.89088
1966-02-26,Texoma,1.94718
1966-02-27,Texoma,1.98225
1966-02-28,Texoma,2.38493
1966-03-01,Texoma,1.93149
1966-03-02,Texoma,1.76205
1966-03-03,Texoma,1.64859
1966-03-04,Texoma,1.65698
1966-03-05,Texoma,1.67866
1966-03-06,Texoma,1.61838
1966-03-07,Texoma,1.98006
1966-03-08,Texoma,5.61834
1966-03-09,Texoma,1.57855
1966-03-10,Texoma,1.62942
1966-03-11,Texoma,1.52556
1966-03-12,Texoma,1.51221
