date,reservoir,flow
1966-01-01,Toledo_Bend,6.8815
1966-01-02,Toledo_Bend,6.4686
1966-01-03,Toledo_Bend,6.4126
1966-01-04,Toledo_Bend,9.545
1966-01-05,Toledo_Bend,7.0571
1966-01-06,Toledo_Bend,6.2325
1966-01-07,Toledo_Bend,6.1682
1966-01-08,Toledo_Bend,6.1032
1966-01-09,Toledo_Bend,6.0402
1966-01-10,Toledo_Bend,5.9767
1966-01-11,Toledo_Bend,5.9121
1966-01-12,Toledo_Bend,5.8969
1966-01-13,Toledo_Bend,13.08
1966-01-14,Toledo_Bend,164.627
1966-01-15,Toledo_Bend,18.5167
1966-01-16,Toledo_Bend,9.7398
1966-01-17,Toledo_Bend,11.4364
1966-01-18,Toledo_Bend,16.7011
1966-01-19,Toledo_Bend,12.7838
1966-01-20,Toledo_Bend,12.9637
1966-01-21,Toledo_Bend,13.1016
1966-01-22,Toledo_Bend,13.1013
1966-01-23,Toledo_Bend,12.9212
1966-01-24,Toledo_Bend,15.5907
1966-01-25,Toledo_Bend,12.596
1966-01-26,Toledo_Bend,12.275
1966-01-27,Toledo_Bend,12.0446
1966-01-28,Toledo_Bend,12.006
1966-01-29,Toledo_Bend,11.6795
1966-01-30,Toledo_Bend,11.39
1966-01-31,Toledo_Bend,11.0884
1966-02-01,Toledo_Bend,48.9088
1966-02-02,Toledo_Bend,10.8369
1966-02-03,Toledo_Bend,10.8009
1966-02-04,Toledo_Bend,10.76
1966-02-05,Toledo_Bend,10.7418
1966-02-06,Toledo_Bend,10.6205
1966-02-07,Toledo_Bend,10.5137
1966-02-08,Toledo_Bend,10.3865
1966-02-09,Toledo_Bend,20.8078
1966-02-10,Toledo_Bend,62.8745
1966-02-11,Toledo_Bend,10.4756
1966-02-12,Toledo_Bend,10.5463
1966-02-13,Toledo_Bend,10.8229
1966-02-14,Toledo_Bend,10.8339
1966-02-15,Toledo_Bend,34.0288
1966-02-16,Toledo_Bend,15.6925
1966-02-17,Toledo_Bend,11.5235
1966-02-18,Toledo_Bend,11.4666
1966-02-19,Toledo_Bend,11.6474
1966-02-20,Toledo_Bend,14.6141
