date,reservoir,flow
1966-01-01,Twin Oaks,0.0444
1966-01-02,Twin Oaks,0.0445
1966-01-03,Twin Oaks,0.0446
1966-01-04,Twin Oaks,0.0449
1966-01-05,Twin Oaks,0.0448
1966-01-06,Twin Oaks,0.0448
1966-01-07,Twin Oaks,0.0448
1966-01-08,Twin Oaks,0.0448
1966-01-09,Twin Oaks,0.0449
1966-01-10,Twin Oaks,0.0449
1966-01-11,Twin Oaks,0.0449
1966-01-12,Twin Oaks,0.045
1966-01-13,Twin Oaks,0.1791
1966-01-14,Twin Oaks,1.6821
1966-01-15,Twin Oaks,0.0456
1966-01-16,Twin Oaks,0.046
1966-01-17,Twin Oaks,0.0465
1966-01-18,Twin Oaks,0.0469
1966-01-19,Twin Oaks,0.0472
1966-01-20,Twin Oaks,0.0475
1966-01-21,Twin Oaks,0.2043
1966-01-22,Twin Oaks,0.0481
1966-01-23,Twin Oaks,0.0483
1966-01-24,Twin Oaks,0.0486
1966-01-25,Twin Oaks,0.0488
1966-01-26,Twin Oaks,0.049
1966-01-27,Twin Oaks,0.0492
1966-01-28,Twin Oaks,0.0493
1966-01-29,Twin Oaks,0.0494
1966-01-30,Twin Oaks,0.0495
1966-01-31,Twin Oaks,0.0496
1966-02-01,Twin Oaks,0.2872
1966-02-02,Twin Oaks,0.0499
1966-02-03,Twin Oaks,0.05
1966-02-04,Twin Oaks,0.0501
1966-02-05,Twin Oaks,0.0503
1966-02-06,Twin Oaks,0.0504
1966-02-07,Twin Oaks,0.0504
1966-02-08,Twin Oaks,0.0505
1966-02-09,Twin Oaks,0.4336
1966-02-10,Twin Oaks,0.3033
1966-02-11,Twin Oaks,0.0509
1966-02-12,Twin Oaks,0.0511
1966-02-13,Twin Oaks,0.0514
1966-02-14,Twin Oaks,0.0515
1966-02-15,Twin Oaks,0.2469
1966-02-16,Twin Oaks,0.0704
1966-02-17,Twin Oaks,0.0543
1966-02-18,Twin Oaks,0.0523
1966-02-19,Twin Oaks,0.0525
1966-02-20,Twin Oaks,0.1542
1966-02-21,Twin Oaks,0.1475
1966-02-22,Twin Oaks,0.053
1966-02-23,Twin Oaks,0.0536
1966-02-24,Twin Oaks,0.0534
1966-02-25,Twin Oaks,0.0535
1966-02-26,Twin Oaks,0.0536
1966-02-27,Twin Oaks,0.0538
1966-02-28,Twin Oaks,0.0538
1966-03-01,Twin Oaks,0.053900000000000003
1966-03-02,Twin Oaks,0.054
1966-03-03,Twin Oaks,0.054
1966-03-04,Twin Oaks,0.054
1966-03-05,Twin Oaks,0.0541
1966-03-06,Twin Oaks,0.0541
1966-03-07,Twin Oaks,0.054
1966-03-08,Twin Oaks,0.0578
1966-03-09,Twin Oaks,0.0542
1966-03-10,Twin Oaks,0.054
1966-03-11,Twin Oaks,0.054
1966-03-12,Twin Oaks,0.054
1966-03-13,Twin Oaks,0.054
1966-03-14,Twin Oaks,0.0715
1966-03-15,Twin Oaks,1.3386
1966-03-16,Twin Oaks,0.0546
1966-03-17,Twin Oaks,0.0543
1966-03-18,Twin Oaks,0.0545
1966-03-19,Twin Oaks,0.0547
1966-03-20,Twin Oaks,0.0548
1966-03-21,Twin Oaks,1.0701
1966-03-22,Twin Oaks,0.0911
1966-03-23,Twin Oaks,0.0557
1966-03-24,Twin Oaks,0.1144
1966-03-25,Twin Oaks,0.0778
1966-03-26,Twin Oaks,0.0566
1966-03-27,Twin Oaks,0.0568
1966-03-28,Twin Oaks,0.2656
1966-03-29,Twin Oaks,0.8789
1966-03-30,Twin Oaks,0.0577
1966-03-31,Twin Oaks,0.0582
1966-04-01,Twin Oaks,0.0585
1966-04-02,Twin Oaks,0.0588
1966-04-03,Twin Oaks,0.059
1966-04-04,Twin Oaks,0.0595
1966-04-05,Twin Oaks,0.4242
1966-04-06,Twin Oaks,0.4612
1966-04-07,Twin Oaks,0.06
1966-04-08,Twin Oaks,0.0604
1966-04-09,Twin Oaks,0.0607
1966-04-10,Twin Oaks,0.0609
1966-04-11,Twin Oaks,0.061
1966-04-12,Twin Oaks,0.0611
1966-04-13,Twin Oaks,0.0612
1966-04-14,Twin Oaks,0.0613
1966-04-15,Twin Oaks,0.0614
1966-04-16,Twin Oaks,0.0611
1966-04-17,Twin Oaks,0.0611
1966-04-18,Twin Oaks,0.061
1966-04-19,Twin Oaks,0.0609
1966-04-20,Twin Oaks,0.0608
1966-04-21,Twin Oaks,0.0607
1966-04-22,Twin Oaks,0.0606
1966-04-23,Twin Oaks,0.0604
1966-04-24,Twin Oaks,0.0603
1966-04-25,Twin Oaks,0.0601
1966-04-26,Twin Oaks,0.06
1966-04-27,Twin Oaks,0.0615
1966-04-28,Twin Oaks,0.0695
1966-04-29,Twin Oaks,0.0605
1966-04-30,Twin Oaks,0.0597
1966-05-01,Twin Oaks,0.0597
1966-05-02,Twin Oaks,0.0597
1966-05-03,Twin Oaks,0.0597
1966-05-04,Twin Oaks,0.0597
1966-05-05,Twin Oaks,0.0609
1966-05-06,Twin Oaks,0.0623
1966-05-07,Twin Oaks,0.2474
1966-05-08,Twin Oaks,0.0595
1966-05-09,Twin Oaks,0.0596
1966-05-10,Twin Oaks,0.0596
