date,reservoir,flow
1966-01-01,Victor_Braunig,0.1393
1966-01-02,Victor_Braunig,0.1389
1966-01-03,Victor_Braunig,0.1385
1966-01-04,Victor_Braunig,0.1382
1966-01-05,Victor_Braunig,0.1383
1966-01-06,Victor_Braunig,0.1374
1966-01-07,Victor_Braunig,0.1537
1966-01-08,Victor_Braunig,0.1367
1966-01-09,Victor_Braunig,0.1364
1966-01-10,Victor_Braunig,0.136
1966-01-11,Victor_Braunig,0.1542
1966-01-12,Victor_Braunig,3.8498
1966-01-13,Victor_Braunig,15.7516
1966-01-14,Victor_Braunig,0.1422
1966-01-15,Victor_Braunig,0.1548
1966-01-16,Victor_Braunig,0.1731
1966-01-17,Victor_Braunig,0.1896
1966-01-18,Victor_Braunig,0.1964
1966-01-19,Victor_Braunig,0.1993
1966-01-20,Victor_Braunig,0.2526
1966-01-21,Victor_Braunig,1.9522
1966-01-22,Victor_Braunig,0.2474
1966-01-23,Victor_Braunig,0.2088
1966-01-24,Victor_Braunig,0.2115
1966-01-25,Victor_Braunig,0.2141
1966-01-26,Victor_Braunig,0.2136
1966-01-27,Victor_Braunig,0.2154
1966-01-28,Victor_Braunig,0.2171
1966-01-29,Victor_Braunig,0.2186
1966-01-30,Victor_Braunig,0.22
1966-01-31,Victor_Braunig,0.2213
1966-02-01,Victor_Braunig,0.731
1966-02-02,Victor_Braunig,0.2234
1966-02-03,Victor_Braunig,0.2242
1966-02-04,Victor_Braunig,0.2322
1966-02-05,Victor_Braunig,0.2309
1966-02-06,Victor_Braunig,0.2271
1966-02-07,Victor_Braunig,0.2261
1966-02-08,Victor_Braunig,0.4602
1966-02-09,Victor_Braunig,1.2727
1966-02-10,Victor_Braunig,0.2784
1966-02-11,Victor_Braunig,0.2258
1966-02-12,Victor_Braunig,0.2254
1966-02-13,Victor_Braunig,0.225
1966-02-14,Victor_Braunig,0.2492
1966-02-15,Victor_Braunig,0.652
1966-02-16,Victor_Braunig,0.2373
1966-02-17,Victor_Braunig,0.2222
1966-02-18,Victor_Braunig,0.2228
1966-02-19,Victor_Braunig,0.2559
1966-02-20,Victor_Braunig,0.7811
1966-02-21,Victor_Braunig,0.2202
1966-02-22,Victor_Braunig,0.2179
1966-02-23,Victor_Braunig,0.2351
1966-02-24,Victor_Braunig,0.2242
1966-02-25,Victor_Braunig,0.2142
1966-02-26,Victor_Braunig,0.213
1966-02-27,Victor_Braunig,0.2119
1966-02-28,Victor_Braunig,0.2109
1966-03-01,Victor_Braunig,0.2096
1966-03-02,Victor_Braunig,0.2082
1966-03-03,Victor_Braunig,0.2211
1966-03-04,Victor_Braunig,0.2336
1966-03-05,Victor_Braunig,0.2713
1966-03-06,Victor_Braunig,0.246
1966-03-07,Victor_Braunig,0.4278
1966-03-08,Victor_Braunig,0.6968
1966-03-09,Victor_Braunig,0.203
1966-03-10,Victor_Braunig,2.4544
1966-03-11,Victor_Braunig,0.1998
1966-03-12,Victor_Braunig,0.1958
1966-03-13,Victor_Braunig,0.1953
1966-03-14,Victor_Braunig,0.8806
1966-03-15,Victor_Braunig,1.2495
1966-03-16,Victor_Braunig,0.191
1966-03-17,Victor_Braunig,0.1898
1966-03-18,Victor_Braunig,0.1886
1966-03-19,Victor_Braunig,0.1875
1966-03-20,Victor_Braunig,0.2102
1966-03-21,Victor_Braunig,5.716
1966-03-22,Victor_Braunig,0.1914
1966-03-23,Victor_Braunig,0.1854
1966-03-24,Victor_Braunig,0.5833
1966-03-25,Victor_Braunig,0.4576
1966-03-26,Victor_Braunig,0.1838
1966-03-27,Victor_Braunig,0.1829
1966-03-28,Victor_Braunig,0.8832
1966-03-29,Victor_Braunig,0.7947
1966-03-30,Victor_Braunig,0.18
1966-03-31,Victor_Braunig,0.179
1966-04-01,Victor_Braunig,0.178
1966-04-02,Victor_Braunig,0.1771
1966-04-03,Victor_Braunig,0.1808
1966-04-04,Victor_Braunig,1.9941
1966-04-05,Victor_Braunig,1.9655
1966-04-06,Victor_Braunig,0.1865
1966-04-07,Victor_Braunig,0.1724
1966-04-08,Victor_Braunig,0.1715
1966-04-09,Victor_Braunig,0.1715
1966-04-10,Victor_Braunig,0.1697
1966-04-11,Victor_Braunig,0.1688
1966-04-12,Victor_Braunig,0.168
1966-04-13,Victor_Braunig,0.1671
1966-04-14,Victor_Braunig,0.4205
1966-04-15,Victor_Braunig,0.3457
1966-04-16,Victor_Braunig,0.1644
