date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1996-01-01,2.03639,0.05147,0.08411,1e-4,0.07151,0.02753,0.00784,0.32189,0.18989,0.00356,0.00645,2.24609,0.0049,0.31036,0.33497,0.71076,0.2439,0.03229,1.77903,0.344,11.47883,0.33968,0.00667,0.09095,2.72791,0.27993,0.57841,0.00116,0.10949,0.64556,6.63023,12.60759,0.00326,0.00192,3e-5,0.51064
1996-01-02,2.12215,0.05442,0.08763,0,0.07208,0.01071,0.00724,0.32159,0.18955,0.00356,0.00651,2.33103,0.00465,0.30497,0.38863,0.59772,0.26059,0.02747,1.91054,0.34549,12.19866,0.36192,0.00653,0.1097,2.90749,0.30726,0.60908,0.00395,0.11057,0.68865,6.52961,13.35105,0.00335,0.00207,3e-5,0.51361
1996-01-03,2.15905,0.10057,0.09002,0.45067,1.84999,0.1484,0.07322,2.12977,0.34431,0.00356,0.00282,2.4089,0.00502,0.51459,0.40908,11.22554,0.36199,0.02773,2.18522,2.34629,27.94114,0.49145,0.02152,0.06616,3.34251,0.37651,5.49081,0.04761,0.20831,3.97379,2.54047,20.12277,0.01844,0.00244,0.00272,1.24911
1996-01-04,2.06383,0.08507,0.08757,0.2999,0.37555,0.01168,0.05214,0.51528,0.24033,0.00356,0.00826,2.42066,0.0046,0.31228,0.39998,3.14625,0.34785,0.02791,2.26582,1.03457,20.97582,0.48107,0.00635,0.06941,3.4153,0.41803,2.33273,0.07404,0.1376,5.3726,4.53856,15.08188,0.00379,0.00319,9.1e-4,0.71384
1996-01-05,2.066,0.0588,0.0858,0.05622,0.16044,0.01118,0.00679,0.33631,0.18855,0.00355,0.10085,2.27683,0.00458,0.30411,0.38483,0.56147,0.28636,0.0281,2.12784,0.35087,14.08168,0.39542,0.00626,0.06856,3.2157,0.34621,1.39473,0.00106,0.1101,0.64935,5.89251,13.41635,0.00366,0.00191,3e-5,0.5786
1996-01-06,1.8696,0.0593,0.08449,0,0.07892,0.0113,0.00664,0.32032,0.18822,0.00355,0.01527,2.07478,0.00455,0.30347,0.36557,0.54242,0.28984,0.02827,2.15776,0.35035,13.49728,0.39982,0.00616,0.06987,3.26221,0.35139,0.69292,0.00106,0.10924,0.65122,3.63746,13.06052,0.00377,0.00191,3e-5,0.50931
1996-01-07,1.84202,0.05944,0.08302,0,0.08052,0.0114,0.00648,0.32,0.1879,0.00354,0.00282,2.04638,0.00452,0.30273,0.34472,1.33074,0.2904,0.02841,2.17279,0.35136,13.58244,0.40049,0.00608,0.07063,3.28824,0.35429,0.69968,0.00248,0.10827,0.65416,2.22155,12.94092,0.00387,0.00191,3e-5,0.50483
1996-01-08,1.83917,0.05927,0.08113,0,0.08161,0.0115,0.00632,0.31984,0.18755,0.00354,0.00282,2.0448,0.00448,0.30195,0.32365,0.57664,0.28857,0.02853,2.17511,0.35224,13.60888,0.39805,0.00599,0.07076,3.29658,0.35487,0.69931,0.00107,0.1073,0.65424,2.19729,12.79466,0.00396,0.00191,3e-5,0.49752999999999997
1996-01-09,1.83068,0.0589,0.07894,3e-5,0.08469,0.01158,0.00762,0.32037,0.18744,0.00353,0.00282,2.25535,0.00445,0.3011,0.30322,1.61906,0.28534,0.02864,2.16724,0.353,14.32135,0.39377,0.00591,0.0704,3.29049,0.35424,0.69445,0.03281,0.10641,5.19235,2.17258,11.7416,0.00405,0.00471,9.2e-4,0.48999
1996-01-10,1.82715,0.05868,0.07689,8.7e-4,0.0838,0.02004,0.0069,0.32483,0.19054,0.00353,0.00378,2.03068,0.00446,0.30203,0.28411,0.86166,0.28195,0.02872,2.15413,0.35372,13.82095,0.38956,0.00585,0.07008,3.27984,0.35651,0.69104,0.00108,0.15187,0.66189,2.20465,11.79744,0.00423,0.00195,3e-5,0.48645
1996-01-11,1.89026,0.0622,0.08443,0.02621,0.12926,0.06062,0.01364,0.39208,0.22347,0.00352,0.00326,2.1,0.0063,0.37135,0.26675,1.19246,0.28365,0.03724,2.1538,0.35558,14.75688,0.39217,0.00742,0.07026,3.29294,0.35363,0.92065,0.08344,0.12259,1.24222,2.54337,11.62854,0.00468,0.0036,8.1e-4,0.59693
1996-01-12,1.91617,0.35128,0.19773,2.86396,2.08451,0.52492,0.56057,1.51402,0.65058,0.00352,0.05093,2.12126,0.01605,1.14437,0.38909,5.60028,0.92757,0.10533,4.83128,13.28439,109.14157,1.22893,0.04482,0.19843,7.33732,1.45397,21.74554,0.12845,1.23603,2.13816,15.96266,34.16886,0.06012,0.00749,0.00499,2.87256
1996-01-13,1.93191,0.05696,0.07124,7e-5,0.09202,0.0118,0.00875,0.36828,0.1887,0.00351,0.00281,2.22006,0.00431,0.29804,0.2446,1.35183,0.27817,0.02895,2.08764,0.37053,14.30383,0.38239,0.00576,0.06658,3.19726,0.35111,0.68662,0.20729,0.14725,1.22959,2.06422,13.73693,0.00478,0.00234,3e-5,0.5023
1996-01-14,1.90771,0.05728,0.06976,0,0.08927,0.01184,0.00742,0.3177,0.18559,0.00351,0.00281,2.10746,0.00427,0.29685,0.24202,0.30476,0.28627,0.02901,2.07467,0.3613,13.41328,0.39173,0.00553,0.06572,3.18429,0.35256,0.70366,0.00106,0.10463,0.66028,2.05173,10.30624,0.0046,0.0019,3e-5,0.51725
1996-01-15,1.87471,0.21148,0.17328,0.82609,0.95591,0.9038,0.13876,0.79929,0.41479,0.00351,0.01104,2.11538,0.01745,1.18896,0.29623,2.17737,0.56798,0.049,4.03651,1.44028,33.33802,0.76761,0.02722,0.09926,5.99141,0.86101,7.0082700000000004,0.09356,0.1164,6.05057,10.79698,12.52432,0.00988,0.00918,0.00665,2.27945
1996-01-16,1.85844,0.08838,0.07882,0.79888,0.37514,0.27185,0.54563,0.38793,0.23616,0.00349,0.02912,2.05888,0.00653,0.42775,0.28963,49.85654,0.39158,0.03702,2.95988,6.16898,75.65939,0.52903,0.00906,0.12525,4.51187,0.52148,6.75995,0.29764,1.2727,29.00958,6.86787,54.6409,0.02643,0.01092,0.00808,0.85961
1996-01-17,1.82359,0.05888,0.06558,0,0.09602,0.01192,0.01015,0.31679,0.18461,0.00349,0.00321,2.02118,0.00416,0.2945,0.23531,0.5394,0.30871,0.02919,2.04827,0.37014,13.7522,0.4182,0.00532,0.06369,3.16326,0.36035,0.74692,0.00106,0.10778,0.6645,2.01052,10.40647,0.00512,0.00189,4e-5,0.55486
1996-01-18,1.81871,0.05963,0.06424,0,0.0988,0.01193,0.01084,0.3165,0.18428,0.00349,0.00281,2.01557,0.00412,0.29381,0.2359,0.62752,0.31585,0.02925,2.04623,0.37352,13.91441,0.42692,0.00526,0.06207,3.16565,0.36179,0.76503,0.00106,0.11015,0.66726,1.9916,10.68016,0.00532,0.00189,4e-5,0.55477
1996-01-19,1.82673,0.06006,0.06292,0,0.10111,0.01195,0.01082,0.31614,0.18396,0.00348,0.00281,2.02358,0.00408,0.2931,0.23331,0.6099,0.31915,0.0293,2.03956,0.37622,13.97797,0.43088,0.0052,0.06121,3.16052,0.36344,0.77384,0.00106,0.11144,0.66957,1.96205,10.79988,0.00551,0.00189,4e-5,0.54572
1996-01-20,1.81578,0.12138,0.31895,0.55866,0.98539,0.32301,0.02396,0.53766,0.55714,0.00347,0.01846,2.0288,0.01378,0.68468,0.25658,0.58336,0.38688,0.03475,3.44476,1.506,28.32097,0.52111,0.00971,0.11824,4.93496,0.87368,5.57102,0.00109,0.11214,2.0204,26.03842,12.49014,0.01356,0.01329,0.01282,1.36682
1996-01-21,1.77021,0.36655,0.18306,1.15054,2.10917,1.9857,0.47814,0.75847,0.42065,0.00347,0.1601,2.11057,0.01585,1.43435,0.44441,12.57875,0.78004,0.06486,7.19797,14.42339,86.6331,1.06431,0.05518,0.3332,10.07001,2.21574,12.78156,0.03514,0.92044,12.35358,21.74151,35.02871,0.04565,0.00892,0.00684,2.87823
1996-01-22,1.83817,0.08744,0.07275,0.31375,0.45012,0.09573,0.42351,0.44819,0.34003,0.00346,0.01127,2.06014,0.00532,0.43008,0.26628,20.27441,0.36823,0.04425,2.60715,6.54236,71.21977,0.49805,0.00899,0.10037,3.93205,0.50043,4.87467,0.24506,1.98829,10.03743,3.61239,54.80727,0.02501,0.01862,0.00866,0.8326
