date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
2017-01-01,2.07753,0.03366,0.07709,0,1.66814,0.01383,0.00346,1.05872,1.26405,0.00236,8.4e-4,2.55307,0.00613,0.6186,0.02297,0.01435,0.10985,0.10113,0.39111,0.48008,5.81295,0.15231,0.00996,0.0194,0.60016,0.10526,0.53616,0.00106,0.13068,0.66009,1.24982,4.19163,0.00658,0.00356,1.4e-4,0.93415
2017-01-02,2.15039,0.03375,0.07624,0.00611,1.63675,0.01374,0.00345,1.05478,1.26148,0.00236,8.4e-4,2.77103,0.00601,0.61384,0.02378,0.02375,0.10927,0.10027,0.41836,0.47934,5.97978,0.15223,0.00979,0.02119,0.65615,0.10516,0.53681,0.00531,0.13041,0.89653,1.24637,4.26772,0.00661,0.00523,1.5e-4,0.92918
2017-01-03,2.82509,0.05415,0.07755,0.45556,1.74975,0.02223,0.05068,1.05044,1.26447,0.00236,0.02008,3.30908,0.0062,0.6622,0.06344,8.90858,0.16144,0.11493,1.2768,0.52101,29.26036,0.22078,0.01027,0.08032,1.9043,0.13572,3.97523,0.10854,0.78828,2.41923,2.20978,15.96159,0.02402,0.00609,5e-4,1.11488
2017-01-04,5.48392,0.1262,0.24851,1.26173,3.05991,0.6534,0.36381,2.14627,1.62946,0.00246,0.03951,5.9548,0.02362,2.21638,0.07071,22.53385,0.29471,0.2428,1.59806,4.33009,62.10112,0.38835,0.09796,0.09424,2.43878,0.22368,11.4007,0.28782,0.94492,8.96342,5.0929,32.42186,0.04195,0.01638,0.0084,3.3362
2017-01-05,2.94299,0.37608,0.57499,4.71645,5.96061,3.72606,0.48516,3.86234,1.59336,0.00239,0.13048,3.90192,0.08912,5.42168,0.22016,77.66466,0.97091,0.11004,4.60929,18.25609,129.45513,1.26696,0.47216,0.2671,7.14019,0.91877,37.34191,1.30254,1.27255,81.42274,24.89327,86.43782,0.06141,0.00944,0.00309,8.41725
2017-01-06,2.96783,0.44963,1.89083,3.68681,3.60204,7.05631,0.10046,5.19564,1.28399,0.00392,0.12259,3.42862,0.1955,15.02886,0.28243,31.04051,0.98423,1.18815,6.36175,6.06038,116.98776,1.32544,0.42276,0.29497,9.22293,1.8494,26.68361,0.14564,0.99644,17.50244,58.31263,51.1514,0.04955,0.00332,5.3e-4,17.35266
2017-01-07,2.14844,0.03408,0.3563,0,1.5259,0.01727,0.00371,1.49157,1.22868,0.00331,8.4e-4,2.60118,0.00708,2.44226,0.02324,1.65476,0.12578,0.25788,0.39039,0.47997,6.1132,0.16901,0.00961,0.01996,0.60737,0.10468,0.58244,0.00106,0.13042,0.65844,8.39986,4.54335,0.00696,0.00328,1.4e-4,2.77303
2017-01-08,1.95132,0.03663,0.17092,0,1.47572,0.01324,0.00376,1.3331,1.22318,0.00275,8.4e-4,2.40219,0.00543,1.92899,0.02366,1.64244,0.14656,0.21502,0.39208,0.48141,6.44332,0.19373,0.00916,0.02075,0.61877,0.10466,0.64518,0.00106,0.13125,0.65846,5.57005,4.91366,0.00732,0.00324,1.4e-4,2.28136
2017-01-09,1.87651,0.03869,0.07879,0,1.44921,0.01389,0.00375,1.04082,1.21784,0.00236,8.4e-4,2.32349,0.00536,1.02733,0.02407,5.88134,0.16179,0.12621,0.39381,0.4826,6.7698,0.21214,0.00914,0.02153,0.62973,0.10467,0.69428,0.05243,0.13205,0.71679,1.83697,5.23487,0.00766,0.00327,1.4e-4,1.39082
2017-01-10,1.91344,0.04009,0.10148,0,1.42821,0.01308,0.00373,1.02504,1.21272,0.00236,8.4e-4,2.35241,0.00528,1.73643,0.02445,1.36387,0.17282,0.82821,0.39553,0.48356,6.94213,0.22568,0.00907,0.02226,0.63995,0.10464,0.72814,0.00106,0.13279,0.65842,4.35765,5.49288,0.00796,0.00316,1.4e-4,2.10086
