date,reservoir,flow
1966-01-01,Houston,4.90778
1966-01-02,Houston,4.28554
1966-01-03,Houston,3.82478
1966-01-04,Houston,3.35641
1966-01-05,Houston,2.91405
1966-01-06,Houston,2.56913
1966-01-07,Houston,2.25362
1966-01-08,Houston,1.93947
1966-01-09,Houston,1.67461
1966-01-10,Houston,2.31784
1966-01-11,Houston,1.32989
1966-01-12,Houston,1.23156
1966-01-13,Houston,1.15724
1966-01-14,Houston,1.16228
1966-01-15,Houston,9.13817
1966-01-16,Houston,28.01165
1966-01-17,Houston,18.9816
1966-01-18,Houston,13.9429
1966-01-19,Houston,10.50063
1966-01-20,Houston,8.6185
1966-01-21,Houston,8.31116
1966-01-22,Houston,6.579
1966-01-23,Houston,5.38243
1966-01-24,Houston,4.673
1966-01-25,Houston,4.029
1966-01-26,Houston,3.4428
1966-01-27,Houston,2.96122
1966-01-28,Houston,2.54393
1966-01-29,Houston,2.20058
1966-01-30,Houston,12.44706
1966-01-31,Houston,2.57968
1966-02-01,Houston,3.67315
1966-02-02,Houston,14.30588
1966-02-03,Houston,9.531
1966-02-04,Houston,7.88304
1966-02-05,Houston,12.84576
1966-02-06,Houston,12.09558
1966-02-07,Houston,17.51582
1966-02-08,Houston,20.92188
1966-02-09,Houston,13.88523
1966-02-10,Houston,11.07807
1966-02-11,Houston,9.85834
1966-02-12,Houston,7.68207
1966-02-13,Houston,6.35169
1966-02-14,Houston,5.23742
1966-02-15,Houston,4.33016
1966-02-16,Houston,4.27648
1966-02-17,Houston,15.05041
1966-02-18,Houston,7.38416
1966-02-19,Houston,4.41767
1966-02-20,Houston,4.36682
1966-02-21,Houston,4.0018
1966-02-22,Houston,5.66822
1966-02-23,Houston,10.047790000000001
1966-02-24,Houston,19.25556
1966-02-25,Houston,8.36275
1966-02-26,Houston,9.91755
1966-02-27,Houston,12.65878
1966-02-28,Houston,7.24685
1966-03-01,Houston,6.44552
1966-03-02,Houston,5.51116
1966-03-03,Houston,4.64713
1966-03-04,Houston,16.94493
1966-03-05,Houston,6.94849
1966-03-06,Houston,6.96707
1966-03-07,Houston,6.27302
1966-03-08,Houston,5.44292
1966-03-09,Houston,4.56115
1966-03-10,Houston,3.7458
1966-03-11,Houston,3.10778
1966-03-12,Houston,2.71776
1966-03-13,Houston,8.54736
1966-03-14,Houston,3.64811
1966-03-15,Houston,2.12895
1966-03-16,Houston,2.01804
1966-03-17,Houston,1.94882
1966-03-18,Houston,1.62982
1966-03-19,Houston,1.37515
1966-03-20,Houston,1.30837
1966-03-21,Houston,14.3476
1966-03-22,Houston,1.95044
1966-03-23,Houston,3.44797
1966-03-24,Houston,2.3951
1966-03-25,Houston,2.07311
1966-03-26,Houston,1.69617
1966-03-27,Houston,1.36324
1966-03-28,Houston,1.21737
1966-03-29,Houston,1.02434
1966-03-30,Houston,0.91343
1966-03-31,Houston,0.76974
1966-04-01,Houston,0.61028
1966-04-02,Houston,0.43694
1966-04-03,Houston,0.32302
1966-04-04,Houston,0.24838
1966-04-05,Houston,0.17242
1966-04-06,Houston,0.12304
1966-04-07,Houston,0.09013
1966-04-08,Houston,0.07812
1966-04-09,Houston,1.80309
1966-04-10,Houston,0.57264
1966-04-11,Houston,0.04674
1966-04-12,Houston,0.0389
1966-04-13,Houston,0.03181
1966-04-14,Houston,0.02647
1966-04-15,Houston,0.02242
1966-04-16,Houston,0.01925
1966-04-17,Houston,0.01671
1966-04-18,Houston,0.01472
1966-04-19,Houston,0.06844
1966-04-20,Houston,0.01168
1966-04-21,Houston,0.01868
1966-04-22,Houston,0.03508
1966-04-23,Houston,0.01065
1966-04-24,Houston,0.00759
1966-04-25,Houston,0.00694
1966-04-26,Houston,0.00613
1966-04-27,Houston,0.00543
1966-04-28,Houston,0.00503
1966-04-29,Houston,0.29551
1966-04-30,Houston,0.00976
1966-05-01,Houston,0.00398
1966-05-02,Houston,0.00351
1966-05-03,Houston,0.00315
1966-05-04,Houston,0.00284
1966-05-05,Houston,3.90944
1966-05-06,Houston,0.00308
1966-05-07,Houston,0.00231
1966-05-08,Houston,0.00215
1966-05-09,Houston,0.002
1966-05-10,Houston,0.00188
1966-05-11,Houston,0.00179
1966-05-12,Houston,0.00172
1966-05-13,Houston,0.00167
1966-05-14,Houston,0.00163
1966-05-15,Houston,0.0016
1966-05-16,Houston,0.00156
1966-05-17,Houston,0.00153
1966-05-18,Houston,0.11802
1966-05-19,Houston,0.00272
1966-05-20,Houston,0.00148
1966-05-21,Houston,0.00141
1966-05-22,Houston,0.00143
1966-05-23,Houston,0.03424
1966-05-24,Houston,9.79046
1966-05-25,Houston,10.7642
1966-05-26,Houston,2.22682
1966-05-27,Houston,1.52196
