date,reservoir,flow
1966-01-01,Livingston,31.5878
1966-01-02,Livingston,31.4811
1966-01-03,Livingston,31.1192
1966-01-04,Livingston,30.5272
1966-01-05,Livingston,29.7868
1966-01-06,Livingston,29.0486
1966-01-07,Livingston,28.2023
1966-01-08,Livingston,27.3
1966-01-09,Livingston,32.7616
1966-01-10,Livingston,25.8406
1966-01-11,Livingston,24.8735
1966-01-12,Livingston,24.2517
1966-01-13,Livingston,23.638
1966-01-14,Livingston,29.7515
1966-01-15,Livingston,74.1201
1966-01-16,Livingston,129.1899
1966-01-17,Livingston,109.8867
1966-01-18,Livingston,63.4146
1966-01-19,Livingston,141.5285
1966-01-20,Livingston,41.5852
1966-01-21,Livingston,38.1133
1966-01-22,Livingston,43.5816
1966-01-23,Livingston,38.2822
1966-01-24,Livingston,37.9462
1966-01-25,Livingston,37.1237
1966-01-26,Livingston,36.104
1966-01-27,Livingston,35.0174
1966-01-28,Livingston,33.8839
1966-01-29,Livingston,32.7525
1966-01-30,Livingston,82.9984
1966-01-31,Livingston,30.7163
1966-02-01,Livingston,31.3434
1966-02-02,Livingston,74.9691
1966-02-03,Livingston,37.7253
1966-02-04,Livingston,81.1047
1966-02-05,Livingston,46.2836
1966-02-06,Livingston,47.3596
1966-02-07,Livingston,141.6482
1966-02-08,Livingston,78.9631
1966-02-09,Livingston,34.4686
1966-02-10,Livingston,29.0448
1966-02-11,Livingston,33.1673
1966-02-12,Livingston,27.8898
1966-02-13,Livingston,27.2213
1966-02-14,Livingston,26.4242
1966-02-15,Livingston,25.6429
1966-02-16,Livingston,24.9618
1966-02-17,Livingston,78.0495
1966-02-18,Livingston,36.3426
1966-02-19,Livingston,24.3852
1966-02-20,Livingston,40.2578
1966-02-21,Livingston,43.4943
1966-02-22,Livingston,67.4367
1966-02-23,Livingston,145.2032
1966-02-24,Livingston,58.2404
1966-02-25,Livingston,28.3268
1966-02-26,Livingston,72.0887
1966-02-27,Livingston,106.5381
1966-02-28,Livingston,28.9589
1966-03-01,Livingston,29.1689
1966-03-02,Livingston,29.1193
1966-03-03,Livingston,28.8795
1966-03-04,Livingston,168.9627
1966-03-05,Livingston,50.8871
1966-03-06,Livingston,34.3899
1966-03-07,Livingston,35.6314
1966-03-08,Livingston,36.1206
1966-03-09,Livingston,35.7846
1966-03-10,Livingston,35.0119
1966-03-11,Livingston,34.1661
