date,reservoir,flow
1966-01-01,Squaw Creek Reservoir,0.0978
1966-01-02,Squaw Creek Reservoir,0.0906
1966-01-03,Squaw Creek Reservoir,0.0836
1966-01-04,Squaw Creek Reservoir,0.0769
1966-01-05,Squaw Creek Reservoir,0.0711
1966-01-06,Squaw Creek Reservoir,0.0664
1966-01-07,Squaw Creek Reservoir,0.0618
1966-01-08,Squaw Creek Reservoir,0.0577
1966-01-09,Squaw Creek Reservoir,0.0751
1966-01-10,Squaw Creek Reservoir,0.0515
1966-01-11,Squaw Creek Reservoir,0.0494
1966-01-12,Squaw Creek Reservoir,0.0481
1966-01-13,Squaw Creek Reservoir,0.0468
1966-01-14,Squaw Creek Reservoir,0.0591
1966-01-15,Squaw Creek Reservoir,0.0648
1966-01-16,Squaw Creek Reservoir,0.0506
1966-01-17,Squaw Creek Reservoir,0.1024
1966-01-18,Squaw Creek Reservoir,0.0473
1966-01-19,Squaw Creek Reservoir,0.4811
1966-01-20,Squaw Creek Reservoir,0.2656
1966-01-21,Squaw Creek Reservoir,0.3086
1966-01-22,Squaw Creek Reservoir,0.2789
1966-01-23,Squaw Creek Reservoir,0.2501
1966-01-24,Squaw Creek Reservoir,0.2303
1966-01-25,Squaw Creek Reservoir,0.2105
1966-01-26,Squaw Creek Reservoir,0.1886
1966-01-27,Squaw Creek Reservoir,0.1672
1966-01-28,Squaw Creek Reservoir,0.1491
1966-01-29,Squaw Creek Reservoir,0.1341
1966-01-30,Squaw Creek Reservoir,0.1219
1966-01-31,Squaw Creek Reservoir,0.1113
1966-02-01,Squaw Creek Reservoir,0.1044
1966-02-02,Squaw Creek Reservoir,0.1195
1966-02-03,Squaw Creek Reservoir,0.1461
1966-02-04,Squaw Creek Reservoir,0.2312
1966-02-05,Squaw Creek Reservoir,0.1375
1966-02-06,Squaw Creek Reservoir,0.1452
1966-02-07,Squaw Creek Reservoir,0.1637
1966-02-08,Squaw Creek Reservoir,0.1405
1966-02-09,Squaw Creek Reservoir,0.1294
1966-02-10,Squaw Creek Reservoir,0.1187
1966-02-11,Squaw Creek Reservoir,0.1082
1966-02-12,Squaw Creek Reservoir,0.1008
1966-02-13,Squaw Creek Reservoir,0.0941
1966-02-14,Squaw Creek Reservoir,0.0863
1966-02-15,Squaw Creek Reservoir,0.0796
1966-02-16,Squaw Creek Reservoir,0.075
1966-02-17,Squaw Creek Reservoir,0.1337
1966-02-18,Squaw Creek Reservoir,0.0734
1966-02-19,Squaw Creek Reservoir,0.0758
1966-02-20,Squaw Creek Reservoir,0.1054
1966-02-21,Squaw Creek Reservoir,0.1533
1966-02-22,Squaw Creek Reservoir,0.0927
1966-02-23,Squaw Creek Reservoir,0.216
1966-02-24,Squaw Creek Reservoir,0.1179
1966-02-25,Squaw Creek Reservoir,0.1236
1966-02-26,Squaw Creek Reservoir,0.1563
1966-02-27,Squaw Creek Reservoir,0.2139
1966-02-28,Squaw Creek Reservoir,0.1483
1966-03-01,Squaw Creek Reservoir,0.1475
1966-03-02,Squaw Creek Reservoir,0.1369
1966-03-03,Squaw Creek Reservoir,0.1262
1966-03-04,Squaw Creek Reservoir,0.393
1966-03-05,Squaw Creek Reservoir,0.2407
1966-03-06,Squaw Creek Reservoir,0.2526
1966-03-07,Squaw Creek Reservoir,0.2313
1966-03-08,Squaw Creek Reservoir,0.2077
1966-03-09,Squaw Creek Reservoir,0.183
1966-03-10,Squaw Creek Reservoir,0.1615
1966-03-11,Squaw Creek Reservoir,0.1461
1966-03-12,Squaw Creek Reservoir,0.1467
1966-03-13,Squaw Creek Reservoir,0.1452
1966-03-14,Squaw Creek Reservoir,0.1258
1966-03-15,Squaw Creek Reservoir,0.114
1966-03-16,Squaw Creek Reservoir,0.1035
1966-03-17,Squaw Creek Reservoir,0.583
1966-03-18,Squaw Creek Reservoir,0.4233
1966-03-19,Squaw Creek Reservoir,0.4358
1966-03-20,Squaw Creek Reservoir,0.3678
1966-03-21,Squaw Creek Reservoir,0.305
1966-03-22,Squaw Creek Reservoir,0.2596
1966-03-23,Squaw Creek Reservoir,0.2268
1966-03-24,Squaw Creek Reservoir,0.2012
1966-03-25,Squaw Creek Reservoir,0.1741
1966-03-26,Squaw Creek Reservoir,0.1504
1966-03-27,Squaw Creek Reservoir,0.132
1966-03-28,Squaw Creek Reservoir,0.1354
1966-03-29,Squaw Creek Reservoir,0.3232
1966-03-30,Squaw Creek Reservoir,0.1863
1966-03-31,Squaw Creek Reservoir,0.2007
1966-04-01,Squaw Creek Reservoir,0.1788
1966-04-02,Squaw Creek Reservoir,0.1566
1966-04-03,Squaw Creek Reservoir,0.1432
1966-04-04,Squaw Creek Reservoir,0.1257
1966-04-05,Squaw Creek Reservoir,0.1112
1966-04-06,Squaw Creek Reservoir,0.1
1966-04-07,Squaw Creek Reservoir,0.0917
1966-04-08,Squaw Creek Reservoir,0.0851
1966-04-09,Squaw Creek Reservoir,0.0807
1966-04-10,Squaw Creek Reservoir,0.0753
1966-04-11,Squaw Creek Reservoir,0.071
1966-04-12,Squaw Creek Reservoir,0.067
1966-04-13,Squaw Creek Reservoir,0.0635
1966-04-14,Squaw Creek Reservoir,0.0604
1966-04-15,Squaw Creek Reservoir,0.0577
1966-04-16,Squaw Creek Reservoir,0.0553
1966-04-17,Squaw Creek Reservoir,0.0532
1966-04-18,Squaw Creek Reservoir,0.0512
1966-04-19,Squaw Creek Reservoir,0.0497
1966-04-20,Squaw Creek Reservoir,0.048
1966-04-21,Squaw Creek Reservoir,0.0466
1966-04-22,Squaw Creek Reservoir,0.0452
1966-04-23,Squaw Creek Reservoir,0.0443
1966-04-24,Squaw Creek Reservoir,0.0428
1966-04-25,Squaw Creek Reservoir,0.0416
1966-04-26,Squaw Creek Reservoir,0.0404
1966-04-27,Squaw Creek Reservoir,0.0393
1966-04-28,Squaw Creek Reservoir,0.0382
1966-04-29,Squaw Creek Reservoir,0.0575
1966-04-30,Squaw Creek Reservoir,0.0442
1966-05-01,Squaw Creek Reservoir,0.0357
1966-05-02,Squaw Creek Reservoir,0.0348
1966-05-03,Squaw Creek Reservoir,0.034
1966-05-04,Squaw Creek Reservoir,0.0332
1966-05-05,Squaw Creek Reservoir,0.0407
1966-05-06,Squaw Creek Reservoir,0.0319
1966-05-07,Squaw Creek Reservoir,0.0312
1966-05-08,Squaw Creek Reservoir,0.0306
1966-05-09,Squaw Creek Reservoir,0.03
1966-05-10,Squaw Creek Reservoir,0.0295
1966-05-11,Squaw Creek Reservoir,0.029
1966-05-12,Squaw Creek Reservoir,0.0285
1966-05-13,Squaw Creek Reservoir,0.028
1966-05-14,Squaw Creek Reservoir,0.0276
1966-05-15,Squaw Creek Reservoir,0.0272
1966-05-16,Squaw Creek Reservoir,0.0268
1966-05-17,Squaw Creek Reservoir,0.2626
1966-05-18,Squaw Creek Reservoir,0.0837
1966-05-19,Squaw Creek Reservoir,0.026
1966-05-20,Squaw Creek Reservoir,0.0255
1966-05-21,Squaw Creek Reservoir,0.0252
1966-05-22,Squaw Creek Reservoir,0.0251
1966-05-23,Squaw Creek Reservoir,0.0246
1966-05-24,Squaw Creek Reservoir,0.0247
1966-05-25,Squaw Creek Reservoir,0.0245
1966-05-26,Squaw Creek Reservoir,0.0249
1966-05-27,Squaw Creek Reservoir,0.1113
1966-05-28,Squaw Creek Reservoir,0.1072
1966-05-29,Squaw Creek Reservoir,0.0908
1966-05-30,Squaw Creek Reservoir,0.1128
1966-05-31,Squaw Creek Reservoir,0.0503
1966-06-01,Squaw Creek Reservoir,0.0287
1966-06-02,Squaw Creek Reservoir,0.1121
1966-06-03,Squaw Creek Reservoir,0.0321
1966-06-04,Squaw Creek Reservoir,0.0314
1966-06-05,Squaw Creek Reservoir,0.0306
1966-06-06,Squaw Creek Reservoir,0.0304
1966-06-07,Squaw Creek Reservoir,0.0298
1966-06-08,Squaw Creek Reservoir,0.0326
1966-06-09,Squaw Creek Reservoir,0.0907
1966-06-10,Squaw Creek Reservoir,0.0707
1966-06-11,Squaw Creek Reservoir,0.0411
1966-06-12,Squaw Creek Reservoir,0.0289
1966-06-13,Squaw Creek Reservoir,0.0273
1966-06-14,Squaw Creek Reservoir,0.2824
1966-06-15,Squaw Creek Reservoir,0.1949
1966-06-16,Squaw Creek Reservoir,0.0749
1966-06-17,Squaw Creek Reservoir,0.0625
1966-06-18,Squaw Creek Reservoir,0.0538
1966-06-19,Squaw Creek Reservoir,0.0468
1966-06-20,Squaw Creek Reservoir,0.0435
1966-06-21,Squaw Creek Reservoir,0.0388
1966-06-22,Squaw Creek Reservoir,0.0774
1966-06-23,Squaw Creek Reservoir,0.0352
1966-06-24,Squaw Creek Reservoir,0.032
1966-06-25,Squaw Creek Reservoir,0.0304
1966-06-26,Squaw Creek Reservoir,0.029
1966-06-27,Squaw Creek Reservoir,0.0278
1966-06-28,Squaw Creek Reservoir,0.027
1966-06-29,Squaw Creek Reservoir,0.0258
1966-06-30,Squaw Creek Reservoir,0.025
1966-07-01,Squaw Creek Reservoir,0.0242
1966-07-02,Squaw Creek Reservoir,0.0235
1966-07-03,Squaw Creek Reservoir,0.0229
1966-07-04,Squaw Creek Reservoir,0.0223
1966-07-05,Squaw Creek Reservoir,0.3156
1966-07-06,Squaw Creek Reservoir,0.1088
1966-07-07,Squaw Creek Reservoir,0.0497
1966-07-08,Squaw Creek Reservoir,0.0448
1966-07-09,Squaw Creek Reservoir,0.0401
1966-07-10,Squaw Creek Reservoir,0.0612
1966-07-11,Squaw Creek Reservoir,0.1116
1966-07-12,Squaw Creek Reservoir,0.046
1966-07-13,Squaw Creek Reservoir,0.0353
1966-07-14,Squaw Creek Reservoir,0.0521
1966-07-15,Squaw Creek Reservoir,0.0307
1966-07-16,Squaw Creek Reservoir,0.0296
1966-07-17,Squaw Creek Reservoir,0.0278
1966-07-18,Squaw Creek Reservoir,0.0264
1966-07-19,Squaw Creek Reservoir,0.0252
1966-07-20,Squaw Creek Reservoir,0.0242
1966-07-21,Squaw Creek Reservoir,0.0232
1966-07-22,Squaw Creek Reservoir,0.0224
1966-07-23,Squaw Creek Reservoir,0.0217
1966-07-24,Squaw Creek Reservoir,0.021
1966-07-25,Squaw Creek Reservoir,0.0212
1966-07-26,Squaw Creek Reservoir,0.0338
1966-07-27,Squaw Creek Reservoir,0.0194
