date,reservoir,flow
1966-01-01,Toledo_Bend,16.00729
1966-01-02,Toledo_Bend,16.0111
1966-01-03,Toledo_Bend,15.88284
1966-01-04,Toledo_Bend,15.65987
1966-01-05,Toledo_Bend,15.37099
1966-01-06,Toledo_Bend,15.04646
1966-01-07,Toledo_Bend,14.6993
1966-01-08,Toledo_Bend,14.33666
1966-01-09,Toledo_Bend,15.55231
1966-01-10,Toledo_Bend,19.86677
1966-01-11,Toledo_Bend,13.27067
1966-01-12,Toledo_Bend,12.95908
1966-01-13,Toledo_Bend,12.66152
1966-01-14,Toledo_Bend,12.39769
1966-01-15,Toledo_Bend,32.5497
1966-01-16,Toledo_Bend,20.25443
1966-01-17,Toledo_Bend,27.40102
1966-01-18,Toledo_Bend,20.55798
1966-01-19,Toledo_Bend,24.7201
1966-01-20,Toledo_Bend,13.21397
1966-01-21,Toledo_Bend,13.8572
1966-01-22,Toledo_Bend,18.96911
1966-01-23,Toledo_Bend,14.46682
1966-01-24,Toledo_Bend,14.55247
1966-01-25,Toledo_Bend,14.46215
1966-01-26,Toledo_Bend,14.28247
1966-01-27,Toledo_Bend,14.06924
1966-01-28,Toledo_Bend,13.81644
1966-01-29,Toledo_Bend,13.53965
1966-01-30,Toledo_Bend,32.37563
1966-01-31,Toledo_Bend,17.74888
1966-02-01,Toledo_Bend,13.23991
1966-02-02,Toledo_Bend,41.42034
1966-02-03,Toledo_Bend,19.28752
1966-02-04,Toledo_Bend,13.77177
1966-02-05,Toledo_Bend,26.39366
1966-02-06,Toledo_Bend,16.78338
1966-02-07,Toledo_Bend,50.81212
1966-02-08,Toledo_Bend,19.871
1966-02-09,Toledo_Bend,16.48236
1966-02-10,Toledo_Bend,15.08245
1966-02-11,Toledo_Bend,18.56032
1966-02-12,Toledo_Bend,15.34688
1966-02-13,Toledo_Bend,15.31665
1966-02-14,Toledo_Bend,15.18477
1966-02-15,Toledo_Bend,15.16546
1966-02-16,Toledo_Bend,14.75029
1966-02-17,Toledo_Bend,32.18942
1966-02-18,Toledo_Bend,14.62936
1966-02-19,Toledo_Bend,15.173
1966-02-20,Toledo_Bend,24.08448
1966-02-21,Toledo_Bend,19.62251
1966-02-22,Toledo_Bend,26.62688
1966-02-23,Toledo_Bend,45.19015
1966-02-24,Toledo_Bend,32.45348
1966-02-25,Toledo_Bend,15.42617
1966-02-26,Toledo_Bend,48.74373
1966-02-27,Toledo_Bend,58.58526
1966-02-28,Toledo_Bend,19.41601
1966-03-01,Toledo_Bend,21.14825
1966-03-02,Toledo_Bend,22.19468
1966-03-03,Toledo_Bend,22.65842
1966-03-04,Toledo_Bend,63.67594
1966-03-05,Toledo_Bend,32.97408
1966-03-06,Toledo_Bend,25.47705
1966-03-07,Toledo_Bend,26.22563
1966-03-08,Toledo_Bend,26.51465
1966-03-09,Toledo_Bend,26.43846
1966-03-10,Toledo_Bend,26.03386
1966-03-11,Toledo_Bend,25.44038
1966-03-12,Toledo_Bend,25.02816
1966-03-13,Toledo_Bend,47.85976
1966-03-14,Toledo_Bend,23.50139
1966-03-15,Toledo_Bend,23.03444
1966-03-16,Toledo_Bend,22.52802
1966-03-17,Toledo_Bend,53.71247
1966-03-18,Toledo_Bend,24.17817
1966-03-19,Toledo_Bend,22.89016
1966-03-20,Toledo_Bend,23.0987
1966-03-21,Toledo_Bend,48.21455
1966-03-22,Toledo_Bend,22.95085
1966-03-23,Toledo_Bend,23.37421
1966-03-24,Toledo_Bend,22.25392
1966-03-25,Toledo_Bend,21.77852
1966-03-26,Toledo_Bend,21.2093
1966-03-27,Toledo_Bend,20.58359
1966-03-28,Toledo_Bend,22.60019
1966-03-29,Toledo_Bend,19.6782
1966-03-30,Toledo_Bend,22.68363
1966-03-31,Toledo_Bend,18.80803
1966-04-01,Toledo_Bend,17.73749
1966-04-02,Toledo_Bend,17.16991
1966-04-03,Toledo_Bend,16.584
1966-04-04,Toledo_Bend,17.40077
1966-04-05,Toledo_Bend,15.47261
1966-04-06,Toledo_Bend,14.94566
1966-04-07,Toledo_Bend,14.4046
1966-04-08,Toledo_Bend,13.89614
1966-04-09,Toledo_Bend,16.04364
1966-04-10,Toledo_Bend,14.50597
1966-04-11,Toledo_Bend,12.61278
1966-04-12,Toledo_Bend,12.20923
1966-04-13,Toledo_Bend,11.82244
1966-04-14,Toledo_Bend,11.46071
1966-04-15,Toledo_Bend,11.11741
1966-04-16,Toledo_Bend,10.79194
1966-04-17,Toledo_Bend,10.48348
1966-04-18,Toledo_Bend,10.22214
1966-04-19,Toledo_Bend,16.32291
1966-04-20,Toledo_Bend,9.69296
1966-04-21,Toledo_Bend,9.45957
1966-04-22,Toledo_Bend,9.23586
1966-04-23,Toledo_Bend,9.04352
1966-04-24,Toledo_Bend,8.82373
1966-04-25,Toledo_Bend,8.66759
1966-04-26,Toledo_Bend,8.46925
1966-04-27,Toledo_Bend,8.29796
1966-04-28,Toledo_Bend,8.13965
1966-04-29,Toledo_Bend,8.20618
1966-04-30,Toledo_Bend,9.1412
1966-05-01,Toledo_Bend,7.74092
1966-05-02,Toledo_Bend,7.60487
1966-05-03,Toledo_Bend,7.48388
1966-05-04,Toledo_Bend,7.36849
1966-05-05,Toledo_Bend,11.50091
1966-05-06,Toledo_Bend,7.63541
1966-05-07,Toledo_Bend,7.06799
1966-05-08,Toledo_Bend,6.97484
1966-05-09,Toledo_Bend,6.88505
1966-05-10,Toledo_Bend,6.79876
1966-05-11,Toledo_Bend,6.71634
1966-05-12,Toledo_Bend,6.63726
1966-05-13,Toledo_Bend,6.56128
1966-05-14,Toledo_Bend,6.48937
1966-05-15,Toledo_Bend,6.4196
1966-05-16,Toledo_Bend,6.35285
1966-05-17,Toledo_Bend,23.32383
1966-05-18,Toledo_Bend,61.08753
1966-05-19,Toledo_Bend,18.40095
1966-05-20,Toledo_Bend,6.20381
1966-05-21,Toledo_Bend,6.19511
1966-05-22,Toledo_Bend,6.18032
1966-05-23,Toledo_Bend,6.18615
1966-05-24,Toledo_Bend,6.47774
1966-05-25,Toledo_Bend,10.35792
1966-05-26,Toledo_Bend,13.06697
1966-05-27,Toledo_Bend,21.2967
1966-05-28,Toledo_Bend,33.05404
1966-05-29,Toledo_Bend,13.65565
1966-05-30,Toledo_Bend,7.4121
1966-05-31,Toledo_Bend,6.50341
1966-06-01,Toledo_Bend,6.63489
1966-06-02,Toledo_Bend,13.30037
1966-06-03,Toledo_Bend,6.81655
1966-06-04,Toledo_Bend,6.88408
1966-06-05,Toledo_Bend,6.90291
1966-06-06,Toledo_Bend,9.10816
1966-06-07,Toledo_Bend,10.85994
1966-06-08,Toledo_Bend,20.92052
1966-06-09,Toledo_Bend,20.93728
1966-06-10,Toledo_Bend,18.4679
1966-06-11,Toledo_Bend,11.42142
1966-06-12,Toledo_Bend,44.08329
1966-06-13,Toledo_Bend,22.68936
1966-06-14,Toledo_Bend,15.28941
1966-06-15,Toledo_Bend,11.14368
1966-06-16,Toledo_Bend,11.08599
1966-06-17,Toledo_Bend,11.09104
1966-06-18,Toledo_Bend,12.32574
1966-06-19,Toledo_Bend,10.6082
1966-06-20,Toledo_Bend,10.88301
1966-06-21,Toledo_Bend,10.51646
1966-06-22,Toledo_Bend,39.98288
1966-06-23,Toledo_Bend,27.81609
1966-06-24,Toledo_Bend,9.71094
1966-06-25,Toledo_Bend,18.41037
1966-06-26,Toledo_Bend,10.06072
1966-06-27,Toledo_Bend,9.47019
1966-06-28,Toledo_Bend,9.06353
1966-06-29,Toledo_Bend,8.81778
1966-06-30,Toledo_Bend,8.60557
1966-07-01,Toledo_Bend,8.36942
1966-07-02,Toledo_Bend,8.71846
1966-07-03,Toledo_Bend,7.95815
1966-07-04,Toledo_Bend,7.78819
1966-07-05,Toledo_Bend,7.63588
1966-07-06,Toledo_Bend,13.10522
1966-07-07,Toledo_Bend,7.26748
1966-07-08,Toledo_Bend,7.12308
1966-07-09,Toledo_Bend,6.987
1966-07-10,Toledo_Bend,6.85883
1966-07-11,Toledo_Bend,6.73594
1966-07-12,Toledo_Bend,6.61863
1966-07-13,Toledo_Bend,6.51866
1966-07-14,Toledo_Bend,6.44764
1966-07-15,Toledo_Bend,6.50508
1966-07-16,Toledo_Bend,6.29869
1966-07-17,Toledo_Bend,6.12255
1966-07-18,Toledo_Bend,6.03418
1966-07-19,Toledo_Bend,5.95773
1966-07-20,Toledo_Bend,6.21285
1966-07-21,Toledo_Bend,5.80251
1966-07-22,Toledo_Bend,5.73292
1966-07-23,Toledo_Bend,5.9159
1966-07-24,Toledo_Bend,6.75224
1966-07-25,Toledo_Bend,5.7046
1966-07-26,Toledo_Bend,5.538
1966-07-27,Toledo_Bend,5.43494
1966-07-28,Toledo_Bend,5.38047
1966-07-29,Toledo_Bend,5.35915
1966-07-30,Toledo_Bend,5.28123
1966-07-31,Toledo_Bend,5.23487
1966-08-01,Toledo_Bend,5.1904
1966-08-02,Toledo_Bend,5.14777
1966-08-03,Toledo_Bend,5.1069
1966-08-04,Toledo_Bend,5.07395
1966-08-05,Toledo_Bend,5.04978
1966-08-06,Toledo_Bend,5.044
1966-08-07,Toledo_Bend,4.97133
1966-08-08,Toledo_Bend,4.93454
1966-08-09,Toledo_Bend,5.39673
1966-08-10,Toledo_Bend,4.86026
1966-08-11,Toledo_Bend,4.8294
1966-08-12,Toledo_Bend,4.79952
1966-08-13,Toledo_Bend,6.43631
1966-08-14,Toledo_Bend,6.98248
1966-08-15,Toledo_Bend,5.04221
1966-08-16,Toledo_Bend,4.77658
1966-08-17,Toledo_Bend,4.75264
1966-08-18,Toledo_Bend,4.70803
1966-08-19,Toledo_Bend,5.06047
1966-08-20,Toledo_Bend,5.17783
1966-08-21,Toledo_Bend,4.57364
1966-08-22,Toledo_Bend,4.54499
1966-08-23,Toledo_Bend,4.5229
1966-08-24,Toledo_Bend,4.50053
1966-08-25,Toledo_Bend,4.8713
1966-08-26,Toledo_Bend,5.65968
1966-08-27,Toledo_Bend,6.08329
1966-08-28,Toledo_Bend,4.90989
1966-08-29,Toledo_Bend,4.42312
1966-08-30,Toledo_Bend,4.38382
1966-08-31,Toledo_Bend,4.36146
1966-09-01,Toledo_Bend,4.36952
1966-09-02,Toledo_Bend,4.37843
1966-09-03,Toledo_Bend,4.30762
1966-09-04,Toledo_Bend,4.28954
1966-09-05,Toledo_Bend,4.27231
1966-09-06,Toledo_Bend,4.25538
1966-09-07,Toledo_Bend,4.23873
1966-09-08,Toledo_Bend,4.55929
1966-09-09,Toledo_Bend,14.98258
1966-09-10,Toledo_Bend,11.50912
1966-09-11,Toledo_Bend,15.95402
1966-09-12,Toledo_Bend,5.87812
1966-09-13,Toledo_Bend,4.87783
1966-09-14,Toledo_Bend,4.56706
1966-09-15,Toledo_Bend,15.74325
1966-09-16,Toledo_Bend,7.23398
1966-09-17,Toledo_Bend,4.20663
1966-09-18,Toledo_Bend,4.2045
1966-09-19,Toledo_Bend,4.20868
1966-09-20,Toledo_Bend,4.19853
1966-09-21,Toledo_Bend,4.19243
1966-09-22,Toledo_Bend,22.98024
1966-09-23,Toledo_Bend,11.55914
1966-09-24,Toledo_Bend,10.55443
1966-09-25,Toledo_Bend,11.8295
1966-09-26,Toledo_Bend,5.97818
1966-09-27,Toledo_Bend,4.80232
1966-09-28,Toledo_Bend,4.37607
1966-09-29,Toledo_Bend,4.46492
1966-09-30,Toledo_Bend,6.0064
1966-10-01,Toledo_Bend,10.69454
1966-10-02,Toledo_Bend,4.77776
1966-10-03,Toledo_Bend,7.32492
1966-10-04,Toledo_Bend,4.45532
1966-10-05,Toledo_Bend,5.9566
1966-10-06,Toledo_Bend,86.92545
1966-10-07,Toledo_Bend,178.51162
1966-10-08,Toledo_Bend,77.42434
1966-10-09,Toledo_Bend,29.68133
1966-10-10,Toledo_Bend,33.00202
1966-10-11,Toledo_Bend,30.60464
1966-10-12,Toledo_Bend,28.02171
1966-10-13,Toledo_Bend,26.40501
1966-10-14,Toledo_Bend,26.30315
1966-10-15,Toledo_Bend,21.80113
1966-10-16,Toledo_Bend,20.13797
1966-10-17,Toledo_Bend,18.97725
1966-10-18,Toledo_Bend,28.61672
1966-10-19,Toledo_Bend,30.52175
1966-10-20,Toledo_Bend,26.07328
1966-10-21,Toledo_Bend,14.9966
1966-10-22,Toledo_Bend,14.49709
1966-10-23,Toledo_Bend,13.94626
1966-10-24,Toledo_Bend,13.56307
1966-10-25,Toledo_Bend,13.12269
1966-10-26,Toledo_Bend,12.31143
1966-10-27,Toledo_Bend,11.81423
1966-10-28,Toledo_Bend,11.35001
1966-10-29,Toledo_Bend,10.91387
1966-10-30,Toledo_Bend,10.50466
1966-10-31,Toledo_Bend,28.95714
1966-11-01,Toledo_Bend,172.59652
1966-11-02,Toledo_Bend,25.06209
1966-11-03,Toledo_Bend,29.89211
1966-11-04,Toledo_Bend,30.24177
1966-11-05,Toledo_Bend,29.22203
1966-11-06,Toledo_Bend,27.67408
1966-11-07,Toledo_Bend,26.02872
1966-11-08,Toledo_Bend,24.41875
1966-11-09,Toledo_Bend,22.92798
1966-11-10,Toledo_Bend,21.54708
1966-11-11,Toledo_Bend,20.29042
1966-11-12,Toledo_Bend,33.84499
1966-11-13,Toledo_Bend,18.90888
1966-11-14,Toledo_Bend,17.33916
1966-11-15,Toledo_Bend,16.57286
1966-11-16,Toledo_Bend,15.8669
1966-11-17,Toledo_Bend,15.37034
1966-11-18,Toledo_Bend,14.62885
1966-11-19,Toledo_Bend,14.05488
1966-11-20,Toledo_Bend,13.5364
1966-11-21,Toledo_Bend,13.05732
1966-11-22,Toledo_Bend,12.61118
1966-11-23,Toledo_Bend,13.76522
1966-11-24,Toledo_Bend,31.8789
1966-11-25,Toledo_Bend,22.17052
1966-11-26,Toledo_Bend,11.9176
1966-11-27,Toledo_Bend,11.1182
1966-11-28,Toledo_Bend,10.92146
1966-11-29,Toledo_Bend,10.71463
1966-11-30,Toledo_Bend,10.50081
1966-12-01,Toledo_Bend,10.28735
1966-12-02,Toledo_Bend,21.96695
1966-12-03,Toledo_Bend,12.68145
1966-12-04,Toledo_Bend,9.72148
1966-12-05,Toledo_Bend,9.56285
1966-12-06,Toledo_Bend,9.46924
1966-12-07,Toledo_Bend,18.55051
1966-12-08,Toledo_Bend,9.21455
1966-12-09,Toledo_Bend,37.19212
1966-12-10,Toledo_Bend,34.62577
1966-12-11,Toledo_Bend,12.66035
1966-12-12,Toledo_Bend,11.76405
1966-12-13,Toledo_Bend,59.16599
1966-12-14,Toledo_Bend,11.70599
1966-12-15,Toledo_Bend,11.12687
1966-12-16,Toledo_Bend,11.5057
1966-12-17,Toledo_Bend,11.78233
1966-12-18,Toledo_Bend,40.44912
1966-12-19,Toledo_Bend,17.81122
1966-12-20,Toledo_Bend,12.72776
1966-12-21,Toledo_Bend,26.686
1966-12-22,Toledo_Bend,57.87244
1966-12-23,Toledo_Bend,43.65764
1966-12-24,Toledo_Bend,22.5378
1966-12-25,Toledo_Bend,24.99903
1966-12-26,Toledo_Bend,25.84099
1966-12-27,Toledo_Bend,66.77368
1966-12-28,Toledo_Bend,37.20108
1966-12-29,Toledo_Bend,30.75942
1966-12-30,Toledo_Bend,36.86026
1966-12-31,Toledo_Bend,29.3346
1967-01-01,Toledo_Bend,29.05408
1967-01-02,Toledo_Bend,29.51842
1967-01-03,Toledo_Bend,30.88646
1967-01-04,Toledo_Bend,28.11441
1967-01-05,Toledo_Bend,26.1775
1967-01-06,Toledo_Bend,25.19959
1967-01-07,Toledo_Bend,24.3954
1967-01-08,Toledo_Bend,41.89835
1967-01-09,Toledo_Bend,26.13374
1967-01-10,Toledo_Bend,22.46752
