date,Amistad,Arlington,Arrowhead,Bardwell,Belton,Bridgeport,Bryan_Utilities,Buchanan,Canyon,Colorado_City,Eufaula,Falcon,Graham,Granbury,Greenville_City,Houston,Joe_Pool,Kemp,Lavon,Limestone,Livingston,Mountain_Creek,Palo_Pinto,Pat_Mayse,Ray_Hubbard,Ray_Roberts,Richland-Chambers,South_Texas_Project_Reservoir,Striker,Texana,Texoma,Toledo_Bend,Trinidad,Victor_Braunig,Walter_E_Long,Whitney
1971-01-01,2.9545,0.03806,0.04205,0,0.26606,0.00893,0.00477,0.52642,0.52503,0.00464,9.1e-4,3.43604,0.00284,0.30278,0.11072,11.69538,0.14435,0.03768,1.47814,0.4183,9.51457,0.19647,0.00619,0.0284,2.27679,0.20486,0.64672,0.01585,0.09238,4.13542,1.30785,6.13951,0.00677,0.00442,4.8e-4,0.43781
1971-01-02,3.27829,0.32105,0.06272,3.43846,4.15649,2.18945,0.44232,5.48618,0.68121,0.00467,0.01832,3.85465,0.03522,4.08475,0.21449,60.72838,0.67574,0.05349,3.54525,7.03117,116.43284,0.85839,0.25402,0.21716,5.24109,0.90969,28.11682,0.01455,2.00525,14.28112,4.97404,74.7467,0.06926,0.01346,0.0052,7.4917299999999996
1971-01-03,2.99409,0.04189,0.0418,0.005,0.32304,0.25595,0.00937,0.52293,0.54021,0.00461,9.1e-4,3.47192,0.00279,0.36666,0.11662,1.65424,0.15318,0.03736,1.46915,0.41904,10.69281,0.2067,0.03193,0.02769,2.25697,0.42279,0.69512,0.00128,0.09799,0.67835,1.92961,6.86992,0.00688,0.00258,7.1e-4,0.57043
1971-01-04,4.04954,0.03751,0.04157,0,0.25575,0.00889,0.00469,0.52206,0.52,0.0046,9.1e-4,4.51419,0.00276,0.30298,0.12179,1.73008,0.14825,0.0372,1.47023,0.41819,9.47434,0.19915,0.00599,0.02747,2.25533,0.20677,0.65944,0.00106,0.09486,0.64347,1.31809,7.28034,0.00704,0.00252,4.7e-4,0.47658
1971-01-05,5.34932,0.03957,0.23456,0.04246,0.26755,0.22057,0.00701,0.57998,0.55052,0.00459,9.1e-4,5.8236,0.01138,0.87729,0.16596,2.26392,0.15485,0.30532,2.20028,0.41974,12.04593,0.20783,0.00609,0.05479,3.18232,0.29338,0.925,0.00206,0.09688,0.8036,16.20261,8.13345,0.00769,0.00288,5.8e-4,1.06867
1971-01-06,2.98906,0.03918,0.15215,0.03386,0.26806,0.19137,0.00469,0.56604,0.52387,0.00459,0.13519,3.44629,0.00715,0.4418,0.25592,1.61416,0.15645,0.13418,3.12839,0.45461,14.20298,0.20866,0.00688,0.23964,4.12545,0.46216,0.90061,0.00106,0.43831,0.64402,43.92856,17.0972,0.01107,0.00253,4.7e-4,0.63107
1971-01-07,2.95788,0.03711,0.04112,0,0.24658,0.00885,0.00466,0.51915,0.51584,0.00458,0.1031,3.40941,0.00269,0.29954,0.14061,1.49329,0.15516,0.03673,1.47764,0.41847,9.75357,0.20525,0.0058,0.02714,2.25393,0.20666,0.68967,0.00106,0.09889,0.64412,21.54244,8.29628,0.00747,0.00252,4.7e-4,0.48463
1971-01-08,3.01003,0.03697,0.04095,0,0.24373,0.00883,0.00465,0.51797,0.51447,0.00457,0.01457,3.45516,0.00267,0.29885,0.152,1.3544,0.15598,0.03657,1.48596,0.41845,9.78349,0.20571,0.00573,0.02735,2.25941,0.20715,0.69102,0.00106,0.1001,0.64429,6.03143,8.48663,0.00759,0.00252,4.7e-4,0.48144
1971-01-09,2.97158,0.03683,0.0408,0,0.24085,0.0088,0.00463,0.5167,0.51311,0.00456,9.1e-4,3.41084,0.00265,0.29814,0.15975,1.22001,0.15618,0.03642,1.4924,0.41835,9.78914,0.20548,0.00567,0.02751,2.26245,0.20745,0.68897,0.00106,0.10109,0.64442,1.45002,8.58681,0.00771,0.00252,4.6e-4,0.47753
1971-01-10,2.94918,0.03668,0.04065,0,0.23792,0.00878,0.00461,0.51536,0.51174,0.00455,9.1e-4,3.38259,0.00263,0.29742,0.16395,1.09018,0.15587,0.03626,1.49625,0.41821,9.7748,0.20474,0.00562,0.02763,2.26221,0.20758,0.68408,0.00106,0.10184,0.64453,1.31412,8.61269,0.00781,0.00252,4.5e-4,0.47319
